verb,prep,freqNoun,freqVerb,freqComb
ВСТУПИТЬ,В,263558,352254,6717
НАПРАВИТЬ,НА,263558,892815,3216
ВСТУПАТЬ,В,263558,172970,3123
ОТКАЗАТЬСЯ,ОТ,263558,365325,3107
УЧАСТВОВАТЬ,В,263558,498239,2838
СВЯЗАТЬ,С,263558,1362256,2360
ВКЛЮЧИТЬСЯ,В,263558,42570,1826
ПРЕДНАЗНАЧИТЬ,ДЛЯ,263558,434100,1679
ИСПОЛЬЗОВАТЬ,ДЛЯ,263558,1431705,1184
ГОВОРИТЬ,О,263558,2673665,1049
ИСПОЛЬЗОВАТЬ,В,263558,1431705,953
ОТКАЗЫВАТЬСЯ,ОТ,263558,102991,896
СОЗДАТЬ,ДЛЯ,263558,1371673,887
ГОТОВИТЬСЯ,К,263558,247266,876
ПОМОЧЬ,В,263558,320253,874
ВОВЛЕЧЬ,В,263558,56450,871
НАСТРОИТЬ,НА,263558,120395,859
ПОДНЯТЬСЯ,НА,263558,740995,851
ПОБЕДИТЬ,В,263558,167360,815
БРОСИТЬ,НА,263558,815888,786
ПРИЗЫВАТЬ,К,263558,118971,774
ПОМОГАТЬ,В,263558,297527,726
СДАТЬСЯ,БЕЗ,263558,51258,646
НАЦЕЛИТЬ,НА,263558,74037,633
ПРОХОДИТЬ,В,263558,938511,517
ПОГИБНУТЬ,В,263558,214584,509
СЛЕДИТЬ,ЗА,263558,260823,473
ВКЛЮЧАТЬСЯ,В,263558,55745,459
ОБЪЕДИНИТЬСЯ,В,263558,26505,459
СОСРЕДОТОЧИТЬ,НА,263558,152236,449
ПРОИГРАТЬ,В,263558,98967,447
ВТЯНУТЬ,В,263558,63089,444
УСТАТЬ,ОТ,263558,47428,443
ВЕРНУТЬСЯ,В,263558,1351676,427
ИСПОЛЬЗОВАТЬСЯ,ДЛЯ,263558,439186,419
ПОТРАТИТЬ,НА,263558,114565,419
ВМЕШАТЬСЯ,В,263558,127296,417
ОБЪЕДИНИТЬСЯ,ДЛЯ,263558,26505,411
СДАВАТЬСЯ,БЕЗ,263558,47560,398
РАССКАЗАТЬ,О,263558,905982,370
ВВЯЗАТЬСЯ,В,263558,14797,367
РАССКАЗЫВАТЬ,О,263558,486665,365
ПОДГОТОВИТЬ,К,263558,356423,360
ПОДНИМАТЬСЯ,НА,263558,295650,358
ОБРЕСТИ,В,263558,204965,354
ПРОВЕСТИ,В,263558,1720693,350
НАБЛЮДАТЬ,ЗА,263558,308813,346
ПРОЙТИ,В,263558,1295429,345
ЗАИНТЕРЕСОВАТЬ,В,263558,252477,321
СОСРЕДОТОЧИТЬСЯ,НА,263558,73016,318
ВМЕШИВАТЬСЯ,В,263558,47500,309
НАХОДИТЬСЯ,В,263558,2661082,301
ВЫСТОЯТЬ,В,263558,9454,301
ВВЯЗЫВАТЬСЯ,В,263558,12716,292
СВОДИТЬСЯ,К,263558,56266,291
ПРИСОЕДИНИТЬСЯ,К,263558,140436,281
ПРЕВРАТИТЬСЯ,В,263558,434499,277
ПРЕДНАЗНАЧАТЬСЯ,ДЛЯ,263558,44157,268
УСТУПИТЬ,В,263558,110607,260
ПРИЗВАТЬ,К,263558,230724,259
ПОДНЯТЬ,НА,263558,1607770,254
ВЫИГРАТЬ,В,263558,227538,243
ПРИГОТОВИТЬСЯ,К,263558,37389,240
