verb,prep,freqNoun,freqVerb,freqComb
ВЕСТИ,,263558,907360,23391
ИДТИ,,263558,2732778,13095
ПРОДОЛЖАТЬ,,263558,644375,7223
БЫТЬ,,263558,16504392,6858
НАЧАТЬ,,263558,573876,5171
ПРОДОЛЖИТЬ,,263558,426194,4883
НАЧАТЬСЯ,,263558,875770,4669
ПРЕКРАТИТЬ,,263558,242170,3068
РАЗВЕРНУТЬСЯ,,263558,88844,2889
ВЕСТИСЬ,,263558,262923,2559
ПРОИСХОДИТЬ,,263558,596752,2401
ЯВЛЯТЬСЯ,,263558,3365085,2285
ЗАНИМАТЬСЯ,,263558,986447,2255
НАЧИНАТЬ,,263558,227086,2204
ПРЕДСТОЯТЬ,,263558,97438,1846
НАЧИНАТЬСЯ,,263558,374294,1754
ПОСВЯТИТЬ,,263558,344349,1686
ПРОДОЛЖАТЬСЯ,,263558,240099,1594
ЗАВЯЗАТЬСЯ,,263558,31455,1575
ПРЕКРАЩАТЬ,,263558,45738,1458
ПОВЕСТИ,,263558,159705,1449
УСИЛИТЬ,,263558,116786,1234
ВОЗГЛАВИТЬ,,263558,150821,1141
ПРОИГРАТЬ,,263558,98967,987
ВЫДЕРЖАТЬ,,263558,246706,956
РАЗГОРЕТЬСЯ,,263558,30201,935
РАЗВЕРНУТЬ,,263558,184289,891
ЗАВЕРШИТЬ,,263558,249424,835
СЧИТАТЬ,,263558,1388621,831
ЗАНЯТЬ,,263558,593852,815
ВЫИГРАТЬ,,263558,227538,762
НАЗВАТЬ,,263558,806830,761
ПОГЛОТИТЬ,,263558,112051,756
ОБЪЯВИТЬ,,263558,938139,686
РАЗВОРАЧИВАТЬСЯ,,263558,44275,673
ВИДЕТЬ,,263558,1971171,648
НАВЯЗАТЬ,,263558,17247,627
ПОДДЕРЖИВАТЬ,,263558,390178,565
СТАТЬ,,263558,686138,549
ОРГАНИЗОВАТЬ,,263558,478822,511
УВИДЕТЬ,,263558,1503676,507
ВОЗОБНОВИТЬ,,263558,90028,503
АКТИВИЗИРОВАТЬ,,263558,30169,484
ВЫЗВАТЬ,,263558,857411,479
ЗАНЯТЬСЯ,,263558,335889,478
ОБОСТРИТЬСЯ,,263558,15349,464
СПОСОБСТВОВАТЬ,,263558,341770,457
ПОКАЗАТЬ,,263558,1076177,454
ВОЗГЛАВЛЯТЬ,,263558,167863,450
РУКОВОДИТЬ,,263558,143479,436
ПРЕКРАЩАТЬСЯ,,263558,37304,425
РАЗГОРАТЬСЯ,,263558,22904,419
ЛЮБИТЬ,,263558,950738,417
ОБСУДИТЬ,,263558,257681,396
ПОДДЕРЖАТЬ,,263558,306969,385
ОТДАТЬ,,263558,501478,385
СТАНОВИТЬСЯ,,263558,695686,368
ТРЕБОВАТЬ,,263558,688059,356
ЗАКОНЧИТЬ,,263558,392432,337
ХОТЕТЬ,,263558,569716,317
НАПОЛНИТЬ,,263558,214691,311
ЖДАТЬ,,263558,793831,308
НАЗЫВАТЬ,,263558,535788,308
ЗАКОНЧИТЬСЯ,,263558,228914,302
ОСТАВАТЬСЯ,,263558,851043,300
ЗАТЕЯТЬ,,263558,46529,286
ОЗНАЧАТЬ,,263558,257761,283
ОБОСТРЯТЬСЯ,,263558,5933,282
ОСЛАБИТЬ,,263558,71174,280
ОЖИДАТЬ,,263558,340622,277
ОТМЕТИТЬ,,263558,1263077,273
ПРОВОЗГЛАСИТЬ,,263558,77763,265
ВЫДЕРЖИВАТЬ,,263558,75026,262
НАПОМИНАТЬ,,263558,393540,262
ВСПЫХНУТЬ,,263558,179401,259
ВХОДИТЬ,,263558,780476,259
СОПРОВОЖДАТЬСЯ,,263558,112793,256
ОТРАЖАТЬ,,263558,118809,256
УВЛЕЧЬ,,263558,66996,255
ОСТАВИТЬ,,263558,840269,254
ВЫИГРЫВАТЬ,,263558,39520,239
ОБУСЛОВИТЬ,,263558,174986,238
БОЯТЬСЯ,,263558,360524,238
ИЗОБРАЗИТЬ,,263558,310391,235
ОБОСТРИТЬ,,263558,10665,234
НАБЛЮДАТЬ,,263558,308813,226
ПРОВОДИТЬ,,263558,1208004,224
ПРОИЗОЙТИ,,263558,759327,222
КИПЕТЬ,,263558,59351,221
ПРЕДПОЛАГАТЬ,,263558,198525,215
ВОЗНИКНУТЬ,,263558,564886,213
ВОЗНИКАТЬ,,263558,409064,212
СДЕЛАТЬ,,263558,2688427,212
ПРОИГРЫВАТЬ,,263558,25051,211
СУЩЕСТВОВАТЬ,,263558,667956,202
ПРИВЕСТИ,,263558,919531,200
УВЛЕЧЬСЯ,,263558,48069,199
ПЕРЕЖИВАТЬ,,263558,103297,197
ОТРАЗИТЬ,,263558,94090,196
ЗАВЯЗЫВАТЬСЯ,,263558,8243,196
ОКОНЧИТЬ,,263558,162006,195
ОТРАЗИТЬСЯ,,263558,124569,194
ПРОХОДИТЬ,,263558,938511,187
УСИЛИТЬСЯ,,263558,42791,187
ДЛИТЬСЯ,,263558,56905,187
ПОМОЧЬ,,263558,320253,185
СТОИТЬ,,263558,915164,183
ВЫБЫТЬ,,263558,5620,182
ПРЕДШЕСТВОВАТЬ,,263558,38730,181
ОТРАЖАТЬСЯ,,263558,86637,176
УЖЕСТОЧИТЬ,,263558,15784,171
ЗАПОЛНИТЬ,,263558,198689,163
УСИЛИВАТЬ,,263558,57797,163
РАССМАТРИВАТЬ,,263558,303388,163
МЕШАТЬ,,263558,203224,162
КАСАТЬСЯ,,263558,174217,158
ИЗОБРАЖАТЬ,,263558,90740,156
ПОКАЗЫВАТЬ,,263558,385626,153
ОЗАБОТИТЬ,,263558,37289,152
УВЛЕКАТЬСЯ,,263558,85028,152
ЗНАТЬ,,263558,1470177,149
ИЗБЕЖАТЬ,,263558,140162,147
ПЕРЕНЕСТИ,,263558,203824,146
УСИЛИВАТЬСЯ,,263558,45206,145
ОТДАВАТЬ,,263558,182782,144
ОПИСЫВАТЬ,,263558,102677,144
СТАВИТЬ,,263558,440697,140
РАЗВЁРТЫВАТЬСЯ,,527116,7938,139
ОГРАНИЧИВАТЬСЯ,,263558,73214,138
СИМВОЛИЗИРОВАТЬ,,263558,42720,138
ПРОДОЛЖИТЬСЯ,,263558,38735,137
УТИХАТЬ,,263558,8444,137
ОКАЗАТЬСЯ,,263558,1813169,133
ПРОВЕСТИ,,263558,1720693,133
ВОЗОБНОВИТЬСЯ,,263558,32054,132
ПРЕДПОЧИТАТЬ,,263558,131622,131
ЗАВЕРШИТЬСЯ,,263558,176023,131
ЖАЖДАТЬ,,263558,53824,130
ПРИЗНАТЬ,,263558,490285,130
ИСПОЛЬЗОВАТЬ,,263558,1431705,129
ДОВЕСТИ,,263558,146992,128
ИЗБЕГАТЬ,,263558,94891,128
УДЕЛИТЬ,,263558,80607,127
ПОСЛЕДОВАТЬ,,263558,238476,125
КОНЧИТЬСЯ,,263558,113644,123
ЗАТЕВАТЬ,,263558,18287,121
ПРЕДСТАВЛЯТЬ,,263558,614293,120
ОПИСАТЬ,,263558,281655,120
УСТРОИТЬ,,263558,449237,119
ПРЕКРАТИТЬСЯ,,263558,67332,119
ОТДАТЬСЯ,,263558,36748,119
ПОМОГАТЬ,,263558,297527,119
ДЕЛАТЬ,,263558,1265891,118
ВЫБРАТЬ,,263558,575313,117
ОБЛЕГЧАТЬ,,263558,34485,116
ОЖИДАТЬСЯ,,263558,107004,113
СВЯЗАТЬ,,263558,1362256,113
ПОДРАЗУМЕВАТЬ,,263558,76865,112
ВЫБИТЬ,,263558,91874,111
ЛЕЖАТЬ,,263558,1213074,111
ИСКЛЮЧАТЬ,,263558,136877,109
ПОНИМАТЬ,,263558,394627,108
ОСТАНОВИТЬ,,263558,337462,107
ПОЙТИ,,263558,1160508,104
ОКОНЧИТЬСЯ,,263558,26475,104
ОСУЩЕСТВЛЯТЬ,,263558,292921,103
ИСКЛЮЧИТЬ,,263558,132180,102
ОХВАТИТЬ,,263558,167522,101
ПОСТАВИТЬ,,263558,1143275,100
АКТИВИЗИРОВАТЬСЯ,,263558,14607,100
РАЗЫГРАТЬСЯ,,263558,17776,99
ИЗМУЧИТЬ,,263558,7739,99
ВСПОМНИТЬ,,263558,471977,99
ПРЕДСТАВИТЬ,,263558,1185156,99
НЫТЬ,,263558,76085,98
ИМИТИРОВАТЬ,,263558,20610,97
ПОРОДИТЬ,,263558,56627,97
ПРОВОЗГЛАШАТЬСЯ,,263558,4389,97
СКРЫВАТЬСЯ,,263558,128616,97
ИМЕТЬ,,263558,4883454,96
БРОСИТЬ,,263558,815888,96
ЗАТРУДНЯТЬ,,263558,21565,95
ОБЕСПЕЧИВАТЬ,,263558,444294,95
ОБЛЕГЧИТЬ,,263558,39488,95
ВЫЙТИ,,263558,1529334,94
НАЗЫВАТЬСЯ,,263558,269560,94
НАСЛАЖДАТЬСЯ,,263558,109585,94
ПРЕДУСМАТРИВАТЬ,,263558,226292,92
СЛУЖИТЬ,,263558,586125,91
УДЕЛЯТЬ,,263558,57775,91
КОНЧИТЬ,,263558,48488,91
ОБЕСПЕЧИТЬ,,263558,370722,89
ИСКАТЬ,,263558,819203,88
ОСТАВЛЯТЬ,,263558,318436,88
ВКЛЮЧАТЬ,,263558,299778,88
ПОРОЖДАТЬ,,263558,52126,87
ЗАМЕТИТЬ,,263558,1190242,87
ИСТОЩИТЬ,,263558,9541,86
ОБЪЯСНЯТЬСЯ,,263558,54867,85
ОПРЕДЕЛИТЬ,,263558,398404,85
СОДЕЙСТВОВАТЬ,,263558,40216,85
ХАРАКТЕРИЗОВАТЬСЯ,,263558,62149,85
СОЧУВСТВОВАТЬ,,263558,16653,84
ЗАЯВИТЬ,,263558,1836802,84
ПРЕВРАТИТЬ,,263558,161883,83
РАЗВЯЗАТЬ,,263558,57195,82
ВЫНЕСТИ,,263558,231038,81
ОПРЕДЕЛЯТЬСЯ,,263558,177807,81
ПРИНИМАТЬ,,263558,946204,80
ОТДАВАТЬСЯ,,263558,53386,80
НАПРАВИТЬ,,263558,892815,79
ПРЕПЯТСТВОВАТЬ,,263558,84165,79
ЗАМЕНИТЬ,,263558,201733,78
БЫВАТЬ,,263558,361586,78
ОПИСЫВАТЬСЯ,,263558,36666,78
ВЫЗЫВАТЬ,,263558,574948,77
ЗАХВАТИТЬ,,263558,332524,77
УСТРАИВАТЬ,,263558,208209,76
ИНТЕРЕСОВАТЬСЯ,,263558,127931,76
ПОДЧИНИТЬ,,263558,62894,76
ОБОСТРЯТЬ,,263558,9296,76
ВСПЫХИВАТЬ,,263558,48449,75
ИНТЕРЕСОВАТЬ,,263558,93996,75
ДОПУСКАТЬ,,263558,149833,75
ЯВИТЬСЯ,,263558,321602,74
ОСЛАБЛЯТЬ,,263558,19915,74
ИЗМОТАТЬ,,263558,7812,74
ОБЪЯВЛЯТЬ,,263558,71272,74
ИСПЫТЫВАТЬ,,263558,484183,73
ОБЪЯСНЯТЬ,,263558,167559,73
ПЕРЕЖИТЬ,,263558,111233,73
ВКЛЮЧИТЬ,,263558,602609,73
ОСЛОЖНЯТЬ,,263558,10189,73
ОСТАТЬСЯ,,263558,1167779,73
ПРОПОВЕДОВАТЬ,,263558,30645,72
НАВЯЗЫВАТЬ,,263558,13069,72
ОБЕЩАТЬ,,263558,175179,72
ПОМЕШАТЬ,,263558,121236,72
НРАВИТЬСЯ,,263558,239917,72
ОРГАНИЗОВЫВАТЬ,,263558,34611,72
РАЗДИРАТЬ,,263558,9083,71
ОТРИЦАТЬ,,263558,71839,71
РАЗВЕРТЫВАТЬ,,527116,4092,71
ПОДНЯТЬ,,263558,1607770,71
ПРЕВРАЩАТЬ,,263558,57851,71
ОТНОСИТЬ,,263558,847578,71
ЗАВЯЗАТЬ,,263558,69117,71
СОСТАВЛЯТЬ,,263558,443838,70
ПОРУЧИТЬ,,263558,139021,69
РЕШИТЬ,,263558,472473,69
СТОЯТЬ,,263558,1895692,69
ПРЕДПОЧЕСТЬ,,263558,50977,68
НАБЛЮДАТЬСЯ,,263558,156484,68
ОБОЗНАЧИТЬ,,263558,103287,67
ПРОСЛАВИТЬСЯ,,263558,15003,67
СЧИТАТЬСЯ,,263558,334745,67
НАСЫТИТЬ,,263558,34764,66
ОБЪЯСНИТЬ,,263558,367380,66
РЕКОМЕНДОВАТЬ,,263558,116705,66
ЗАКАНЧИВАТЬСЯ,,263558,110531,65
ПРЕДПРИНЯТЬ,,263558,179942,64
ДОПУСТИТЬ,,263558,342029,64
ВОЗОБНОВЛЯТЬ,,263558,10469,63
ОТВЛЕЧЬ,,263558,40468,63
ВОЗГОРЕТЬСЯ,,263558,2016,63
ПРИДАВАТЬ,,263558,152391,62
ПРОВОЗГЛАШАТЬ,,263558,13462,61
ВЫДЕЛИТЬ,,263558,259457,61
ПОТРЕБОВАТЬ,,263558,239412,61
РАЗЖИГАТЬ,,263558,18533,60
РАЗВОРАЧИВАТЬ,,263558,19983,59
ВОСПОЛЬЗОВАТЬСЯ,,263558,207683,59
ЗАВЕРШАТЬ,,263558,34903,59
РАЗЫГРЫВАТЬСЯ,,263558,14503,59
НАРАСТАТЬ,,263558,34477,58
ОТСУТСТВОВАТЬ,,263558,156019,58
ЗАНИМАТЬ,,263558,424637,58
ОСЛОЖНЯТЬСЯ,,263558,8257,58
ПОЛУЧИТЬСЯ,,263558,124749,58
ЧУВСТВОВАТЬ,,263558,423116,58
ОБУЧИТЬ,,263558,26078,57
ОСЛОЖНИТЬ,,263558,12564,57
ПОСВЯЩАТЬ,,263558,21928,56
НАПРАВЛЯТЬ,,263558,81627,55
ОБСУЖДАТЬ,,263558,159325,55
ХВАТАТЬ,,263558,611205,55
РАЗРАЗИТЬСЯ,,263558,88289,55
СКОВАТЬ,,263558,37456,55
ПОДМЕНЯТЬ,,263558,7432,55
СПРОВОЦИРОВАТЬ,,263558,55492,55
ВСТУПИТЬ,,263558,352254,55
БРОСАТЬ,,263558,208420,55
ПРОНИЗАТЬ,,263558,36765,54
ВОЗЛОЖИТЬ,,263558,104328,54
УЧИТЬ,,263558,125474,54
ПРЕДВИДЕТЬ,,263558,24981,54
УЖЕСТОЧАТЬ,,263558,3409,53
ЦАРИТЬ,,263558,195677,53
ПЕРЕВЕСТИ,,263558,510995,52
ПРИНЯТЬ,,263558,2446695,52
ВЫБИРАТЬ,,263558,192604,52
ВОСПРИНИМАТЬ,,263558,93390,51
ВЫДАВАТЬ,,263558,123215,51
ОТКРЫТЬ,,263558,1671035,51
ПРИВОДИТЬ,,263558,457302,51
ПОЛУЧИТЬ,,263558,3281968,50
ИЗОБРАЖАТЬСЯ,,263558,18174,50
ОЛИЦЕТВОРЯТЬ,,263558,17909,50
ОТЛИЧАТЬСЯ,,263558,475656,49
ОМРАЧИТЬ,,263558,18778,49
НАЛАДИТЬ,,263558,85466,49
ПРЕДСТАВЛЯТЬСЯ,,263558,80678,48
ВЫВЕСТИ,,263558,259929,48
ОЗНАМЕНОВАТЬСЯ,,263558,8962,48
ОПРЕДЕЛЯТЬ,,263558,239562,47
ПОМНИТЬ,,263558,224087,47
ТРЕБОВАТЬСЯ,,263558,347350,47
ОЩУЩАТЬ,,263558,171151,47
КОНЧАТЬСЯ,,263558,55141,47
ЗАТИХАТЬ,,263558,7171,47
ОТМЕНИТЬ,,263558,171323,46
БУШЕВАТЬ,,263558,42583,46
ПРИДАТЬ,,263558,110383,46
УВЕНЧАТЬСЯ,,263558,55841,46
РИСОВАТЬ,,263558,82786,46
СВЯЗЫВАТЬ,,263558,95797,46
НАПИСАТЬ,,263558,995391,45
ДЕМОНСТРИРОВАТЬ,,263558,115870,45
ПОДМЕНИТЬ,,263558,11650,45
ПРИСУТСТВОВАТЬ,,263558,257932,45
ОБЕССИЛИТЬ,,263558,1869,44
ЧУВСТВОВАТЬСЯ,,263558,84907,44
ОСУЖДАТЬ,,263558,31956,44
ПРЕДВЕЩАТЬ,,263558,31145,44
ОБЪЯВЛЯТЬСЯ,,263558,20611,44
СРАВНИТЬ,,263558,96794,44
ЗАКИПЕТЬ,,263558,15004,43
ДОСТИЧЬ,,263558,590710,43
ВЫГЛЯДЕТЬ,,263558,217511,43
РАЗРЕШИТЬ,,263558,161018,43
СМЕНИТЬСЯ,,263558,86400,43
ОТМЕНЯТЬ,,263558,27375,43
ОБЕРНУТЬСЯ,,263558,172362,43
ЗАМЕЧАТЬ,,263558,157259,43
ПРОТЕКАТЬ,,263558,67791,42
УЧИТЬСЯ,,263558,234228,42
ВЫРАЖАТЬ,,263558,148337,42
МОЧЬ,,263558,850912,42
ОГРАНИЧИТЬ,,263558,156833,42
ПРИВЕТСТВОВАТЬ,,263558,85313,42
НАЗРЕВАТЬ,,263558,10389,41
ПОСЛУЖИТЬ,,263558,131041,41
ПАРАЛИЗОВАТЬ,,263558,32592,40
ДЕКЛАРИРОВАТЬ,,263558,5908,40
ПРИОСТАНОВИТЬ,,263558,98141,40
ЕСТЬ,,263558,149850,40
ПРЕДВКУШАТЬ,,263558,9907,40
СМОТРЕТЬ,,263558,1826817,40
ПЕРЕНОСИТЬ,,263558,82582,40
ОТЛОЖИТЬ,,263558,171632,40
УСТРАНЯТЬ,,263558,32050,39
ВОЗБУДИТЬ,,263558,144180,39
ОКАЗЫВАТЬСЯ,,263558,230283,39
ПРОЯВЛЯТЬСЯ,,263558,74736,39
ПОЧУВСТВОВАТЬ,,263558,475425,39
ПРИЗНАВАТЬ,,263558,46974,39
ОБОРАЧИВАТЬСЯ,,263558,27024,39
ИЗУЧАТЬ,,263558,238995,39
ОСУЩЕСТВЛЯТЬСЯ,,263558,287106,39
ОГРАНИЧИТЬСЯ,,263558,53008,39
ЖИТЬ,,263558,945973,38
ИЗБРАТЬ,,263558,238098,38
ЗАТЯНУТЬСЯ,,263558,42955,38
ХОТЕТЬСЯ,,263558,73906,38
ИГРАТЬ,,263558,918112,38
ПРИОБРЕСТИ,,263558,335547,38
ИСПЫТАТЬ,,263558,165803,37
ПРЕДЛАГАТЬ,,263558,379415,37
ОБОЖАТЬ,,263558,61725,37
ВЫРАЖАТЬСЯ,,263558,46252,37
ОСВЕЩАТЬ,,263558,55590,37
ПОДНИМАТЬ,,263558,251070,37
ПРОДИКТОВАТЬ,,263558,48417,37
РАЗВИВАТЬСЯ,,263558,111021,37
ВОСПЕВАТЬ,,263558,9907,37
СОЗДАВАТЬ,,263558,440892,37
ЗАТРУДНИТЬ,,263558,23014,37
ОБСУЖДАТЬСЯ,,263558,93340,36
ПРОДЕМОНСТРИРОВАТЬ,,263558,136681,36
ЖЕЛАТЬ,,263558,120869,36
ИЗНУРИТЬ,,263558,2431,36
ПОДАВИТЬ,,263558,107997,36
СТИХАТЬ,,263558,8954,36
СТУПИТЬ,,263558,63936,36
НАМЕЧАТЬСЯ,,263558,18888,36
ВОЗОБНОВЛЯТЬСЯ,,263558,5457,36
УЖЕСТОЧАТЬСЯ,,263558,1395,36
ВЫЛИТЬСЯ,,263558,25347,35
ОТНИМАТЬ,,263558,26866,35
СЛЕДОВАТЬ,,263558,314058,35
ОПРАВДЫВАТЬ,,263558,31075,34
ОБОЗНАЧАТЬ,,263558,67610,34
КУРИРОВАТЬ,,263558,20098,34
ВЫСТУПАТЬ,,263558,463690,34
КООРДИНИРОВАТЬ,,263558,13868,33
ОСВЕТИТЬ,,263558,83269,33
ФИНАНСИРОВАТЬ,,263558,21212,33
ЕХАТЬ,,263558,430641,33
ОЩУТИТЬ,,263558,218368,33
ЗАВОЕВАТЬ,,263558,127212,33
ВОЙТИ,,263558,1169413,32
КОНТРОЛИРОВАТЬ,,263558,133395,32
СОЗДАТЬ,,263558,1371673,31
ПРЕДЛОЖИТЬ,,263558,622690,31
СТИМУЛИРОВАТЬ,,263558,59337,31
ОПРАВДАТЬ,,263558,70624,31
НАСЛАДИТЬСЯ,,263558,36927,31
РАЗВЯЗАТЬСЯ,,263558,3524,31
СВИДЕТЕЛЬСТВОВАТЬ,,263558,153942,31
УДЕЛЯТЬСЯ,,263558,26515,31
ПОНЯТЬ,,263558,523934,31
ОЩУЩАТЬСЯ,,263558,49837,30
СВОДИТЬ,,263558,118509,30
СОСТОЯТЬ,,263558,473553,30
РАЗДИРАТЬСЯ,,263558,655,29
ПРОСЛЕДИТЬ,,263558,55560,29
ОТКЛАДЫВАТЬ,,263558,39722,29
СООТВЕТСТВОВАТЬ,,263558,432049,29
СЛЫШАТЬ,,263558,570359,29
ИЗОБИЛОВАТЬ,,263558,23871,28
СМЕНЯТЬСЯ,,263558,32436,28
ПРЕДСКАЗЫВАТЬ,,263558,24490,28
ВЫХОДИТЬ,,263558,543652,28
СОРВАТЬ,,263558,150101,28
ПРОГНОЗИРОВАТЬ,,263558,57763,28
ПОДНЯТЬСЯ,,263558,740995,27
ОБЕСПОКОИТЬ,,263558,63391,27
ПОТРЕБОВАТЬСЯ,,263558,114706,27
СОВЕРШАТЬСЯ,,263558,53220,27
УСЛОЖНЯТЬ,,263558,12693,27
ОТМЕЧАТЬ,,263558,430086,27
ВЛАДЕТЬ,,263558,210221,27
УТОМИТЬ,,263558,6446,27
ОБОСНОВАТЬ,,263558,28989,27
ЗАТЯНУТЬ,,263558,70080,27
УЧЕСТЬ,,263558,96620,27
ОБУЧАТЬ,,263558,32309,27
СОСТОЯТЬСЯ,,263558,723412,27
ОДОБРЯТЬ,,263558,40755,27
ПОНИМАТЬСЯ,,263558,28458,26
ОТНЕСТИ,,263558,146471,26
КАЗАТЬСЯ,,263558,318126,26
ЗАВЕРШАТЬСЯ,,263558,34312,26
НАХОДИТЬСЯ,,263558,2661082,26
ПРИКРЫВАТЬСЯ,,263558,11327,26
ЗАПОМНИТЬСЯ,,263558,16645,25
ВЫБЫВАТЬ,,263558,1206,25
РАСКРЫВАТЬ,,263558,58986,25
НОСИТЬ,,263558,566495,25
ПООЩРЯТЬ,,263558,28147,25
ОТВЕРГАТЬ,,263558,40543,25
СРАВНИВАТЬ,,263558,66401,25
ЗАБЫТЬ,,263558,331942,25
ОСТАНАВЛИВАТЬ,,263558,43332,25
СОПРОВОЖДАТЬ,,263558,75896,25
УТИХНУТЬ,,263558,17390,24
ИСПОЛНИТЬ,,263558,174260,24
ПОЛУЧАТЬСЯ,,263558,107065,24
ВЫРАЗИТЬ,,263558,416769,24
ПРЕВРАТИТЬСЯ,,263558,434499,24
СЧЕСТЬ,,263558,79169,24
ЗАКАНЧИВАТЬ,,263558,57384,24
ДАВАТЬСЯ,,263558,88707,24
СЫГРАТЬ,,263558,262561,24
СКРЫТЬ,,263558,163551,24
ПРЕДАТЬ,,263558,80701,24
ДАТЬ,,263558,1104316,24
УПОМЯНУТЬ,,263558,98643,24
ЛИКВИДИРОВАТЬ,,263558,87503,24
ВВЕСТИ,,263558,561530,23
ОЖЕСТОЧИТЬСЯ,,263558,1417,23
ПРИОБРЕТАТЬ,,263558,123426,23
ВОСХИТИТЬ,,263558,12086,23
ЗАТЯГИВАТЬ,,263558,30933,23
ПОДГОТОВИТЬ,,263558,356423,23
ОБЪЕДИНИТЬ,,263558,109378,23
ПРОДЛИТЬСЯ,,263558,31019,23
ИГНОРИРОВАТЬ,,263558,36883,23
ОЦЕНИТЬ,,263558,254296,23
КОСНУТЬСЯ,,263558,213239,23
ПРОВОЦИРОВАТЬ,,263558,29698,23
РЕШАТЬСЯ,,263558,87417,23
ВСПОМИНАТЬ,,263558,245184,23
НАДОЕСТЬ,,263558,23176,23
ПРЕДРЕКАТЬ,,263558,8414,23
ИСПУГАТЬСЯ,,263558,51928,23
ЧИТАТЬСЯ,,263558,43229,23
СДЕРЖИВАТЬ,,263558,69533,23
ПОНРАВИТЬСЯ,,263558,186457,23
ОТРАБОТАТЬ,,263558,44492,22
ЗАИНТЕРЕСОВАТЬСЯ,,263558,57356,22
ПЕРЕЙТИ,,263558,445514,22
ИНИЦИИРОВАТЬ,,263558,51621,22
ОТОБРАЗИТЬ,,263558,11997,22
ПРЕРВАТЬ,,263558,186538,22
ПОСПОСОБСТВОВАТЬ,,263558,9056,22
ВЗЯТЬ,,263558,2235567,22
ХВАТИТЬ,,263558,336837,22
ОБЪЕДИНЯТЬ,,263558,42789,22
ВСТУПАТЬ,,263558,172970,22
ПРИДУМАТЬ,,263558,161541,22
ВОЛНОВАТЬ,,263558,46521,22
ОБУЧАТЬСЯ,,263558,34741,22
МИНОВАТЬ,,263558,128490,22
