verb,prep,freqNoun,freqVerb,freqComb
ПРИНЯТЬ,ВО,1602316,2446695,49543
ПРИНИМАТЬ,ВО,1602316,946204,26743
ОСТАВИТЬ,БЕЗ,1602316,840269,15722
ОСТАТЬСЯ,БЕЗ,1602316,1167779,11472
ПРИНИМАТЬСЯ,ВО,1602316,103634,7263
ОСТАВЛЯТЬ,БЕЗ,1602316,318436,6800
УСКОЛЬЗНУТЬ,ОТ,1602316,26379,5688
БРАТЬ,ВО,1602316,449883,4722
ОСТАВАТЬСЯ,БЕЗ,1602316,851043,2668
БЛАГОДАРИТЬ,ЗА,1602316,101234,2118
УКРЫТЬСЯ,ОТ,1602316,66159,1831
СЛУШАТЬ,С,1602316,295704,1424
ВЗЯТЬ,ВО,1602316,2235567,1160
НАХОДИТЬСЯ,ПОД,1602316,2661082,1085
ДОВЕСТИ,ДО,1602316,146992,1083
УСКОЛЬЗАТЬ,ОТ,1602316,11841,836
ОТНОСИТЬ,С,1602316,847578,768
ПРИВЫКНУТЬ,К,1602316,134421,741
СЛЕДИТЬ,С,1602316,260823,657
НУЖДАТЬСЯ,В,1602316,309433,647
УДЕЛЯТЬСЯ,ПРИ,1602316,26515,608
НУЖДАТЬСЯ,ВО,1602316,309433,512
СЛУШАТЬ,СО,1602316,295704,487
БРАТЬСЯ,ВО,1602316,79250,475
ВЫСЛУШАТЬ,С,1602316,62077,470
БЫТЬ,ПРИ,1602316,16504392,459
ПРОЙТИ,МИМО,1602316,1295429,445
ОБРАЩАТЬ,НА,1602316,442076,400
ОТНЕСТИСЬ,С,1602316,67550,349
РАССЧИТЫВАТЬ,НА,1602316,153049,307
ПОПАСТЬ,ПОД,1602316,980276,292
УЙТИ,ОТ,1602316,626486,262
ПРЕТЕНДОВАТЬ,НА,1602316,73602,241
СМОТРЕТЬ,С,1602316,1826817,225
СВЯЗАТЬ,С,1602316,1362256,218
ВЫСЛУШАТЬ,СО,1602316,62077,203
ОКАЗАТЬСЯ,ПОД,1602316,1813169,198
ПРОХОДИТЬ,МИМО,1602316,938511,197
ОБРАТИТЬСЯ,ВО,1602316,707150,192
ИЗБАВИТЬСЯ,ОТ,1602316,126845,190
БОРОТЬСЯ,ЗА,1602316,218009,189
ПОБЛАГОДАРИТЬ,ЗА,1602316,92619,177
ПРИСЛУШИВАТЬСЯ,С,1602316,53850,176
ГОВОРИТЬ,О,1602316,2673665,167
НАБЛЮДАТЬ,С,1602316,308813,156
ОБРАЩАТЬСЯ,ПРИ,1602316,298417,154
УДЕЛЯТЬСЯ,В,1602316,26515,151
ОТНЕСТИСЬ,СО,1602316,67550,141
ЧИТАТЬ,С,1602316,552091,140
СКРЫТЬСЯ,ОТ,1602316,192834,135
УСТАТЬ,ОТ,1602316,47428,126
СВИДЕТЕЛЬСТВОВАТЬ,О,1602316,153942,126
ПРОПУСТИТЬ,БЕЗ,1602316,160681,121
БЫТЬ,С,1602316,16504392,121
ОТНОСИТЬ,СО,1602316,847578,120
БЫТЬ,ПОД,1602316,16504392,118
ОСТАВЛЯТЬСЯ,БЕЗ,1602316,3117,114
СКРЫТЬ,ОТ,1602316,163551,112
КУПАТЬСЯ,ВО,1602316,34133,110
ОБРАТИТЬ,НА,1602316,709635,99
ПРОПУСКАТЬ,БЕЗ,1602316,71248,99
ИЗБАВИТЬ,ОТ,1602316,52603,92
ПРЕВРАТИТЬСЯ,ВО,1602316,434499,91
ОБРЕЧЬ,НА,1602316,135388,87
ОСТАТЬСЯ,ВНЕ,1602316,1167779,87
ПРОПУСТИТЬ,МИМО,1602316,160681,83
СЛЕДОВАТЬ,С,1602316,314058,82
ПОПАДАТЬ,ПОД,1602316,249861,77
ДОВОДИТЬ,ДО,1602316,48973,77
КОНКУРИРОВАТЬ,ЗА,1602316,12080,75
ОБОЙТИСЬ,БЕЗ,1602316,170455,75
ВЫСЛУШИВАТЬ,С,1602316,26314,71
