verb,prep,freqNoun,freqVerb,freqComb
ОБРАТИТЬ,,1602316,709635,533052
ОБРАЩАТЬ,,1602316,442076,406390
ПРИВЛЕЧЬ,,1602316,280756,90465
ПРИВЛЕКАТЬ,,1602316,150787,62114
УДЕЛИТЬ,,1602316,80607,40118
УДЕЛЯТЬ,,1602316,57775,35442
БЫТЬ,,1602316,16504392,20603
ЗАСЛУЖИВАТЬ,,1602316,118485,20482
УДЕЛЯТЬСЯ,,1602316,26515,19095
ОТВЛЕЧЬ,,1602316,40468,12544
АКЦЕНТИРОВАТЬ,,1602316,17382,12363
СОСРЕДОТОЧИТЬ,,1602316,152236,10775
ТРЕБОВАТЬ,,1602316,688059,10030
ОБОЙТИ,,1602316,145653,9785
ПРИКОВАТЬ,,1602316,92852,7921
ПЕРЕКЛЮЧИТЬ,,1602316,29037,7908
ОТВЛЕКАТЬ,,1602316,28903,6259
ОБРАЩАТЬСЯ,,1602316,298417,4768
ЗАОСТРЯТЬ,,1602316,5079,3988
ОБДЕЛИТЬ,,1602316,9935,3265
СКОНЦЕНТРИРОВАТЬ,,1602316,33006,3172
СТОИТЬ,,1602316,915164,3037
ЗАВЛАДЕТЬ,,1602316,44862,3005
КОНЦЕНТРИРОВАТЬ,,1602316,12448,2651
ЗАОСТРИТЬ,,1602316,5320,2599
НАПРАВИТЬ,,1602316,892815,2572
ПОЛЬЗОВАТЬСЯ,,1602316,487486,2052
ПРОЯВЛЯТЬ,,1602316,191824,2039
ПРОСИТЬ,,1602316,458165,1908
УДОСТОИТЬ,,1602316,121382,1857
ХВАТАТЬ,,1602316,611205,1831
ОКРУЖИТЬ,,1602316,166207,1759
ПРИКОВЫВАТЬ,,1602316,5344,1596
ИЗБАЛОВАТЬ,,1602316,8082,1516
ОБХОДИТЬ,,1602316,48589,1478
ПРОЯВИТЬ,,1602316,192397,1435
СОСРЕДОТОЧИВАТЬ,,1602316,3572,1431
ПРЕДСТАВИТЬ,,1602316,1185156,1390
ПЕРЕКЛЮЧАТЬ,,1602316,21233,1341
СФОКУСИРОВАТЬ,,1602316,15958,1323
ФОКУСИРОВАТЬ,,1602316,3839,1273
ПЕРЕНЕСТИ,,1602316,203824,1216
ПРИТЯГИВАТЬ,,1602316,24299,1158
ПРЕДЛАГАТЬ,,1602316,379415,1131
УДОСТОИТЬСЯ,,1602316,24490,1088
ОКАЗЫВАТЬ,,1602316,264209,1088
ПЕРЕКЛЮЧИТЬСЯ,,1602316,31996,1080
ПЕРЕВЕСТИ,,1602316,510995,1036
УДЕРЖИВАТЬ,,1602316,82131,1008
ПРЕДЛАГАТЬСЯ,,1602316,69678,931
ВЫЗВАТЬ,,1602316,857411,902
ЛЮБИТЬ,,1602316,950738,864
ПРЕДЛОЖИТЬ,,1602316,622690,843
СОСРЕДОТАЧИВАТЬ,,1602316,7706,816
ОСТАНОВИТЬ,,1602316,337462,795
ОКАЗАТЬ,,1602316,284176,789
ОСЛАБЛЯТЬ,,1602316,19915,777
ОСЛАБИТЬ,,1602316,71174,744
НАПРАВЛЯТЬ,,1602316,81627,744
ЗАСЛУЖИТЬ,,1602316,67277,721
ПОТРЕБОВАТЬ,,1602316,239412,717
СОСРЕДОТОЧИТЬСЯ,,1602316,73016,706
ТРЕБОВАТЬСЯ,,1602316,347350,681
ХОТЕТЬ,,1602316,569716,675
ФИКСИРОВАТЬ,,1602316,44935,653
ВЫЗЫВАТЬ,,1602316,574948,627
ПОГЛОТИТЬ,,1602316,112051,619
ЗАВОЕВАТЬ,,1602316,127212,612
АКЦЕНТИРОВАТЬСЯ,,1602316,1657,599
ИЗБЕЖАТЬ,,1602316,140162,585
РАССЕИВАТЬ,,1602316,7312,576
ЗАХВАТИТЬ,,1602316,332524,567
ОСТАНАВЛИВАТЬ,,1602316,43332,547
НАСЛАЖДАТЬСЯ,,1602316,109585,546
УДОСТАИВАТЬ,,1602316,2944,529
ПОЛУЧИТЬ,,1602316,3281968,521
ЗАДЕРЖАТЬ,,1602316,482549,504
ОВЛАДЕТЬ,,1602316,106347,500
ОБДЕЛЯТЬ,,1602316,931,500
ПОЛУЧАТЬ,,1602316,883886,494
ДОБИВАТЬСЯ,,1602316,92409,490
РАЗВИВАТЬ,,1602316,101608,483
ОТМЕТИТЬ,,1602316,1263077,473
ПОПРОСИТЬ,,1602316,474422,458
НРАВИТЬСЯ,,1602316,239917,454
ЗАМЕТИТЬ,,1602316,1190242,451
ДОБИТЬСЯ,,1602316,274505,449
ЗАНИМАТЬ,,1602316,424637,446
