verb,prep,freqNoun,freqVerb,freqComb
ОТВЕТИТЬ,НА,1516731,2124020,55632
ОТВЕЧАТЬ,НА,1516731,609071,50508
УДЕРЖАТЬСЯ,ОТ,1516731,125938,7336
ВЕРНУТЬСЯ,К,1516731,1351676,5331
СВЯЗАТЬ,С,1516731,1362256,4810
СТАВИТЬ,ПОД,1516731,440697,4294
ПОСТАВИТЬ,ПОД,1516731,1143275,3822
ОБРАЩАТЬСЯ,ПО,1516731,298417,3660
ПОДОЙТИ,К,1516731,1011760,3136
ПОДХОДИТЬ,К,1516731,383302,2984
ОБРАТИТЬСЯ,С,1516731,707150,2727
ПЕРЕЙТИ,К,1516731,445514,2706
ОТНОСИТЬ,К,1516731,847578,2001
ВОЗВРАЩАТЬСЯ,К,1516731,391234,1925
ПЕРЕХОДИТЬ,К,1516731,245114,1895
ОСТАВАТЬСЯ,ПОД,1516731,851043,1654
ОБРАЩАТЬСЯ,С,1516731,298417,1569
РАЗБИРАТЬСЯ,В,1516731,85103,1539
ОКАЗАТЬСЯ,ПОД,1516731,1813169,1415
ПРОСТИТЬ,ЗА,1516731,68602,1402
ЗАДУМАТЬСЯ,НАД,1516731,93988,1401
НАЧАТЬ,С,1516731,573876,1305
ЗАДУМЫВАТЬСЯ,НАД,1516731,37544,1160
НАХОДИТЬСЯ,ПОД,1516731,2661082,1136
ИЗВИНИТЬ,ЗА,1516731,25630,1120
ОСТАНОВИТЬСЯ,НА,1516731,517328,1095
БЫТЬ,ПОД,1516731,16504392,1035
РАЗОБРАТЬСЯ,В,1516731,92171,1027
ЗВОНИТЬ,ПО,1516731,154462,910
УХОДИТЬ,ОТ,1516731,342887,863
ЛЕЗТЬ,С,1516731,114176,842
СТАЛКИВАТЬСЯ,С,1516731,113695,810
ПРИСТАВАТЬ,С,1516731,13628,803
ОСВЕДОМИТЬ,В,1516731,48142,703
ДОГОВОРИТЬСЯ,ПО,1516731,145688,702
ОБРАТИТЬСЯ,К,1516731,707150,675
РЕАГИРОВАТЬ,НА,1516731,83970,668
КОНСУЛЬТИРОВАТЬ,ПО,1516731,8626,668
БЫТЬ,В,1516731,16504392,663
СОСРЕДОТОЧИТЬСЯ,НА,1516731,73016,652
ОТРЕАГИРОВАТЬ,НА,1516731,71935,648
РАБОТАТЬ,НАД,1516731,1593272,645
РАЗОБРАТЬСЯ,С,1516731,92171,620
СВОДИТЬСЯ,К,1516731,56266,592
РАЗМЫШЛЯТЬ,НАД,1516731,64447,577
ГОВОРИТЬ,О,1516731,2673665,568
ОТВЕЧАТЬ,ЗА,1516731,609071,566
ВМЕШИВАТЬСЯ,В,1516731,47500,542
ОТНЕСТИСЬ,К,1516731,67550,541
СОСРЕДОТОЧИТЬ,НА,1516731,152236,525
УЙТИ,ОТ,1516731,626486,509
БЫТЬ,НА,1516731,16504392,497
ОТМАХНУТЬСЯ,ОТ,1516731,79348,491
ПИСАТЬ,ПО,1516731,941379,489
ПЕРЕСЛАТЬ,К,1516731,118226,489
ВОЗДЕРЖАТЬСЯ,ОТ,1516731,33970,460
НАЧИНАТЬ,С,1516731,227086,431
РЕШИТЬСЯ,НА,1516731,65442,424
СТОЛКНУТЬСЯ,С,1516731,214232,418
ДУМАТЬ,НАД,1516731,575903,416
ПОДУМАТЬ,НАД,1516731,765714,393
СМОТРЕТЬ,НА,1516731,1826817,371
МОЧЬ,НА,1516731,850912,358
ОБРАЩАТЬСЯ,К,1516731,298417,351
ПОКОНЧИТЬ,С,1516731,85698,348
НАЧИНАТЬСЯ,С,1516731,374294,340
БЫТЬ,ПО,1516731,16504392,332
ОБОЙТИСЬ,БЕЗ,1516731,170455,330
ПОДКОВАТЬ,В,1516731,3062,327
УКЛОНЯТЬСЯ,ОТ,1516731,26606,319
НАЧАТЬСЯ,С,1516731,875770,319
ПРИСТУПИТЬ,К,1516731,272424,316
ВЫСКАЗАТЬСЯ,ПО,1516731,128870,309
ЗАИНТЕРЕСОВАТЬ,В,1516731,252477,302
УПИРАТЬСЯ,В,1516731,49345,282
ДАТЬ,НА,1516731,1104316,273
ОБРАТИТЬ,НА,1516731,709635,271
БИТЬСЯ,НАД,1516731,131912,269
ИСКУСИТЬ,В,1516731,5733,264
ПОНИМАТЬ,В,1516731,394627,260
ВЛЕЗТЬ,С,1516731,54756,247
ОБРАТИТЬСЯ,ПО,1516731,707150,245
