verb,prep,freqNoun,freqVerb,freqComb
ЗАДАВАТЬ,,1516731,175128,119919
ЗАДАТЬ,,1516731,171688,97727
ОБСУДИТЬ,,1516731,257681,58395
БЫТЬ,,1516731,16504392,48525
ЗАДАВАТЬСЯ,,1516731,64260,45590
РАССМОТРЕТЬ,,1516731,325472,44393
РЕШИТЬ,,1516731,472473,43787
ВОЗНИКАТЬ,,1516731,409064,43228
ПОСТАВИТЬ,,1516731,1143275,33163
СТАТЬ,,1516731,686138,32324
РЕШАТЬ,,1516731,140993,26793
ЗАДАТЬСЯ,,1516731,41252,25522
РЕШАТЬСЯ,,1516731,87417,24975
СТАВИТЬ,,1516731,440697,23799
ОБСУЖДАТЬСЯ,,1516731,93340,21345
ВОЗНИКНУТЬ,,1516731,564886,19804
ПОДНЯТЬ,,1516731,1607770,19462
ВСТАТЬ,,1516731,507057,16624
ОБСУЖДАТЬ,,1516731,159325,15249
РАССМАТРИВАТЬ,,1516731,303388,13223
ЗАНИМАТЬСЯ,,1516731,986447,12130
ВСТАВАТЬ,,1516731,123623,12125
ЗАТРОНУТЬ,,1516731,64283,10947
РАССМАТРИВАТЬСЯ,,1516731,94599,10663
СТОИТЬ,,1516731,915164,9219
ЯВЛЯТЬСЯ,,1516731,3365085,8752
ВЫЗЫВАТЬ,,1516731,574948,8607
ПОНЯТЬ,,1516731,523934,8587
ПОВТОРИТЬ,,1516731,298378,8552
ПОСВЯТИТЬ,,1516731,344349,8364
ОСТАВАТЬСЯ,,1516731,851043,8229
ПОДНИМАТЬ,,1516731,251070,7466
ЗАКЛЮЧАТЬСЯ,,1516731,267094,6567
КАСАТЬСЯ,,1516731,174217,5902
СТОЯТЬ,,1516731,1895692,5543
ПРОЗВУЧАТЬ,,1516731,183901,5484
СЛЫШАТЬ,,1516731,570359,5232
ОСТАТЬСЯ,,1516731,1167779,5216
ИНТЕРЕСОВАТЬ,,1516731,93996,4701
ВЫЗВАТЬ,,1516731,857411,4472
РАЗРЕШИТЬ,,1516731,161018,4161
ПРОРАБОТАТЬ,,1516731,38402,4092
ПОДНИМАТЬСЯ,,1516731,295650,4067
УСЛЫШАТЬ,,1516731,657759,3998
ВОЛНОВАТЬ,,1516731,46521,3887
СОСТОЯТЬ,,1516731,473553,3493
ОТВЕТИТЬ,,1516731,2124020,3446
ЗАНЯТЬСЯ,,1516731,335889,3441
УРЕГУЛИРОВАТЬ,,1516731,16646,3294
СФОРМУЛИРОВАТЬ,,1516731,64495,3283
ВЫНЕСТИ,,1516731,231038,3249
УДЕЛИТЬ,,1516731,80607,3188
ЗАТРАГИВАТЬ,,1516731,28587,2977
ВКЛЮЧИТЬ,,1516731,602609,2887
ИЗУЧИТЬ,,1516731,132969,2841
ОБРАТИТЬ,,1516731,709635,2795
КОСНУТЬСЯ,,1516731,213239,2747
ПОВИСНУТЬ,,1516731,127891,2714
РАССЛЫШАТЬ,,1516731,27562,2637
ИНТЕРЕСОВАТЬСЯ,,1516731,127931,2621
МУЧИТЬ,,1516731,44958,2560
ЗАНИМАТЬ,,1516731,424637,2439
АДРЕСОВАТЬ,,1516731,47959,2437
РЕШИТЬСЯ,,1516731,65442,2385
НАПРАШИВАТЬСЯ,,1516731,21347,2384
