verb,prep,freqNoun,freqVerb,freqComb
БЫТЬ,В,272964,16504392,5135
ПОБЫВАТЬ,В,272964,150989,2215
ПОВЕРНУТЬСЯ,К,272964,435507,1476
НАХОДИТЬСЯ,В,272964,2661082,1157
СЫГРАТЬ,В,272964,262561,1116
ОБРАТИТЬСЯ,К,272964,707150,1006
ВЫЙТИ,К,272964,1529334,980
БЫВАТЬ,В,272964,361586,933
СМОТРЕТЬ,НА,272964,1826817,893
БЫТЬ,СРЕДИ,272964,16504392,877
ВЕРНУТЬСЯ,К,272964,1351676,824
ПОСМОТРЕТЬ,НА,272964,1352306,695
ОТКРЫТЬ,ДЛЯ,272964,1671035,638
ОБЫГРАТЬ,В,272964,38772,609
СИДЕТЬ,В,272964,1552440,544
ПОДОЙТИ,К,272964,1011760,520
НАБЛЮДАТЬ,ЗА,272964,308813,499
ПРОВЕСТИ,В,272964,1720693,496
ПРЕДНАЗНАЧИТЬ,ДЛЯ,272964,434100,465
ОКАЗАТЬСЯ,В,272964,1813169,459
УСТУПИТЬ,В,272964,110607,457
ПРОИГРАТЬ,В,272964,98967,449
БЫТЬ,ДЛЯ,272964,16504392,425
ИГРАТЬ,В,272964,918112,390
ВЫИГРАТЬ,В,272964,227538,374
ПОЗДОРОВАТЬСЯ,С,272964,28343,363
ПРИГОТОВИТЬ,ДЛЯ,272964,167771,358
ВЫХОДИТЬ,К,272964,543652,346
ПРИСОЕДИНИТЬСЯ,К,272964,140436,343
ПОЙТИ,К,272964,1160508,332
ОБЩАТЬСЯ,С,272964,107100,329
ХОДИТЬ,ПО,272964,681808,328
ПРИГЛАСИТЬ,В КАЧЕСТВЕ,272964,302707,324
ОБЕРНУТЬСЯ,К,272964,172362,324
ИЗВИНИТЬСЯ,ПЕРЕД,272964,28766,321
ПОСТАВИТЬ,ПЕРЕД,272964,1143275,318
ЗАМЕТИТЬ,СРЕДИ,272964,1190242,316
СЛЕДИТЬ,ЗА,272964,260823,313
УСТАВИТЬСЯ,НА,272964,196459,312
ОТНОСИТЬ,К,272964,847578,275
РАЗГОВАРИВАТЬ,С,272964,170847,274
ВЗГЛЯНУТЬ,НА,272964,517856,274
ПРЕДСТАТЬ,ПЕРЕД,272964,107795,274
ПРИГЛАСИТЬ,В,272964,302707,271
ПОБЕДИТЬ,В,272964,167360,250
ИДТИ,К,272964,2732778,248
БЕСЕДОВАТЬ,С,272964,64319,239
ПОПРОЩАТЬСЯ,С,272964,30348,235
ПОДГОТОВИТЬ,ДЛЯ,272964,356423,231
РАЗГРОМИТЬ,В,272964,68746,227
ВОЗВРАЩАТЬСЯ,К,272964,391234,211
ЗАДЕРЖАТЬСЯ,В,272964,74305,210
СПАЛИТЬ,ДЛЯ,272964,10647,207
ИЗБАВИТЬСЯ,ОТ,272964,126845,192
ОТЛИЧИТЬСЯ,У,272964,32728,189
НАПРАВИТЬСЯ,К,272964,367004,183
ЗАСИДЕТЬСЯ,В,272964,7277,182
ОБЕДАТЬ,В,272964,26617,176
ПРИСУТСТВОВАТЬ,СРЕДИ,272964,257932,172
ПРОЩАТЬСЯ,С,272964,26417,172
ПРЕДНАЗНАЧАТЬСЯ,ДЛЯ,272964,44157,170
ДЕРЖАТЬ,ДЛЯ,272964,843121,169
СПУСТИТЬСЯ,К,272964,270646,167
ВСТРЕТИТЬСЯ,В,272964,443509,162
ОБРАЩАТЬСЯ,К,272964,298417,159
ВЫСТУПИТЬ,ПЕРЕД,272964,502015,159
НАХОДИТЬСЯ,СРЕДИ,272964,2661082,153
ЗАНЯТЬ,С,272964,593852,149
РАСПАХНУТЬ,ПЕРЕД,272964,159646,149
ОКАЗАТЬСЯ,СРЕДИ,272964,1813169,147
ПРИВЫКНУТЬ,К,272964,134421,145
ПОГЛЯДЫВАТЬ,НА,272964,57491,144
ПОДЕЛИТЬСЯ,С,272964,123329,144
ОСТАТЬСЯ,ЗА,272964,1167779,144
ГОВОРИТЬ,С,272964,2673665,143
ПРОБЫТЬ,В,272964,49777,141
ГОТОВИТЬ,ДЛЯ,272964,291402,141
ОРГАНИЗОВАТЬ,ДЛЯ,272964,478822,139
СИДЕТЬ,С,272964,1552440,138
ПРИБЛИЗИТЬСЯ,К,272964,180085,137
СКРЫТЬ,ОТ,272964,163551,136
БЫТЬ,С,272964,16504392,133
ПОЯВИТЬСЯ,ПЕРЕД,272964,1712736,131
ПЕРЕИГРАТЬ,В,272964,13319,131
ГЛЯДЕТЬ,НА,272964,163474,126
ПРОВЕСТИ,ДЛЯ,272964,1720693,126
ВСТРЕТИТЬСЯ,С,272964,443509,121
ПРИНИМАТЬ,В,272964,946204,120
ПОЗНАКОМИТЬСЯ,С,272964,201988,120
УХАЖИВАТЬ,ЗА,272964,30262,119
ЗДОРОВАТЬСЯ,С,272964,8327,108
УСТРОИТЬ,ДЛЯ,272964,449237,107
ПОГОВОРИТЬ,С,272964,155605,106
ПООБЩАТЬСЯ,С,272964,24396,103
ОСТАТЬСЯ,В,272964,1167779,103
ПРОИЗВЕСТИ,НА,272964,487320,102
ОСТАВАТЬСЯ,В,272964,851043,101
ПОЗНАКОМИТЬСЯ,В,272964,201988,101
ОТНЕСТИСЬ,К,272964,67550,98
ЗАДЕРЖИВАТЬСЯ,В,272964,35945,97
ПОГЛЯДЕТЬ,НА,272964,90797,96
ПОДХОДИТЬ,К,272964,383302,96
ОБРАЩАТЬСЯ,С,272964,298417,96
ХОДИТЬ,СРЕДИ,272964,681808,96
РАСПРОЩАТЬСЯ,С,272964,15780,94
СНОВАТЬ,МЕЖДУ,272964,38100,92
ОСТАТЬСЯ,С,272964,1167779,92
ЗАКРЫТЬ,ЗА,272964,808573,92
ОДОЛЕТЬ,В,272964,41235,90
ВСТРЕЧАТЬСЯ,С,272964,327325,89
ПРИСУТСТВОВАТЬ,В КАЧЕСТВЕ,272964,257932,89
ПОЗАБОТИТЬСЯ,О,272964,47059,88
ЗАБОТИТЬСЯ,О,272964,75732,87
БРОСИТЬСЯ,К,272964,356434,85
ПРОВОДИТЬ,В,272964,1208004,85
ЗАСИЖИВАТЬСЯ,В,272964,5636,84
ВСТРЕЧАТЬСЯ,В,272964,327325,84
РАССЧИТАТЬ,НА,272964,204535,84
НАПАСТЬ,НА,272964,114274,83
ЗАВЕРШИТЬСЯ,В ПОЛЬЗУ,272964,176023,82
ВЗИРАТЬ,НА,272964,28704,82
ГОВОРИТЬ,О,272964,2673665,81
ОБРАТИТЬ,К,272964,709635,80
ЕЗДИТЬ,ПО,272964,199881,80
ОБРАЩАТЬ,НА,272964,442076,76
СВЯЗАТЬ,С,272964,1362256,76
ПОЯВИТЬСЯ,СРЕДИ,272964,1712736,76
ПРИСТАВАТЬ,К,272964,13628,75
ЕСТЬ,В,272964,149850,75
РАЗОБРАТЬСЯ,С,272964,92171,75
ПРОСТИТЬСЯ,С,272964,20468,74
СТОЯТЬ,ПЕРЕД,272964,1895692,73
ГЛЯНУТЬ,НА,272964,141089,72
ПРИСМОТРЕТЬСЯ,К,272964,19087,72
БЫТЬ,У,272964,16504392,71
ЗАБЫТЬ,О,272964,331942,70
ВЫДЕЛЯТЬСЯ,СРЕДИ,272964,91981,70
УВИДЕТЬ,СРЕДИ,272964,1503676,70
ЗАКРЫТЬ,ДЛЯ,272964,808573,69
ПРИСМАТРИВАТЬСЯ,К,272964,12033,69
ЖИТЬ,В,272964,945973,68
ПРОСИТЬ,В,272964,458165,68
БОЛТАТЬ,С,272964,45952,67
НОЧЕВАТЬ,В,272964,37610,67
СИДЕТЬ,СРЕДИ,272964,1552440,67
НАБРОСИТЬСЯ,НА,272964,40153,66
ПОЖАЛОВАТЬ,ЗА,272964,42059,66
ОЖИДАТЬСЯ,СРЕДИ,272964,107004,66
БРОДИТЬ,СРЕДИ,272964,142967,65
ЗАЩИТИТЬ,ОТ,272964,176739,65
ДУМАТЬ,О,272964,575903,65
ВИДЕТЬ,В,272964,1971171,62
РАЗЪЕЗЖАТЬ,ПО,272964,15783,61
ИЗВИНЯТЬСЯ,ПЕРЕД,272964,9327,61
ОТВЕСТИ,ДЛЯ,272964,276420,61
ПОСМАТРИВАТЬ,НА,272964,21789,60
РАСХАЖИВАТЬ,СРЕДИ,272964,25015,59
ХОДИТЬ,МЕЖДУ,272964,681808,58
ПОБЫТЬ,В,272964,16039,57
ОКАЗЫВАТЬСЯ,В,272964,230283,56
УЖИНАТЬ,В,272964,17896,56
ШАГНУТЬ,К,272964,101465,56
ОБОЙТИСЬ,БЕЗ,272964,170455,56
ПЕТЬ,ДЛЯ,272964,175614,56
ОБСУДИТЬ,С,272964,257681,54
ЗНАТЬ,О,272964,1470177,54
СНОВАТЬ,СРЕДИ,272964,38100,54
ПОВОРАЧИВАТЬСЯ,К,272964,49493,54
