verb,prep,freqNoun,freqVerb,freqComb
БЫТЬ,,272964,16504392,16493
ПРИНИМАТЬ,,272964,946204,11382
ЖДАТЬ,,272964,793831,8448
ВСТРЕЧАТЬ,,272964,195179,6308
СКАЗАТЬ,,272964,7659823,4806
ПРИГЛАСИТЬ,,272964,302707,4529
ПРЕДЛОЖИТЬ,,272964,622690,4227
ВСТРЕТИТЬ,,272964,460413,3006
ОТВЕТИТЬ,,272964,2124020,2820
ПРОВОДИТЬ,,272964,1208004,2488
ПРИГЛАШАТЬ,,272964,100881,2470
ЛЮБИТЬ,,272964,950738,2199
ПОКАЗАТЬ,,272964,1076177,1801
ПРИВЕТСТВОВАТЬ,,272964,85313,1767
ПРИНЯТЬ,,272964,2446695,1662
ОЖИДАТЬ,,272964,340622,1564
ПРОВЕСТИ,,272964,1720693,1504
РАЗВЛЕКАТЬ,,272964,13373,1465
ПРЕДЛАГАТЬ,,272964,379415,1430
ЯВЛЯТЬСЯ,,272964,3365085,1397
ПРЕДСТАВИТЬ,,272964,1185156,1306
УГОЩАТЬ,,272964,17616,1238
УЛЫБНУТЬСЯ,,272964,462508,1216
СТАТЬ,,272964,686138,1192
ПОВЕСТИ,,272964,159705,1171
РАССКАЗАТЬ,,272964,905982,1039
ПРОТЯНУТЬ,,272964,588936,1022
ЗАМЕТИТЬ,,272964,1190242,995
ГОВОРИТЬ,,272964,2673665,981
КИВНУТЬ,,272964,737156,971
ПОКАЗЫВАТЬ,,272964,385626,921
УДИВИТЬ,,272964,91483,917
ОКАЗАТЬСЯ,,272964,1813169,902
ПРОИЗНЕСТИ,,272964,784042,874
УКАЗАТЬ,,272964,634172,858
ПРОДОЛЖАТЬ,,272964,644375,792
СОГЛАСИТЬСЯ,,272964,603825,736
БЫВАТЬ,,272964,361586,714
УСАДИТЬ,,272964,36349,690
ПОЗВОЛИТЬ,,272964,288075,679
ПРОВОЖАТЬ,,272964,37300,664
ПОЯВИТЬСЯ,,272964,1712736,651
ОБРАДОВАТЬСЯ,,272964,65179,650
ПРЕДСТАВИТЬСЯ,,272964,75630,633
СПРОСИТЬ,,272964,941901,631
ПОКЛОНИТЬСЯ,,272964,61298,627
ПРИЙТИ,,272964,550519,620
ПОТЧЕВАТЬ,,272964,4184,614
СООБЩИТЬ,,272964,2536261,614
НАЛИТЬ,,272964,92741,602
ПРИБЫТЬ,,272964,343485,583
ОГЛЯДЕТЬ,,272964,108133,578
ПРИЕХАТЬ,,272964,516603,578
ПОДАТЬ,,272964,534831,575
ПОПРОСИТЬ,,272964,474422,573
РАССКАЗЫВАТЬ,,272964,486665,562
ПОМОЧЬ,,272964,320253,542
УСМЕХНУТЬСЯ,,272964,281553,540
РАЗГЛЯДЫВАТЬ,,272964,100639,529
ЯВИТЬСЯ,,272964,321602,528
ПРИНЕСТИ,,272964,560886,518
ПОПРИВЕТСТВОВАТЬ,,272964,14218,512
ОТВЕЧАТЬ,,272964,609071,512
ЗВАТЬ,,272964,182016,508
ПОЗВАТЬ,,272964,138404,502
ОСТАВИТЬ,,272964,840269,495
СТАНОВИТЬСЯ,,272964,695686,485
УЙТИ,,272964,626486,464
ПОЗВОЛЯТЬ,,272964,295113,462
ПОЯСНИТЬ,,272964,427441,441
ПРОДЕМОНСТРИРОВАТЬ,,272964,136681,439
ОБСЛУЖИВАТЬ,,272964,33186,436
СИДЕТЬ,,272964,1552440,431
ПРИВЕСТИ,,272964,919531,426
ОТОЗВАТЬСЯ,,272964,311726,424
ПОРАДОВАТЬ,,272964,32624,422
ВЫВЕСТИ,,272964,259929,421
ДАВАТЬ,,272964,1254195,421
ОБНОСИТЬ,,272964,1910,416
ПОДАВАТЬ,,272964,229396,414
ПРОСИТЬ,,272964,458165,411
ПОЖАЛОВАТЬ,,272964,42059,409
ПРЕДОСТАВИТЬ,,272964,329316,407
РАССМАТРИВАТЬ,,272964,303388,406
ОБЪЯСНИТЬ,,272964,367380,400
ВИДЕТЬ,,272964,1971171,394
ПРОГОВОРИТЬ,,272964,337367,390
ДАТЬ,,272964,1104316,390
УВИДЕТЬ,,272964,1503676,380
ЗАЯВИТЬ,,272964,1836802,378
ПОЗНАКОМИТЬ,,272964,25468,376
НАКОРМИТЬ,,272964,18179,371
УЛЫБАТЬСЯ,,272964,81605,367
ПРОПУСТИТЬ,,272964,160681,367
СОБРАТЬ,,272964,485223,364
ЗАНЯТЬ,,272964,593852,357
СОЗВАТЬ,,272964,46151,352
ПОДТВЕРДИТЬ,,272964,499371,351
ПОДАРИТЬ,,272964,129054,344
РАЗМЕСТИТЬ,,272964,360191,339
ОБХОДИТЬ,,272964,48589,333
ПОНРАВИТЬСЯ,,272964,186457,331
ВПУСТИТЬ,,272964,19781,324
ПРИХОДИТЬ,,272964,593265,324
ОТВЕСТИ,,272964,276420,315
МЕШАТЬ,,272964,203224,315
ПРЕДСТАВЛЯТЬ,,272964,614293,314
МОЧЬ,,272964,850912,311
ВОЙТИ,,272964,1169413,302
ДЕМОНСТРИРОВАТЬ,,272964,115870,301
НАПОМНИТЬ,,272964,213660,301
ПОНЯТЬ,,272964,523934,294
СОБИРАТЬ,,272964,259596,293
ЗАГОВОРИТЬ,,272964,209611,286
ОБЪЯВИТЬ,,272964,938139,284
ПОМОГАТЬ,,272964,297527,279
СЧИТАТЬСЯ,,272964,334745,277
ПОВТОРИТЬ,,272964,298378,272
ПОБЛАГОДАРИТЬ,,272964,92619,271
СДЕЛАТЬ,,272964,2688427,270
ПРОДОЛЖИТЬ,,272964,426194,267
УДИВИТЬСЯ,,272964,86840,267
УГОДИТЬ,,272964,84366,266
УГОСТИТЬ,,272964,17370,265
ВОЗРАЗИТЬ,,272964,275007,263
ВРУЧИТЬ,,272964,137866,260
НАЗВАТЬ,,272964,806830,260
ЗАПОЛНИТЬ,,272964,198689,256
ЗАНИМАТЬ,,272964,424637,249
ВЗДОХНУТЬ,,272964,371705,247
ВЫЙТИ,,272964,1529334,247
ПОКИНУТЬ,,272964,535644,245
НАХОДИТЬСЯ,,272964,2661082,244
СОЗЫВАТЬ,,272964,9229,241
УСТРОИТЬ,,272964,449237,239
ОСТАТЬСЯ,,272964,1167779,236
ПОРАЗИТЬ,,272964,166010,236
ЗАСТАВЛЯТЬ,,272964,93892,235
ПЕРЕДАТЬ,,272964,696663,235
ЗАСТАВИТЬ,,272964,251564,232
СЧИТАТЬ,,272964,1388621,232
ПРИГОТОВИТЬ,,272964,167771,232
ЖАЛОВАТЬ,,272964,13811,231
РАССАЖИВАТЬ,,272964,1407,230
ПОДНЕСТИ,,272964,118851,228
ЗДРАВСТВОВАТЬ,,272964,8304,226
ПРЕДУПРЕДИТЬ,,272964,172359,225
ПОВЕДАТЬ,,272964,55859,224
ВЕСТИ,,272964,907360,220
ПОДУМАТЬ,,272964,765714,215
ПОКАЗАТЬСЯ,,272964,349480,214
ПРИЗНАТЬСЯ,,272964,246491,213
ВЫПРОВОДИТЬ,,272964,4241,211
ПРИВОДИТЬ,,272964,457302,211
ОДЕТЬ,,272964,208079,209
СОПРОВОЖДАТЬ,,272964,75896,208
ПРИВЛЕКАТЬ,,272964,150787,206
ПОДЖИДАТЬ,,272964,19559,205
ЗАВЕРИТЬ,,272964,108190,201
ОЗНАКОМИТЬ,,272964,17791,201
ПРОБОРМОТАТЬ,,272964,275344,199
ЗАНЯТЬСЯ,,272964,335889,197
БРОСИТЬ,,272964,815888,197
ПРИСЛУЖИВАТЬ,,272964,7504,196
ОТМЕТИТЬ,,272964,1263077,196
РАЗВЛЕЧЬ,,272964,3430,191
ПРИДТИ,,272964,275691,191
ДОСТАВИТЬ,,272964,397753,190
ХОТЕТЬ,,272964,569716,190
ОБЪЯСНЯТЬ,,272964,167559,189
ОТДАТЬ,,272964,501478,186
ОСТАВАТЬСЯ,,272964,851043,185
ОКАЗАТЬ,,272964,284176,185
РАССАДИТЬ,,272964,3663,184
КОРМИТЬ,,272964,48067,184
ПОЖЕЛАТЬ,,272964,46929,184
ПОЖАТЬ,,272964,881100,182
РАДОВАТЬСЯ,,272964,72090,181
ПОМЕШАТЬ,,272964,121236,180
ПОДНЯТЬСЯ,,272964,740995,179
ОСТАВЛЯТЬ,,272964,318436,179
ДАРИТЬ,,272964,66151,178
ПРЕДОСТАВЛЯТЬ,,272964,167526,178
ПРИВЕЗТИ,,272964,171757,178
ОТКРЫТЬ,,272964,1671035,174
ВОДИТЬ,,272964,51813,173
ОКИНУТЬ,,272964,103608,172
ДОБАВИТЬ,,272964,974156,170
РАДОВАТЬ,,272964,46786,169
ДЕРЖАТЬ,,272964,843121,169
ПУСКАТЬ,,272964,91359,169
ПЕРЕПОЛНИТЬ,,272964,56378,169
ВЕЛЕТЬ,,272964,111949,168
ПОИНТЕРЕСОВАТЬСЯ,,272964,118203,166
СТОЯТЬ,,272964,1895692,166
УДИВЛЯТЬ,,272964,17474,165
КАЗАТЬСЯ,,272964,318126,164
ПОДВЕСТИ,,272964,170584,161
РАЗДАТЬ,,272964,33952,160
ВОСКЛИКНУТЬ,,272964,199009,159
ОБВЕСТИ,,272964,115728,159
ОКРУЖИТЬ,,272964,166207,155
СДЕЛАТЬСЯ,,272964,91577,154
ПУГАТЬ,,272964,42555,153
СМОТРЕТЬ,,272964,1826817,151
ОБЕЩАТЬ,,272964,175179,151
ПРИВЕЧАТЬ,,272964,2236,151
ПОДОДВИНУТЬ,,272964,15242,150
СОБРАТЬСЯ,,272964,277331,150
ЗНАКОМИТЬ,,272964,16494,149
УСТУПИТЬ,,272964,110607,148
ВЗЯТЬ,,272964,2235567,146
СТОИТЬ,,272964,915164,145
НАЛИВАТЬ,,272964,23338,144
ВВЕСТИ,,272964,561530,144
ПРОИНФОРМИРОВАТЬ,,272964,41939,142
ОБЕСПЕЧИТЬ,,272964,370722,140
УТОЧНИТЬ,,272964,215427,139
ПООБЕЩАТЬ,,272964,135749,138
СПРАШИВАТЬ,,272964,156680,138
ПОДНОСИТЬ,,272964,25329,138
БОЯТЬСЯ,,272964,360524,136
ПОЯВЛЯТЬСЯ,,272964,440146,135
ЗНАТЬ,,272964,1470177,135
ПОСЕТИТЬ,,272964,243904,134
УСПОКОИТЬ,,272964,68923,133
ИДТИ,,272964,2732778,132
ПОЙТИ,,272964,1160508,131
ОТПРАВИТЬ,,272964,570282,129
РАЗГЛЯДЕТЬ,,272964,105941,129
СМУЩАТЬ,,272964,28675,129
РАССМЕЯТЬСЯ,,272964,96416,127
ИСЧЕЗНУТЬ,,272964,333208,127
РАЗМЕЩАТЬ,,272964,34629,124
ПОДМИГНУТЬ,,272964,40612,124
ЗАМЕЧАТЬ,,272964,157259,123
ВЫГЛЯДЕТЬ,,272964,217511,123
РАЗРЕШИТЬ,,272964,161018,122
ШОКИРОВАТЬ,,272964,33320,122
ЗАСТАТЬ,,272964,76297,121
ПОДОЙТИ,,272964,1011760,121
ЗАПОМНИТЬСЯ,,272964,16645,121
УХОДИТЬ,,272964,342887,121
УСАЖИВАТЬ,,272964,3970,120
БУРКНУТЬ,,272964,124347,120
РАЗДАВАТЬ,,272964,40890,118
ЗАСМЕЯТЬСЯ,,272964,104243,118
ОСМОТРЕТЬ,,272964,150990,118
ПОСОВЕТОВАТЬ,,272964,100427,118
ДОЖДАТЬСЯ,,272964,89856,117
РАССМОТРЕТЬ,,272964,325472,117
РАЗНОСИТЬ,,272964,19242,115
УСПЕТЬ,,272964,149742,114
ЗАДАТЬ,,272964,171688,114
ПЕРЕБИТЬ,,272964,103284,113
ОТПУСТИТЬ,,272964,196238,112
ПОВЕЗТИ,,272964,65455,111
ПОСМОТРЕТЬ,,272964,1352306,111
ОТПУСКАТЬ,,272964,57296,111
КЛАНЯТЬСЯ,,272964,11713,111
ПРЕПОДНЕСТИ,,272964,26708,110
ПРИЕЗЖАТЬ,,272964,157449,110
ПРИДВИНУТЬ,,272964,23062,110
ОБОЙТИ,,272964,145653,109
ПОРАЖАТЬ,,272964,56086,109
ОБИДЕТЬ,,272964,33184,109
ПРИВЛЕЧЬ,,272964,280756,107
УЗНАТЬ,,272964,696691,107
ЗАДАВАТЬ,,272964,175128,107
УЕХАТЬ,,272964,232662,106
РАССПРАШИВАТЬ,,272964,23904,105
ПОПРАВИТЬ,,272964,145316,104
ВЫГНАТЬ,,272964,29637,104
ПРИСУТСТВОВАТЬ,,272964,257932,104
ПОЗДРАВИТЬ,,272964,51537,104
ПРИКАЗАТЬ,,272964,199431,103
НАПОЛНИТЬ,,272964,214691,102
ОГЛЯДЫВАТЬ,,272964,22943,102
ВЕСЕЛИТЬ,,272964,4971,102
ВЫСТУПИТЬ,,272964,502015,101
УХМЫЛЬНУТЬСЯ,,272964,56535,100
ОТКАЗАТЬ,,272964,120363,100
ПОБЫВАТЬ,,272964,150989,99
ПУСТИТЬ,,272964,191004,99
ПОСЕЛИТЬ,,272964,14246,99
ОКАЗЫВАТЬСЯ,,272964,230283,99
ВПУСКАТЬ,,272964,8501,99
ЕХАТЬ,,272964,430641,98
ПОСАДИТЬ,,272964,136264,98
ПОМОРЩИТЬСЯ,,272964,54274,98
ЗАНИМАТЬСЯ,,272964,986447,97
ОБНАРУЖИТЬ,,272964,995635,96
НРАВИТЬСЯ,,272964,239917,96
ОСТАНОВИТЬСЯ,,272964,517328,96
УВЕСТИ,,272964,46969,96
ПРИНАДЛЕЖАТЬ,,272964,443654,95
ПРОМОЛВИТЬ,,272964,53201,94
ПОСТАВИТЬ,,272964,1143275,94
ХМЫКНУТЬ,,272964,99979,94
ПРОПУСКАТЬ,,272964,71248,93
УБИТЬ,,272964,573544,93
ПРОШЕПТАТЬ,,272964,242605,93
УНИМАТЬСЯ,,272964,47381,92
ПОДВИНУТЬ,,272964,16636,92
ПРИЗЫВАТЬ,,272964,118971,92
ОТКРЫВАТЬ,,272964,309305,91
ОПАСАТЬСЯ,,272964,80376,91
ОТРЕЗАТЬ,,272964,161782,91
ОЖИДАТЬСЯ,,272964,107004,91
УСТРАИВАТЬ,,272964,208209,90
РЕШИТЬ,,272964,472473,90
ВЫПРОВАЖИВАТЬ,,272964,1191,89
ПРИВОЗИТЬ,,272964,43967,89
ОБИЖАТЬ,,272964,19094,89
НАПОИТЬ,,272964,21284,89
ОБОЖАТЬ,,272964,61725,89
ОТКАЗАТЬСЯ,,272964,365325,88
ПОЛОЖИТЬ,,272964,827566,88
ОЧАРОВАТЬ,,272964,25670,87
ПОЗДОРОВАТЬСЯ,,272964,28343,86
ПОКАЗЫВАТЬСЯ,,272964,40235,86
БЛАГОДАРИТЬ,,272964,101234,86
НАЗЫВАТЬ,,272964,535788,85
ОБНЕСТИ,,272964,22190,85
НАПОМИНАТЬ,,272964,393540,85
УБИВАТЬ,,272964,153682,85
ШАГНУТЬ,,272964,101465,85
УВЛЕЧЬ,,272964,66996,84
