verb,prep,freqNoun,freqVerb,freqComb
ПРИВОДИТЬ,В,453978,457302,5393
ПРИСЛАТЬ,В,453978,489919,4421
ЛЕЖАТЬ,БЕЗ,453978,1213074,4341
ПРИВОДИТЬСЯ,В,453978,94192,3975
НАХОДИТЬСЯ,В,453978,2661082,3810
ПРИВЕСТИ,В,453978,919531,3783
СЛЕДИТЬ,ЗА,453978,260823,3620
ПРИХОДИТЬ,В,453978,593265,3417
СВЯЗАТЬ,С,453978,1362256,2965
ПРИЙТИ,В,453978,550519,2638
УЧАСТВОВАТЬ,В,453978,498239,2224
НАБЛЮДАТЬ,ЗА,453978,308813,1838
ЗАКРЫТЬ,ДЛЯ,453978,808573,1828
БЫТЬ,В,453978,16504392,1443
ОТКРЫТЬ,ДЛЯ,453978,1671035,1271
СТОЯТЬ,БЕЗ,453978,1895692,1129
СИДЕТЬ,БЕЗ,453978,1552440,1106
ПРИСОЕДИНИТЬСЯ,К,453978,140436,870
ПРИДТИ,В,453978,275691,842
ЗАГОРАТЬСЯ,ПРИ,453978,18216,791
ПРИМКНУТЬ,К,453978,18764,734
РЕАГИРОВАТЬ,НА,453978,83970,645
ПЕРЕКРЫТЬ,ДЛЯ,453978,84714,620
ПРЕДНАЗНАЧИТЬ,ДЛЯ,453978,434100,617
ОСТАВИТЬ,БЕЗ,453978,840269,610
ГОВОРИТЬ,О,453978,2673665,523
ПРЕБЫВАТЬ,В,453978,144831,506
ПОВЛИЯТЬ,НА,453978,103534,490
ОГРАНИЧИТЬ,В,453978,156833,483
ЗАСТЫТЬ,БЕЗ,453978,142577,454
ВОВЛЕЧЬ,В,453978,56450,438
ПРОСЛЕДИТЬ,ЗА,453978,55560,432
ОСТАВАТЬСЯ,БЕЗ,453978,851043,419
ВСТУПИТЬ,В,453978,352254,395
ЧУВСТВОВАТЬСЯ,В,453978,84907,390
СМОТРЕТЬ,НА,453978,1826817,344
ПРОЛЕЖАТЬ,БЕЗ,453978,22312,343
ОТНОСИТЬ,К,453978,847578,319
ВЛИЯТЬ,НА,453978,146292,318
ЗАВИСЕТЬ,ОТ,453978,343524,296
ОСНОВАТЬ,НА,453978,407746,294
ВКЛЮЧИТЬСЯ,В,453978,42570,240
ПОЯВИТЬСЯ,В,453978,1712736,238
СЛЕДОВАТЬ,ЗА,453978,314058,237
СТОИТЬ,БЕЗ,453978,915164,233
СКВОЗИТЬ,В,453978,25775,232
ПРИНАДЛЕЖАТЬ,К,453978,443654,232
ПРИСПОСОБИТЬ,ДЛЯ,453978,72616,229
РАССЧИТАТЬ,НА,453978,204535,222
СОСРЕДОТОЧИТЬСЯ,НА,453978,73016,222
УКАЗЫВАТЬ,НА,453978,211982,220
СОВПАДАТЬ,С,453978,133874,211
ПРИВЫКНУТЬ,К,453978,134421,209
СОСТОЯТЬ,В,453978,473553,209
ПРИВОДИТЬСЯ,ВО,453978,94192,204
ПРИСОЕДИНЯТЬСЯ,К,453978,30652,204
СКОВАТЬ,В,453978,37456,202
ИСПОЛЬЗОВАТЬСЯ,ДЛЯ,453978,439186,194
ЗНАТЬ,О,453978,1470177,191
ПРЕВРАТИТЬСЯ,В,453978,434499,188
ВЛИТЬСЯ,В,453978,17499,185
ПРИВОДИТЬ,К,453978,457302,183
СРЕАГИРОВАТЬ,НА,453978,8763,183
ЗАМЕРЕТЬ,БЕЗ,453978,83069,183
НАПРАВИТЬ,В СТОРОНУ,453978,892815,175
ПРИГОТОВИТЬСЯ,К,453978,37389,165
ВХОДИТЬ,В,453978,780476,163
