verb,prep,freqNoun,freqVerb,freqComb
СДЕЛАТЬ,,453978,2688427,27846
БЫТЬ,,453978,16504392,11181
ПРОДОЛЖИТЬ,,453978,426194,8436
ПРОДОЛЖАТЬ,,453978,644375,8265
ДЕЛАТЬ,,453978,1265891,7587
ЗАМЕТИТЬ,,453978,1190242,7252
ПЕРЕКРЫТЬ,,453978,84714,6593
ОСТАНОВИТЬ,,453978,337462,6159
ОГРАНИЧИТЬ,,453978,156833,5618
СОВЕРШАТЬ,,453978,236388,5348
НАЧАТЬ,,453978,573876,4829
НАЧАТЬСЯ,,453978,875770,4608
НАЧИНАТЬ,,453978,227086,3926
МЕШАТЬ,,453978,203224,3599
УЛОВИТЬ,,453978,85664,3504
ПРЕКРАТИТЬ,,453978,242170,3451
СКОВЫВАТЬ,,453978,12376,3307
ЗАТРУДНИТЬ,,453978,23014,3266
ВОССТАНОВИТЬ,,453978,205968,3096
ПАРАЛИЗОВАТЬ,,453978,32592,2974
ПРИОСТАНОВИТЬ,,453978,98141,2945
ЗАМЕДЛИТЬ,,453978,67560,2929
ОРГАНИЗОВАТЬ,,453978,478822,2812
ПОЧУВСТВОВАТЬ,,453978,475425,2302
ПРОИСХОДИТЬ,,453978,596752,2248
ВОЗОБНОВИТЬ,,453978,90028,1991
ВОЗНИКНУТЬ,,453978,564886,1990
ОТКРЫТЬ,,453978,1671035,1950
ПОВТОРИТЬ,,453978,298378,1924
ВИДЕТЬ,,453978,1971171,1909
ВЫПОЛНЯТЬ,,453978,317186,1819
СОЗДАТЬ,,453978,1371673,1772
ЯВЛЯТЬСЯ,,453978,3365085,1748
УПРАВЛЯТЬ,,453978,190940,1669
ПОВТОРЯТЬ,,453978,111150,1662
УСКОРИТЬ,,453978,76602,1621
СТЕСНЯТЬ,,453978,9471,1601
ВОЗГЛАВИТЬ,,453978,150821,1524
ЗАПРЕТИТЬ,,453978,255121,1488
УВИДЕТЬ,,453978,1503676,1440
ЧУВСТВОВАТЬ,,453978,423116,1422
НАЧИНАТЬСЯ,,453978,374294,1418
ПРЕПЯТСТВОВАТЬ,,453978,84165,1409
ЗАМЕДЛЯТЬ,,453978,23705,1373
ПРОИЗВОДИТЬ,,453978,482688,1340
НАРУШИТЬ,,453978,233899,1335
ОБЕСПЕЧИВАТЬ,,453978,444294,1326
ПРЕКРАТИТЬСЯ,,453978,67332,1303
ПРЕРВАТЬ,,453978,186538,1263
ОЩУТИТЬ,,453978,218368,1239
ЗАТРУДНЯТЬ,,453978,21565,1151
ВЫЗВАТЬ,,453978,857411,1142
ОЩУЩАТЬ,,453978,171151,1118
ОСУЩЕСТВЛЯТЬСЯ,,453978,287106,1095
БЛОКИРОВАТЬ,,453978,71966,1086
РЕГУЛИРОВАТЬ,,453978,48011,1082
ПОДДЕРЖИВАТЬ,,453978,390178,1080
СТАНОВИТЬСЯ,,453978,695686,1056
ИДТИ,,453978,2732778,1054
КОНТРОЛИРОВАТЬ,,453978,133395,1051
ВЫЗЫВАТЬ,,453978,574948,1007
НАПОМИНАТЬ,,453978,393540,1006
ЗАМЕДЛИТЬСЯ,,453978,9204,929
ВЫПОЛНИТЬ,,453978,932395,915
НАБЛЮДАТЬСЯ,,453978,156484,897
ПРОИЗОЙТИ,,453978,759327,851
ПРЕКРАЩАТЬ,,453978,45738,851
ЗАБЛОКИРОВАТЬ,,453978,66347,851
ПЕРЕКРЫВАТЬ,,453978,25671,849
СОВЕРШИТЬ,,453978,613907,836
СУЩЕСТВОВАТЬ,,453978,667956,834
ОСТАНОВИТЬСЯ,,453978,517328,823
ЗАКРЫТЬ,,453978,808573,804
ОТСЛЕЖИВАТЬ,,453978,30452,798
СОЗДАВАТЬ,,453978,440892,770
ИМЕТЬ,,453978,4883454,766
ВОЗГЛАВЛЯТЬ,,453978,167863,765
ОГРАНИЧИВАТЬ,,453978,48860,765
ОСУЩЕСТВЛЯТЬ,,453978,292921,763
ЗАМЕЧАТЬ,,453978,157259,750
ЗАДЕРЖИВАТЬ,,453978,35632,741
РУКОВОДИТЬ,,453978,143479,730
ПРОДОЛЖАТЬСЯ,,453978,240099,714
ПОКАЗАТЬ,,453978,1076177,696
ВОЗНИКАТЬ,,453978,409064,688
РАЗРЕШИТЬ,,453978,161018,670
ЗАДЕРЖАТЬ,,453978,482549,666
ОСНОВАТЬ,,453978,407746,665
ОБЕСПЕЧИТЬ,,453978,370722,663
ТОРМОЗИТЬ,,453978,23543,658
НАБЛЮДАТЬ,,453978,308813,654
ОСТАНАВЛИВАТЬ,,453978,43332,645
СООБЩАТЬ,,453978,1251997,620
ВЫПОЛНЯТЬСЯ,,453978,76150,613
ПЕРЕДАВАТЬ,,453978,682496,608
ВОЗОБНОВИТЬСЯ,,453978,32054,595
ПРЕКРАЩАТЬСЯ,,453978,37304,589
ПОДДЕРЖАТЬ,,453978,306969,586
ПРИВЛЕЧЬ,,453978,280756,576
ПРЕДСТАВЛЯТЬ,,453978,614293,571
ОХВАТИТЬ,,453978,167522,566
ИСПОЛЬЗОВАТЬ,,453978,1431705,563
ДАВАТЬСЯ,,453978,88707,560
ПОСЛЫШАТЬСЯ,,453978,312418,559
ПОЛУЧИТЬ,,453978,3281968,558
ОЗНАЧАТЬ,,453978,257761,557
УСЛЫШАТЬ,,453978,657759,552
НАПРАВЛЯТЬ,,453978,81627,550
УСКОРЯТЬ,,453978,26285,550
ПОЯВИТЬСЯ,,453978,1712736,544
РАЗВЕРНУТЬСЯ,,453978,88844,538
СПОСОБСТВОВАТЬ,,453978,341770,532
ПОКАЗЫВАТЬ,,453978,385626,517
ИМИТИРОВАТЬ,,453978,20610,513
СЧИТАТЬ,,453978,1388621,510
ОБНАРУЖИТЬ,,453978,995635,506
СОПРОВОЖДАТЬСЯ,,453978,112793,500
ПОДАВИТЬ,,453978,107997,498
ЗАПУСТИТЬ,,453978,256516,469
ИЗУЧАТЬ,,453978,238995,466
ПОЛУЧАТЬ,,453978,883886,460
НАПРАВИТЬ,,453978,892815,453
ОТКРЫТЬСЯ,,453978,348975,452
ОТМЕТИТЬ,,453978,1263077,448
ТРЕБОВАТЬ,,453978,688059,442
СЛЫШАТЬ,,453978,570359,442
СОВЕРШАТЬСЯ,,453978,53220,408
ЗАРОДИТЬСЯ,,453978,19415,403
ПРОВОДИТЬ,,453978,1208004,399
НАЗВАТЬ,,453978,806830,399
ПОМЕШАТЬ,,453978,121236,393
СООТВЕТСТВОВАТЬ,,453978,432049,392
СЛЕДОВАТЬ,,453978,314058,387
КАЗАТЬСЯ,,453978,318126,384
ОСЛОЖНИТЬ,,453978,12564,381
ИЗОБРАЗИТЬ,,453978,310391,376
