verb,prep,freqNoun,freqVerb,freqComb
ПЕРЕЙТИ,К,524697,445514,19396
ПРИСТУПИТЬ,К,524697,272424,13979
СВЯЗАТЬ,С,524697,1362256,8359
ПРОХОДИТЬ,ПО,524697,938511,6187
БЫТЬ,НА,524697,16504392,6032
ЗАМЕШАТЬ,В,524697,65740,5588
ОТНОСИТЬ,К,524697,847578,5043
ГОВОРИТЬ,О,524697,2673665,4764
ПЕРЕХОДИТЬ,К,524697,245114,3864
ВЕРНУТЬСЯ,К,524697,1351676,3739
АРЕСТОВАТЬ,ПО,524697,244958,3152
ПОГОВОРИТЬ,О,524697,155605,3151
РАСХОДИТЬСЯ,С,524697,53788,3135
УЕХАТЬ,ПО,524697,232662,3064
ПРИСТУПАТЬ,К,524697,65945,3015
ОКАЗАТЬСЯ,НА,524697,1813169,2985
ПРИОБЩИТЬ,К,524697,11174,2863
ПОДОЙТИ,К,524697,1011760,2750
ЯВЛЯТЬСЯ,НА,524697,3365085,2703
ПОКОНЧИТЬ,С,524697,85698,2588
ПРИЕХАТЬ,ПО,524697,516603,2128
ДУМАТЬ,О,524697,575903,2084
ЗАДЕРЖАТЬ,ПО,524697,482549,2074
ДАВАТЬ,К,524697,1254195,1876
УЧАСТВОВАТЬ,В,524697,498239,1875
ПРИВЛЕЧЬ,К,524697,280756,1874
БЫТЬ,ПО,524697,16504392,1854
ПОДХОДИТЬ,К,524697,383302,1778
ЗНАТЬ,О,524697,1470177,1747
БЫТЬ,В,524697,16504392,1699
ПЕРЕСЛАТЬ,К,524697,118226,1493
СПРАВИТЬСЯ,С,524697,187100,1451
ЗАГОВОРИТЬ,О,524697,209611,1425
ПРИЙТИ,ПО,524697,550519,1403
ПРЕДСТАВЛЯТЬ,НА,524697,614293,1364
ПОНИМАТЬ,В,524697,394627,1347
РАЗОБРАТЬСЯ,С,524697,92171,1345
РАЗБИРАТЬСЯ,В,524697,85103,1339
ОСВЕДОМИТЬ,О,524697,48142,1339
ДАВАТЬ,О,524697,1254195,1307
