verb,prep,freqNoun,freqVerb,freqComb
ВОЗБУДИТЬ,,524697,144180,44378
ЗАНИМАТЬСЯ,,524697,986447,34352
БЫТЬ,,524697,16504392,24304
ЗАНЯТЬСЯ,,524697,335889,19849
ЗАНЯТЬ,,524697,593852,13462
ИМЕТЬ,,524697,4883454,5814
ЯВЛЯТЬСЯ,,524697,3365085,5274
ОКАЗАТЬСЯ,,524697,1813169,4765
ЗАВЕСТИ,,524697,164596,4100
СЧИТАТЬ,,524697,1388621,3689
ПОГЛОТИТЬ,,524697,112051,3203
ИНТЕРЕСОВАТЬСЯ,,524697,127931,2676
СЛУЖИТЬ,,524697,586125,2405
СЧИТАТЬСЯ,,524697,334745,2332
ДЕЛАТЬ,,524697,1265891,1922
УВЛЕЧЬ,,524697,66996,1838
СТАНОВИТЬСЯ,,524697,695686,1500
УПРАВЛЯТЬ,,524697,190940,1497
ПОМОЧЬ,,524697,320253,1413
КАЗАТЬСЯ,,524697,318126,1327
ПОСЛУЖИТЬ,,524697,131041,1170
ПОМОГАТЬ,,524697,297527,1130
МЕШАТЬ,,524697,203224,1126
ПОСВЯТИТЬ,,524697,344349,1035
ЗАВАЛИТЬ,,524697,97948,973
ПРЕДСТАВЛЯТЬСЯ,,524697,80678,964
СТАТЬ,,524697,686138,882
УЧИТЬСЯ,,524697,234228,756
ЗАГРУЗИТЬ,,524697,48764,748
ВРЕДИТЬ,,524697,20138,741
РУКОВОДИТЬ,,524697,143479,724
ДАТЬ,,524697,1104316,709
ЗАПРАВЛЯТЬ,,524697,17558,709
ОТДАВАТЬСЯ,,524697,53386,601
ДАВАТЬ,,524697,1254195,585
ВЕДАТЬ,,524697,36641,583
ОСТАВАТЬСЯ,,524697,851043,578
ОТДАТЬСЯ,,524697,36748,564
ЗАПОЛНИТЬ,,524697,198689,550
ОЗАБОТИТЬ,,524697,37289,541
ОТДАТЬ,,524697,501478,512
ПОВРЕДИТЬ,,524697,130235,503
ДОКАЗАТЬ,,524697,93445,491
КОНЧИТЬ,,524697,48488,465
ЗАИНТЕРЕСОВАТЬСЯ,,524697,57356,462
ПРЕДАТЬ,,524697,80701,444
ОТКРЫТЬ,,524697,1671035,442
ОБУЧАТЬСЯ,,524697,34741,415
ОБУЧИТЬ,,524697,26078,408
ПОРУЧИТЬ,,524697,139021,402
СДЕЛАТЬ,,524697,2688427,398
НАЗВАТЬ,,524697,806830,386
ПРИДАТЬ,,524697,110383,367
ПОДКРЕПИТЬ,,524697,21462,350
ОКАЗЫВАТЬСЯ,,524697,230283,346
ПОМЕШАТЬ,,524697,121236,343
ПЕРЕГРУЗИТЬ,,524697,17955,323
ПОСТАВИТЬ,,524697,1143275,307
СПОСОБСТВОВАТЬ,,524697,341770,304
ВОРОЧАТЬ,,524697,9918,299
ПОИНТЕРЕСОВАТЬСЯ,,524697,118203,298
УВЛЕЧЬСЯ,,524697,48069,294
ИЗМЕНИТЬ,,524697,360414,285
ПРИДАВАТЬ,,524697,152391,275
НАЗЫВАТЬ,,524697,535788,273
ОБРЕМЕНИТЬ,,524697,12980,269
ОТДАВАТЬ,,524697,182782,266
СЧЕСТЬ,,524697,79169,258
ВЕРИТЬ,,524697,481858,237
НАПОЛНИТЬ,,524697,214691,237
ПОДТВЕРДИТЬ,,524697,499371,234
УВЛЕКАТЬСЯ,,524697,85028,227
ЗАВЕДОВАТЬ,,524697,21491,222
НАУЧИТЬСЯ,,524697,42058,216
ЗНАТЬ,,524697,1470177,214
ПОСЧИТАТЬ,,524697,44613,212
ОБСУЖДАТЬ,,524697,159325,194
СВЯЗАТЬ,,524697,1362256,194
ПОЛЮБОВАТЬСЯ,,524697,23820,193
ВЕРШИТЬ,,524697,13806,190
ПОДУМАТЬ,,524697,765714,190
РАСПОРЯЖАТЬСЯ,,524697,26254,188
ПРЕНЕБРЕГАТЬ,,524697,27237,186
НАЧАТЬ,,524697,573876,186
ОБУЧАТЬ,,524697,32309,177
СОЧУВСТВОВАТЬ,,524697,16653,176
УЧИТЬ,,524697,125474,172
ЛЮБОВАТЬСЯ,,524697,52105,161
ПРИЗНАТЬ,,524697,490285,159
ВЫГЛЯДЕТЬ,,524697,217511,156
НАВРЕДИТЬ,,524697,10397,156
ПОКАЗАТЬСЯ,,524697,349480,150
ПОЗВОЛИТЬ,,524697,288075,143
РЕШИТЬ,,524697,472473,142
ОБЕСПОКОИТЬ,,524697,63391,141
ПОСВЯЩАТЬ,,524697,21928,137
ПРЕДАВАТЬСЯ,,524697,54605,136
ПРЕДАТЬСЯ,,524697,21049,132
ПОЧИТАТЬ,,524697,51497,132
ХОТЕТЬ,,524697,569716,131
ГОРДИТЬСЯ,,524697,34431,129
ОБЪЯВИТЬ,,524697,938139,128
ДОВЕРЯТЬ,,524697,108155,125
СОДЕЙСТВОВАТЬ,,524697,40216,123
МОЧЬ,,524697,850912,121
ОБУЧИТЬСЯ,,524697,4349,117
ОСТАТЬСЯ,,524697,1167779,117
ИЗМЕНЯТЬ,,524697,91455,116
ЖИТЬ,,524697,945973,115
ПРАВИТЬ,,524697,68101,114
УДЕЛЯТЬ,,524697,57775,113
ПОДКРЕПЛЯТЬСЯ,,524697,6926,110
НАЧИНАТЬ,,524697,227086,109
ЗАПЛАНИРОВАТЬ,,524697,182403,108
ОГРАНИЧИВАТЬСЯ,,524697,73214,107
БЫВАТЬ,,524697,361586,105
БОГАТЕТЬ,,524697,2051,101
ЛЮБИТЬ,,524697,950738,100
ПРОДОЛЖАТЬ,,524697,644375,99
ОБЪЕДИНИТЬ,,524697,109378,97
ОТГОВОРИТЬСЯ,,524697,1578,96
ЗАХВАТИТЬ,,524697,332524,94
ЗАКОНЧИТЬ,,524697,392432,94
СДЕЛАТЬСЯ,,524697,91577,94
ЯВИТЬСЯ,,524697,321602,93
ОПРАВДАТЬСЯ,,524697,15606,93
ЯВИТЬ,,524697,20820,89
ПРЕПЯТСТВОВАТЬ,,524697,84165,89
СОВЕРШИТЬ,,524697,613907,88
ПОДТВЕРЖДАТЬСЯ,,524697,29637,87
ОТВЛЕЧЬ,,524697,40468,85
РАССМОТРЕТЬ,,524697,325472,85
НАЗНАЧИТЬ,,524697,670905,82
ПРИНЕСТИ,,524697,560886,81
ПОДЧИНИТЬ,,524697,62894,80
ПРОМЫШЛЯТЬ,,524697,10956,80
ОКАЗАТЬ,,524697,284176,79
ДОКАЗЫВАТЬ,,524697,36654,79
ЗАМЕШАТЬ,,524697,65740,78
ВЛАДЕТЬ,,524697,210221,78
ПОЙТИ,,524697,1160508,78
ПОЛАГАТЬ,,524697,138095,77
ПРОСЛАВИТЬСЯ,,524697,15003,77
НАСЫТИТЬ,,524697,34764,75
ВЫЗВАТЬ,,524697,857411,75
НАМЕТИТЬ,,524697,90364,75
СООТВЕТСТВОВАТЬ,,524697,432049,74
ЗАКРЫВАТЬ,,524697,175697,74
ПОВЯЗАТЬ,,524697,23907,70
ПОЗВОЛЯТЬ,,524697,295113,70
ВОСХИЩАТЬСЯ,,524697,40632,70
ВЫУЧИТЬСЯ,,524697,7222,69
