verb,prep,freqNoun,freqVerb,freqComb
ВЕРИТЬ,В,57162,481858,922
БЫТЬ,В,57162,16504392,748
ГОВОРИТЬ,О,57162,2673665,644
ЖИТЬ,В,57162,945973,573
КЛЯСТЬСЯ,В,57162,68097,363
ВЫПИТЬ,ЗА,57162,180423,255
ЗАИНТЕРЕСОВАТЬ,В,57162,252477,226
СОСТОЯТЬ,В,57162,473553,226
ОСНОВАТЬ,НА,57162,407746,224
ПОКЛЯСТЬСЯ,В,57162,19631,217
ПЕРЕРАСТИ,В,57162,22988,209
ЗНАТЬ,О,57162,1470177,204
НУЖДАТЬСЯ,В,57162,309433,183
УВЕРИТЬ,В,57162,237645,167
НАХОДИТЬСЯ,В,57162,2661082,158
СТРЕМИТЬСЯ,К,57162,134257,157
РАССКАЗЫВАТЬ,О,57162,486665,151
ОТКАЗАТЬСЯ,ОТ,57162,365325,137
ПЕРЕЙТИ,В,57162,445514,131
РАССКАЗАТЬ,О,57162,905982,123
МЕЧТАТЬ,О,57162,107084,114
ПИТЬ,ЗА,57162,206658,105
СВЯЗАТЬ,С,57162,1362256,104
НАДЕЯТЬСЯ,НА,57162,133380,103
ОТНОСИТЬ,К,57162,847578,102
ОТКАЗЫВАТЬСЯ,ОТ,57162,102991,100
ВСТУПАТЬ,В,57162,172970,96
СДЕЛАТЬ,РАДИ,57162,2688427,93
ЗАБЫТЬ,О,57162,331942,90
РАССЧИТЫВАТЬ,НА,57162,153049,87
ВСТУПИТЬ,В,57162,352254,87
ПРЕВРАТИТЬСЯ,В,57162,434499,82
РАСПОЛАГАТЬ,К,57162,166329,77
ПОМОЧЬ,ПО,57162,320253,76
СКАЗАТЬ,ПО,57162,7659823,75
ДУМАТЬ,О,57162,575903,75
ПЕРЕРАСТАТЬ,В,57162,8692,71
ПОНИМАТЬ,В,57162,394627,71
ВСПОМНИТЬ,О,57162,471977,67
ЗАБЫВАТЬ,О,57162,108962,66
ИГРАТЬ,В,57162,918112,65
УЗНАТЬ,О,57162,696691,63
ДАВАТЬ,ЗА,57162,1254195,63
ПИСАТЬ,О,57162,941379,61
БЛАГОДАРИТЬ,ЗА,57162,101234,58
СОЗДАТЬ,ДЛЯ,57162,1371673,57
СКАЗАТЬ,О,57162,7659823,55
ПОВЛИЯТЬ,НА,57162,103534,55
ПОЛАГАТЬСЯ,НА,57162,59160,55
ВЫСТУПАТЬ,ЗА,57162,463690,53
ВОЙТИ,В,57162,1169413,52
ОТКРЫТЬ,ДЛЯ,57162,1671035,49
ВИДЕТЬ,В,57162,1971171,48
МОЧЬ,ПО,57162,850912,48
ОСТАТЬСЯ,В,57162,1167779,47
ПОВЕРИТЬ,В,57162,125906,47
ПРЕБЫВАТЬ,В,57162,144831,46
ФОКУСИРОВАТЬСЯ,НА,57162,6562,43
ОБРЕЧЬ,НА,57162,135388,43
СКЛОНИТЬ,К,57162,145082,43
ПОСТРОИТЬ,НА,57162,583313,42
СМОТРЕТЬ,НА,57162,1826817,42
