verb,prep,freqNoun,freqVerb,freqComb
ВОДИТЬ,,57162,51813,2798
БЫТЬ,,57162,16504392,2077
ЗАВЯЗАТЬСЯ,,57162,31455,1121
ЗАВЕСТИ,,57162,164596,1081
СВЯЗЫВАТЬ,,57162,95797,896
ИСКАТЬ,,57162,819203,896
ЦЕНИТЬ,,57162,67057,815
ЗАВОДИТЬ,,57162,39820,782
СВЕСТИ,,57162,113240,641
ВОЗНИКНУТЬ,,57162,564886,639
ЗАВЯЗАТЬ,,57162,69117,638
ДОРОЖИТЬ,,57162,16229,635
ПОДДЕРЖИВАТЬ,,57162,390178,608
СВЯЗАТЬ,,57162,1362256,550
ПОБЕДИТЬ,,57162,167360,525
ПРЕДЛАГАТЬ,,57162,379415,435
СОХРАНИТЬ,,57162,287776,428
НАЧАТЬСЯ,,57162,875770,427
ЗАВЯЗЫВАТЬСЯ,,57162,8243,420
ГОРДИТЬСЯ,,57162,34431,382
НАЗВАТЬ,,57162,806830,374
СУЩЕСТВОВАТЬ,,57162,667956,332
БЫВАТЬ,,57162,361586,321
ВОЗОБНОВИТЬ,,57162,90028,298
ХОТЕТЬ,,57162,569716,293
УКРЕПЛЯТЬ,,57162,46878,289
ПРЕДЛОЖИТЬ,,57162,622690,278
ЗАВЯЗЫВАТЬ,,57162,16050,276
УСТАНОВИТЬСЯ,,57162,43190,260
ПОТЕРЯТЬ,,57162,802609,244
УКРЕПИТЬ,,57162,80614,243
МЕШАТЬ,,57162,203224,233
СКРЕПИТЬ,,57162,24830,232
ВОЗНИКАТЬ,,57162,409064,231
ВЕСТИ,,57162,907360,224
КРЕПНУТЬ,,57162,7169,201
ПРОДОЛЖАТЬСЯ,,57162,240099,181
РАЗРУШИТЬ,,57162,160318,176
ЗАВОЕВАТЬ,,57162,127212,176
СЧИТАТЬ,,57162,1388621,173
ЗАРОДИТЬСЯ,,57162,19415,170
НАЗЫВАТЬ,,57162,535788,169
ЗАКЛЮЧИТЬ,,57162,538655,163
КРЕПИТЬ,,57162,11101,159
ТЕРЯТЬ,,57162,355187,159
ПРЕДАТЬ,,57162,80701,159
ВОССТАНОВИТЬ,,57162,205968,152
ПОЛЬЗОВАТЬСЯ,,57162,487486,147
ПОНИМАТЬ,,57162,394627,141
ИМЕТЬ,,57162,4883454,138
СОХРАНЯТЬ,,57162,174965,134
СПОСОБСТВОВАТЬ,,57162,341770,131
ЯВЛЯТЬСЯ,,57162,3365085,125
ЗНАТЬ,,57162,1470177,124
ЗАРУЧИТЬСЯ,,57162,17777,122
ЦАРИТЬ,,57162,195677,122
ОДОБРЯТЬ,,57162,40755,120
ДОБИТЬСЯ,,57162,274505,119
ЗАБЫТЬ,,57162,331942,118
ПРИНЯТЬ,,57162,2446695,118
НАЧИНАТЬСЯ,,57162,374294,105
СКРЕПЛЯТЬ,,57162,5039,100
СИМВОЛИЗИРОВАТЬ,,57162,42720,100
УСТАНОВИТЬ,,57162,1088052,99
ПОСВЯТИТЬ,,57162,344349,98
ПИТАТЬ,,57162,87599,98
ОЗНАЧАТЬ,,57162,257761,91
НРАВИТЬСЯ,,57162,239917,90
КОНЧИТЬСЯ,,57162,113644,89
ОСТАВАТЬСЯ,,57162,851043,89
ПООЩРЯТЬ,,57162,28147,89
ЖЕЛАТЬ,,57162,120869,83
ПРИОБРЕСТИ,,57162,335547,83
РОЖДАТЬСЯ,,57162,73540,83
НАЛАДИТЬ,,57162,85466,82
ЛИШИТЬСЯ,,57162,166332,80
НАРУШИТЬ,,57162,233899,80
РОДИТЬСЯ,,57162,304417,78
ОБЕЩАТЬ,,57162,175179,78
СТОИТЬ,,57162,915164,78
СЛОЖИТЬСЯ,,57162,107689,78
ЧУВСТВОВАТЬ,,57162,423116,77
ПОБЕЖДАТЬ,,57162,38710,77
ЗАСЛУЖИТЬ,,57162,67277,77
ЗАКОНЧИТЬСЯ,,57162,228914,77
ОБРЕСТИ,,57162,204965,77
ЗАКРЕПИТЬ,,57162,211364,77
ОКРЕПНУТЬ,,57162,6351,76
ПРЕДПОЧЕСТЬ,,57162,50977,76
ИЗМЕНИТЬ,,57162,360414,76
ДЛИТЬСЯ,,57162,56905,76
ПОРВАТЬ,,57162,46602,75
ОСТАТЬСЯ,,57162,1167779,73
ВСПОМНИТЬ,,57162,471977,72
ДОБИВАТЬСЯ,,57162,92409,72
МОЧЬ,,57162,850912,70
ВОСПОЛЬЗОВАТЬСЯ,,57162,207683,70
РАЗРУШАТЬ,,57162,46327,69
ОКАЗАТЬСЯ,,57162,1813169,69
ПОЗНАТЬ,,57162,57487,68
КУПИТЬ,,57162,775243,68
ХВАТАТЬ,,57162,611205,66
НАСЛАЖДАТЬСЯ,,57162,109585,66
ЗАРОЖДАТЬСЯ,,57162,10352,64
СТАВИТЬ,,57162,440697,64
СДЕЛАТЬ,,57162,2688427,64
ПОМЕШАТЬ,,57162,121236,62
ОСНОВАТЬ,,57162,407746,62
СНИСКАТЬ,,57162,11514,61
ПОМОЧЬ,,57162,320253,58
СОХРАНИТЬСЯ,,57162,125151,57
ПРОДОЛЖАТЬ,,57162,644375,56
ДЕМОНСТРИРОВАТЬ,,57162,115870,56
ИСПОЛЬЗОВАТЬ,,57162,1431705,56
ПОКАЗАТЬ,,57162,1076177,56
ХРАНИТЬ,,57162,169700,56
НАЙТИ,,57162,1914932,55
ПРЕКРАТИТЬ,,57162,242170,55
