verb,prep,freqNoun,freqVerb,freqComb
СПРАВИТЬСЯ,С,374818,187100,7722
ВХОДИТЬ,В,374818,780476,5078
СПРАВЛЯТЬСЯ,С,374818,61178,2389
СВЯЗАТЬ,С,374818,1362256,1137
СОСРЕДОТОЧИТЬСЯ,НА,374818,73016,545
РАССКАЗАТЬ,О,374818,905982,527
СТОЛКНУТЬСЯ,С,374818,214232,500
ГОВОРИТЬ,О,374818,2673665,493
ОТНОСИТЬ,К,374818,847578,419
СТАЛКИВАТЬСЯ,С,374818,113695,416
СОСРЕДОТОЧИТЬ,НА,374818,152236,416
ВЗЯТЬСЯ,ЗА,374818,228478,343
РАБОТАТЬ,НАД,374818,1593272,310
ПОДОЙТИ,К,374818,1011760,303
ЗАВИСЕТЬ,ОТ,374818,343524,288
СПРАВИТЬСЯ,СО,374818,187100,276
БРАТЬСЯ,ЗА,374818,79250,253
ВЕРНУТЬСЯ,К,374818,1351676,233
СТОИТЬ,ПЕРЕД,374818,915164,230
ПРЕДНАЗНАЧИТЬ,ДЛЯ,374818,434100,208
ОРИЕНТИРОВАТЬ,НА,374818,82405,203
СВОДИТЬСЯ,К,374818,56266,187
ПОДХОДИТЬ,К,374818,383302,187
СКОНЦЕНТРИРОВАТЬСЯ,НА,374818,15117,167
СОВПАДАТЬ,С,374818,133874,150
ПРЕВРАЩАТЬСЯ,В,374818,178349,147
ПРИСТУПИТЬ,К,374818,272424,147
ПЕРЕЙТИ,К,374818,445514,139
ОТВЛЕКАТЬСЯ,ОТ,374818,19156,138
БИТЬСЯ,НАД,374818,131912,134
ПЕРЕХОДИТЬ,К,374818,245114,134
ИСПОЛЬЗОВАТЬ,ДЛЯ,374818,1431705,132
ПОДХОДИТЬ,ДЛЯ,374818,383302,131
СКОНЦЕНТРИРОВАТЬ,НА,374818,33006,131
ОТЛИЧАТЬСЯ,ОТ,374818,475656,125
СПРАВЛЯТЬСЯ,СО,374818,61178,116
ПОСТАВИТЬ,ПЕРЕД,374818,1143275,114
НАЦЕЛИТЬ,НА,374818,74037,110
СПРАШИВАТЬСЯ,В,374818,898,106
СВЕСТИ,К,374818,113240,104
ЗНАТЬ,О,374818,1470177,94
ЗАБЫВАТЬ,О,374818,108962,92
ОСТАНОВИТЬСЯ,НА,374818,517328,91
ЗАТОЧИТЬ,ПОД,374818,17463,90
СОЗДАТЬ,ДЛЯ,374818,1371673,90
ПОСТАВИТЬ,В КАЧЕСТВЕ,374818,1143275,89
ДУМАТЬ,О,374818,575903,89
ПРЕВРАТИТЬСЯ,В,374818,434499,88
ОПРЕДЕЛИТЬСЯ,С,374818,54844,86
ОКАЗАТЬСЯ,ПЕРЕД,374818,1813169,86
ОТКАЗАТЬСЯ,ОТ,374818,365325,86
ОПРЕДЕЛИТЬ,В КАЧЕСТВЕ,374818,398404,85
НАПРАВИТЬ,НА,374818,892815,79
СКАЗАТЬ,О,374818,7659823,77
ПОДГОТОВИТЬ,К,374818,356423,77
ОТНЕСТИСЬ,К,374818,67550,76
ВОЗВРАЩАТЬСЯ,К,374818,391234,74
ПРИСПОСОБИТЬ,К,374818,72616,73
КОНЦЕНТРИРОВАТЬСЯ,НА,374818,13583,73
СФОКУСИРОВАТЬ,НА,374818,15958,71
ПРИСТУПАТЬ,К,374818,65945,70
БЫТЬ,В,374818,16504392,68
СМОТРЕТЬ,НА,374818,1826817,67
ОБРАТИТЬСЯ,К,374818,707150,66
НАПОМНИТЬ,О,374818,213660,66
ИСПОЛЬЗОВАТЬ,В,374818,1431705,66
СТОЯТЬ,ПЕРЕД,374818,1895692,65
ИСПОЛЬЗОВАТЬСЯ,ДЛЯ,374818,439186,64
ПОСМОТРЕТЬ,НА,374818,1352306,64
ВОЙТИ,В,374818,1169413,62
СТАВИТЬ,В КАЧЕСТВЕ,374818,440697,61
ПРИСПОСОБИТЬ,ДЛЯ,374818,72616,61
РАССКАЗАТЬ,ОБ,374818,905982,60
СОСТОЯТЬ,ПРИ,374818,473553,60
ТРУДИТЬСЯ,НАД,374818,72918,58
ВЫЙТИ,С,374818,1529334,56
ОТКАЗЫВАТЬСЯ,ОТ,374818,102991,55
ОТНЕСТИ,К,374818,146471,54
РАЗОБРАТЬСЯ,С,374818,92171,54
ЗАБЫТЬ,О,374818,331942,51
ОТВЛЕКАТЬ,ОТ,374818,28903,50
ПРИНЯТЬСЯ,ЗА,374818,85191,49
РАБОТАТЬ,С,374818,1593272,47
АДАПТИРОВАТЬ,ПОД,374818,22357,47
