verb,prep,freqNoun,freqVerb,freqComb
ПОСТАВИТЬ,,374818,1143275,58887
РЕШАТЬ,,374818,140993,22740
СТАВИТЬ,,374818,440697,21907
СТОИТЬ,,374818,915164,19918
РЕШИТЬ,,374818,472473,16058
БЫТЬ,,374818,16504392,15219
ВЫПОЛНЯТЬ,,374818,317186,10913
ЯВЛЯТЬСЯ,,374818,3365085,10705
ВЫПОЛНИТЬ,,374818,932395,10671
СТОЯТЬ,,374818,1895692,10202
РЕШАТЬСЯ,,374818,87417,9561
СОСТОЯТЬ,,374818,473553,6840
ВОЗЛОЖИТЬ,,374818,104328,5629
ЗАКЛЮЧАТЬСЯ,,374818,267094,5171
ОПРЕДЕЛИТЬ,,374818,398404,4885
ПОЛУЧИТЬ,,374818,3281968,4667
ИМЕТЬ,,374818,4883454,3694
ВСТАТЬ,,374818,507057,3482
СФОРМУЛИРОВАТЬ,,374818,64495,2582
СЧИТАТЬ,,374818,1388621,1775
ОКАЗАТЬСЯ,,374818,1813169,1586
ОБЛЕГЧАТЬ,,374818,34485,1567
СТАНОВИТЬСЯ,,374818,695686,1501
ВОЗЛАГАТЬСЯ,,374818,15301,1489
ВСТАВАТЬ,,374818,123623,1313
ОБЛЕГЧИТЬ,,374818,39488,1301
СООТВЕТСТВОВАТЬ,,374818,432049,1295
ПОДЧИНИТЬ,,374818,62894,1274
ВОЗНИКАТЬ,,374818,409064,1191
НАЗВАТЬ,,374818,806830,1148
ОТВЕЧАТЬ,,374818,609071,1144
ОТРАБОТАТЬ,,374818,44492,1134
ОСТАВАТЬСЯ,,374818,851043,1124
ВИДЕТЬ,,374818,1971171,1069
ОБОЗНАЧИТЬ,,374818,103287,1042
ПРЕДСТОЯТЬ,,374818,97438,923
УТОЧНИТЬ,,374818,215427,876
ОБСУДИТЬ,,374818,257681,871
РАССМОТРЕТЬ,,374818,325472,870
УСЛОЖНИТЬ,,374818,7482,857
СТАТЬ,,374818,686138,759
ПОНЯТЬ,,374818,523934,744
УСЛОЖНЯТЬ,,374818,12693,734
УПРОСТИТЬ,,374818,27969,731
ПОЛОЖИТЬ,,374818,827566,691
ОБЪЯСНИТЬ,,374818,367380,685
ОПРЕДЕЛЯТЬ,,374818,239562,674
РАЗРЕШИТЬ,,374818,161018,655
ВОЗНИКНУТЬ,,374818,564886,653
ОПРЕДЕЛЯТЬСЯ,,374818,177807,644
ПОЛУЧАТЬ,,374818,883886,622
ПОНИМАТЬ,,374818,394627,619
ДАТЬ,,374818,1104316,616
ПОРУЧИТЬ,,374818,139021,615
УПРОЩАТЬ,,374818,17174,601
РЕАЛИЗОВАТЬ,,374818,164444,600
ПРЕДСТАВЛЯТЬСЯ,,374818,80678,600
НАМЕТИТЬ,,374818,90364,595
СОСТАВЛЯТЬ,,374818,443838,532
СВОДИТЬСЯ,,374818,56266,517
ОТРАБАТЫВАТЬ,,374818,23821,517
ВЫПОЛНЯТЬСЯ,,374818,76150,503
КАЗАТЬСЯ,,374818,318126,496
ДОСТИГАТЬСЯ,,374818,62468,491
ПРЕДСТАВЛЯТЬ,,374818,614293,488
ЛЕЖАТЬ,,374818,1213074,471
ДЕЛАТЬ,,374818,1265891,461
ВЫДВИНУТЬ,,374818,148329,458
ФОРМУЛИРОВАТЬ,,374818,9591,422
СУЩЕСТВОВАТЬ,,374818,667956,396
ЗАДАТЬ,,374818,171688,387
ПОСВЯТИТЬ,,374818,344349,373
ВЗЯТЬ,,374818,2235567,369
ПОГЛОТИТЬ,,374818,112051,368
СДЕЛАТЬ,,374818,2688427,338
ОБЪЯСНЯТЬ,,374818,167559,332
ДАВАТЬ,,374818,1254195,319
ОЗВУЧИТЬ,,374818,60411,319
СЛУШАТЬ,,374818,295704,317
ЛЮБИТЬ,,374818,950738,315
ОБЪЯВИТЬ,,374818,938139,305
СЧИТАТЬСЯ,,374818,334745,303
ОБУСЛОВИТЬ,,374818,174986,301
РАССМАТРИВАТЬСЯ,,374818,94599,293
ЗАНИМАТЬСЯ,,374818,986447,292
ВЫДЕЛИТЬ,,374818,259457,288
ПРЕДЛОЖИТЬ,,374818,622690,287
ОКАЗЫВАТЬСЯ,,374818,230283,282
ПОЯВИТЬСЯ,,374818,1712736,270
ИЗЛОЖИТЬ,,374818,104248,265
АВТОМАТИЗИРОВАТЬ,,374818,19986,258
ЗНАТЬ,,374818,1470177,256
ПРЕДСТАВИТЬ,,374818,1185156,256
ВЫТЕКАТЬ,,374818,29273,255
ПРЕСЛЕДОВАТЬ,,374818,56734,246
РАСПРЕДЕЛИТЬ,,374818,58388,242
НАЙТИ,,374818,1914932,242
