verb,prep,freqNoun,freqVerb,freqComb
ЗАБОТИТЬСЯ,О,105207,75732,2018
ВЫПИТЬ,ЗА,105207,180423,2015
ЖАЛОВАТЬСЯ,НА,105207,100729,1894
КУШАТЬ,НА,105207,13147,1859
ПИТЬ,ЗА,105207,206658,1556
ВЛИЯТЬ,НА,105207,146292,1311
СЛЕДИТЬ,ЗА,105207,260823,1116
НОСИТЬ,НА,105207,566495,1072
СКАЗАТЬСЯ,НА,105207,63070,969
ЕСТЬ,НА,105207,149850,853
СКАЗЫВАТЬСЯ,НА,105207,51680,775
ПИТЬ,НА,105207,206658,754
СПРАВИТЬСЯ,О,105207,187100,723
СВЯЗАТЬ,СО,105207,1362256,698
БЕСПОКОИТЬСЯ,О,105207,47397,636
ПОЛЬЗОВАТЬСЯ,НА,105207,487486,594
ОТРАЗИТЬСЯ,НА,105207,124569,577
СПРОСИТЬ,О,105207,941901,527
ГОВОРИТЬ,О,105207,2673665,520
СПРАВЛЯТЬСЯ,О,105207,61178,424
ОПАСАТЬСЯ,ЗА,105207,80376,407
СПРАШИВАТЬ,О,105207,156680,400
ОСВЕДОМИТЬСЯ,О,105207,38822,387
ПОЗАБОТИТЬСЯ,О,105207,47059,355
ОТРАЖАТЬСЯ,НА,105207,86637,354
ОТВЕЧАТЬ,ЗА,105207,609071,328
ДУМАТЬ,О,105207,575903,323
ПОВЛИЯТЬ,НА,105207,103534,313
СВЯЗАТЬ,С,105207,1362256,282
ОТНОСИТЬ,К,105207,847578,259
ЖИТЬ,НА,105207,945973,239
КУРИТЬ,НА,105207,63280,236
ПЕРЕЖИВАТЬ,ЗА,105207,103297,213
ЭКОНОМИТЬ,НА,105207,37972,212
ЗАВИСЕТЬ,ОТ,105207,343524,206
ЧИТАТЬ,НА,105207,552091,205
БЕСПОКОИТЬСЯ,ЗА,105207,47397,197
УВЕРИТЬ,В,105207,237645,192
СМОТРЕТЬ,НА,105207,1826817,190
УЗНАТЬ,О,105207,696691,183
ЗАИНТЕРЕСОВАТЬ,В,105207,252477,180
ПЕЧЬСЯ,О,105207,7140,178
МОЛИТЬСЯ,ЗА,105207,54632,178
ПОМЕШАТЬ,НА,105207,121236,167
ПОДУМАТЬ,О,105207,765714,154
ИГРАТЬ,НА,105207,918112,151
БОРОТЬСЯ,ЗА,105207,218009,147
СВИДЕТЕЛЬСТВОВАТЬ,О,105207,153942,140
БОЯТЬСЯ,ЗА,105207,360524,136
МОЛИТЬСЯ,О,105207,54632,126
ПОЖАЛОВАТЬСЯ,НА,105207,66281,123
НАБЛЮДАТЬ,ЗА,105207,308813,115
СУДИТЬ,О,105207,132144,111
РАССПРАШИВАТЬ,О,105207,23904,111
ЗАБЫВАТЬ,О,105207,108962,110
УГОЩАТЬСЯ,НА,105207,2797,104
ВОЛНОВАТЬСЯ,ЗА,105207,32089,99
БРАТЬ,НА,105207,449883,97
ВОЗДЕЙСТВОВАТЬ,НА,105207,44383,96
СМЕЯТЬСЯ,НА,105207,75373,95
ПИСАТЬ,О,105207,941379,92
ДЕЙСТВОВАТЬ,НА,105207,382299,91
КАТАТЬСЯ,НА,105207,57704,89
ЗНАТЬ,О,105207,1470177,89
ЗАДУМЫВАТЬСЯ,О,105207,37544,85
СПАТЬ,НА,105207,107007,83
ЗАДУМАТЬСЯ,О,105207,93988,83
БЫТЬ,ДЛЯ,105207,16504392,79
СПРАШИВАТЬ,ПРО,105207,156680,79
РАБОТАТЬ,НА,105207,1593272,78
ВОЛНОВАТЬСЯ,О,105207,32089,78
УСОМНИТЬСЯ,В,105207,27031,76
ГУЛЯТЬ,НА,105207,109739,74
РАССКАЗАТЬ,О,105207,905982,73
ДУМАТЬ,НА,105207,575903,71
ОТДЫХАТЬ,НА,105207,66905,70
ЛЮБИТЬ,НА,105207,950738,68
ТРАВИТЬСЯ,НА,105207,1198,66
ВЗЯТЬ,ПО,105207,2235567,65
ПРОЙТИ,ПО,105207,1295429,60
ИСПУГАТЬСЯ,ЗА,105207,51928,59
ЗАГОВОРИТЬ,О,105207,209611,58
СОСЛАТЬСЯ,НА,105207,21177,58
СПРОСИТЬ,ПРО,105207,941901,58
СОМНЕВАТЬСЯ,В,105207,83778,56
ПОГОВОРИТЬ,О,105207,155605,55
СТРЕМИТЬСЯ,К,105207,134257,55
ССЫЛАТЬСЯ,НА,105207,43101,55
ГОВОРИТЬ,НА,105207,2673665,52
ЛЮБОВАТЬСЯ,НА,105207,52105,52
ПИСАТЬ,НА,105207,941379,51
ШУТИТЬ,СО,105207,28655,49
РАССПРОСИТЬ,О,105207,13528,49
ТРЕВОЖИТЬСЯ,О,105207,7467,49
ТРЕВОЖИТЬСЯ,ЗА,105207,7467,48
КУПАТЬСЯ,НА,105207,34133,46
СТОИТЬ,НА СТРАЖЕ,105207,915164,45
ОКАЗЫВАТЬ,НА,105207,264209,44
РАДОВАТЬСЯ,НА,105207,72090,44
ЛЕТАТЬ,НА,105207,100652,44
СКАЗАТЬ,О,105207,7659823,44
ЗВОНИТЬ,НА,105207,154462,44
ПОМОЛИТЬСЯ,ЗА,105207,10224,43
ВЕРИТЬ,НА,105207,481858,43
ЗАНИМАТЬСЯ,НА,105207,986447,43
ВЛАДЕТЬ,НА,105207,210221,41
СЛУШАТЬ,НА,105207,295704,41
РАЗВЛЕКАТЬСЯ,НА,105207,17796,40
ВЕСЕЛИТЬСЯ,НА,105207,12452,40
ПЛЕВАТЬ,НА,105207,21687,40
ЗАБИРАТЬ,НА,105207,51713,40
ВЕСТИ,К,105207,907360,40
УКАЗЫВАТЬ,НА,105207,211982,40
ПОВЕЗТИ,СО,105207,65455,40
НАПРАВИТЬ,НА,105207,892815,39
ЗАБЕСПОКОИТЬСЯ,О,105207,10274,39
ВЫПИВАТЬ,ЗА,105207,13087,38
УЧИТЬСЯ,НА,105207,234228,38
ПЛАКАТЬ,НА,105207,79949,37
ЧОКНУТЬСЯ,ЗА,105207,4042,37
ЖЕНИТЬСЯ,НА,105207,98472,37
ПОДНЯТЬ,ЗА,105207,1607770,35
ОСВЕДОМИТЬ,О,105207,48142,34
СПИТЬ,НА,105207,48815,34
РАССКАЗЫВАТЬ,О,105207,486665,34
ТРАТИТЬ,НА,105207,158505,34
