verb,prep,freqNoun,freqVerb,freqComb
ОТЛИЧАТЬСЯ,,105207,475656,3793
ВРЕДИТЬ,,105207,20138,1953
ПОПРАВИТЬ,,105207,145316,1820
ЖЕЛАТЬ,,105207,120869,1804
БЫТЬ,,105207,16504392,1724
СОХРАНИТЬ,,105207,287776,1707
РИСКОВАТЬ,,105207,43281,1523
ОБЛАДАТЬ,,105207,556026,1486
ПОДОРВАТЬ,,105207,38532,1343
ВОССТАНОВИТЬ,,105207,205968,1163
БЕРЕЧЬ,,105207,32453,1105
УКРЕПЛЯТЬ,,105207,46878,959
ПОЖЕЛАТЬ,,105207,46929,958
ЗАВИСЕТЬ,,105207,343524,922
УКРЕПИТЬ,,105207,80614,914
ПОПРАВЛЯТЬ,,105207,23046,835
ПОТЕРЯТЬ,,105207,802609,829
УГРОЖАТЬ,,105207,96908,827
ПОЗВОЛЯТЬ,,105207,295113,729
ПОИНТЕРЕСОВАТЬСЯ,,105207,118203,697
ПОДДЕРЖИВАТЬ,,105207,390178,695
НАВРЕДИТЬ,,105207,10397,680
ИНТЕРЕСОВАТЬСЯ,,105207,127931,668
СОХРАНЯТЬ,,105207,174965,667
ИМЕТЬ,,105207,4883454,632
ОБЕСПОКОИТЬ,,105207,63391,602
СПОСОБСТВОВАТЬ,,105207,341770,592
ВЕРНУТЬ,,105207,238989,584
ВОССТАНАВЛИВАТЬ,,105207,44591,544
ПЫХАТЬ,,105207,3870,538
ОБРЕСТИ,,105207,204965,535
ПОЗВОЛИТЬ,,105207,288075,509
УЛУЧШИТЬ,,105207,78797,479
УЛУЧШАТЬ,,105207,65337,421
ПОВРЕДИТЬ,,105207,130235,410
ТЕРЯТЬ,,105207,355187,399
ПОДРЫВАТЬ,,105207,20751,388
УХУДШАТЬСЯ,,105207,10471,345
ЯВЛЯТЬСЯ,,105207,3365085,345
ОЗАБОТИТЬ,,105207,37289,337
ДАВАТЬ,,105207,1254195,287
РИСКНУТЬ,,105207,7752,280
УХУДШИТЬСЯ,,105207,8489,278
КЛЯСТЬСЯ,,105207,68097,276
ХВАТИТЬ,,105207,336837,275
ПИТЬ,,105207,206658,274
ДАТЬ,,105207,1104316,270
ИЗЛУЧАТЬ,,105207,37056,264
ЗАНЯТЬСЯ,,105207,335889,257
ДЫШАТЬ,,105207,78165,253
РАЗРУШАТЬ,,105207,46327,245
ПОШАТНУТЬСЯ,,105207,7088,238
ВЕРНУТЬСЯ,,105207,1351676,235
ВОЗВРАЩАТЬ,,105207,64269,234
СВЕТИТЬСЯ,,105207,92826,230
ОБЕСПЕЧИВАТЬ,,105207,444294,221
ХВАТАТЬ,,105207,611205,214
ПРОВЕРИТЬ,,105207,265080,210
ПОЛЬЗОВАТЬСЯ,,105207,487486,209
СИЯТЬ,,105207,93314,206
ПРИНОСИТЬ,,105207,259831,201
ПОРТИТЬ,,105207,57649,198
ГАРАНТИРОВАТЬ,,105207,124526,193
ПРИБАВЛЯТЬ,,105207,25153,186
УЛУЧШИТЬСЯ,,105207,16184,182
НАСЛАЖДАТЬСЯ,,105207,109585,175
УЛУЧШАТЬСЯ,,105207,17992,175
ПОДВЕСТИ,,105207,170584,172
ГРОБИТЬ,,105207,1475,170
ОБЕСПЕЧИТЬ,,105207,370722,170
СТОИТЬ,,105207,915164,168
ЛИШИТЬСЯ,,105207,166332,165
ЗАНИМАТЬСЯ,,105207,986447,162
ПОБЕРЕЧЬ,,105207,4876,160
НАХОДИТЬСЯ,,105207,2661082,155
ДАРОВАТЬ,,105207,43197,152
ПОДДЕРЖАТЬ,,105207,306969,151
РАССТРОИТЬ,,105207,29014,149
ХОТЕТЬ,,105207,569716,149
ГУБИТЬ,,105207,14285,147
ВОЗВРАЩАТЬСЯ,,105207,391234,143
ЛУЧИТЬСЯ,,105207,8311,142
БЕСПОКОИТЬ,,105207,50325,139
ПРИНЕСТИ,,105207,560886,139
ПОКЛЯСТЬСЯ,,105207,19631,138
КАСАТЬСЯ,,105207,174217,129
БЛИСТАТЬ,,105207,34214,128
ТРЕБОВАТЬ,,105207,688059,125
НАНЕСТИ,,105207,395822,124
ОХРАНЯТЬ,,105207,60568,123
ОБРЕТАТЬ,,105207,57334,123
ИСПОРТИТЬ,,105207,72425,121
УМЕНЬШИТЬСЯ,,105207,26872,120
ОПРЕДЕЛЯТЬ,,105207,239562,119
УХУДШАТЬ,,105207,10575,117
ПОЛУЧИТЬ,,105207,3281968,116
ПРОВЕРЯТЬ,,105207,120873,113
ЖЕРТВОВАТЬ,,105207,15733,111
ПРОСИТЬ,,105207,458165,110
ПОПРАВИТЬСЯ,,105207,14354,110
ЗАЩИТИТЬ,,105207,176739,109
НАДЕЛИТЬ,,105207,54402,108
ПОСТАВИТЬ,,105207,1143275,108
ОЗАБОТИТЬСЯ,,105207,14703,105
ДОРОЖИТЬ,,105207,16229,103
ПОСВЯТИТЬ,,105207,344349,103
ВОССТАНОВИТЬСЯ,,105207,19111,101
ПОДВОДИТЬ,,105207,90271,100
ОЗНАЧАТЬ,,105207,257761,99
ВОЛНОВАТЬ,,105207,46521,98
СБЕРЕЧЬ,,105207,8730,97
ДОБАВЛЯТЬ,,105207,176404,96
НАБИРАТЬСЯ,,105207,25575,96
СТРАДАТЬ,,105207,200078,95
УТРАТИТЬ,,105207,140914,94
ДАРИТЬ,,105207,66151,93
ВОЗВРАТИТЬ,,105207,85381,90
НЕСТИ,,105207,436910,90
ПРИБАВИТЬ,,105207,90905,88
НАНОСИТЬ,,105207,133498,88
ЗАЩИЩАТЬ,,105207,152032,86
ВЫБИРАТЬ,,105207,192604,86
ВОССТАНАВЛИВАТЬСЯ,,105207,17526,85
СЧИТАТЬ,,105207,1388621,85
КУПИТЬ,,105207,775243,82
ИДТИ,,105207,2732778,82
ПОДТАЧИВАТЬ,,105207,2439,82
ОКАЗАТЬСЯ,,105207,1813169,81
ПРИОБРЕСТИ,,105207,335547,80
РАЗРУШИТЬ,,105207,160318,79
КОНТРОЛИРОВАТЬ,,105207,133395,78
ДОВЕРИТЬ,,105207,38252,78
ИНТЕРЕСОВАТЬ,,105207,93996,77
ПОСТРАДАТЬ,,105207,106921,77
ТРАТИТЬ,,105207,158505,74
ПОДВЕРГАТЬ,,105207,81066,74
ЦЕНИТЬ,,105207,67057,72
УГРОБИТЬ,,105207,5664,72
ЦВЕСТИ,,105207,21965,71
СИМВОЛИЗИРОВАТЬ,,105207,42720,70
ПОДТОЧИТЬ,,105207,1989,69
ПОПЛАТИТЬСЯ,,105207,9731,68
ПОЛУЧАТЬ,,105207,883886,67
ОТНИМАТЬ,,105207,26866,66
УКРЕПЛЯТЬСЯ,,105207,11509,66
СТАНОВИТЬСЯ,,105207,695686,64
НАБРАТЬСЯ,,105207,59999,64
ДОСТИЧЬ,,105207,590710,63
ПОПРАВЛЯТЬСЯ,,105207,2313,63
СЛАВИТЬСЯ,,105207,33529,63
ЗАБОТИТЬ,,105207,7912,62
ОТДАТЬ,,105207,501478,62
НАДОРВАТЬ,,105207,4927,61
ДОБАВИТЬ,,105207,974156,60
ПРИХОДИТЬ,,105207,593265,60
ОТНЯТЬ,,105207,63945,60
ПОДКОСИТЬ,,105207,2098,59
ПРЕНЕБРЕГАТЬ,,105207,27237,58
ПОЖЕРТВОВАТЬ,,105207,29834,58
ГРОЗИТЬ,,105207,136941,57
ТРЕБОВАТЬСЯ,,105207,347350,56
ПОДАРИТЬ,,105207,129054,55
ИСКАТЬ,,105207,819203,55
НАЧИНАТЬСЯ,,105207,374294,54
СТАВИТЬ,,105207,440697,54
НАЗВАТЬ,,105207,806830,54
ОСЛАБИТЬ,,105207,71174,54
ПОМОГАТЬ,,105207,297527,53
ОБЕСПОКОИТЬСЯ,,105207,3638,52
ПРИЧИНИТЬ,,105207,79664,51
ДОБИТЬСЯ,,105207,274505,51
ЖАЛЕТЬ,,105207,58105,51
ЛИШИТЬ,,105207,163428,51
ОПРЕДЕЛЯТЬСЯ,,105207,177807,51
ОСЛАБНУТЬ,,105207,14910,50
ОЦЕНИТЬ,,105207,254296,50
УХОДИТЬ,,105207,342887,50
ЩАДИТЬ,,105207,10948,49
ОЦЕНИВАТЬ,,105207,114033,48
ОБЕРЕГАТЬ,,105207,13034,48
ОСТАТЬСЯ,,105207,1167779,48
РАССТРАИВАТЬ,,105207,7433,47
УПРАВЛЯТЬ,,105207,190940,47
ПОДПРАВИТЬ,,105207,6644,46
ПОГУБИТЬ,,105207,28254,46
ОБСУЖДАТЬ,,105207,159325,45
ОСТАВАТЬСЯ,,105207,851043,45
НАЗЫВАТЬ,,105207,535788,45
ПРИОБРЕТАТЬ,,105207,123426,45
РАССМАТРИВАТЬ,,105207,303388,43
СПАСТИ,,105207,177154,42
СЛУЖИТЬ,,105207,586125,42
ДЕМОНСТРИРОВАТЬ,,105207,115870,41
ВЫПИТЬ,,105207,180423,40
ХРАНИТЬ,,105207,169700,40
ВЕЯТЬ,,105207,28239,40
ТРЕВОЖИТЬ,,105207,28255,40
ИЗУЧАТЬ,,105207,238995,39
ОБЕЩАТЬ,,105207,175179,39
ОКРЕПНУТЬ,,105207,6351,39
ОПРЕДЕЛИТЬ,,105207,398404,39
СЛАБЕТЬ,,105207,9401,39
ДОВЕРЯТЬ,,105207,108155,38
МЕШАТЬ,,105207,203224,38
МОЧЬ,,105207,850912,38
РАСШАТАТЬ,,105207,4358,37
ПРОВОЗГЛАСИТЬ,,105207,77763,37
ЗАСИЯТЬ,,105207,18171,37
ПОДКАЧАТЬ,,105207,2285,36
УНАСЛЕДОВАТЬ,,105207,44123,36
ПОЙТИ,,105207,1160508,35
НАПОЛНИТЬ,,105207,214691,34
СИМУЛИРОВАТЬ,,105207,4503,34
ЗАГУБИТЬ,,105207,7191,34
РАСПЛАЧИВАТЬСЯ,,105207,17037,34
НАРУШАТЬ,,105207,132657,33
ЗАБИРАТЬ,,105207,51713,33
ВЫДЕРЖАТЬ,,105207,246706,33
ПРЕДВЕЩАТЬ,,105207,31145,32
ВХОДИТЬ,,105207,780476,32
ВЛИЯТЬ,,105207,146292,31
УБЕРЕЧЬ,,105207,16053,31
ПОРТИТЬСЯ,,105207,6828,31
ВЫБРАТЬ,,105207,575313,31
СОДЕЙСТВОВАТЬ,,105207,40216,31
УЙТИ,,105207,626486,30
ОСТАВИТЬ,,105207,840269,30
БЛАГОПРИЯТСТВОВАТЬ,,105207,13446,30
СОПУТСТВОВАТЬ,,105207,17931,30
ПРИДТИ,,105207,275691,30
СОХРАНЯТЬСЯ,,105207,86469,29
ЗАСТРАХОВАТЬ,,105207,26534,29
РАДОВАТЬСЯ,,105207,72090,29
ВЗЯТЬ,,105207,2235567,29
ПОДЛЕЧИТЬ,,105207,1747,29
ПОЛОЖИТЬ,,105207,827566,29
СПАСАТЬ,,105207,70807,28
НАПОЛНЯТЬСЯ,,105207,28431,28
УДЕЛЯТЬ,,105207,57775,28
СУЛИТЬ,,105207,31029,28
СТАТЬ,,105207,686138,27
ПОСЛАТЬ,,105207,362184,27
ОСЛАБЛЯТЬ,,105207,19915,27
СДАТЬ,,105207,175835,27
НАРУШИТЬ,,105207,233899,27
БЫВАТЬ,,105207,361586,27
ОТРАЖАТЬ,,105207,118809,27
ПОПРОСИТЬ,,105207,474422,27
ПОШАЛИВАТЬ,,105207,1455,26
РАСТЕРЯТЬ,,105207,13730,26
УВЕЛИЧИВАТЬ,,105207,97669,26
ПРИБАВИТЬСЯ,,105207,17669,26
ОБЯЗАТЬ,,105207,71359,26
ТЕЧЬ,,105207,135751,26
НАДЛОМИТЬ,,105207,2145,25
ХОТЕТЬСЯ,,105207,73906,25
ПОМОЧЬ,,105207,320253,25
ВИДЕТЬ,,105207,1971171,25
ПРИЧИНЯТЬ,,105207,43944,25
НАГРАДИТЬ,,105207,146416,24
ОБДЕЛИТЬ,,105207,9935,24
ЗАПАСТИСЬ,,105207,19003,24
ПОШАТНУТЬ,,105207,2078,24
ДЕЛАТЬ,,105207,1265891,24
СОЗДАВАТЬ,,105207,440892,24
ПОДРАЗУМЕВАТЬ,,105207,76865,24
ВЗЯТЬСЯ,,105207,228478,24
НАЛИВАТЬСЯ,,105207,16036,23
КРЕПНУТЬ,,105207,7169,23
ПОДПОРТИТЬ,,105207,4384,23
ПРЕПЯТСТВОВАТЬ,,105207,84165,23
ОДАРИТЬ,,105207,22312,22
ПОМЕШАТЬ,,105207,121236,22
ОТДАВАТЬ,,105207,182782,22
УБИВАТЬ,,105207,153682,22
ЦАРИТЬ,,105207,195677,22
РАЗРУШАТЬСЯ,,105207,13396,22
ПОДОРВАТЬСЯ,,105207,11415,21
НАДРЫВАТЬ,,105207,2190,21
УПАСТЬ,,105207,606775,21
ПОХВАСТАТЬСЯ,,105207,12442,21
ЗАТРОНУТЬ,,105207,64283,21
ПРИВЕСТИ,,105207,919531,21
УНИЧТОЖИТЬ,,105207,307259,21
ОТБИРАТЬ,,105207,31260,20
ОБСЛЕДОВАТЬ,,105207,38841,20
ПЛАТИТЬ,,105207,194150,20
ИГРАТЬ,,105207,918112,20
ЛИШАТЬСЯ,,105207,27765,20
СБЕРЕГАТЬ,,105207,1906,20
СДЕЛАТЬ,,105207,2688427,20
КОНЧАТЬСЯ,,105207,55141,20
УХУДШИТЬ,,105207,23604,20
ОСЛАБЕТЬ,,105207,10091,20
ЗАКЛЮЧАТЬСЯ,,105207,267094,20
ПОВЫШАТЬ,,105207,124006,19
ПОНАДОБИТЬСЯ,,105207,140661,19
ИСПОЛНИТЬ,,105207,174260,19
ПРЕДСТАВЛЯТЬ,,105207,614293,19
УДЕЛИТЬ,,105207,80607,19
ПОДРЫВАТЬСЯ,,105207,1926,19
ЗАПЛАТИТЬ,,105207,119984,19
ПРЕНЕБРЕЧЬ,,105207,14998,19
ОБРАТИТЬ,,105207,709635,19
НАЛИТЬ,,105207,92741,18
ПОГЛОТИТЬ,,105207,112051,18
ЗАКАЛЯТЬ,,105207,2254,18
ВЫЗЫВАТЬ,,105207,574948,18
ПОДДЕРЖИВАТЬСЯ,,105207,44917,18
ПРОСЕСТЬ,,105207,3332,18
СДАВАТЬ,,105207,75821,18
ЛИШАТЬ,,105207,47012,18
ПАДАТЬ,,105207,201478,18
ОТСЛЕЖИВАТЬ,,105207,30452,18
ИЗУЧИТЬ,,105207,132969,18
ЗАНЯТЬ,,105207,593852,18
БРАТЬСЯ,,105207,79250,17
ЧУВСТВОВАТЬСЯ,,105207,84907,17
ВЫХОДИТЬ,,105207,543652,17
ИССЛЕДОВАТЬ,,105207,94839,17
ХВАЛИТЬСЯ,,105207,4835,17
ЗАМЕНИТЬ,,105207,201733,17
ЛЮБИТЬ,,105207,950738,17
ПОНИМАТЬ,,105207,394627,17
ТЕЛЕГРАФИРОВАТЬ,,105207,6236,17
ХАРАКТЕРИЗОВАТЬСЯ,,105207,62149,17
ПРЕДПОЛАГАТЬ,,105207,198525,17
УДОВЛЕТВОРИТЬ,,105207,129203,16
ВСТРЕВОЖИТЬ,,105207,21315,16
ЗАНИМАТЬ,,105207,424637,16
УВЕЛИЧИТЬСЯ,,105207,64931,16
ПОСАДИТЬ,,105207,136264,16
НАХОДИТЬ,,105207,352769,16
ДАВАТЬСЯ,,105207,88707,16
РУШИТЬСЯ,,105207,19347,16
РАСТРАТИТЬ,,105207,5969,16
СЛЕДИТЬ,,105207,260823,16
УКРЕПИТЬСЯ,,105207,15059,16
РАСТРАЧИВАТЬ,,105207,4221,16
ПОДПИСАТЬСЯ,,105207,58686,16
ЗАВИДОВАТЬ,,105207,27338,15
ПРИВЛЕКАТЬ,,105207,150787,15
РАСШАТЫВАТЬ,,105207,2560,15
ЧУВСТВОВАТЬ,,105207,423116,15
ВДЫХАТЬ,,105207,26743,15
ЛЕЧИТЬ,,105207,50329,15
ЗАПАСАТЬСЯ,,105207,6827,15
СВЯЗЫВАТЬ,,105207,95797,15
ЗАСЛУЖИВАТЬ,,105207,118485,15
ПОДТВЕРДИТЬ,,105207,499371,15
ЗАТРАГИВАТЬ,,105207,28587,15
ВКЛЮЧАТЬ,,105207,299778,15
ПОПОЛНЯТЬ,,105207,11495,15
ПРЕДПОЧИТАТЬ,,105207,131622,15
ОТМЕТИТЬ,,105207,1263077,15
ПОДКОСИТЬСЯ,,105207,7295,15
ОБЕЗОПАСИТЬ,,105207,6376,15
СНИЖАТЬ,,105207,90420,15
МОНИТОРИТЬ,,105207,3067,14
ПРОЩАТЬ,,105207,31028,14
ИСТОЧАТЬ,,105207,13630,14
БЛЕСТЕТЬ,,105207,79870,14
ОЩУЩАТЬ,,105207,171151,14
ИСКАЛЕЧИТЬ,,105207,4408,14
ИЗМЕНЯТЬ,,105207,91455,14
КОНЧИТЬСЯ,,105207,113644,14
ОТРАЖАТЬСЯ,,105207,86637,14
ПЫЛАТЬ,,105207,49242,14
ВЫЗВАТЬ,,105207,857411,14
БЕСПОКОИТЬСЯ,,105207,47397,14
ОПУСТИТЬСЯ,,105207,288109,14
ПРОДАВАТЬ,,105207,155263,14
ОТПУСТИТЬ,,105207,196238,14
РАСПЛАТИТЬСЯ,,105207,25283,14
СООТВЕТСТВОВАТЬ,,105207,432049,14
СУЩЕСТВОВАТЬ,,105207,667956,14
ПРЕДЛОЖИТЬ,,105207,622690,14
СКЛАДЫВАТЬСЯ,,105207,78465,14
ОКАЗЫВАТЬСЯ,,105207,230283,13
СГУБИТЬ,,105207,3286,13
ЕЗДИТЬ,,105207,199881,13
НАЙТИ,,105207,1914932,13
ПРИДАВАТЬ,,105207,152391,13
СЧЕСТЬ,,105207,79169,13
ПОХВАЛИТЬСЯ,,105207,3246,13
СТИМУЛИРОВАТЬ,,105207,59337,13
СТАБИЛИЗИРОВАТЬСЯ,,105207,8314,13
НАЗЫВАТЬСЯ,,105207,269560,13
ПОРОЖДАТЬ,,105207,52126,13
СВИДЕТЕЛЬСТВОВАТЬ,,105207,153942,13
СЧИТАТЬСЯ,,105207,334745,13
ФОРМИРОВАТЬ,,105207,96147,13
ПОДКРЕПИТЬ,,105207,21462,13
СКАЗАТЬ,,105207,7659823,13
ЗАЛОЖИТЬ,,105207,241074,13
УКАЗАТЬ,,105207,634172,13
ХЛЕСТАТЬ,,105207,31412,12
УНИЧТОЖАТЬ,,105207,56864,12
ОБСУДИТЬ,,105207,257681,12
НАДОЕСТЬ,,105207,23176,12
СОСТОЯТЬ,,105207,473553,12
УМЕНЬШАТЬСЯ,,105207,36782,12
ПИСАТЬ,,105207,941379,12
СПРАШИВАТЬ,,105207,156680,12
УДИВЛЯТЬСЯ,,105207,30573,12
ЗАКЛЮЧИТЬ,,105207,538655,12
ОХРАНИТЬ,,105207,1374,12
НАДЕЛЯТЬ,,105207,12308,12
НАЛАДИТЬ,,105207,85466,12
ОТНОСИТЬ,,105207,847578,12
ДОСТИГАТЬСЯ,,105207,62468,12
СВЯЗАТЬ,,105207,1362256,12
ТОРГОВАТЬ,,105207,69110,12
ЖДАТЬ,,105207,793831,12
ЖАЖДАТЬ,,105207,53824,12
ОБЕСПЕЧИВАТЬСЯ,,105207,70494,11
ГОВОРИТЬ,,105207,2673665,11
ПРИЗНАТЬ,,105207,490285,11
ЗАРЯДИТЬСЯ,,105207,2342,11
ТЕРЯТЬСЯ,,105207,51290,11
СНИЗИТЬ,,105207,133807,11
НАЛАДИТЬСЯ,,105207,5278,11
ГОРДИТЬСЯ,,105207,34431,11
ФОРМИРОВАТЬСЯ,,105207,85377,11
ОБУСЛОВИТЬ,,105207,174986,11
ПОДЕЛИТЬСЯ,,105207,123329,11
ВЫЧИСЛЯТЬ,,105207,13903,11
КОРРЕКТИРОВАТЬ,,105207,12847,11
НАСЛАДИТЬСЯ,,105207,36927,11
ОТЛИЧАТЬ,,105207,36298,11
ДОСТИГАТЬ,,105207,120802,11
ПРИНАДЛЕЖАТЬ,,105207,443654,11
ПОКАЗЫВАТЬ,,105207,385626,11
ПОВЫСИТЬ,,105207,182813,11
ОЛИЦЕТВОРЯТЬ,,105207,17909,11
ВЫСТУПАТЬ,,105207,463690,11
ВОЗВРАТИТЬСЯ,,105207,81665,11
ПЕРЕПОЛНИТЬ,,105207,56378,11
ИСПОЛЬЗОВАТЬ,,105207,1431705,10
УТЕРЯТЬ,,105207,15982,10
КОМПЕНСИРОВАТЬСЯ,,105207,12102,10
ЗАБРАТЬ,,105207,101429,10
ПРОИЗВОДИТЬ,,105207,482688,10
ИСКРИТЬСЯ,,105207,13917,10
ИСПЫТЫВАТЬ,,105207,484183,10
НЕНАВИДЕТЬ,,105207,110394,10
ПРОДЕМОНСТРИРОВАТЬ,,105207,136681,10
СТРАХОВАТЬ,,105207,4179,10
ХВАСТАТЬСЯ,,105207,9826,10
РАССТРОИТЬСЯ,,105207,11013,10
ПРИПИСЫВАТЬ,,105207,29500,10
ИЗУЧАТЬСЯ,,105207,15481,10
РАСПОЛАГАТЬ,,105207,166329,10
ВЫЙТИ,,105207,1529334,10
ДЕРЖАТЬ,,105207,843121,10
ОЖИДАТЬ,,105207,340622,10
СОЧЕТАТЬСЯ,,105207,45113,10
ПРОПИСАТЬ,,105207,66019,10
