verb,prep,freqNoun,freqVerb,freqComb
ГОВОРИТЬ,О,686132,2673665,933
ПРОИЗНЕСТИ,СО,686132,784042,885
СКАЗАТЬ,СО,686132,7659823,758
УПОТРЕБЛЯТЬСЯ,В,686132,20767,750
УПОТРЕБИТЬ,В,686132,32174,569
ВЕРНУТЬСЯ,К,686132,1351676,433
ЗАВИСЕТЬ,ОТ,686132,343524,420
УКАЗЫВАТЬ,НА,686132,211982,370
СВЯЗАТЬ,С,686132,1362256,340
ИСПОЛЬЗОВАТЬСЯ,В,686132,439186,326
СВЯЗАТЬ,СО,686132,1362256,324
РАССКАЗАТЬ,О,686132,905982,289
ДОБАВИТЬ,СО,686132,974156,286
УСТАНОВИТЬ,В,686132,1088052,283
УКАЗАТЬ,НА,686132,634172,272
СОВПАДАТЬ,СО,686132,133874,263
ДОВОДИТЬ,ДО,686132,48973,246
ЗНАТЬ,О,686132,1470177,242
ДУМАТЬ,О,686132,575903,214
ПРИБЛИЖАТЬСЯ,К,686132,195568,213
ПОВТОРИТЬ,СО,686132,298378,193
ЗАПРЕТИТЬ,В СВЯЗИ С,686132,255121,189
ПОСМОТРЕТЬ,СО,686132,1352306,188
УВЕРИТЬ,В,686132,237645,186
ПРОГОВОРИТЬ,СО,686132,337367,183
СРАВНИВАТЬСЯ,С,686132,8830,180
ВЛИЯТЬ,НА,686132,146292,179
СОМНЕВАТЬСЯ,В,686132,83778,176
ПРИБЛИЗИТЬСЯ,К,686132,180085,174
ИМЕТЬ,ПРИ,686132,4883454,174
ИСПОЛЬЗОВАТЬ,В,686132,1431705,173
СОВПАДАТЬ,С,686132,133874,153
СКАЗАТЬ,О,686132,7659823,152
ОТВЕТИТЬ,СО,686132,2124020,152
ВОЗВРАЩАТЬСЯ,К,686132,391234,149
ОТЛИЧАТЬСЯ,ОТ,686132,475656,146
ДОГАДАТЬСЯ,О,686132,50290,137
СРАВНИВАТЬ,С,686132,66401,137
СПРОСИТЬ,СО,686132,941901,127
ДОГАДЫВАТЬСЯ,О,686132,20517,123
ПРИВОДИТЬ,К,686132,457302,119
ВЕРИТЬ,В,686132,481858,117
ОСНОВАТЬ,НА,686132,407746,115
ГОВОРИТЬ,ОБ,686132,2673665,111
РАЗОБРАТЬСЯ,В,686132,92171,110
