verb,prep,freqNoun,freqVerb,freqComb
ИМЕТЬ,,686132,4883454,387006
ПРИДАВАТЬ,,686132,152391,47705
ПРИДАТЬ,,686132,110383,18307
УМАЛЯТЬ,,686132,23781,16098
ПОНИМАТЬ,,686132,394627,8239
ПРИОБРЕТАТЬ,,686132,123426,6867
ПОНЯТЬ,,686132,523934,6360
ПРИДАВАТЬСЯ,,686132,11960,5746
ПРИНИМАТЬ,,686132,946204,4626
ПРИОБРЕСТИ,,686132,335547,4174
ПОЛУЧИТЬ,,686132,3281968,3866
ЗНАТЬ,,686132,1470177,2988
ВОЗВРАЩАТЬ,,686132,64269,2894
ДОСТИЧЬ,,686132,590710,2875
ОПРЕДЕЛЯТЬ,,686132,239562,2702
ПРЕВЫШАТЬ,,686132,125147,2325
ПОДЧЕРКНУТЬ,,686132,436408,2216
УСТАНОВИТЬ,,686132,1088052,2195
СООТВЕТСТВОВАТЬ,,686132,432049,2092
ОПРЕДЕЛИТЬ,,686132,398404,1870
ОТМЕТИТЬ,,686132,1263077,1860
ПОЛУЧАТЬ,,686132,883886,1859
ЯВЛЯТЬСЯ,,686132,3365085,1825
ПОТЕРЯТЬ,,686132,802609,1709
ОЦЕНИТЬ,,686132,254296,1703
ОСОЗНАТЬ,,686132,73864,1647
ДОСТИГАТЬ,,686132,120802,1606
ПРЕУВЕЛИЧИВАТЬ,,686132,12434,1598
ПОДЧЁРКИВАТЬ,,1372264,106559,1570
УКАЗАТЬ,,686132,634172,1435
БЫТЬ,,686132,16504392,1416
ОПРЕДЕЛЯТЬСЯ,,686132,177807,1243
ПРИВЕСТИ,,686132,919531,1240
УТРАТИТЬ,,686132,140914,1200
ПОКАЗАТЬ,,686132,1076177,1117
ПРИСВОИТЬ,,686132,137817,1080
ЗАДАТЬ,,686132,171688,1074
УСТАНАВЛИВАТЬ,,686132,152402,1026
ВЫБРАТЬ,,686132,575313,1021
ИГРАТЬ,,686132,918112,1015
ПРЕВЫСИТЬ,,686132,77336,998
ИСПОЛЬЗОВАТЬ,,686132,1431705,970
ПРИСВАИВАТЬСЯ,,686132,11659,958
СОХРАНЯТЬ,,686132,174965,951
ДАВАТЬ,,686132,1254195,899
ИЗМЕНИТЬ,,686132,360414,883
ВЫЧИСЛЯТЬ,,686132,13903,882
ПРЕДСТАВЛЯТЬ,,686132,614293,881
ОТРИЦАТЬ,,686132,71839,860
НЕДООЦЕНИВАТЬ,,686132,16414,845
СОДЕРЖАТЬ,,686132,449675,814
ОБЛАДАТЬ,,686132,556026,779
ОБЪЯСНИТЬ,,686132,367380,755
ТЕРЯТЬ,,686132,355187,707
ИЗМЕНЯТЬ,,686132,91455,704
ИЗМЕРЯТЬ,,686132,37838,659
ИСПОЛЬЗОВАТЬСЯ,,686132,439186,658
ОБЪЯСНЯТЬ,,686132,167559,651
НАЙТИ,,686132,1914932,647
ВВЕСТИ,,686132,561530,618
СРАВНИВАТЬ,,686132,66401,582
ЗАДАВАТЬ,,686132,175128,572
ПОКАЗЫВАТЬ,,686132,385626,565
УЗНАТЬ,,686132,696691,561
ПЕРЕОЦЕНИВАТЬ,,686132,5573,559
ПРИЗНАТЬ,,686132,490285,551
УСТАНАВЛИВАТЬСЯ,,686132,122272,527
ПРЕДСТАВИТЬ,,686132,1185156,517
ОБРЕТАТЬ,,686132,57334,510
ПОСТУПАТЬ,,686132,218376,503
УДЕЛЯТЬ,,686132,57775,478
ПРЕУМЕНЬШАТЬ,,686132,2558,476
МЕНЯТЬ,,686132,186175,464
ВОЗРАСТАТЬ,,686132,34646,439
ДАТЬ,,686132,1104316,438
ЗАФИКСИРОВАТЬ,,686132,248690,430
ВЫЧИСЛИТЬ,,686132,26812,426
ВЕРНУТЬ,,686132,238989,423
ФОРМИРОВАТЬСЯ,,686132,85377,423
ИСПОЛНИТЬ,,686132,174260,418
ОБРЕСТИ,,686132,204965,400
ПРИНИЖАТЬ,,686132,2949,398
ПРИНЯТЬ,,686132,2446695,396
СОХРАНИТЬ,,686132,287776,389
УВЕЛИЧИВАТЬ,,686132,97669,384
ПРИПИСЫВАТЬ,,686132,29500,383
СОСТАВИТЬ,,686132,497277,382
УМЕНЬШАТЬ,,686132,51499,379
ВЫЧИСЛЯТЬСЯ,,686132,6785,369
ПЕРЕДАВАТЬ,,686132,682496,369
УКАЗЫВАТЬ,,686132,211982,367
ВОЗВРАЩАТЬСЯ,,686132,391234,367
УВЕЛИЧИТЬ,,686132,219999,355
ВИДЕТЬ,,686132,1971171,353
ВВОДИТЬ,,686132,184603,350
ПОДЧЕРКИВАТЬСЯ,,1372264,74480,341
РАССЧИТАТЬ,,686132,204535,336
ОСОЗНАВАТЬ,,686132,14001,333
ОГРАНИЧИТЬ,,686132,156833,332
ОЦЕНИВАТЬ,,686132,114033,331
ЗАПИСАТЬ,,686132,213677,326
ПЕРЕДАВАТЬСЯ,,686132,86177,323
ОТМЕЧАТЬ,,686132,430086,323
ПРИСВАИВАТЬ,,686132,8128,322
ПРИНИЗИТЬ,,686132,2212,321
ПОВЫШАТЬ,,686132,124006,320
УДЕЛЯТЬСЯ,,686132,26515,313
ХАРАКТЕРИЗОВАТЬСЯ,,686132,62149,311
ПЕРЕДАТЬ,,686132,696663,306
НАХОДИТЬ,,686132,352769,305
ПРЕДАВАТЬ,,686132,20474,304
ВЫБИРАТЬ,,686132,192604,298
УМАЛИТЬ,,686132,2590,293
СОСТАВЛЯТЬ,,686132,443838,287
СОСТОЯТЬ,,686132,473553,286
ХРАНИТЬСЯ,,686132,149248,284
НЕСТИ,,686132,436910,283
НАХОДИТЬСЯ,,686132,2661082,282
ВЫЯСНИТЬ,,686132,70009,276
ОБУСЛОВИТЬ,,686132,174986,273
ВЗЯТЬ,,686132,2235567,272
ФИКСИРОВАТЬ,,686132,44935,271
УМЕНЬШИТЬ,,686132,75347,269
ЗАВИСЕТЬ,,686132,343524,267
РАССЧИТЫВАТЬ,,686132,153049,267
ЗАДАВАТЬСЯ,,686132,64260,263
ПРЕУВЕЛИЧИТЬ,,686132,6024,261
ВЫЯВИТЬ,,686132,222645,258
УТРАЧИВАТЬ,,686132,17569,256
ПРИЗНАВАТЬ,,686132,46974,256
ПЕРЕОЦЕНИТЬ,,686132,4455,250
ВОЗРАСТИ,,686132,33467,247
ЗАПИСЫВАТЬСЯ,,686132,23018,246
ПОДАВАТЬСЯ,,686132,72482,245
ПОДТВЕРДИТЬ,,686132,499371,241
ЗАКЛЮЧАТЬСЯ,,686132,267094,237
ПОСТИЧЬ,,686132,41625,235
ПОДНЯТЬ,,686132,1607770,229
ВЫБИРАТЬСЯ,,686132,35836,226
РАССМОТРЕТЬ,,686132,325472,226
РАСКРЫТЬ,,686132,183977,225
ХРАНИТЬ,,686132,169700,223
ПОЛУЧАТЬСЯ,,686132,107065,221
РАСКРЫВАТЬ,,686132,58986,218
ВЫДАВАТЬ,,686132,123215,213
ПРЕВОСХОДИТЬ,,686132,51424,213
СНИЖАТЬ,,686132,90420,212
УКАЗЫВАТЬСЯ,,686132,66602,211
ПРИПИСЫВАТЬСЯ,,686132,10186,210
РАЗГАДАТЬ,,686132,24362,204
ВОЗВРАТИТЬ,,686132,85381,203
СОЗНАВАТЬ,,686132,8357,199
СНИЗИТЬ,,686132,133807,197
СУЩЕСТВОВАТЬ,,686132,667956,196
ВСПОМНИТЬ,,686132,471977,194
ПРЕОБРАЗОВАТЬ,,686132,54878,191
ИСКАТЬ,,686132,819203,191
ИЗМЕНЯТЬСЯ,,686132,35105,189
ЗАБЫТЬ,,686132,331942,189
ДОСТИГАТЬСЯ,,686132,62468,188
ВЫРАЖАТЬ,,686132,148337,188
УВИДЕТЬ,,686132,1503676,186
ОБЕСПЕЧИВАТЬ,,686132,444294,186
ПОВЫСИТЬ,,686132,182813,183
ОТРАЖАТЬ,,686132,118809,182
ВЫДЕЛИТЬ,,686132,259457,182
ВОССТАНОВИТЬ,,686132,205968,180
ВЫВОДИТЬ,,686132,81132,179
ФОРМИРОВАТЬ,,686132,96147,177
ПРЕДАТЬ,,686132,80701,177
ЗАПИСЫВАТЬ,,686132,52037,177
УЛОВИТЬ,,686132,85664,176
УВЕЛИЧИВАТЬСЯ,,686132,66410,175
ЗАПОМИНАТЬ,,686132,17200,174
МЕНЯТЬСЯ,,686132,112631,174
УЧИТЫВАТЬ,,686132,75741,174
УТОЧНИТЬ,,686132,215427,174
ОТВОДИТЬ,,686132,90641,173
ПОДДЕРЖИВАТЬ,,686132,390178,173
РАЗЪЯСНИТЬ,,686132,24839,171
НАДЕЛИТЬ,,686132,54402,171
НЕДООЦЕНИТЬ,,686132,11864,164
ОТЛОЖИТЬ,,686132,171632,162
ПРИПИСАТЬ,,686132,33634,162
ПРОВЕРЯТЬ,,686132,120873,159
УСИЛИВАТЬ,,686132,57797,158
ОТКРЫТЬ,,686132,1671035,156
СЧИТЫВАТЬ,,686132,7566,156
ВЫСТАВИТЬ,,686132,213778,155
НОСИТЬ,,686132,566495,153
СОХРАНЯТЬСЯ,,686132,86469,153
ВЫВЕСТИ,,686132,259929,152
РАЗЪЯСНЯТЬ,,686132,11287,150
УСИЛИТЬ,,686132,116786,148
ОТМЕЧАТЬСЯ,,686132,258799,146
ОТОБРАЖАТЬСЯ,,686132,18268,145
РАССМАТРИВАТЬ,,686132,303388,145
СЧИТАТЬ,,686132,1388621,144
ПОСМОТРЕТЬ,,686132,1352306,143
ЛИШИТЬ,,686132,163428,143
РАССЧИТЫВАТЬСЯ,,686132,27096,142
ОСМЫСЛИТЬ,,686132,8998,142
ПОМНИТЬ,,686132,224087,141
ОБОЗНАЧИТЬ,,686132,103287,140
ВЫСТУПАТЬ,,686132,463690,140
ВЫРАЗИТЬ,,686132,416769,139
ПОДСТАВИТЬ,,686132,47052,138
ПОДТВЕРЖДАТЬ,,686132,89962,138
СЫГРАТЬ,,686132,262561,138
ПРИВОДИТЬСЯ,,686132,94192,137
ПРИНИМАТЬСЯ,,686132,103634,137
УДЕЛИТЬ,,686132,80607,135
ЗАКЛЮЧИТЬ,,686132,538655,133
УЯСНИТЬ,,686132,5278,131
ПОМЕНЯТЬ,,686132,72163,130
ЗАМЕНИТЬ,,686132,201733,129
ПОВЫШАТЬСЯ,,686132,42528,127
ИНИЦИАЛИЗИРОВАТЬСЯ,,686132,762,126
ОСТАВИТЬ,,686132,840269,124
ИЗМЕРЯТЬСЯ,,686132,19105,123
ПОЯВЛЯТЬСЯ,,686132,440146,123
СВЯЗАТЬ,,686132,1362256,123
РЕГИСТРИРОВАТЬ,,686132,18511,123
БРАТЬСЯ,,686132,79250,122
УЧЕСТЬ,,686132,96620,121
РАСШИФРОВАТЬ,,686132,12726,121
ПОЯВИТЬСЯ,,686132,1712736,121
БРАТЬ,,686132,449883,121
ОТЛИЧАТЬСЯ,,686132,475656,120
ФИКСИРОВАТЬСЯ,,686132,25787,119
ИЗМЕНИТЬСЯ,,686132,128366,119
ИССЛЕДОВАТЬ,,686132,94839,118
СТАНОВИТЬСЯ,,686132,695686,118
ПРОВЕРИТЬ,,686132,265080,116
ПОЗНАТЬ,,686132,57487,116
ОТОБРАЖАТЬ,,686132,14918,116
ПРЕУМЕНЬШИТЬ,,686132,874,115
ВЫВОДИТЬСЯ,,686132,21339,114
ПОЛЬЗОВАТЬСЯ,,686132,487486,113
ИСЧЕРПЫВАТЬСЯ,,686132,8709,112
ОБЪЯСНЯТЬСЯ,,686132,54867,112
ИЗМЕРИТЬ,,686132,28918,112
РАСКРЫВАТЬСЯ,,686132,26504,110
ДАВАТЬСЯ,,686132,88707,109
СЧИТАТЬСЯ,,686132,334745,109
ПОСТИГАТЬ,,686132,17540,109
ВЫРАЖАТЬСЯ,,686132,46252,108
АНАЛИЗИРОВАТЬ,,686132,51921,108
ПРОЧИТАТЬ,,686132,163482,107
ПРОДЕМОНСТРИРОВАТЬ,,686132,136681,106
МОЧЬ,,686132,850912,105
ВКЛЮЧАТЬ,,686132,299778,105
ИГНОРИРОВАТЬ,,686132,36883,104
ВЫРАСТИ,,686132,222187,104
ПРИВОДИТЬ,,686132,457302,103
СОДЕРЖАТЬСЯ,,686132,178437,103
ОПИСАТЬ,,686132,281655,103
ОКАЗЫВАТЬ,,686132,264209,103
ОГРАНИЧИВАТЬ,,686132,48860,102
ПОЯСНИТЬ,,686132,427441,101
ЗАНИМАТЬ,,686132,424637,101
УСВОИТЬ,,686132,26070,100
ВЫДАВАТЬСЯ,,686132,42551,100
СРАВНИТЬ,,686132,96794,99
ПОДСТАВЛЯТЬ,,686132,19040,99
НАПОЛНИТЬ,,686132,214691,99
ОСЛАБИТЬ,,686132,71174,99
ОТНОСИТЬ,,686132,847578,98
СРАВНИВАТЬСЯ,,686132,8830,98
ОЗНАЧАТЬ,,686132,257761,97
УМЕНЬШАТЬСЯ,,686132,36782,96
ПОДОБРАТЬ,,686132,163298,96
ЗАРЕГИСТРИРОВАТЬ,,686132,191492,96
ОБСУДИТЬ,,686132,257681,96
ОБОСНОВАТЬ,,686132,28989,96
ОЖИДАТЬ,,686132,340622,95
ПРИНАДЛЕЖАТЬ,,686132,443654,95
ОГРАНИЧИВАТЬСЯ,,686132,73214,94
ЧУВСТВОВАТЬ,,686132,423116,94
СТОИТЬ,,686132,915164,94
РАСТИ,,686132,194753,94
ОКАЗАТЬ,,686132,284176,93
ОБОЗНАЧАТЬ,,686132,67610,93
ОБНОВИТЬ,,686132,44968,93
ИМЕТЬСЯ,,686132,559835,93
ОКРУГЛЯТЬ,,686132,1889,92
ОТВЕРГАТЬ,,686132,40543,92
ГЕНЕРИРОВАТЬ,,686132,23058,91
СУММИРОВАТЬ,,686132,5402,91
СОПОСТАВИТЬ,,686132,13986,90
ОБНАРУЖИТЬ,,686132,995635,90
ПОДОРВАТЬ,,686132,38532,89
ЛЕЖАТЬ,,686132,1213074,89
ХАРАКТЕРИЗОВАТЬ,,686132,31973,89
СОЗНАТЬ,,686132,6848,89
УТВЕРЖДАТЬ,,686132,212801,89
ПРОАНАЛИЗИРОВАТЬ,,686132,53379,88
ПОЧУВСТВОВАТЬ,,686132,475425,88
ДОПУСКАТЬ,,686132,149833,86
ВКЛАДЫВАТЬ,,686132,45481,86
ТРЕБОВАТЬСЯ,,686132,347350,86
КОРРЕКТИРОВАТЬ,,686132,12847,85
ЗАНОСИТЬСЯ,,686132,5975,85
ДОКАЗАТЬ,,686132,93445,85
ПОСВЯТИТЬ,,686132,344349,84
ПОСТАВИТЬ,,686132,1143275,83
УГАДАТЬ,,686132,25703,83
ДЕМОНСТРИРОВАТЬ,,686132,115870,83
ДОБАВИТЬ,,686132,974156,83
ИЗВЛЕКАТЬ,,686132,27969,83
ОТВЕЧАТЬ,,686132,609071,82
ОБСУЖДАТЬ,,686132,159325,82
ВЫХОДИТЬ,,686132,543652,81
ВЫЯСНЯТЬ,,686132,33868,81
ИНИЦИАЛИЗИРОВАТЬ,,686132,1555,80
УСИЛИВАТЬСЯ,,686132,45206,80
ПОДАВАТЬ,,686132,229396,79
НАЗЫВАТЬСЯ,,686132,269560,79
ЗАБЫВАТЬ,,686132,108962,79
