verb,prep,freqNoun,freqVerb,freqComb
ОТКАЗАТЬСЯ,ОТ,349488,365325,6764
ОТНОСИТЬ,К,349488,847578,2942
СВЯЗАТЬ,С,349488,1362256,2812
ОСНОВАТЬ,НА,349488,407746,2158
ОТНЕСТИСЬ,К,349488,67550,1653
ВЕРНУТЬСЯ,К,349488,1351676,1556
ОТКАЗЫВАТЬСЯ,ОТ,349488,102991,1210
ВЫСТУПИТЬ,С,349488,502015,1149
НОСИТЬСЯ,С,349488,69830,1013
ВЕРИТЬ,В,349488,481858,660
УХВАТИТЬСЯ,ЗА,349488,65427,613
СОГЛАСИТЬСЯ,С,349488,603825,560
ПРИЙТИ,К,349488,550519,541
ОПИРАТЬСЯ,НА,349488,78279,464
ПРИСЛАТЬ,К,349488,489919,453
ОСНОВЫВАТЬСЯ,НА,349488,50664,453
ВОЗВРАЩАТЬСЯ,К,349488,391234,451
ПОСТРОИТЬ,НА,349488,583313,437
ГОВОРИТЬ,ОБ,349488,2673665,396
ПОМЕШАТЬ,НА,349488,121236,362
ПРИХОДИТЬ,К,349488,593265,344
ПРЕВРАТИТЬСЯ,В,349488,434499,331
РАССКАЗАТЬ,ОБ,349488,905982,327
ВЫСТУПАТЬ,ПРОТИВ,349488,463690,322
ВЫСТУПАТЬ,С,349488,463690,280
ВЫСТУПИТЬ,ПРОТИВ,349488,502015,270
ПОЗНАКОМИТЬСЯ,С,349488,201988,261
РАБОТАТЬ,ЗА,349488,1593272,260
БАЗИРОВАТЬСЯ,НА,349488,47927,254
ДУМАТЬ,ОБ,349488,575903,231
БОРОТЬСЯ,ЗА,349488,218009,229
СКЛОНЯТЬСЯ,К,349488,35894,227
ОТКРЫТЬ,ДЛЯ,349488,1671035,218
СОВПАДАТЬ,С,349488,133874,215
ОБРАТИТЬСЯ,К,349488,707150,206
РАБОТАТЬ,НАД,349488,1593272,191
ДОДУМАТЬСЯ,ДО,349488,5496,185
РАССТАТЬСЯ,С,349488,60359,182
СОГЛАШАТЬСЯ,С,349488,67945,178
ВОЗРАЖАТЬ,ПРОТИВ,349488,48256,172
ПРИВЕСТИ,К,349488,919531,157
ОТЛИЧАТЬСЯ,ОТ,349488,475656,155
УМЕРЕТЬ,ЗА,349488,447397,153
ГОВОРИТЬ,О,349488,2673665,152
СОГЛАСОВАТЬСЯ,С,349488,17376,149
ОБРАЩАТЬСЯ,К,349488,298417,147
ПОВЕРИТЬ,В,349488,125906,140
СОСРЕДОТОЧИТЬ,НА,349488,152236,139
ВОСПИТАТЬ,НА,349488,34512,138
РАЗОЧАРОВАТЬСЯ,В,349488,9206,137
ЗАЛОЖИТЬ,В,349488,241074,133
СТРОИТЬСЯ,НА,349488,86868,133
ПОДОЙТИ,К,349488,1011760,131
ОСТАНОВИТЬСЯ,НА,349488,517328,130
ИЗБАВИТЬСЯ,ОТ,349488,126845,127
ЗАИНТЕРЕСОВАТЬ,В,349488,252477,127
ВЛЮБИТЬ,В,349488,63038,120
ПРИВЯЗАТЬ,К,349488,186481,120
ОПРЕДЕЛИТЬСЯ,С,349488,54844,118
НУЖДАТЬСЯ,В,349488,309433,117
ПРЕВРАЩАТЬСЯ,В,349488,178349,115
ВЫСКАЗАТЬСЯ,ПРОТИВ,349488,128870,115
БЫТЬ,ПРОТИВ,349488,16504392,113
ДОЙТИ,ДО,349488,207410,111
УЗНАТЬ,ОБ,349488,696691,109
ПРИВЫКНУТЬ,К,349488,134421,109
НАЧИНАТЬСЯ,С,349488,374294,109
ЦЕПЛЯТЬСЯ,ЗА,349488,47666,108
ПОДХОДИТЬ,К,349488,383302,108
БЫТЬ,ПО,349488,16504392,108
ОТОЙТИ,ОТ,349488,202976,107
ПЕРЕКЛИКАТЬСЯ,С,349488,11215,107
СРАЖАТЬСЯ,ЗА,349488,114690,106
УВЕРИТЬ,В,349488,237645,105
ВОЕВАТЬ,ЗА,349488,99122,103
ОЗНАКОМИТЬСЯ,С,349488,92717,103
ВИДЕТЬ,В,349488,1971171,103
НАПРАВИТЬ,ПРОТИВ,349488,892815,102
ЗАКЛЮЧАТЬСЯ,В,349488,267094,102
СМОТРЕТЬ,НА,349488,1826817,102
ЗНАТЬ,ОБ,349488,1470177,101
НАТКНУТЬСЯ,НА,349488,109255,101
СВОДИТЬСЯ,К,349488,56266,100
ИГРАТЬ,С,349488,918112,99
ОТТАЛКИВАТЬСЯ,ОТ,349488,9128,97
РАСПРОСТРАНЯТЬСЯ,НА,349488,100328,96
ЗАДУМАТЬСЯ,НАД,349488,93988,93
НАЧИНАТЬ,С,349488,227086,91
СВЫКНУТЬСЯ,С,349488,7187,87
БОРОТЬСЯ,С,349488,218009,87
ВОСХОДИТЬ,К,349488,29978,86
ОХЛАДЕТЬ,К,349488,3834,85
