verb,prep,freqNoun,freqVerb,freqComb
УВЛЕКАТЬСЯ,,349488,85028,15421
БЫТЬ,,349488,16504392,13949
ПОДДЕРЖАТЬ,,349488,306969,10455
ПОДДЕРЖИВАТЬ,,349488,390178,8329
ВОЗНИКНУТЬ,,349488,564886,5900
ВЫДВИНУТЬ,,349488,148329,5531
НРАВИТЬСЯ,,349488,239917,4186
ПОЯВИТЬСЯ,,349488,1712736,3433
ЗАГОРЕТЬСЯ,,349488,76120,3359
ВЫСКАЗАТЬ,,349488,205660,3331
ПОНРАВИТЬСЯ,,349488,186457,2918
ПРЕДЛОЖИТЬ,,349488,622690,2723
РОДИТЬСЯ,,349488,304417,2650
ОДОБРИТЬ,,349488,199081,2227
ЯВЛЯТЬСЯ,,349488,3365085,2187
ПОДАТЬ,,349488,534831,2186
РЕАЛИЗОВАТЬ,,349488,164444,2158
ЗАКЛЮЧАТЬСЯ,,349488,267094,2156
РАЗВИВАТЬ,,349488,101608,2043
ПРИНЯТЬ,,349488,2446695,1923
УВЛЕЧЬ,,349488,66996,1865
ВОСПРИНЯТЬ,,349488,92504,1844
РАЗДЕЛЯТЬ,,349488,109760,1615
ОТВЕРГНУТЬ,,349488,68670,1610
ВЫДВИГАТЬ,,349488,36614,1580
СОСТОЯТЬ,,349488,473553,1534
ИСПОЛЬЗОВАТЬ,,349488,1431705,1518
ВЫНАШИВАТЬ,,349488,13541,1489
ВОЗНИКАТЬ,,349488,409064,1489
ЛЕЖАТЬ,,349488,1213074,1468
ПРОНИКНУТЬСЯ,,349488,33095,1457
ПРИНАДЛЕЖАТЬ,,349488,443654,1455
ОТСТАИВАТЬ,,349488,26157,1385
СФОРМУЛИРОВАТЬ,,349488,64495,1292
ЗАЛОЖИТЬ,,349488,241074,1285
ОТВЕРГАТЬ,,349488,40543,1227
СЧИТАТЬ,,349488,1388621,1225
ПОНЯТЬ,,349488,523934,1207
ВОПЛОТИТЬ,,349488,34435,1199
ВЫРАЗИТЬ,,349488,416769,1189
ИМЕТЬ,,349488,4883454,1189
ПРОПАГАНДИРОВАТЬ,,349488,10769,1142
ОБСУЖДАТЬ,,349488,159325,1137
ПРИХОДИТЬ,,349488,593265,1136
УВЛЕЧЬСЯ,,349488,48069,1131
ОБСУЖДАТЬСЯ,,349488,93340,1125
РАЗВИТЬ,,349488,65195,1091
ПРОДВИГАТЬ,,349488,14221,1078
ОЗВУЧИТЬ,,349488,60411,1067
ГЕНЕРИРОВАТЬ,,349488,23058,1047
НАЙТИ,,349488,1914932,1036
ВЫРАЖАТЬ,,349488,148337,1036
ВЫСКАЗЫВАТЬ,,349488,48260,994
НАЗВАТЬ,,349488,806830,983
ВЗЯТЬ,,349488,2235567,980
ИЗЛОЖИТЬ,,349488,104248,942
ОСЕНИТЬ,,349488,10727,909
ПОДХВАТИТЬ,,349488,184002,908
ОЦЕНИТЬ,,349488,254296,903
ПРОПОВЕДОВАТЬ,,349488,30645,890
ПРЕДЛАГАТЬ,,349488,379415,873
ОБЪЕДИНИТЬ,,349488,109378,865
СООТВЕТСТВОВАТЬ,,349488,432049,865
РОЖДАТЬСЯ,,349488,73540,853
ЗАХВАТИТЬ,,349488,332524,826
ПРИДУМАТЬ,,349488,161541,822
ОСТАВИТЬ,,349488,840269,819
ПРОТИВОРЕЧИТЬ,,349488,83227,812
ПРИНИМАТЬ,,349488,946204,805
ОДОБРЯТЬ,,349488,40755,799
ПОЯВЛЯТЬСЯ,,349488,440146,756
ПРИДЕРЖИВАТЬСЯ,,349488,86172,747
ПОДЕЛИТЬСЯ,,349488,123329,729
ВОПЛОЩАТЬ,,349488,15754,725
