verb,prep,freqNoun,freqVerb,freqComb
СПРОСИТЬ,С,397208,941901,9461
НАБЛЮДАТЬ,С,397208,308813,4156
СМОТРЕТЬ,С,397208,1826817,2777
СЛУШАТЬ,С,397208,295704,2535
ПОСМОТРЕТЬ,С,397208,1352306,2395
СВЯЗАТЬ,С,397208,1362256,2180
СОВПАДАТЬ,С,397208,133874,1598
СЛЕДИТЬ,С,397208,260823,1579
СПРОСИТЬ,БЕЗ,397208,941901,1349
УСТАВИТЬСЯ,С,397208,196459,806
НАПРАВИТЬ,ПРОТИВ,397208,892815,736
ВЗГЛЯНУТЬ,С,397208,517856,667
БЫТЬ,С,397208,16504392,602
ПРИСЛУШИВАТЬСЯ,С,397208,53850,597
ЧИТАТЬ,С,397208,552091,574
ПОГЛЯДЫВАТЬ,С,397208,57491,542
РАССМАТРИВАТЬ,С,397208,303388,529
ГОВОРИТЬ,ОБ,397208,2673665,488
ОСВЕДОМИТЬСЯ,С,397208,38822,487
ВХОДИТЬ,В,397208,780476,484
СЧИТАТЬСЯ,С,397208,334745,479
РАЗГЛЯДЫВАТЬ,С,397208,100639,453
ЗАБОТИТЬСЯ,ОБ,397208,75732,450
ДЕЙСТВОВАТЬ,В,397208,382299,445
СТОИТЬ,НА СТРАЖЕ,397208,915164,434
ЖДАТЬ,С,397208,793831,424
ВЫСЛУШАТЬ,С,397208,62077,423
ПЕРЕСПРОСИТЬ,С,397208,40858,421
ПРИНЯТЬСЯ,С,397208,85191,398
БЫТЬ,В,397208,16504392,376
ОСНОВАТЬ,НА,397208,407746,371
СПРАШИВАТЬ,С,397208,156680,363
ВСТРЕТИТЬ,С,397208,460413,355
ЧИТАТЬСЯ,С,397208,43229,347
ПРОЧИТАТЬ,С,397208,163482,339
ПРОДОЛЖАТЬ,С,397208,644375,325
ОТНОСИТЬ,С,397208,847578,321
ДУМАТЬ,ОБ,397208,575903,320
ИСПОЛЬЗОВАТЬ,В,397208,1431705,316
ГЛЯНУТЬ,С,397208,141089,315
ПРОЧЕСТЬ,С,397208,125768,307
ИГРАТЬ,НА,397208,918112,306
БОРОТЬСЯ,ЗА,397208,218009,292
ЗАБЫВАТЬ,ОБ,397208,108962,255
СКАЗАТЬ,С,397208,7659823,245
ГЛЯДЕТЬ,С,397208,163474,241
ПОСМАТРИВАТЬ,С,397208,21789,236
СТОЯТЬ,НА СТРАЖЕ,397208,1895692,227
ОТНОСИТЬ,К,397208,847578,222
ДЕЙСТВОВАТЬ,ПРОТИВ,397208,382299,221
ГОВОРИТЬ,О,397208,2673665,220
ОРИЕНТИРОВАТЬ,НА,397208,82405,219
ВОСПРИНЯТЬ,С,397208,92504,192
БЫТЬ,НЕ В,397208,16504392,189
ПОГЛЯДЕТЬ,С,397208,90797,184
ОТНЕСТИСЬ,С,397208,67550,177
ИЗУЧАТЬ,С,397208,238995,177
СТАВИТЬ,ВЫШЕ,397208,440697,177
ДЕЙСТВОВАТЬ,НЕ В,397208,382299,174
СМОТРЕТЬ,БЕЗ,397208,1826817,174
ЗНАТЬ,ОБ,397208,1470177,173
ДЕЙСТВОВАТЬ,ВОПРЕКИ,397208,382299,165
УТОЧНИТЬ,С,397208,215427,165
ОГЛЯДЕТЬСЯ,С,397208,53775,163
РАССЧИТЫВАТЬ,НА,397208,153049,161
СВИДЕТЕЛЬСТВОВАТЬ,ОБ,397208,153942,159
ВОЕВАТЬ,ЗА,397208,99122,153
ПОВЛИЯТЬ,НА,397208,103534,153
ПРИСМАТРИВАТЬСЯ,С,397208,12033,151
РАСХОДИТЬСЯ,С,397208,53788,150
ПОИНТЕРЕСОВАТЬСЯ,С,397208,118203,146
ПЕЧЬСЯ,ОБ,397208,7140,146
СЛУШАТЬ,БЕЗ,397208,295704,144
СООБЩАТЬСЯ,ОБ,397208,189579,142
УДАРИТЬ,ПО,397208,362864,142
РАБОТАТЬ,НА,397208,1593272,142
СООБЩАТЬ,ОБ,397208,1251997,141
ЗАВИСЕТЬ,ОТ,397208,343524,141
СОВПАСТЬ,С,397208,31800,137
ПРОИЗНЕСТИ,С,397208,784042,137
ПОСТАВИТЬ,ВЫШЕ,397208,1143275,136
ПОСМОТРЕТЬ,БЕЗ,397208,1352306,134
МОЧЬ,С,397208,850912,134
СТОЛКНУТЬСЯ,С,397208,214232,133
ПЕРЕСЕКАТЬСЯ,С,397208,15220,130
СПРОСИТЬ,НЕ БЕЗ,397208,941901,129
РАССПРАШИВАТЬ,С,397208,23904,127
УЗНАТЬ,ОБ,397208,696691,125
ОРИЕНТИРОВАТЬСЯ,НА,397208,40823,125
СМОТРЕТЬСЯ,С,397208,28729,121
ЗАЯВИТЬ,ОБ,397208,1836802,120
СВИДЕТЕЛЬСТВОВАТЬ,О,397208,153942,120
ОСМОТРЕТЬ,С,397208,150990,120
ЗАБЫВАТЬ,О,397208,108962,118
ОГЛЯДЫВАТЬСЯ,С,397208,32305,115
ПИСАТЬ,ОБ,397208,941379,114
РАССКАЗАТЬ,ОБ,397208,905982,114
СТАЛКИВАТЬСЯ,С,397208,113695,113
СООБЩИТЬ,ОБ,397208,2536261,111
ОЖИДАТЬ,С,397208,340622,111
ПОКОСИТЬСЯ,С,397208,82185,110
ЗАБОТИТЬСЯ,О,397208,75732,108
ВСМАТРИВАТЬСЯ,С,397208,35608,107
ЗАГЛЯНУТЬ,С,397208,211819,106
ДУМАТЬ,О,397208,575903,106
ЗАМЕТИТЬ,С,397208,1190242,106
СПРОСИТЬ,РАДИ,397208,941901,105
ОСМАТРИВАТЬСЯ,С,397208,5135,104
ПОВЕРНУТЬСЯ,С,397208,435507,104
ПОДУМАТЬ,С,397208,765714,103
СОЧЕТАТЬСЯ,С,397208,45113,102
БИТЬ,ПО,397208,263558,99
ПОЙТИ,ПРОТИВ,397208,1160508,98
СРАЖАТЬСЯ,ЗА,397208,114690,96
СКАЗАТЬСЯ,НА,397208,63070,95
РАБОТАТЬ,ПРОТИВ,397208,1593272,95
УЗНАТЬ,С,397208,696691,95
ВГЛЯДЫВАТЬСЯ,С,397208,45082,94
ОТРАЗИТЬСЯ,НА,397208,124569,94
НАПРАВИТЬ,НА,397208,892815,93
ОСВЕДОМИТЬСЯ,БЕЗ,397208,38822,91
УКАЗЫВАТЬ,НА,397208,211982,91
ЗАБЫТЬ,ОБ,397208,331942,88
ОТМЕТИТЬ,С,397208,1263077,87
РАБОТАТЬ,С,397208,1593272,87
ОГЛЯДЕТЬ,С,397208,108133,86
ВОЗЗРИТЬСЯ,С,397208,13006,86
СОСРЕДОТОЧИТЬ,НА,397208,152236,85
ВНИМАТЬ,С,397208,16811,85
ГЛАЗЕТЬ,С,397208,11997,83
ВЛИЯТЬ,НА,397208,146292,83
ПОСЛУШАТЬ,С,397208,50788,82
СОГЛАСОВАТЬСЯ,С,397208,17376,81
ВЫСТУПАТЬ,ПРОТИВ,397208,463690,80
ОСМОТРЕТЬСЯ,С,397208,14508,78
ОЗНАКОМИТЬСЯ,С,397208,92717,78
ВЗИРАТЬ,С,397208,28704,78
БЛАГОДАРИТЬ,ЗА,397208,101234,78
ПРИНЯТЬ,С,397208,2446695,77
ПОНАБЛЮДАТЬ,С,397208,10094,76
ОТОЗВАТЬСЯ,БЕЗ,397208,311726,76
ВСЛУШИВАТЬСЯ,С,397208,13932,75
ЗНАКОМИТЬСЯ,С,397208,49689,75
НАЧИНАТЬ,С,397208,227086,74
ИДТИ,ПРОТИВ,397208,2732778,73
НАБЛЮДАТЬ,НЕ БЕЗ,397208,308813,73
ПОСМОТРЕТЬ,РАДИ,397208,1352306,72
ОТВЕТИТЬ,БЕЗ,397208,2124020,70
СПРАШИВАТЬ,БЕЗ,397208,156680,70
ПОИНТЕРЕСОВАТЬСЯ,БЕЗ,397208,118203,70
ВЗГЛЯНУТЬ,БЕЗ,397208,517856,69
ОСМАТРИВАТЬ,С,397208,61687,68
ЗАГЛЯДЫВАТЬ,С,397208,54798,68
ЗАЯВЛЯТЬ,ОБ,397208,116783,68
ПРОГОВОРИТЬ,С,397208,337367,67
ПРИГЛЯДЫВАТЬСЯ,С,397208,5669,67
СКАЗАТЬ,БЕЗ,397208,7659823,66
ПОСТРОИТЬ,НА,397208,583313,66
УЧИТЬСЯ,С,397208,234228,64
СДЕЛАТЬ,В,397208,2688427,64
ОСНОВЫВАТЬСЯ,НА,397208,50664,64
ОПИРАТЬСЯ,НА,397208,78279,64
ОСТАТЬСЯ,ПРИ,397208,1167779,63
ВОСКЛИКНУТЬ,С,397208,199009,63
СПРОСИТЬ,БЕЗО,397208,941901,62
СЛЫШАТЬ,ОБ,397208,570359,61
ОБЕРНУТЬСЯ,С,397208,172362,61
РАБОТАТЬ,В,397208,1593272,60
ЗАБЫТЬ,О,397208,331942,58
ГОВОРИТЬ,С,397208,2673665,58
СТОИТЬ,ЗА,397208,915164,57
ПОСЯГАТЬ,НА,397208,5896,57
ПРОТЯНУТЬ,С,397208,588936,56
ДЕЙСТВОВАТЬ,ИСХОДЯ ИЗ,397208,382299,55
ССЫЛАТЬСЯ,НА,397208,43101,54
ОТЛИЧАТЬСЯ,ОТ,397208,475656,53
ЗНАТЬ,О,397208,1470177,53
ВОПРОСИТЬ,С,397208,9146,53
СОЗДАТЬ,С УЧЕТОМ,397208,1371673,52
НАБЛЮДАТЬ,БЕЗ,397208,308813,51
ЗАМЕТИТЬ,В,397208,1190242,51
ПЯЛИТЬСЯ,С,397208,14044,50
УТОЧНИТЬ,БЕЗ,397208,215427,50
РАДЕТЬ,ЗА,397208,2397,50
ПОЛЮБОПЫТСТВОВАТЬ,С,397208,4131,50
КОСИТЬ,С,397208,29468,50
СОСТАВИТЬ,С УЧЕТОМ,397208,497277,50
НАПЛЕВАТЬ,НА,397208,9331,50
НАДЕЯТЬСЯ,НА,397208,133380,49
ПОМНИТЬ,ОБ,397208,224087,49
ГЛЯНУТЬ,БЕЗ,397208,141089,49
СТОЯТЬ,ЗА,397208,1895692,48
РАССМОТРЕТЬ,С,397208,325472,47
ВЫСТУПАТЬ,ЗА,397208,463690,47
ИЗУЧИТЬ,С,397208,132969,47
ПОПРОБОВАТЬ,РАДИ,397208,67507,47
ОТКАЗАТЬСЯ,ОТ,397208,365325,46
СОСРЕДОТОЧИТЬСЯ,НА,397208,73016,46
ОГЛЯНУТЬСЯ,С,397208,98094,46
ОТОЗВАТЬСЯ,С,397208,311726,46
СТРОИТЬСЯ,НА,397208,86868,46
ЗАБЫВАТЬ,ПРО,397208,108962,45
ОТКЛИКНУТЬСЯ,С,397208,94873,45
ПОЗАБОТИТЬСЯ,ОБ,397208,47059,44
ОТНОСИТЬ,БЕЗ,397208,847578,44
ОБРАТИТЬСЯ,С,397208,707150,44
ПРЕВАЛИРОВАТЬ,НАД,397208,4927,43
ОГЛЯДЫВАТЬ,С,397208,22943,43
ЗАНИМАТЬСЯ,С,397208,986447,43
РАДЕТЬ,ОБ,397208,2397,43
ПОДУМАТЬ,ОБ,397208,765714,43
НАЧАТЬ,С,397208,573876,42
БОЛЕТЬ,ЗА,397208,112747,42
ПРОИЗНЕСТИ,БЕЗ,397208,784042,42
РАЗРАБОТАТЬ,С УЧЕТОМ,397208,438620,42
ОЖИДАТЬСЯ,С,397208,107004,42
ОТВЕТИТЬ,С,397208,2124020,42
ОСВЕДОМИТЬ,ОБ,397208,48142,42
ПРОСЛЕДИТЬ,С,397208,55560,42
РАССЧИТАТЬ,НА,397208,204535,41
ПОДУМАТЬ,БЕЗ,397208,765714,41
ПЛЕВАТЬ,НА,397208,21687,41
ЗАЙТИ,РАДИ,397208,312789,40
ВЫСЛУШИВАТЬ,С,397208,26314,40
СВЯЗАТЬ,СО,397208,1362256,40
ПРИВЯЗАТЬ,К,397208,186481,40
ОТНЕСТИСЬ,БЕЗ,397208,67550,39
ПРОСЛУШАТЬ,С,397208,17675,39
БАЗИРОВАТЬСЯ,НА,397208,47927,39
ИСПОЛЬЗОВАТЬ,ПРОТИВ,397208,1431705,39
ИГРАТЬ,БЕЗ,397208,918112,39
СПРОСИТЬ,СО,397208,941901,39
ПОПРОБОВАТЬ,ДЛЯ,397208,67507,39
ОТНЕСТИСЬ,К,397208,67550,38
ПОГРУЗИТЬ,В,397208,122199,38
РАБОТАТЬ,НЕ В,397208,1593272,38
ДУМАТЬ,С,397208,575903,37
СЛУШАТЬСЯ,С,397208,19178,37
ВЫСЛУШАТЬ,БЕЗ,397208,62077,37
ПРИСЛУШАТЬСЯ,С,397208,38986,37
ВСТРЕЧАТЬ,С,397208,195179,37
ПЕЧЬСЯ,О,397208,7140,36
ПРЕОБЛАДАТЬ,НАД,397208,47094,36
ВОСПРИНИМАТЬСЯ,С,397208,27198,36
ПЕРЕСЕЧЬСЯ,С,397208,5626,36
ПОДНЯТЬСЯ,НАД,397208,740995,35
СМОТРЕТЬ,НЕ БЕЗ,397208,1826817,35
ОЗИРАТЬСЯ,С,397208,14253,35
МОЧЬ,РАДИ,397208,850912,35
ПРИНЯТЬ,С УЧЕТОМ,397208,2446695,34
ПРИНЯТЬ,ИСХОДЯ ИЗ,397208,2446695,34
СОГЛАСОВАТЬ,С,397208,84135,34
ПОВТОРИТЬ,С,397208,298378,34
СТОИТЬ,ВЫШЕ,397208,915164,34
СКАЗАТЬ,В,397208,7659823,34
ЗАВЯЗАТЬ,НА,397208,69117,33
ДЕЙСТВОВАТЬ,ВО ИМЯ,397208,382299,33
ПРИНЮХАТЬСЯ,С,397208,2733,33
РЕШИТЬ,РАДИ,397208,472473,33
ДРАТЬСЯ,ЗА,397208,46748,33
ПЕРЕПЛЕСТИ,С,397208,12485,32
СУДИТЬ,ОБ,397208,132144,32
ВНИКАТЬ,С,397208,13472,32
ПРИВЫКНУТЬ,К,397208,134421,32
ИМЕТЬ,С,397208,4883454,32
ГОВОРИТЬ,В,397208,2673665,32
ПРИЩУРИТЬСЯ,С,397208,18427,32
ВГЛЯДЕТЬСЯ,С,397208,23679,32
ПРИЗНАТЬСЯ,В,397208,246491,32
ОКИНУТЬ,С,397208,103608,31
УВЯЗАТЬ,С,397208,15697,31
ССОРИТЬСЯ,НЕ В,397208,15170,31
ПОПРОСИТЬ,С,397208,474422,31
ПОКУШАТЬСЯ,НА,397208,8465,30
ОТОРВАТЬ,ОТ,397208,126955,30
СЫГРАТЬ,НА,397208,262561,30
ЛИСТАТЬ,С,397208,21629,30
СКОЛЬЗНУТЬ,БЕЗ,397208,141097,30
ВОЗОБЛАДАТЬ,НАД,397208,8689,30
ПРИСМОТРЕТЬСЯ,С,397208,19087,30
МОЛЧАТЬ,В,397208,90696,29
ОТКЛИКНУТЬСЯ,БЕЗ,397208,94873,29
СФОКУСИРОВАТЬ,НА,397208,15958,29
ИДТИ,С,397208,2732778,29
ПРЕДСТАВЛЯТЬ,В СВЯЗИ С,397208,614293,29
НАСТУПАТЬ,НА,397208,131947,28
ВСПОМНИТЬ,ОБ,397208,471977,28
ПРИНЯТЬ,В,397208,2446695,28
НАЦЕЛИТЬ,НА,397208,74037,28
СООТНОСИТЬСЯ,С,397208,11959,28
АПЕЛЛИРОВАТЬ,К,397208,6178,28
ИДТИ,ОБ,397208,2732778,28
ЗАГОВОРИТЬ,ОБ,397208,209611,28
ОБСУЖДАТЬ,С,397208,159325,28
ОТКАЗЫВАТЬСЯ,ОТ,397208,102991,27
ИДТИ,НА,397208,2732778,27
ПОЗНАКОМИТЬСЯ,С,397208,201988,27
ДЕЙСТВОВАТЬ,В СООТВЕТСТВИИ С,397208,382299,27
РАТОВАТЬ,ЗА,397208,9756,27
ЛИТЬ,С,397208,55255,27
РЕШИТЬ,С УЧЕТОМ,397208,472473,27
ОТДЕЛИТЬ,ОТ,397208,75839,27
ОСВЕДОМИТЬ,О,397208,48142,27
ПОСМОТРЕТЬ,НЕ БЕЗ,397208,1352306,27
УМИРАТЬ,ЗА,397208,131777,27
РАССКАЗАТЬ,В,397208,905982,27
ЛАВИРОВАТЬ,МЕЖДУ,397208,4084,26
ПРИВЕСТИ,К,397208,919531,26
РАЗДЕЛИТЬСЯ,ПО,397208,22059,26
СКАЗАТЬ,ОБ,397208,7659823,26
СЛИВАТЬСЯ,С,397208,43368,26
СФОРМИРОВАТЬ,С УЧЕТОМ,397208,160275,26
СОВЕРШИТЬ,В,397208,613907,26
СМОТРЕТЬ,НА,397208,1826817,26
РЕАГИРОВАТЬ,НА,397208,83970,25
ПОСЯГНУТЬ,НА,397208,4034,25
ПРИГЛЯДЕТЬСЯ,С,397208,8836,25
ПРЕДЪЯВИТЬ,В,397208,217120,25
СВЯЗЫВАТЬ,С,397208,95797,25
ЗАДАТЬ,С,397208,171688,25
ПОСМОТРЕТЬ,ДЛЯ,397208,1352306,25
ОБОЙТИСЬ,БЕЗ,397208,170455,25
ПОСТУПАТЬ,ВОПРЕКИ,397208,218376,25
БОРОТЬСЯ,НЕ ЗА,397208,218009,25
КИВНУТЬ,С,397208,737156,25
ПОСЧИТАТЬСЯ,С,397208,1919,25
ВОСПРИНИМАТЬ,С,397208,93390,25
ВЫСТУПИТЬ,ПРОТИВ,397208,502015,24
ПРОТЯНУТЬ,БЕЗ,397208,588936,24
ВОЙТИ,В,397208,1169413,24
УПОМЯНУТЬ,ОБ,397208,98643,24
УКЛАДЫВАТЬСЯ,В,397208,56197,24
ПРИСПОСОБИТЬ,К,397208,72616,24
