verb,prep,freqNoun,freqVerb,freqComb
ПРЕДСТАВЛЯТЬ,,397208,614293,44450
ПРОЯВЛЯТЬ,,397208,191824,26062
ПРОЯВИТЬ,,397208,192397,15993
ВЫЗВАТЬ,,397208,857411,14781
ПОТЕРЯТЬ,,397208,802609,12474
ВЫЗЫВАТЬ,,397208,574948,12177
ЗАЩИЩАТЬ,,397208,152032,9807
ОТВЕЧАТЬ,,397208,609071,8700
БЫТЬ,,397208,16504392,4839
ТЕРЯТЬ,,397208,355187,4535
УТРАТИТЬ,,397208,140914,4535
ОТСТАИВАТЬ,,397208,26157,4455
ИМЕТЬ,,397208,4883454,4305
СООТВЕТСТВОВАТЬ,,397208,432049,3697
УЧИТЫВАТЬ,,397208,75741,3087
ЗАТРАГИВАТЬ,,397208,28587,2954
ПРОТИВОРЕЧИТЬ,,397208,83227,2838
СЛУЖИТЬ,,397208,586125,2740
ИСПЫТЫВАТЬ,,397208,484183,2601
ЗАТРОНУТЬ,,397208,64283,2323
ВЫРАЖАТЬ,,397208,148337,2297
УЧЕСТЬ,,397208,96620,1969
ПОЯВИТЬСЯ,,397208,1712736,1846
ЗАЩИТИТЬ,,397208,176739,1791
СТАВИТЬ,,397208,440697,1548
ЛОББИРОВАТЬ,,397208,4675,1419
ПРОБУДИТЬ,,397208,22642,1319
ОТРАЖАТЬ,,397208,118809,1314
ПИТАТЬ,,397208,87599,1297
ПОДЧИНИТЬ,,397208,62894,1125
ВОЗНИКНУТЬ,,397208,564886,1089
ПОЧУВСТВОВАТЬ,,397208,475425,1056
ВЫКАЗЫВАТЬ,,397208,27873,1043
УЩЕМЛЯТЬ,,397208,2915,1031
ПРЕДСТАВИТЬ,,397208,1185156,1019
ПРЕСЛЕДОВАТЬ,,397208,56734,982
ВЫРАЗИТЬ,,397208,416769,920
ВОЗБУДИТЬ,,397208,144180,914
ПРИВЛЕЧЬ,,397208,280756,881
ПОСТАВИТЬ,,397208,1143275,878
ПРЕДАТЬ,,397208,80701,863
РУКОВОДСТВОВАТЬСЯ,,397208,43398,848
ПРОСНУТЬСЯ,,397208,121188,825
ПРОПАСТЬ,,397208,109658,812
ЯВЛЯТЬСЯ,,397208,3365085,807
ОБЕСПЕЧИТЬ,,397208,370722,804
ПОВЫСИТЬ,,397208,182813,804
СОВПАДАТЬ,,397208,133874,801
ПОДДЕРЖИВАТЬ,,397208,390178,791
ВОЗБУЖДАТЬ,,397208,31546,787
ПРОДИКТОВАТЬ,,397208,48417,786
ОБУСЛОВИТЬ,,397208,174986,781
ПОДОГРЕВАТЬ,,397208,7073,769
УЩЕМИТЬ,,397208,3291,761
ЗАМЕТИТЬ,,397208,1190242,754
ПОДОГРЕТЬ,,397208,7776,744
ЛЕЖАТЬ,,397208,1213074,704
УГРОЖАТЬ,,397208,96908,704
ОБСЛУЖИВАТЬ,,397208,33186,695
ВЫКАЗАТЬ,,397208,21071,677
ВОЗРАСТИ,,397208,33467,674
РАСТИ,,397208,194753,673
СТОИТЬ,,397208,915164,654
СТАЛКИВАТЬСЯ,,397208,113695,637
ОТМЕТИТЬ,,397208,1263077,621
ЖИТЬ,,397208,945973,605
ЗАМЕШАТЬ,,397208,65740,605
СВЯЗАТЬ,,397208,1362256,585
ЗАДЕТЬ,,397208,37548,569
ВСПЫХНУТЬ,,397208,179401,562
ПРОЯВЛЯТЬСЯ,,397208,74736,554
БЛЮСТИ,,397208,6958,553
ПРИВЛЕКАТЬ,,397208,150787,553
ВИДЕТЬ,,397208,1971171,552
УДОВЛЕТВОРИТЬ,,397208,129203,549
СОСРЕДОТОЧИТЬ,,397208,152236,539
ПОДТВЕРДИТЬ,,397208,499371,519
СТИМУЛИРОВАТЬ,,397208,59337,510
РАЗДЕЛЯТЬ,,397208,109760,500
ВОЗНИКАТЬ,,397208,409064,494
ЗАДЕВАТЬ,,397208,17881,490
ПРОБУЖДАТЬ,,397208,15601,490
ДЕМОНСТРИРОВАТЬ,,397208,115870,484
ПОЯВЛЯТЬСЯ,,397208,440146,479
СОХРАНЯТЬ,,397208,174965,474
ТРЕБОВАТЬ,,397208,688059,468
ПРЕДАВАТЬ,,397208,20474,461
ПРОБУДИТЬСЯ,,397208,14416,461
УТРАЧИВАТЬ,,397208,17569,452
СУЩЕСТВОВАТЬ,,397208,667956,450
ЗАКЛЮЧАТЬСЯ,,397208,267094,440
ПОВЫШАТЬ,,397208,124006,437
ЧУВСТВОВАТЬ,,397208,423116,435
СТОЛКНУТЬСЯ,,397208,214232,424
СОБЛЮДАТЬ,,397208,79803,424
ЗАТРАГИВАТЬСЯ,,397208,6104,422
СОХРАНИТЬ,,397208,287776,419
НАРУШАТЬ,,397208,132657,411
СОБЛЮСТИ,,397208,22701,407
МЕЛЬКНУТЬ,,397208,142837,402
ОБЕСПЕЧИВАТЬ,,397208,444294,401
УЧИТЫВАТЬСЯ,,397208,36586,400
ПОСЛУЖИТЬ,,397208,131041,397
ИЗОБРАЗИТЬ,,397208,310391,384
ВРЕДИТЬ,,397208,20138,381
НАРУШИТЬ,,397208,233899,381
КАСАТЬСЯ,,397208,174217,379
ПОНИМАТЬ,,397208,394627,364
ПЕРЕСЕКАТЬСЯ,,397208,15220,364
ИМЕТЬСЯ,,397208,559835,359
ИГНОРИРОВАТЬ,,397208,36883,350
ПРЕНЕБРЕГАТЬ,,397208,27237,346
НАПРАВИТЬ,,397208,892815,334
ПРОДВИГАТЬ,,397208,14221,332
НАЙТИ,,397208,1914932,330
ПОЛЬЗОВАТЬСЯ,,397208,487486,329
ВОЗРАСТАТЬ,,397208,34646,327
НАБЛЮДАТЬСЯ,,397208,156484,322
ПРОПАДАТЬ,,397208,35415,320
ОБЪЯСНЯТЬ,,397208,167559,320
ИЗОБРАЖАТЬ,,397208,90740,319
ОТСТОЯТЬ,,397208,18026,319
УДОВЛЕТВОРЯТЬ,,397208,39460,318
ВОЗРОДИТЬ,,397208,18011,317
СКРЫВАТЬ,,397208,111182,314
ЖЕРТВОВАТЬ,,397208,15733,314
ОБЪЯСНИТЬ,,397208,367380,310
НАХОДИТЬ,,397208,352769,310
УВИДЕТЬ,,397208,1503676,302
ЧИТАТЬСЯ,,397208,43229,300
ИСХОДИТЬ,,397208,99593,299
ОБНАРУЖИТЬ,,397208,995635,298
ЗАГОРЕТЬСЯ,,397208,76120,295
ПРОНИКНУТЬСЯ,,397208,33095,294
ДВИГАТЬ,,397208,50001,293
ОХРАНЯТЬ,,397208,60568,293
ОПРЕДЕЛЯТЬСЯ,,397208,177807,287
ПОГЛОТИТЬ,,397208,112051,282
ОТМЕЧАТЬ,,397208,430086,278
ЗАСЛУЖИВАТЬ,,397208,118485,270
ОБЪЕДИНИТЬ,,397208,109378,270
ПОСТРАДАТЬ,,397208,106921,269
СОСТОЯТЬ,,397208,473553,265
ПРОДЕМОНСТРИРОВАТЬ,,397208,136681,265
ЗАЖЕЧЬСЯ,,397208,37804,262
ПОЖЕРТВОВАТЬ,,397208,29834,262
ПРОЯВИТЬСЯ,,397208,32332,259
СВЕТИТЬСЯ,,397208,92826,249
ВЫРАСТИ,,397208,222187,248
СТОЯТЬ,,397208,1895692,244
ОЩУТИТЬ,,397208,218368,244
ПОКАЗАТЬ,,397208,1076177,244
ПОВРЕДИТЬ,,397208,130235,243
ПРИОБРЕТАТЬ,,397208,123426,240
УСИЛИТЬ,,397208,116786,239
НАПИСАТЬ,,397208,995391,230
ОКАЗАТЬСЯ,,397208,1813169,229
СНИЗИТЬ,,397208,133807,222
ОБНАРУЖИВАТЬ,,397208,55353,222
ПРОБУЖДАТЬСЯ,,397208,10620,218
ПРОМЕЛЬКНУТЬ,,397208,56775,217
СНИЖАТЬ,,397208,90420,215
СВЯЗЫВАТЬ,,397208,95797,214
УВАЖАТЬ,,397208,57428,214
ПОДДЕРЖАТЬ,,397208,306969,214
ОПРЕДЕЛИТЬ,,397208,398404,213
ВЕРНУТЬ,,397208,238989,213
РАЗВИВАТЬ,,397208,101608,212
ПРЕНЕБРЕЧЬ,,397208,14998,212
ПОКАЗЫВАТЬ,,397208,385626,211
СОВПАСТЬ,,397208,31800,210
НАХОДИТЬСЯ,,397208,2661082,207
ОБЪЕДИНЯТЬ,,397208,42789,206
СПОСОБСТВОВАТЬ,,397208,341770,205
ОГРАНИЧИВАТЬСЯ,,397208,73214,202
СОСТАВЛЯТЬ,,397208,443838,201
ПООЩРЯТЬ,,397208,28147,199
ПОНЯТЬ,,397208,523934,199
СЧИТАТЬ,,397208,1388621,199
ПОДНЯТЬ,,397208,1607770,199
СОЙТИСЬ,,397208,59650,197
ЗАМЕЧАТЬ,,397208,157259,196
ОТЛИЧАТЬСЯ,,397208,475656,195
ОБЪЯСНЯТЬСЯ,,397208,54867,192
СМЕНИТЬСЯ,,397208,86400,191
ОТСУТСТВОВАТЬ,,397208,156019,190
ОПРАВДАТЬ,,397208,70624,188
СХОДИТЬСЯ,,397208,47115,184
ПОДТВЕРЖДАТЬ,,397208,89962,184
ОПРЕДЕЛЯТЬ,,397208,239562,184
ПОДСТЕГНУТЬ,,397208,5556,184
ПОСТУПИТЬСЯ,,397208,3593,182
ПРИНИМАТЬ,,397208,946204,180
СТРАДАТЬ,,397208,200078,178
ПРИСУТСТВОВАТЬ,,397208,257932,175
УСИЛИВАТЬ,,397208,57797,175
СТАНОВИТЬСЯ,,397208,695686,173
ОСЛАБЕВАТЬ,,397208,6729,172
РАЗЖЕЧЬ,,397208,27087,172
СКРЫВАТЬСЯ,,397208,128616,172
БЛЕСНУТЬ,,397208,63922,170
ЗВУЧАТЬ,,397208,199984,170
ПОВЫСИТЬСЯ,,397208,20741,169
ОЖИДАТЬ,,397208,340622,168
ОБРАТИТЬ,,397208,709635,168
ОЖИВИТЬ,,397208,16099,164
ВОЗРОДИТЬСЯ,,397208,9077,163
УГАСНУТЬ,,397208,12279,162
ПРИОБРЕСТИ,,397208,335547,162
УДИВИТЬ,,397208,91483,161
СОХРАНЯТЬСЯ,,397208,86469,158
МОЧЬ,,397208,850912,158
ПОДЧИНЯТЬСЯ,,397208,75702,157
ПРИЗНАТЬ,,397208,490285,157
ОБРЕСТИ,,397208,204965,155
ТЕРЯТЬСЯ,,397208,51290,154
ПРИВИТЬ,,397208,12294,151
ПОВЫШАТЬСЯ,,397208,42528,151
ЛИШИТЬ,,397208,163428,150
ПРОСЫПАТЬСЯ,,397208,46713,150
ОЩУЩАТЬ,,397208,171151,149
ПОРОДИТЬ,,397208,56627,148
УВЕЛИЧИТЬ,,397208,219999,147
СКРЫТЬ,,397208,163551,147
ПРЕОБЛАДАТЬ,,397208,47094,146
ПРОЗВУЧАТЬ,,397208,183901,144
ОСТАТЬСЯ,,397208,1167779,144
УЩЕМЛЯТЬСЯ,,397208,520,143
ЧУВСТВОВАТЬСЯ,,397208,84907,143
ОТРАЗИТЬ,,397208,94090,142
ВЫДАТЬ,,397208,237631,137
ПРИДАВАТЬ,,397208,152391,136
ФОРМИРОВАТЬ,,397208,96147,136
ОГРАНИЧИТЬ,,397208,156833,135
ВЫЯВИТЬ,,397208,222645,135
УСИЛИТЬСЯ,,397208,42791,135
РАЗДЕЛИТЬ,,397208,158291,134
НАСЛАТЬ,,397208,382505,132
ВЫСКАЗАТЬ,,397208,205660,132
УГАСАТЬ,,397208,8157,130
ОЗАБОТИТЬ,,397208,37289,128
ДИКТОВАТЬСЯ,,397208,5220,128
ОБЛАДАТЬ,,397208,556026,127
ПАДАТЬ,,397208,201478,126
ПОСТУПАТЬСЯ,,397208,1345,126
РАСПРОСТРАНЯТЬСЯ,,397208,100328,126
ОСТАВАТЬСЯ,,397208,851043,125
ПЕРЕСЕЧЬСЯ,,397208,5626,124
ПРИКОВАТЬ,,397208,92852,124
РАЗБУДИТЬ,,397208,69805,124
ПРОСТИРАТЬСЯ,,397208,42426,124
ВОСПЫЛАТЬ,,397208,7605,123
ГАРАНТИРОВАТЬ,,397208,124526,122
ИСЧЕЗНУТЬ,,397208,333208,121
ОБОЗНАЧИТЬ,,397208,103287,118
УСИЛИВАТЬСЯ,,397208,45206,118
РАЗЖИГАТЬ,,397208,18533,118
НАВРЕДИТЬ,,397208,10397,117
СОГЛАСОВАТЬ,,397208,84135,116
ЗАСВЕТИТЬСЯ,,397208,24267,116
РУКОВОДИТЬ,,397208,143479,115
НАБЛЮДАТЬ,,397208,308813,113
НАЧИНАТЬСЯ,,397208,374294,112
ОТБИТЬ,,397208,60082,111
