verb,prep,freqNoun,freqVerb,freqComb
ПОНИМАТЬ,В,119255,394627,1182
ГОВОРИТЬ,ОБ,119255,2673665,1161
СВЯЗАТЬ,С,119255,1362256,1127
РАЗБИРАТЬСЯ,В,119255,85103,967
ОТНОСИТЬ,К,119255,847578,566
СМЫСЛИТЬ,В,119255,17076,554
ИСКУСИТЬ,В,119255,5733,401
ПРЕУСПЕТЬ,В,119255,13459,400
УПРАЖНЯТЬСЯ,В,119255,11206,338
ЗНАТЬ,ОБ,119255,1470177,312
БЫТЬ,В,119255,16504392,265
ПОЗНАКОМИТЬСЯ,С,119255,201988,246
СОВЕРШЕНСТВОВАТЬСЯ,В,119255,7005,214
ПРИОБЩИТЬСЯ,К,119255,7282,200
ВИДЕТЬ,В,119255,1971171,196
ГОВОРИТЬ,О,119255,2673665,195
ВЕРИТЬ,В,119255,481858,169
ОБРАТИТЬСЯ,К,119255,707150,168
ДУМАТЬ,ОБ,119255,575903,147
ПИСАТЬ,ОБ,119255,941379,145
ПОГОВОРИТЬ,ОБ,119255,155605,144
ИСКАТЬ,В,119255,819203,134
РАССУЖДАТЬ,ОБ,119255,66872,134
СМОТРЕТЬ,НА,119255,1826817,133
ЗНАКОМИТЬСЯ,С,119255,49689,125
ЗАВИСЕТЬ,ОТ,119255,343524,124
ПРАКТИКОВАТЬСЯ,В,119255,13941,123
ВЛЮБИТЬ,В,119255,63038,122
ПОДНАТОРЕТЬ,В,119255,1628,118
ПРИОБЩАТЬСЯ,К,119255,5054,116
ПРЕВРАТИТЬСЯ,В,119255,434499,115
ДОСТИЧЬ,В,119255,590710,114
ВЫПОЛНИТЬ,С,119255,932395,111
ЗАГОВОРИТЬ,ОБ,119255,209611,106
ПРЕВРАТИТЬ,В,119255,161883,103
ПРЕДСТАВИТЬ,В,119255,1185156,102
РАСПРОСТРАНИТЬ,В,119255,173998,100
СОРЕВНОВАТЬСЯ,В,119255,15009,100
ОБРАЩАТЬСЯ,К,119255,298417,97
ТРЕБОВАТЬ,ОТ,119255,688059,96
ПРЕВРАЩАТЬСЯ,В,119255,178349,93
ИМЕТЬ,К,119255,4883454,93
УВЕРИТЬ,В,119255,237645,87
ОТЛИЧАТЬСЯ,ОТ,119255,475656,86
ОТКАЗАТЬСЯ,ОТ,119255,365325,85
БЕСЕДОВАТЬ,ОБ,119255,64319,84
СПЕЦИАЛИЗИРОВАТЬСЯ,НА,119255,53997,84
ОТНЕСТИ,К,119255,146471,81
ВЕРНУТЬСЯ,К,119255,1351676,79
НАХОДИТЬ,В,119255,352769,79
СРАВНИТЬ,С,119255,96794,78
НУЖДАТЬСЯ,В,119255,309433,78
СДЕЛАТЬ,ДЛЯ,119255,2688427,77
СУЩЕСТВОВАТЬ,В,119255,667956,77
РАССКАЗЫВАТЬ,ОБ,119255,486665,77
СОСТЯЗАТЬСЯ,В,119255,6748,77
НАЙТИ,В,119255,1914932,76
ЗНАТЬ,О,119255,1470177,75
РАЗГОВАРИВАТЬ,ОБ,119255,170847,74
ТРЕНИРОВАТЬСЯ,В,119255,24543,73
СДЕЛАТЬ,С,119255,2688427,72
ВОЙТИ,В,119255,1169413,71
УЗНАТЬ,ОБ,119255,696691,69
ПОМЕШАТЬ,НА,119255,121236,68
СКАЗАТЬ,ОБ,119255,7659823,67
ПОСВЯТИТЬ,В,119255,344349,67
ОТРАЗИТЬ,В,119255,94090,64
СДЕЛАТЬ,В,119255,2688427,62
ВНЕСТИ,В,119255,379071,62
БЫТЬ,С,119255,16504392,62
ТЯГОТЕТЬ,К,119255,13413,62
ЖИТЬ,В,119255,945973,62
СПОРИТЬ,ОБ,119255,54815,61
РОДИТЬ,ДЛЯ,119255,120072,59
ВСТРЕЧАТЬСЯ,В,119255,327325,58
ОСНОВАТЬ,НА,119255,407746,57
ИЗОЩРИТЬ,В,119255,661,57
СОЗДАТЬ,В,119255,1371673,57
ПОДХОДИТЬ,К,119255,383302,56
ТЯНУТЬСЯ,К,119255,177858,55
РАССКАЗАТЬ,ОБ,119255,905982,54
СТРЕМИТЬСЯ,К,119255,134257,53
ИМЕТЬ,ОБ,119255,4883454,52
ПОПРАКТИКОВАТЬСЯ,В,119255,1610,52
СДЕЛАТЬ,РАДИ,119255,2688427,52
ПРИНЯТЬ,В,119255,2446695,51
ИСПОЛЬЗОВАТЬСЯ,В,119255,439186,50
ГОВОРИТЬ,ПРО,119255,2673665,50
ПРИОБЩИТЬ,К,119255,11174,49
ПОГРУЖАТЬСЯ,В,119255,61567,49
ЗАКЛЮЧАТЬСЯ,В,119255,267094,48
ОЗНАКОМИТЬСЯ,С,119255,92717,48
ПРЕВЗОЙТИ,В,119255,21313,48
СОМНЕВАТЬСЯ,В,119255,83778,48
БЫТЬ,ДЛЯ,119255,16504392,48
СОСРЕДОТОЧИТЬСЯ,НА,119255,73016,47
ПОЯВЛЯТЬСЯ,В,119255,440146,47
ВЫРАЗИТЬ,В,119255,416769,46
ПРИБЕГАТЬ,К,119255,60615,45
УХОДИТЬ,В,119255,342887,45
СОСРЕДОТОЧИТЬ,НА,119255,152236,45
УСТУПАТЬ,В,119255,103389,45
ЛЮБИТЬ,В,119255,950738,44
ДЕЛАТЬ,В,119255,1265891,44
ИЗОЩРЯТЬСЯ,В,119255,2876,44
ТЯНУТЬ,К,119255,164369,44
СОПРИКОСНУТЬСЯ,С,119255,9944,43
СУДИТЬ,ОБ,119255,132144,43
ПОСМОТРЕТЬ,НА,119255,1352306,43
ИДТИ,В,119255,2732778,42
РАБОТАТЬ,В,119255,1593272,42
ПРИЙТИ,В,119255,550519,42
ПРИБЕГНУТЬ,К,119255,33778,41
ПОЛАГАТЬСЯ,НА,119255,59160,39
ИГРАТЬ,В,119255,918112,39
СОЗДАТЬ,ДЛЯ,119255,1371673,38
ЦЕНИТЬ,В,119255,67057,38
ПРИНАДЛЕЖАТЬ,К,119255,443654,38
ПРИВНЕСТИ,В,119255,10791,37
ПОГРУЗИТЬСЯ,В,119255,156236,36
ВОЗВРАЩАТЬСЯ,К,119255,391234,35
НАТРЕНИРОВАТЬ,В,119255,2317,35
БОЛТАТЬ,ОБ,119255,45952,35
СОПРИКАСАТЬСЯ,С,119255,17630,35
ПРИСУТСТВОВАТЬ,В,119255,257932,34
ИСПОЛЬЗОВАТЬ,В,119255,1431705,34
ВЛАДЕТЬ,С,119255,210221,34
ЯВЛЯТЬСЯ,В,119255,3365085,34
СВЯЗЫВАТЬ,С,119255,95797,33
ГОВОРИТЬ,В,119255,2673665,33
ВВЕСТИ,В,119255,561530,33
ПРЕКЛОНЯТЬСЯ,ПЕРЕД,119255,6079,33
ПРОЯВЛЯТЬСЯ,В,119255,74736,33
ПРИКОСНУТЬСЯ,К,119255,56886,33
ПРОЯВИТЬСЯ,В,119255,32332,32
ПОУПРАЖНЯТЬСЯ,В,119255,1433,32
ПРОДВИНУТЬСЯ,В,119255,18778,32
ОТРАЗИТЬСЯ,В,119255,124569,32
СПЕЦИАЛИЗИРОВАТЬСЯ,В,119255,53997,32
СЛЕДИТЬ,ЗА,119255,260823,32
ОТРАЖАТЬСЯ,В,119255,86637,31
ОСВЕДОМИТЬ,В,119255,48142,31
СЛЫШАТЬ,ОБ,119255,570359,31
ПРОИСХОДИТЬ,В,119255,596752,31
ВЛАДЕТЬ,В,119255,210221,31
ВХОДИТЬ,В,119255,780476,31
ПОБЕСЕДОВАТЬ,ОБ,119255,16008,31
ИЗОБРАЖАТЬСЯ,В,119255,18174,31
ПОВЛИЯТЬ,НА,119255,103534,31
ВЗГЛЯНУТЬ,НА,119255,517856,31
РАБОТАТЬ,В ОБЛАСТИ,119255,1593272,31
ДУМАТЬ,О,119255,575903,30
СРАВНИВАТЬ,С,119255,66401,30
ПРЕУСПЕВАТЬ,В,119255,3729,29
ЗНАКОМИТЬ,С,119255,16494,29
ПРИБЛИЖАТЬСЯ,К,119255,195568,29
СОСТОЯТЬ,В,119255,473553,29
ПОТРЕНИРОВАТЬСЯ,В,119255,3678,29
УЗНАТЬ,О,119255,696691,28
ОБОЙТИСЬ,БЕЗ,119255,170455,28
УЙТИ,В,119255,626486,28
ПРЕВРАЩАТЬ,В,119255,57851,28
ОТКРЫТЬ,В,119255,1671035,28
ИСПОЛНИТЬ,С,119255,174260,28
ЗАЛОЖИТЬ,В,119255,241074,28
СРАВНИТЬСЯ,В,119255,13255,27
ПОДКОВАТЬ,В,119255,3062,27
ВЛИЯТЬ,НА,119255,146292,27
РАЗМЫШЛЯТЬ,ОБ,119255,64447,27
ПОЯВИТЬСЯ,В,119255,1712736,26
ВЛЮБИТЬСЯ,В,119255,52660,26
МЕЧТАТЬ,ОБ,119255,107084,26
ОРИЕНТИРОВАТЬ,НА,119255,82405,26
РАСПОЛОЖИТЬ,К,119255,794668,26
УМЕТЬ,С,119255,28981,26
ВОЗНИКНУТЬ,В,119255,564886,26
ВСТРЕТИТЬСЯ,С,119255,443509,25
ЗАКЛЮЧИТЬ,В,119255,538655,25
БЫВАТЬ,В,119255,361586,25
ПРИГОТОВИТЬ,С,119255,167771,25
ПРИСЛАТЬ,В,119255,489919,25
ИМЕТЬ,С,119255,4883454,24
ДОВЕСТИ,ДО,119255,146992,24
ЗАБЫТЬ,ОБ,119255,331942,24
ЗАБЫВАТЬ,ОБ,119255,108962,24
ВЫРЕЗАТЬ,С,119255,77050,24
ЗНАТЬ,В,119255,1470177,24
ДОБИТЬСЯ,В,119255,274505,24
ПРИМЕНЯТЬСЯ,В,119255,149724,23
СДЕЛАТЬ,НА,119255,2688427,23
НАПИСАТЬ,С,119255,995391,23
ПОГРУЗИТЬ,В,119255,122199,23
ВНОСИТЬ,В,119255,93635,23
ГОВОРИТЬСЯ,ОБ,119255,1052635,23
ОПИРАТЬСЯ,НА,119255,78279,23
РАССУЖДАТЬ,О,119255,66872,23
УСОВЕРШЕНСТВОВАТЬСЯ,В,119255,898,23
ВКЛАДЫВАТЬ,В,119255,45481,22
ВЕРИТЬ,В СИЛУ,119255,481858,22
ПЕРЕЙТИ,К,119255,445514,22
ОКАЗАТЬ,НА,119255,284176,22
ВЕРНУТЬСЯ,В,119255,1351676,22
ЖДАТЬ,ОТ,119255,793831,22
ВОПЛОТИТЬ,В,119255,34435,22
РАЗГЛАГОЛЬСТВОВАТЬ,ОБ,119255,4819,22
ПРОВЕСТИ,С,119255,1720693,22
ДЕЙСТВОВАТЬ,В,119255,382299,22
ПЕРЕДАТЬ,С,119255,696663,22
ПРИОБЩАТЬ,К,119255,2392,21
ЗНАЧИТЬ,ДЛЯ,119255,15842,21
ПРИРАВНЯТЬ,К,119255,16666,21
ПОТЕРЯТЬ,ДЛЯ,119255,802609,21
ПОЗНАКОМИТЬ,С,119255,25468,21
ВСТРЕЧАТЬ,В,119255,195179,21
УВИДЕТЬ,В,119255,1503676,20
ИМЕТЬ,В,119255,4883454,20
СКАЗАТЬСЯ,НА,119255,63070,20
ЗАГОВОРИТЬ,О,119255,209611,20
ОТРЕЧЬСЯ,ОТ,119255,20927,20
ЛЕЗТЬ,В,119255,114176,20
ПОНИМАТЬ,ПОД,119255,394627,20
ПРИСТРАСТИТЬСЯ,К,119255,9075,20
ПОЛОЖИТЬ,В,119255,827566,20
ПОСТРОИТЬ,СО,119255,583313,20
ЗАИНТЕРЕСОВАТЬ,В,119255,252477,20
СТАВИТЬ,ПЕРЕД,119255,440697,20
ДОЙТИ,В,119255,207410,19
СКЛОНИТЬ,К,119255,145082,19
ВМЕШИВАТЬСЯ,В,119255,47500,19
СКАЗАТЬ,О,119255,7659823,19
ДАТЬ,В,119255,1104316,19
ОДАРИТЬ,В,119255,22312,19
ПОДГОТОВИТЬ,В,119255,356423,19
ВЕСТИ,С,119255,907360,19
СТАЛКИВАТЬСЯ,С,119255,113695,19
НАБЛЮДАТЬ,В,119255,308813,19
ИМЕТЬ,О,119255,4883454,19
ЗАБЫТЬ,О,119255,331942,19
СТОЛКНУТЬСЯ,С,119255,214232,19
ВЫПИТЬ,ЗА,119255,180423,19
ПОДПУСКАТЬ,К,119255,10981,19
СОПЕРНИЧАТЬ,В,119255,10027,18
ДЕЙСТВОВАТЬ,С,119255,382299,18
РАТОВАТЬ,ЗА,119255,9756,18
ХОТЕТЬ,ОТ,119255,569716,18
ОТВЕЧАТЬ,ЗА,119255,609071,18
ОБНАРУЖИТЬ,В,119255,995635,18
ВОЗВЕСТИ,В,119255,87206,18
ПРИЧИСЛИТЬ,К,119255,22602,18
СЛЫШАТЬ,О,119255,570359,18
ВЫСТУПАТЬ,ПРОТИВ,119255,463690,18
ИМЕТЬ,ПРОТИВ,119255,4883454,18
ПРОНИКНУТЬ,В,119255,139441,18
ПРЕОБЛАДАТЬ,В,119255,47094,18
НАПРАВИТЬ,ПРОТИВ,119255,892815,18
ПРЕДНАЗНАЧИТЬ,ДЛЯ,119255,434100,18
ГОСПОДСТВОВАТЬ,В,119255,33863,18
УПРАВЛЯТЬ,С,119255,190940,18
ВСПОМНИТЬ,ОБ,119255,471977,17
СОЧЕТАТЬСЯ,С,119255,45113,17
ЖИТЬ,БЕЗ,119255,945973,17
ПРЕДСТАВАТЬ,В,119255,26632,17
ПРИВЫКНУТЬ,К,119255,134421,17
ПРОЦВЕТАТЬ,В,119255,24016,17
БОРОТЬСЯ,ЗА,119255,218009,17
БЫТЬ,К,119255,16504392,17
ОТДЕЛИТЬ,ОТ,119255,75839,17
НАПРАВИТЬ,НА,119255,892815,17
ВЫРАЖАТЬ,В,119255,148337,17
ПРОЯВИТЬ,В,119255,192397,17
ПРОЖИТЬ,В,119255,87958,17
ПРЕДСТАВЛЯТЬ,В,119255,614293,17
ПРИМЕНЯТЬ,К,119255,152803,17
ВЫРАЖАТЬСЯ,С ПОМОЩЬЮ,119255,46252,17
НАЗЫВАТЬСЯ,В,119255,269560,17
СКАЗАТЬ,ПРО,119255,7659823,17
ОТРАЗИТЬСЯ,НА,119255,124569,16
ВСТРЕЧАТЬСЯ,С,119255,327325,16
ПЕРЕЙТИ,ОТ,119255,445514,16
ПРИНЕСТИ,В,119255,560886,16
НАПИСАТЬ,ОБ,119255,995391,16
ОСНОВЫВАТЬСЯ,НА,119255,50664,16
ПИТАТЬ,К,119255,87599,16
ОТЗЫВАТЬСЯ,ОБ,119255,39197,16
ЖИТЬ,РАДИ,119255,945973,16
ВЗЯТЬСЯ,ЗА,119255,228478,16
ИСКУСИТЬ,ВО,119255,5733,16
ОРИЕНТИРОВАТЬСЯ,НА,119255,40823,16
РАБОТАТЬ,С,119255,1593272,16
НАБЛЮДАТЬ,ЗА,119255,308813,16
ТОЛКОВАТЬ,ОБ,119255,19157,16
ПИСАТЬ,О,119255,941379,16
ОСТАВАТЬСЯ,В,119255,851043,16
ОТТОЧИТЬ,ДО,119255,4617,16
ОТНЯТЬ,У,119255,63945,16
СРАВНЯТЬСЯ,В,119255,10553,16
СВЯЗАТЬ,СО,119255,1362256,16
СРАВНИТЬСЯ,С,119255,13255,15
УПОМИНАТЬ,ОБ,119255,65957,15
ОБРАТИТЬ,К,119255,709635,15
