verb,prep,freqNoun,freqVerb,freqComb
ВЛАДЕТЬ,,119255,210221,5812
ОВЛАДЕТЬ,,119255,106347,3775
ЛЮБИТЬ,,119255,950738,2927
БЫТЬ,,119255,16504392,2726
ИЗУЧАТЬ,,119255,238995,2548
ЗАНИМАТЬСЯ,,119255,986447,1952
УЧИТЬСЯ,,119255,234228,1462
ИНТЕРЕСОВАТЬСЯ,,119255,127931,1426
НАУЧИТЬСЯ,,119255,42058,1208
ОБЛАДАТЬ,,119255,556026,1171
ЯВЛЯТЬСЯ,,119255,3365085,1059
ОСВОИТЬ,,119255,51945,1032
ОБУЧАТЬСЯ,,119255,34741,992
ПОСВЯТИТЬ,,119255,344349,770
ОБУЧИТЬ,,119255,26078,765
ЗНАТЬ,,119255,1470177,705
УВЛЕКАТЬСЯ,,119255,85028,680
ПОНИМАТЬ,,119255,394627,649
ПОСТИЧЬ,,119255,41625,627
ПРЕДСТАВИТЬ,,119255,1185156,624
ОВЛАДЕВАТЬ,,119255,25051,619
ОБУЧАТЬ,,119255,32309,609
СЧИТАТЬ,,119255,1388621,580
ПОСТИГАТЬ,,119255,17540,579
НАЗЫВАТЬ,,119255,535788,571
УЧИТЬ,,119255,125474,560
ТРЕБОВАТЬ,,119255,688059,542
СОСТОЯТЬ,,119255,473553,515
ТРЕБОВАТЬСЯ,,119255,347350,477
СОЗДАТЬ,,119255,1371673,470
ПРЕПОДАВАТЬ,,119255,60107,469
ПОКРОВИТЕЛЬСТВОВАТЬ,,119255,9809,467
СУЩЕСТВОВАТЬ,,119255,667956,462
ЖИТЬ,,119255,945973,462
ИЗУЧИТЬ,,119255,132969,442
СЛУЖИТЬ,,119255,586125,440
ЦЕНИТЬ,,119255,67057,440
ЗАКЛЮЧАТЬСЯ,,119255,267094,438
НАЗВАТЬ,,119255,806830,437
СОЗДАВАТЬ,,119255,440892,418
ПРЕДСТАВЛЯТЬ,,119255,614293,387
СЧИТАТЬСЯ,,119255,334745,373
СТАНОВИТЬСЯ,,119255,695686,371
ОСВАИВАТЬ,,119255,23229,367
ДЕЛАТЬ,,119255,1265891,354
ПРОЦВЕТАТЬ,,119255,24016,331
ИМЕТЬ,,119255,4883454,324
ПОКАЗАТЬ,,119255,1076177,321
ДОСТИЧЬ,,119255,590710,312
ОЦЕНИТЬ,,119255,254296,305
ОБУЧИТЬСЯ,,119255,4349,294
ДЕМОНСТРИРОВАТЬ,,119255,115870,290
ВОСХИЩАТЬСЯ,,119255,40632,290
ЗАНЯТЬСЯ,,119255,335889,288
ИСПОЛЬЗОВАТЬ,,119255,1431705,280
РАЗВИВАТЬСЯ,,119255,111021,273
ПРАКТИКОВАТЬ,,119255,21355,271
УВЛЕЧЬ,,119255,66996,270
ОТЛИЧАТЬСЯ,,119255,475656,264
ПРОДЕМОНСТРИРОВАТЬ,,119255,136681,262
СЛАВИТЬСЯ,,119255,33529,261
ПОЗНАТЬ,,119255,57487,239
НАСЛАЖДАТЬСЯ,,119255,109585,229
СДЕЛАТЬ,,119255,2688427,228
РАССМАТРИВАТЬ,,119255,303388,222
РАЗВИВАТЬ,,119255,101608,217
НАЗЫВАТЬСЯ,,119255,269560,217
ТВОРИТЬ,,119255,56983,217
УВЛЕЧЬСЯ,,119255,48069,214
ПОКАЗЫВАТЬ,,119255,385626,211
ПРИЗНАТЬ,,119255,490285,206
ПРОЯВИТЬ,,119255,192397,202
НАУЧИТЬ,,119255,49221,199
ПОЛЬЗОВАТЬСЯ,,119255,487486,196
ИЗОБРЕСТИ,,119255,65181,193
ВОСПРИНИМАТЬ,,119255,93390,185
УТРАТИТЬ,,119255,140914,182
ОБОЖАТЬ,,119255,61725,182
ПРИНАДЛЕЖАТЬ,,119255,443654,179
РОЖДАТЬСЯ,,119255,73540,176
НРАВИТЬСЯ,,119255,239917,174
ВОЗНИКНУТЬ,,119255,564886,173
ВИДЕТЬ,,119255,1971171,172
ОТКРЫТЬ,,119255,1671035,169
СОВЕРШЕНСТВОВАТЬ,,119255,11101,166
ДАВАТЬ,,119255,1254195,165
ИНТЕРЕСОВАТЬ,,119255,93996,164
ПОНЯТЬ,,119255,523934,161
НАЧИНАТЬСЯ,,119255,374294,160
ПОРАЗИТЬ,,119255,166010,158
