verb,prep,freqNoun,freqVerb,freqComb
НАХОДИТЬСЯ,В,105407,2661082,2750
СВЯЗАТЬ,С,105407,1362256,1692
ПРИВЕСТИ,К,105407,919531,1590
СПРАВИТЬСЯ,С,105407,187100,986
СТОЛКНУТЬСЯ,С,105407,214232,907
ГОВОРИТЬ,О,105407,2673665,891
ПОСТРАДАТЬ,ОТ,105407,106921,673
ОКАЗАТЬСЯ,В,105407,1813169,611
БОРОТЬСЯ,С,105407,218009,558
ОПРАВИТЬСЯ,ОТ,105407,31708,317
ПРЕБЫВАТЬ,В,105407,144831,260
СПРАВЛЯТЬСЯ,С,105407,61178,230
БЫТЬ,В,105407,16504392,215
СВИДЕТЕЛЬСТВОВАТЬ,О,105407,153942,214
ПРИВОДИТЬ,К,105407,457302,210
СТРАДАТЬ,ОТ,105407,200078,207
ВОССТАНОВИТЬСЯ,ПОСЛЕ,105407,19111,198
ВЕРИТЬ,В,105407,481858,188
ПОГРУЗИТЬСЯ,В,105407,156236,179
ВОЙТИ,В,105407,1169413,176
СТАЛКИВАТЬСЯ,С,105407,113695,174
СТОИТЬ,НА ПОРОГЕ,105407,915164,169
РЕАГИРОВАТЬ,НА,105407,83970,167
ПЕРЕРАСТИ,В,105407,22988,163
ПОГРУЖАТЬСЯ,В,105407,61567,150
ПОПАСТЬ,В,105407,980276,136
ГОТОВИТЬСЯ,К,105407,247266,129
ЗНАТЬ,О,105407,1470177,122
ОТРЕАГИРОВАТЬ,НА,105407,71935,121
ВОССТАНАВЛИВАТЬСЯ,ПОСЛЕ,105407,17526,116
НАХОДИТЬСЯ,НА ПОРОГЕ,105407,2661082,115
ПРОХОДИТЬ,ЧЕРЕЗ,105407,938511,113
СОВПАСТЬ,С,105407,31800,109
ВХОДИТЬ,В,105407,780476,105
ВПАСТЬ,В,105407,98210,104
ПОДОЙТИ,К,105407,1011760,104
БЫТЬ,ДО,105407,16504392,104
ПРОЙТИ,ЧЕРЕЗ,105407,1295429,97
ВСТУПИТЬ,В,105407,352254,93
ВЕСТИ,К,105407,907360,88
ВЫЛИТЬСЯ,В,105407,25347,87
ЗАГОВОРИТЬ,О,105407,209611,84
ОКАЗАТЬСЯ,НА ПОРОГЕ,105407,1813169,84
ПРИБЛИЖАТЬСЯ,К,105407,195568,81
ПОДГОТОВИТЬ,К,105407,356423,80
ОКАЗАТЬСЯ,ПЕРЕД ЛИЦОМ,105407,1813169,79
ГОВОРИТЬ,ОБ,105407,2673665,77
РАССКАЗАТЬ,О,105407,905982,75
ЗАЯВИТЬ,О,105407,1836802,72
ОБРЕЧЬ,НА,105407,135388,71
ОТНОСИТЬ,К,105407,847578,71
РАССКАЗЫВАТЬ,О,105407,486665,69
СВЯЗЫВАТЬ,С,105407,95797,69
ВВЕРГНУТЬ,В,105407,10501,68
ВПАДАТЬ,В,105407,82097,68
ПИСАТЬ,О,105407,941379,67
ВСТУПАТЬ,В,105407,172970,67
ВИДЕТЬ,В,105407,1971171,67
ОБВИНИТЬ,В,105407,170639,64
ЗАВИСЕТЬ,ОТ,105407,343524,64
ЗАСТРАХОВАТЬ,ОТ,105407,26534,64
ДУМАТЬ,О,105407,575903,57
ВЫЖИТЬ,В,105407,36742,56
СПАСТИ,ОТ,105407,177154,55
ПОПАДАТЬ,В,105407,249861,52
ВЫДВИНУТЬ,ПОСЛЕ,105407,148329,52
ЖАЛОВАТЬСЯ,НА,105407,100729,51
СТОИТЬ,ПЕРЕД,105407,915164,51
ПРЕВРАТИТЬСЯ,В,105407,434499,50
ЗАЩИТИТЬ,ОТ,105407,176739,50
ПОЗАБЫТЬ,О,105407,21510,49
УКАЗЫВАТЬ,НА,105407,211982,48
ВТЯГИВАТЬСЯ,В,105407,7922,48
ОКАЗЫВАТЬСЯ,В,105407,230283,48
БЫТЬ,ВО ВРЕМЯ,105407,16504392,47
СЛЫШАТЬ,О,105407,570359,46
ЗАРАБОТАТЬ,НА,105407,121490,45
ОПРАВИТЬСЯ,ПОСЛЕ,105407,31708,45
ПОКОНЧИТЬ,С,105407,85698,45
ЗАИНТЕРЕСОВАТЬ,В,105407,252477,43
ПОДГОТОВИТЬСЯ,К,105407,24521,42
ВМЕШИВАТЬСЯ,В,105407,47500,42
ГОВОРИТЬ,ПРО,105407,2673665,42
ЗАБЫТЬ,О,105407,331942,42
САНИРОВАТЬ,В,105407,486,42
ВОВЛЕЧЬ,В,105407,56450,41
ВТЯНУТЬ,В,105407,63089,41
ВИНИТЬ,В,105407,13018,41
СТОИТЬ,ПЕРЕД ЛИЦОМ,105407,915164,41
ДВИГАТЬСЯ,К,105407,296744,40
ССЫЛАТЬСЯ,НА,105407,43101,40
ПЕРЕРАСТАТЬ,В,105407,8692,40
ВМЕШАТЬСЯ,В,105407,127296,39
ОПРАВЛЯТЬСЯ,ОТ,105407,2236,38
НАЧАТЬСЯ,ПОСЛЕ,105407,875770,38
СПЛОТИТЬСЯ,ПЕРЕД ЛИЦОМ,105407,3704,37
ПОГРУЗИТЬ,В,105407,122199,37
ВОССТАНОВИТЬСЯ,ОТ,105407,19111,36
НАЧАТЬСЯ,С,105407,875770,36
ОТЛИЧАТЬСЯ,ОТ,105407,475656,34
ДОВЕСТИ,ДО,105407,146992,34
ПРИОСТАНОВИТЬ,В СВЯЗИ С,105407,98141,33
ОБВИНЯТЬ,В,105407,107332,33
УВЯЗНУТЬ,В,105407,14484,33
ОЧУТИТЬСЯ,В,105407,114108,31
СРАВНИТЬ,С,105407,96794,31
СРАВНИВАТЬ,С,105407,66401,31
ВПОЛЗАТЬ,В,105407,4200,29
ИЗБАВИТЬСЯ,ОТ,105407,126845,29
ОБОЙТИСЬ,БЕЗ,105407,170455,29
НАПОМНИТЬ,О,105407,213660,29
ИДТИ,К,105407,2732778,28
РАЗОБРАТЬСЯ,С,105407,92171,28
СКАЗАТЬ,О,105407,7659823,28
УГОДИТЬ,В,105407,84366,28
ИДТИ,О,105407,2732778,28
СОСЛАТЬСЯ,НА,105407,21177,27
ПОСТРАДАТЬ,ВО ВРЕМЯ,105407,106921,27
РАССУЖДАТЬ,О,105407,66872,26
ПОСТРАДАТЬ,В,105407,106921,26
ПОГОВОРИТЬ,О,105407,155605,26
СЛЕДИТЬ,ЗА,105407,260823,26
ГОВОРИТЬСЯ,О,105407,1052635,26
БЫТЬ,С,105407,16504392,26
ОТВЕТИТЬ,НА,105407,2124020,26
ЭКОНОМИТЬ,В,105407,37972,26
АДАПТИРОВАТЬСЯ,К,105407,11538,25
ОТВЕТИТЬ,ЗА,105407,2124020,25
ЗАЯВЛЯТЬ,О,105407,116783,25
НАЖИВАТЬСЯ,НА,105407,3822,25
ПРИБЛИЗИТЬСЯ,К,105407,180085,25
КРИЧАТЬ,О,105407,134183,24
СПАСАТЬ,ОТ,105407,70807,24
