verb,prep,freqNoun,freqVerb,freqComb
ПЕРЕЖИВАТЬ,,105407,103297,6686
РАЗРАЗИТЬСЯ,,105407,88289,3379
БЫТЬ,,105407,16504392,3090
ПРЕОДОЛЕТЬ,,105407,109414,2275
ПЕРЕЖИТЬ,,105407,111233,2180
ВЫЗВАТЬ,,105407,857411,2086
МИНОВАТЬ,,105407,128490,2018
НАСТУПИТЬ,,105407,271078,1738
НАЧАТЬСЯ,,105407,875770,1465
ОСТАВАТЬСЯ,,105407,851043,1323
СПРОВОЦИРОВАТЬ,,105407,55492,968
ПРИВЕСТИ,,105407,919531,876
ВОЗНИКНУТЬ,,105407,564886,867
РАЗРЕШИТЬ,,105407,161018,755
СЛУЧИТЬСЯ,,105407,140815,722
ВЫБИТЬ,,105407,91874,719
ЗАКОНЧИТЬСЯ,,105407,228914,677
ЯВЛЯТЬСЯ,,105407,3365085,676
ИСПЫТЫВАТЬ,,105407,484183,651
ВЫЙТИ,,105407,1529334,634
НАСТУПАТЬ,,105407,131947,596
НАЗРЕВАТЬ,,105407,10389,540
ОХВАТИТЬ,,105407,167522,536
ГРЯНУТЬ,,105407,27749,532
ПРОЙТИ,,105407,1295429,498
ПРОДОЛЖАТЬСЯ,,105407,240099,459
ПОКАЗАТЬ,,105407,1076177,431
НАЗВАТЬ,,105407,806830,428
ПРОИЗОЙТИ,,105407,759327,407
ЖДАТЬ,,105407,793831,406
ЗАТРОНУТЬ,,105407,64283,395
ДОПУСТИТЬ,,105407,342029,393
УДАРИТЬ,,105407,362864,390
ГРОЗИТЬ,,105407,136941,386
ИЗБЕЖАТЬ,,105407,140162,384
ОБСУДИТЬ,,105407,257681,353
ПОВЛИЯТЬ,,105407,103534,349
ПОРАЗИТЬ,,105407,166010,343
УРЕГУЛИРОВАТЬ,,105407,16646,336
ПРЕДОТВРАТИТЬ,,105407,62818,316
ПРОИСХОДИТЬ,,105407,596752,309
НАЧИНАТЬСЯ,,105407,374294,300
ПОРОДИТЬ,,105407,56627,297
НАБЛЮДАТЬСЯ,,105407,156484,294
ОЖИДАТЬ,,105407,340622,292
ВОЗНИКАТЬ,,105407,409064,289
УСУГУБИТЬ,,105407,9390,289
ОБУСЛОВИТЬ,,105407,174986,272
СЧИТАТЬ,,105407,1388621,269
СКАЗАТЬСЯ,,105407,63070,265
РЕШИТЬ,,105407,472473,261
СОЗДАТЬ,,105407,1371673,252
ЗАВЕРШИТЬСЯ,,105407,176023,249
ПРЕОДОЛЕВАТЬ,,105407,35629,247
СОПРОВОЖДАТЬСЯ,,105407,112793,246
ИСПОЛЬЗОВАТЬ,,105407,1431705,242
НАЗРЕТЬ,,105407,7092,241
НАЗЫВАТЬ,,105407,535788,235
ОТРАЗИТЬСЯ,,105407,124569,233
ВЫЗЫВАТЬ,,105407,574948,227
НАРАСТАТЬ,,105407,34477,215
КОНЧИТЬСЯ,,105407,113644,205
СТАТЬ,,105407,686138,201
ПРЕДВИДЕТЬ,,105407,24981,194
ВИДЕТЬ,,105407,1971171,193
ПРИЙТИ,,105407,550519,193
БОЯТЬСЯ,,105407,360524,192
ПОМЕШАТЬ,,105407,121236,191
ПРОТИВОСТОЯТЬ,,105407,64909,184
ПОСВЯТИТЬ,,105407,344349,180
СКАЗЫВАТЬСЯ,,105407,51680,176
УГРОЖАТЬ,,105407,96908,176
СЛУЧАТЬСЯ,,105407,58596,176
РАЗРЕШИТЬСЯ,,105407,7406,175
БУШЕВАТЬ,,105407,42583,170
УСУГУБЛЯТЬ,,105407,11065,165
РАЗВИВАТЬСЯ,,105407,111021,163
БЫВАТЬ,,105407,361586,162
ПОСЛЕДОВАТЬ,,105407,238476,161
ВЫДЕРЖАТЬ,,105407,246706,160
ОБОСТРИТЬСЯ,,105407,15349,158
ЗАСТАВИТЬ,,105407,251564,155
НАДВИГАТЬСЯ,,105407,23377,154
ОКАЗАТЬСЯ,,105407,1813169,153
СУЩЕСТВОВАТЬ,,105407,667956,150
ПРОВОЦИРОВАТЬ,,105407,29698,148
ДОСТИЧЬ,,105407,590710,148
ИСПЫТАТЬ,,105407,165803,141
ПРОДЛИТЬСЯ,,105407,31019,140
ЗАТЯНУТЬСЯ,,105407,42955,139
СПОСОБСТВОВАТЬ,,105407,341770,138
СОЗДАВАТЬ,,105407,440892,138
ОСТАНОВИТЬ,,105407,337462,135
ПОЙТИ,,105407,1160508,134
ПРЕДСКАЗАТЬ,,105407,32449,134
ВЫХОДИТЬ,,105407,543652,133
НАМЕТИТЬСЯ,,105407,16989,131
ОБСУЖДАТЬ,,105407,159325,124
ОБЕРНУТЬСЯ,,105407,172362,124
ИМЕТЬ,,105407,4883454,123
СВЯЗАТЬ,,105407,1362256,120
ОБОСТРИТЬ,,105407,10665,120
ОТМЕТИТЬ,,105407,1263077,116
ПЕРЕНЕСТИ,,105407,203824,116
ПРИБЛИЖАТЬСЯ,,105407,195568,112
ИДТИ,,105407,2732778,112
КОСНУТЬСЯ,,105407,213239,112
ВОСПОЛЬЗОВАТЬСЯ,,105407,207683,112
ОБЪЯСНЯТЬ,,105407,167559,111
ОБЪЯСНИТЬ,,105407,367380,110
УСУГУБЛЯТЬСЯ,,105407,8197,110
ОЗНАЧАТЬ,,105407,257761,109
ПЕРЕРАСТИ,,105407,22988,109
ПОРОЖДАТЬ,,105407,52126,108
РАССМАТРИВАТЬ,,105407,303388,106
ПРЕДСКАЗЫВАТЬ,,105407,24490,106
СЫГРАТЬ,,105407,262561,105
ПОТРЯСТИ,,105407,120548,105
ПОБЕДИТЬ,,105407,167360,104
ПОСЛУЖИТЬ,,105407,131041,102
ОТРАЖАТЬ,,105407,118809,102
ОБЕСПОКОИТЬ,,105407,63391,102
МОЧЬ,,105407,850912,102
РАЗГОРЕТЬСЯ,,105407,30201,100
НАНЕСТИ,,105407,395822,99
СДЕЛАТЬ,,105407,2688427,97
ПРЕДСТАВЛЯТЬ,,105407,614293,97
УГЛУБЛЯТЬСЯ,,105407,16396,95
ПРЕДШЕСТВОВАТЬ,,105407,38730,94
ПРИВОДИТЬ,,105407,457302,94
ЛИКВИДИРОВАТЬ,,105407,87503,94
ПРОХОДИТЬ,,105407,938511,94
УСТРОИТЬ,,105407,449237,93
НАКРЫТЬ,,105407,136667,93
УСКОРИТЬ,,105407,76602,91
ПОСТИЧЬ,,105407,41625,90
ПРОДЕМОНСТРИРОВАТЬ,,105407,136681,90
ЗАКАНЧИВАТЬСЯ,,105407,110531,90
ПОЧУВСТВОВАТЬ,,105407,475425,89
НАЗЫВАТЬСЯ,,105407,269560,88
ВСПОМНИТЬ,,105407,471977,88
СРАВНИТЬ,,105407,96794,88
СТАНОВИТЬСЯ,,105407,695686,87
ВЛИЯТЬ,,105407,146292,87
ПОЛУЧИТЬ,,105407,3281968,87
ЗНАТЬ,,105407,1470177,86
ВЫБРАТЬСЯ,,105407,91222,86
НАСТАТЬ,,105407,125286,85
ПРОГНОЗИРОВАТЬ,,105407,57763,84
НОСИТЬ,,105407,566495,83
ДОБРАТЬСЯ,,105407,370154,81
ПОМОЧЬ,,105407,320253,81
ДАВАТЬ,,105407,1254195,81
ПОЗВОЛИТЬ,,105407,288075,80
УСУГУБИТЬСЯ,,105407,2379,79
ПРОЯВЛЯТЬСЯ,,105407,74736,79
СОТРЯСАТЬ,,105407,14445,78
ОРГАНИЗОВАТЬ,,105407,478822,78
ПРЕДРЕКАТЬ,,105407,8414,76
ОБОСТРЯТЬСЯ,,105407,5933,76
ПОСТАВИТЬ,,105407,1143275,76
КОНСТАТИРОВАТЬ,,105407,101734,75
УСИЛИТЬ,,105407,116786,75
ПОВЛЕЧЬ,,105407,14539,73
ИЗМЕНИТЬ,,105407,360414,73
ОЩУЩАТЬСЯ,,105407,49837,73
ЗАМЕТИТЬ,,105407,1190242,73
ЗАВЕРШИТЬ,,105407,249424,71
ПОКАЗЫВАТЬ,,105407,385626,70
ОЩУЩАТЬ,,105407,171151,69
ОПАСАТЬСЯ,,105407,80376,68
ОСЛАБИТЬ,,105407,71174,67
ПРИЗНАТЬ,,105407,490285,67
ДЛИТЬСЯ,,105407,56905,67
ОБЪЯСНЯТЬСЯ,,105407,54867,66
НАСТИЧЬ,,105407,19594,64
СЛЕДОВАТЬ,,105407,314058,62
ЯВИТЬСЯ,,105407,321602,62
ОБРУШИТЬСЯ,,105407,103081,62
ВЫНУДИТЬ,,105407,53111,62
СОВПАСТЬ,,105407,31800,62
ПОДОРВАТЬ,,105407,38532,61
НАПОМИНАТЬ,,105407,393540,61
ПРЕДВЕЩАТЬ,,105407,31145,60
ПРЕТЕРПЕВАТЬ,,105407,10657,60
ПРЕРВАТЬ,,105407,186538,60
ПРИЙТИСЬ,,105407,125031,60
ПЕРЕЖДАТЬ,,105407,8855,58
РАСПРОСТРАНИТЬСЯ,,105407,36571,58
ВЫЯВИТЬ,,105407,222645,58
РАЗРАСТАТЬСЯ,,105407,8984,58
ДАТЬ,,105407,1104316,57
ГРЯСТИ,,105407,9254,57
СВИРЕПСТВОВАТЬ,,105407,12435,57
РАЗВОРАЧИВАТЬСЯ,,105407,44275,56
ВОСПРИНИМАТЬ,,105407,93390,56
ЗАМЕЧАТЬ,,105407,157259,56
РАЗРАЖАТЬСЯ,,105407,7904,56
ВСТРЕТИТЬ,,105407,460413,56
УСИЛИВАТЬСЯ,,105407,45206,56
ПОМНИТЬ,,105407,224087,56
ОБОСТРЯТЬ,,105407,9296,55
ДОКАТИТЬСЯ,,105407,9348,55
ОКАЗАТЬ,,105407,284176,54
ВСПЫХНУТЬ,,105407,179401,54
РАЗГОРАТЬСЯ,,105407,22904,54
ОБОЗНАЧИТЬСЯ,,105407,14864,53
НАПУГАТЬ,,105407,41645,52
УСИЛИТЬСЯ,,105407,42791,52
ИНИЦИИРОВАТЬ,,105407,51621,51
ОБНАЖИТЬ,,105407,35588,51
РАЗРЕШАТЬ,,105407,33642,51
ИЗВЛЕЧЬ,,105407,97560,51
УВИДЕТЬ,,105407,1503676,51
ПРОДОЛЖИТЬСЯ,,105407,38735,51
СМЯГЧИТЬ,,105407,32443,50
ПОВТОРИТЬСЯ,,105407,26479,50
ВНЕСТИ,,105407,379071,49
УГЛУБИТЬ,,105407,5883,49
УСТРАИВАТЬ,,105407,208209,49
УСТРАНИТЬ,,105407,66214,48
ПРЕВРАТИТЬ,,105407,161883,48
РАЗРУШИТЬ,,105407,160318,48
ПОДТОЛКНУТЬ,,105407,37424,47
ВОЙТИ,,105407,1169413,47
ПАРАЛИЗОВАТЬ,,105407,32592,47
ДОВЕСТИ,,105407,146992,47
ОБСУЖДАТЬСЯ,,105407,93340,46
ВСТУПИТЬ,,105407,352254,46
ХАРАКТЕРИЗОВАТЬСЯ,,105407,62149,46
ЗАТЯГИВАТЬСЯ,,105407,18957,46
ДЕЛАТЬ,,105407,1265891,46
УСИЛИВАТЬ,,105407,57797,45
БИТЬ,,105407,263558,45
КАСАТЬСЯ,,105407,174217,45
ДОБАВИТЬСЯ,,105407,21885,44
ПОДКОСИТЬ,,105407,2098,44
ПРОЯВИТЬСЯ,,105407,32332,44
СВЯЗЫВАТЬ,,105407,95797,43
ПЕРЕЙТИ,,105407,445514,43
ВЕСТИ,,105407,907360,41
МЕШАТЬ,,105407,203224,41
ПРЕОДОЛЕВАТЬСЯ,,105407,2416,41
ГОВОРИТЬ,,105407,2673665,40
