verb,prep,freqNoun,freqVerb,freqComb
СДВИНУТЬСЯ,С,1760989,58074,38537
ДВИНУТЬСЯ,С,1760989,250690,35769
СОРВАТЬСЯ,С,1760989,123810,26694
ДВИГАТЬСЯ,С,1760989,296744,23361
ТРОНУТЬСЯ,С,1760989,88762,23156
ДОБРАТЬСЯ,ДО,1760989,370154,17784
ВЕРНУТЬСЯ,НА,1760989,1351676,12838
ВСКОЧИТЬ,С,1760989,207743,11712
ПОДНЯТЬСЯ,С,1760989,740995,11098
ПРИБЫТЬ,НА,1760989,343485,10282
ПОСТАВИТЬ,НА,1760989,1143275,10244
ТРОГАТЬСЯ,С,1760989,16171,10084
СКРЫТЬСЯ,С,1760989,192834,8485
НАХОДИТЬСЯ,В,1760989,2661082,7644
ВЫЕХАТЬ,НА,1760989,163638,6840
ВСТАТЬ,НА,1760989,507057,6049
СДВИНУТЬ,С,1760989,77005,5988
РАСПОЛОЖИТЬ,В,1760989,794668,5927
СРЫВАТЬСЯ,С,1760989,34133,5739
БЫТЬ,НА,1760989,16504392,5714
ОКАЗАТЬСЯ,В,1760989,1813169,5630
РВАНУТЬ,С,1760989,77569,5514
ПРИЕХАТЬ,НА,1760989,516603,4382
ДОЙТИ,ДО,1760989,207410,4169
ВСТАТЬ,С,1760989,507057,3967
БЫТЬ,В,1760989,16504392,3885
СИДЕТЬ,НА,1760989,1552440,3715
ПОДОЙТИ,К,1760989,1011760,3668
ПОЛОЖИТЬ,НА,1760989,827566,3535
ВОЗВРАЩАТЬСЯ,НА,1760989,391234,3355
ВЕРНУТЬ,НА,1760989,238989,3341
СТОЯТЬ,НА,1760989,1895692,3300
ПОПАСТЬ,В,1760989,980276,3254
ВЫЙТИ,НА,1760989,1529334,3178
СНЯТЬСЯ,С,1760989,47165,3062
СЕСТЬ,НА,1760989,106490,2726
СТАВИТЬ,НА,1760989,440697,2575
ВЫЕЗЖАТЬ,НА,1760989,62257,2557
ОСТАВАТЬСЯ,НА,1760989,851043,2530
