verb,prep,freqNoun,freqVerb,freqComb
ИМЕТЬ,,1760989,4883454,130279
ЗАНЯТЬ,,1760989,593852,88047
БЫТЬ,,1760989,16504392,67983
ЗАНИМАТЬ,,1760989,424637,50723
НАЙТИ,,1760989,1914932,34286
УСТУПИТЬ,,1760989,110607,24875
ВЫБРАТЬ,,1760989,575313,22649
НАЙТИСЬ,,1760989,196855,21956
ОСТАТЬСЯ,,1760989,1167779,12971
ХВАТИТЬ,,1760989,336837,12717
ИСКАТЬ,,1760989,819203,12167
ХВАТАТЬ,,1760989,611205,11851
ПОЛУЧИТЬ,,1760989,3281968,11678
ОСТАВАТЬСЯ,,1760989,851043,10992
УСТУПАТЬ,,1760989,103389,10513
ЯВЛЯТЬСЯ,,1760989,3365085,10148
ОСТАВЛЯТЬ,,1760989,318436,9112
НАХОДИТЬСЯ,,1760989,2661082,8885
ЗНАТЬ,,1760989,1470177,8875
ОПРЕДЕЛИТЬ,,1760989,398404,8790
ПОКИНУТЬ,,1760989,535644,8567
УКАЗАТЬ,,1760989,634172,8300
НАСЛАТЬ,,1760989,382505,7157
ОТВЕСТИ,,1760989,276420,6874
ВЫБИРАТЬ,,1760989,192604,6829
ОСТАВИТЬ,,1760989,840269,5762
НАХОДИТЬ,,1760989,352769,5451
ПОСЕТИТЬ,,1760989,243904,5170
ДОСТИЧЬ,,1760989,590710,5059
ОСМОТРЕТЬ,,1760989,150990,4706
ПОКАЗАТЬ,,1760989,1076177,4082
ОКАЗАТЬСЯ,,1760989,1813169,4072
ОБНАРУЖИТЬ,,1760989,995635,3908
ОСВОБОДИТЬ,,1760989,229625,3906
ОТЫСКАТЬ,,1760989,146331,3895
ПОТЕРЯТЬ,,1760989,802609,3741
СЛУЖИТЬ,,1760989,586125,3353
ПОКИДАТЬ,,1760989,208228,3337
МЕНЯТЬ,,1760989,186175,3278
СМЕНИТЬ,,1760989,197293,3275
НАЗВАТЬ,,1760989,806830,3267
ОТМЕТИТЬ,,1760989,1263077,3199
УВИДЕТЬ,,1760989,1503676,3138
СТАТЬ,,1760989,686138,3107
УЗНАТЬ,,1760989,696691,3073
ВИДЕТЬ,,1760989,1971171,3053
ПОСЕЩАТЬ,,1760989,130709,2845
ПРЕДУСМОТРЕТЬ,,1760989,288804,2791
ОТВОДИТЬ,,1760989,90641,2701
ВЫДЕЛИТЬ,,1760989,259457,2576
ОПРЕДЕЛЯТЬ,,1760989,239562,2291
УСТАНОВИТЬ,,1760989,1088052,2279
ОБОЗНАЧИТЬ,,1760989,103287,2262
ПРЕДЛОЖИТЬ,,1760989,622690,2234
СЧИТАТЬСЯ,,1760989,334745,2203
ОСМАТРИВАТЬ,,1760989,61687,2011
ОБОРУДОВАТЬ,,1760989,132355,1990
УКАЗЫВАТЬ,,1760989,211982,1912
ПРЕДОСТАВИТЬ,,1760989,329316,1897
СТАНОВИТЬСЯ,,1760989,695686,1890
ДОСТАТЬСЯ,,1760989,104983,1812
ИМЕТЬСЯ,,1760989,559835,1807
НАЗЫВАТЬ,,1760989,535788,1794
ДАВАТЬ,,1760989,1254195,1759
ОСВОБОДИТЬСЯ,,1760989,50938,1759
ДАТЬ,,1760989,1104316,1735
НАЗНАЧИТЬ,,1760989,670905,1664
НАЗЫВАТЬСЯ,,1760989,269560,1662
РАСЧИСТИТЬ,,1760989,21052,1634
ЗАБРОНИРОВАТЬ,,1760989,16115,1634
ИЗБРАТЬ,,1760989,238098,1580
ПРИГОТОВИТЬ,,1760989,167771,1552
ПОДГОТОВИТЬ,,1760989,356423,1508
ПОЛУЧАТЬ,,1760989,883886,1493
РАСПОЛОЖИТЬ,,1760989,794668,1489
ЛИШИТЬСЯ,,1760989,166332,1392
ПОМЕНЯТЬ,,1760989,72163,1379
ИЗБЕГАТЬ,,1760989,94891,1316
СУЩЕСТВОВАТЬ,,1760989,667956,1303
ОЦЕПИТЬ,,1760989,24459,1300
УГОТОВАТЬ,,1760989,22746,1255
СОХРАНИТЬ,,1760989,287776,1245
ПОКАЗЫВАТЬ,,1760989,385626,1205
ОТМЕЧАТЬ,,1760989,430086,1193
ОСВОБОЖДАТЬ,,1760989,39310,1186
МИНОВАТЬ,,1760989,128490,1154
ЗАРЕЗЕРВИРОВАТЬ,,1760989,10431,1152
ПОЯВИТЬСЯ,,1760989,1712736,1122
УДЕЛИТЬ,,1760989,80607,1103
ЛЮБИТЬ,,1760989,950738,1067
ОРГАНИЗОВАТЬ,,1760989,478822,1064
ПОДЫСКАТЬ,,1760989,12667,1060
ОБСЛЕДОВАТЬ,,1760989,38841,1051
ПОИСКАТЬ,,1760989,68200,1045
НАЩУПАТЬ,,1760989,82029,1039
ВЫЯВИТЬ,,1760989,222645,1029
УСТРОИТЬ,,1760989,449237,1025
ЗАВОЕВАТЬ,,1760989,127212,1023
СОЗДАТЬ,,1760989,1371673,1014
ЗАМЕТИТЬ,,1760989,1190242,996
СЧИТАТЬ,,1760989,1388621,991
КАЗАТЬСЯ,,1760989,318126,975
ЗАПОМНИТЬ,,1760989,53074,966
ОБЕСПЕЧИТЬ,,1760989,370722,961
ОБОЗНАЧАТЬ,,1760989,67610,929
ИЗМЕНИТЬ,,1760989,360414,880
ОПРЕДЕЛЯТЬСЯ,,1760989,177807,849
ПЕРЕМЕНИТЬ,,1760989,32424,843
КУПИТЬ,,1760989,775243,842
НАМЕТИТЬ,,1760989,90364,837
ПОДОБРАТЬ,,1760989,163298,836
ВЗЯТЬ,,1760989,2235567,817
ПРИНАДЛЕЖАТЬ,,1760989,443654,804
ОЧИСТИТЬ,,1760989,115774,800
ПРЕДСТАВЛЯТЬ,,1760989,614293,781
ПРЕДЛАГАТЬ,,1760989,379415,779
ЗАКАЗАТЬ,,1760989,166018,751
РАСПОЛАГАТЬСЯ,,1760989,280304,749
ПОМЕТИТЬ,,1760989,23506,741
ГАРАНТИРОВАТЬ,,1760989,124526,737
ЗАСЛУЖИТЬ,,1760989,67277,693
МОЧЬ,,1760989,850912,668
ОБОЙТИ,,1760989,145653,668
ЗАСЛУЖИВАТЬ,,1760989,118485,657
ГОТОВИТЬ,,1760989,291402,644
ОПИСАТЬ,,1760989,281655,641
ПРОВЕРИТЬ,,1760989,265080,630
СДЕЛАТЬ,,1760989,2688427,623
ТРЕБОВАТЬ,,1760989,688059,620
УЗНАВАТЬ,,1760989,35924,615
ПУСТОВАТЬ,,1760989,8928,610
РАСЧИЩАТЬ,,1760989,10429,606
ПОДЫСКИВАТЬ,,1760989,12758,606
ПОСМОТРЕТЬ,,1760989,1352306,601
НАПОМИНАТЬ,,1760989,393540,585
ПОМНИТЬ,,1760989,224087,584
ОБЕЩАТЬ,,1760989,175179,561
ПРЕДПОЧИТАТЬ,,1760989,131622,558
ЭКОНОМИТЬ,,1760989,37972,556
ОБХОДИТЬ,,1760989,48589,554
ОГЛЯДЕТЬ,,1760989,108133,554
ВЫГЛЯДЕТЬ,,1760989,217511,549
УТОЧНИТЬ,,1760989,215427,546
ЗАПОЛНИТЬ,,1760989,198689,541
ВЫИСКИВАТЬ,,1760989,12713,539
ИССЛЕДОВАТЬ,,1760989,94839,536
ИСПОЛЬЗОВАТЬ,,1760989,1431705,533
ПЕРЕНЕСТИ,,1760989,203824,531
СООТВЕТСТВОВАТЬ,,1760989,432049,525
НРАВИТЬСЯ,,1760989,239917,521
ОЗНАЧАТЬ,,1760989,257761,519
ПРЕДОСТАВЛЯТЬ,,1760989,167526,510
УКАЗЫВАТЬСЯ,,1760989,66602,507
ОКРУЖИТЬ,,1760989,166207,504
ВЫЧИСЛИТЬ,,1760989,26812,500
