verb,prep,freqNoun,freqVerb,freqComb
СОБРАТЬСЯ,С,400295,277331,16566
НАВОДИТЬ,НА,400295,68362,8848
СОБИРАТЬСЯ,С,400295,249938,3850
ОТВЛЕЧЬСЯ,ОТ,400295,35303,3310
ПОГРУЗИТЬ,В,400295,122199,3285
СВЫКНУТЬСЯ,С,400295,7187,2755
СМИРИТЬСЯ,С,400295,28775,2207
ИЗБАВИТЬСЯ,ОТ,400295,126845,1363
ОТВЛЕКАТЬ,ОТ,400295,28903,892
ПРИМИРИТЬСЯ,С,400295,11242,887
СВЯЗАТЬ,С,400295,1362256,842
ПРОСНУТЬСЯ,С,400295,121188,776
ПРОСЫПАТЬСЯ,С,400295,46713,760
НАТАЛКИВАТЬ,НА,400295,1906,752
ВЕРНУТЬСЯ,К,400295,1351676,714
СЛЕДИТЬ,ЗА,400295,260823,700
БЫТЬ,В,400295,16504392,667
НАВЕСТИ,НА,400295,57628,658
ОТВЛЕЧЬ,ОТ,400295,40468,637
НАВЕСТИТЬ,НА,400295,55791,611
НОСИТЬСЯ,С,400295,69830,540
РАССТАТЬСЯ,С,400295,60359,465
ЖИТЬ,С,400295,945973,455
ЗАСЫПАТЬ,С,400295,74921,445
НАТОЛКНУТЬ,НА,400295,2540,438
УХВАТИТЬСЯ,ЗА,400295,65427,437
ОЧНУТЬСЯ,ОТ,400295,44649,419
ПРИХОДИТЬ,НА,400295,593265,341
ОСВОБОДИТЬСЯ,ОТ,400295,50938,323
СОСРЕДОТОЧИТЬСЯ,НА,400295,73016,320
БОРОТЬСЯ,С,400295,218009,317
ВОЗВРАЩАТЬСЯ,К,400295,391234,314
РАССТАВАТЬСЯ,С,400295,34622,312
СЛЕДОВАТЬ,ЗА,400295,314058,308
ОСВОИТЬСЯ,С,400295,10139,300
СОГЛАСИТЬСЯ,С,400295,603825,299
ОТМАХНУТЬСЯ,ОТ,400295,79348,297
ЗАСНУТЬ,С,400295,32598,293
ОТДЕЛАТЬСЯ,ОТ,400295,28301,292
ИМЕТЬ,В,400295,4883454,291
РАЗОБРАТЬСЯ,В,400295,92171,289
ПОСПЕВАТЬ,ЗА,400295,10167,283
МЕЛЬКНУТЬ,В,400295,142837,279
ПРОНЕСТИСЬ,В,400295,90167,270
ОТВЛЕКАТЬСЯ,ОТ,400295,19156,267
СВЫКАТЬСЯ,С,400295,897,265
ВОЗВРАЩАТЬСЯ,В,400295,391234,259
НАПАСТЬ,НА,400295,114274,227
ОТОРВАТЬСЯ,ОТ,400295,99836,227
ЦЕПЛЯТЬСЯ,ЗА,400295,47666,221
ОТКАЗАТЬСЯ,ОТ,400295,365325,219
СОСРЕДОТОЧИТЬ,НА,400295,152236,206
ДЕРЖАТЬ,В,400295,843121,204
ВЕРНУТЬСЯ,В,400295,1351676,204
УСНУТЬ,С,400295,29393,200
ОТРЕШИТЬСЯ,ОТ,400295,4663,196
УМЕРЕТЬ,С,400295,447397,195
ПЕРЕБИРАТЬ,В,400295,51763,174
МИРИТЬСЯ,С,400295,9635,169
ПРОМЕЛЬКНУТЬ,В,400295,56775,157
СОВПАДАТЬ,С,400295,133874,155
УСПЕВАТЬ,ЗА,400295,17339,148
НАБРЕСТИ,НА,400295,9373,146
РАСПРОЩАТЬСЯ,С,400295,15780,145
ПУТАТЬСЯ,В,400295,26798,144
УСТАТЬ,ОТ,400295,47428,141
ВЫРАСТИ,С,400295,222187,137
ЗАПУТАТЬСЯ,В,400295,27378,133
ЦАРИТЬ,В,400295,195677,132
СТАНОВИТЬСЯ,ОТ,400295,695686,132
РАСПОЛАГАТЬ,К,400295,166329,131
ИДТИ,С,400295,2732778,127
ПРИСЛУШИВАТЬСЯ,К,400295,53850,121
СЖИТЬСЯ,С,400295,1349,121
ГОВОРИТЬ,О,400295,2673665,115
СМИРЯТЬСЯ,С,400295,2416,113
ПОСЛЕДОВАТЬ,ЗА,400295,238476,113
ПРОКРУЧИВАТЬ,В,400295,11753,112
ВЫЙТИ,С,400295,1529334,112
ЗНАТЬ,О,400295,1470177,111
ОТКЛЮЧИТЬСЯ,ОТ,400295,15432,109
ТЕРЯТЬСЯ,В,400295,51290,107
УЦЕПИТЬСЯ,ЗА,400295,14999,105
СПРАВИТЬСЯ,С,400295,187100,104
СОГЛАШАТЬСЯ,С,400295,67945,103
ЧИТАТЬ,В,400295,552091,100
КОНЦЕНТРИРОВАТЬСЯ,НА,400295,13583,98
ЗАЦИКЛИВАТЬСЯ,НА,400295,3846,97
ВИДЕТЬ,В,400295,1971171,97
ИЗБАВЛЯТЬСЯ,ОТ,400295,18270,96
ДОГАДЫВАТЬСЯ,О,400295,20517,95
СОЗДАТЬ,С,400295,1371673,95
ПРИСЛУШАТЬСЯ,К,400295,38986,93
УЙТИ,ОТ,400295,626486,91
НАТКНУТЬСЯ,НА,400295,109255,91
УМИРАТЬ,С,400295,131777,90
ДОГАДАТЬСЯ,О,400295,50290,89
ВЕРНУТЬСЯ,С,400295,1351676,89
ИГРАТЬ,С,400295,918112,86
ПРОВЕСТИ,В,400295,1720693,85
КОПАТЬСЯ,В,400295,22255,81
ЕХАТЬ,С,400295,430641,76
НАБЛЮДАТЬ,ЗА,400295,308813,75
ОЧИСТИТЬ,ОТ,400295,115774,74
ОТЛИЧАТЬСЯ,ОТ,400295,475656,74
ИЗБАВИТЬ,ОТ,400295,52603,74
ВОЗНИКНУТЬ,В,400295,564886,74
ПОЯВИТЬСЯ,В,400295,1712736,72
ВЯЗАТЬСЯ,С,400295,20810,71
ВСТАТЬ,С,400295,507057,70
ОФОРМИТЬСЯ,В,400295,4772,68
МОЧЬ,В,400295,850912,68
УВЕРИТЬ,В,400295,237645,68
ПЕРЕЙТИ,К,400295,445514,68
ОТНОСИТЬ,К,400295,847578,68
ВОЗВРАЩАТЬСЯ,С,400295,391234,67
ПРЕВРАТИТЬСЯ,В,400295,434499,67
УЙТИ,С,400295,626486,66
ПРИМИРЯТЬСЯ,С,400295,1229,65
ВСТАВАТЬ,С,400295,123623,64
ПОДОЙТИ,С,400295,1011760,63
ОТМАХИВАТЬСЯ,ОТ,400295,8575,62
ОСНОВАТЬ,НА,400295,407746,62
РАБОТАТЬ,С,400295,1593272,61
ОСВОБОЖДАТЬСЯ,ОТ,400295,30367,60
