verb,prep,freqNoun,freqVerb,freqComb
МЕЛЬКНУТЬ,,400295,142837,23417
БЫТЬ,,400295,16504392,18590
ВЫСКАЗАТЬ,,400295,205660,7891
ПОГЛОТИТЬ,,400295,112051,6080
ВОЗНИКНУТЬ,,400295,564886,5910
ПРИХОДИТЬ,,400295,593265,5794
ЗАНЯТЬ,,400295,593852,4847
ПРОМЕЛЬКНУТЬ,,400295,56775,4584
ПОКИДАТЬ,,400295,208228,4462
ОСТАВЛЯТЬ,,400295,318436,3736
ВОЗНИКАТЬ,,400295,409064,3508
ЗАКОНЧИТЬ,,400295,392432,3139
ВЕРНУТЬСЯ,,400295,1351676,2755
ДОПУСКАТЬ,,400295,149833,2663
ВЫРАЗИТЬ,,400295,416769,2439
НРАВИТЬСЯ,,400295,239917,2398
ПОЯВИТЬСЯ,,400295,1712736,2374
ПРОНЕСТИСЬ,,400295,90167,2283
ПОДЕЛИТЬСЯ,,400295,123329,1964
ВОЗВРАЩАТЬСЯ,,400295,391234,1849
ВЫСКАЗЫВАТЬ,,400295,48260,1822
ПРОДОЛЖИТЬ,,400295,426194,1764
РАЗВИВАТЬ,,400295,101608,1733
ПОСЕТИТЬ,,400295,243904,1731
ОСЕНИТЬ,,400295,10727,1484
ДЕЛИТЬСЯ,,400295,122269,1428
ОСТАВИТЬ,,400295,840269,1408
МЕЛЬКАТЬ,,400295,71898,1402
ПРОНЗИТЬ,,400295,44892,1398
БИТЬСЯ,,400295,131912,1305
ПОРАЗИТЬ,,400295,166010,1262
ПРОВОДИТЬ,,400295,1208004,1261
ДОПУСТИТЬ,,400295,342029,1195
ЯВЛЯТЬСЯ,,400295,3365085,1182
ПОДАТЬ,,400295,534831,1167
РАЗВИТЬ,,400295,65195,1162
ОТБРОСИТЬ,,400295,123750,1146
ПОНРАВИТЬСЯ,,400295,186457,1112
ПОНЯТЬ,,400295,523934,1107
ВЫЗВАТЬ,,400295,857411,1081
ОТОГНАТЬ,,400295,25692,1050
РОДИТЬСЯ,,400295,304417,1046
ОБМЕНИВАТЬСЯ,,400295,66044,1037
ЯВИТЬСЯ,,400295,321602,1029
РАБОТАТЬ,,400295,1593272,975
УТЕШАТЬСЯ,,400295,3349,957
ЛЕЛЕЯТЬ,,400295,14991,957
ПРЕДАВАТЬСЯ,,400295,54605,938
ТЕРЗАТЬСЯ,,400295,10984,908
НАПРАШИВАТЬСЯ,,400295,21347,875
УЛОВИТЬ,,400295,85664,865
СФОРМУЛИРОВАТЬ,,400295,64495,854
ОБРАТИТЬСЯ,,400295,707150,817
ПОЯВЛЯТЬСЯ,,400295,440146,812
ВНУШАТЬ,,400295,58554,803
МУЧИТЬ,,400295,44958,742
ОТПУСКАТЬ,,400295,57296,720
ПОСЕЩАТЬ,,400295,130709,713
ВЫРАЖАТЬ,,400295,148337,707
ПРОХОДИТЬ,,400295,938511,696
ПОКАЗАТЬСЯ,,400295,349480,688
ОЗВУЧИТЬ,,400295,60411,684
ИМЕТЬ,,400295,4883454,679
ПОТЕРЯТЬ,,400295,802609,675
ПОДХВАТИТЬ,,400295,184002,672
ЗАКРАСТЬСЯ,,400295,6195,669
ОВЛАДЕТЬ,,400295,106347,642
ПРИДТИ,,400295,275691,631
РАСТЕКАТЬСЯ,,400295,16863,618
УЛЫБАТЬСЯ,,400295,81605,615
ЗАСТАВИТЬ,,400295,251564,604
ТРЕВОЖИТЬ,,400295,28255,599
УНЕСТИСЬ,,400295,6503,590
БЕСПОКОИТЬ,,400295,50325,584
МУЧИТЬСЯ,,400295,36324,578
УВЛЕЧЬ,,400295,66996,575
ВЫЗЫВАТЬ,,400295,574948,574
ВНУШИТЬ,,400295,17106,566
ВСПЫХНУТЬ,,400295,179401,566
ЗАКРАДЫВАТЬСЯ,,400295,2481,563
ПОЗВОЛЯТЬ,,400295,295113,561
СВЕРКНУТЬ,,400295,72656,557
ДОДУМАТЬ,,400295,2237,552
ПРОЗВУЧАТЬ,,400295,183901,551
ДАВАТЬ,,400295,1254195,543
БУДИТЬ,,400295,26456,539
ЗАНИМАТЬ,,400295,424637,536
ВЫСКАЗЫВАТЬСЯ,,400295,30900,529
ОБЖЕЧЬ,,400295,30770,522
ПОЗВОЛИТЬ,,400295,288075,520
ЗАРОДИТЬСЯ,,400295,19415,513
ЗАКЛЮЧАТЬСЯ,,400295,267094,513
ПОСЛАТЬ,,400295,362184,512
РАДОВАТЬ,,400295,46786,511
ОКАЗАТЬСЯ,,400295,1813169,506
