verb,prep,freqNoun,freqVerb,freqComb
ПРИВОДИТЬ,К,168161,457302,5107
ПРИВЕСТИ,К,168161,919531,2208
СВЯЗАТЬ,С,168161,1362256,1578
УЧАСТВОВАТЬ,В,168161,498239,875
ВЕСТИ,К,168161,907360,574
УСТАНОВИТЬ,С,168161,1088052,530
ИСПОЛЬЗОВАТЬ,ДЛЯ,168161,1431705,376
ВЫПОЛНИТЬ,С,168161,932395,340
ПРЕДНАЗНАЧИТЬ,ДЛЯ,168161,434100,292
ОБЪЯВИТЬ,ОБ,168161,938139,288
БЫТЬ,ПО,168161,16504392,277
ОБЪЕДИНИТЬ,В,168161,109378,270
ОТНОСИТЬ,К,168161,847578,257
ГОВОРИТЬ,ОБ,168161,2673665,254
РАСПОЛОЖИТЬ,С,168161,794668,241
ОБЪЕДИНЯТЬСЯ,ВМЕСТЕ С,168161,20112,225
РАЗЛАГАТЬСЯ,С,168161,5794,220
ПРЕОБРАЗОВАТЬ,В,168161,54878,215
ВЛИЯТЬ,НА,168161,146292,183
РАЗМЕСТИТЬ,С,168161,360191,178
СТРЕМИТЬСЯ,К,168161,134257,173
НУЖДАТЬСЯ,В,168161,309433,172
НАПРАВИТЬ,НА,168161,892815,167
ЗАКЛЮЧАТЬСЯ,В,168161,267094,164
СЛУЖИТЬ,ДЛЯ,168161,586125,163
ОТВЕЧАТЬ,ЗА,168161,609071,160
СОЕДИНИТЬ,С,168161,401173,157
ОСНОВАТЬ,НА,168161,407746,156
ЗАВИСЕТЬ,ОТ,168161,343524,148
ТРАТИТЬ,НА,168161,158505,143
ИСПОЛЬЗОВАТЬСЯ,ДЛЯ,168161,439186,142
ПОТРАТИТЬ,НА,168161,114565,137
ГОВОРИТЬ,О,168161,2673665,127
ЗАБОТИТЬСЯ,ОБ,168161,75732,126
ОБЪЕДИНИТЬ,С,168161,109378,125
ОСТАТЬСЯ,БЕЗ,168161,1167779,124
ПЛАТИТЬ,ЗА,168161,194150,114
СКЛОНИТЬ,К,168161,145082,112
ЗАИНТЕРЕСОВАТЬ,В,168161,252477,97
ВЗБИТЬ,ДО,168161,21408,90
ИНВЕСТИРОВАТЬ,В,168161,26644,89
РАСПОЛОЖИТЬ,В,168161,794668,87
РАСХОДОВАТЬСЯ,НА,168161,7550,85
БЫТЬ,С,168161,16504392,84
СОВМЕСТИТЬ,С,168161,21216,82
ПЕРЕМЕШИВАТЬ,ДО,168161,19695,81
ВЗБИВАТЬ,ДО,168161,7207,80
ВЫСТУПАТЬ,ЗА,168161,463690,80
РАСПАДАТЬСЯ,С,168161,14249,76
ВХОДИТЬ,В,168161,780476,74
НАЧИНАТЬСЯ,С,168161,374294,74
ТРАТИТЬСЯ,НА,168161,14957,71
ВИДЕТЬ,В,168161,1971171,71
СОСТОЯТЬ,В,168161,473553,71
УКАЗЫВАТЬ,НА,168161,211982,70
ВЕРИТЬ,В,168161,481858,69
ИЗОГНУТЬ,С,168161,16839,68
ДУМАТЬ,ОБ,168161,575903,67
ВЗАИМОДЕЙСТВОВАТЬ,С,168161,32323,65
ПРОИСХОДИТЬ,С,168161,596752,65
ЯВЛЯТЬСЯ,ПО,168161,3365085,63
ЗАПЕКАТЬ,ДО,168161,6402,62
ПРЕВРАТИТЬСЯ,В,168161,434499,62
РЕАГИРОВАТЬ,С,168161,83970,61
ГИДРОЛИЗОВАТЬСЯ,С,168161,481,61
ОСУЩЕСТВЛЯТЬ,ДО,168161,292921,61
ВКЛАДЫВАТЬ,В,168161,45481,60
ЗАЩИТИТЬ,ОТ,168161,176739,58
МЕЧТАТЬ,О,168161,107084,58
ЖАРИТЬ,ДО,168161,21202,58
ПОЙТИ,НА,168161,1160508,58
ИДТИ,НА,168161,2732778,57
СМОТРЕТЬ,НА,168161,1826817,57
ЗАЩИЩАТЬ,ОТ,168161,152032,56
НАПРАВИТЬ,В,168161,892815,56
СВИДЕТЕЛЬСТВОВАТЬ,ОБ,168161,153942,55
НАСТАИВАТЬ,НА,168161,160825,55
БОРОТЬСЯ,С,168161,218009,53
ДУМАТЬ,О,168161,575903,53
СОЕДИНИТЬ,ВМЕСТЕ С,168161,401173,53
ПЕРЕМЕШАТЬ,ДО,168161,17024,52
ВКЛЮЧИТЬ,В,168161,602609,50
ПРОТЕКАТЬ,С,168161,67791,50
ПЕРЕЙТИ,НА,168161,445514,48
СОПРЯЧЬ,С,168161,47880,48
БЫТЬ,НА,168161,16504392,47
ИСПОЛЬЗОВАТЬ,ПРИ,168161,1431705,47
ОТКАЗАТЬСЯ,ОТ,168161,365325,47
РАСЩЕПЛЯТЬСЯ,С,168161,2014,47
ВЫСТУПАТЬ,ПРОТИВ,168161,463690,46
ВЗЯТЬ,ВМЕСТЕ С,168161,2235567,46
ПРИСТУПИТЬ,К,168161,272424,45
ОКИСЛЯТЬСЯ,С,168161,1535,45
ВЛОЖИТЬ,В,168161,116242,45
СДЕЛАТЬ,ДЛЯ,168161,2688427,44
ЭКОНОМИТЬ,НА,168161,37972,44
РАБОТАТЬ,В,168161,1593272,43
БЫТЬ,ДЛЯ,168161,16504392,41
СЛЕДИТЬ,ЗА,168161,260823,41
ОГРАБИТЬ,В СМЫСЛЕ,168161,30380,40
ИСПОЛЬЗОВАТЬ,В,168161,1431705,40
СВЯЗАТЬ,ВМЕСТЕ С,168161,1362256,40
СООБЩИТЬ,ОБ,168161,2536261,39
МЕЧТАТЬ,ОБ,168161,107084,39
ТРЕБОВАТЬСЯ,ДЛЯ,168161,347350,38
БОРОТЬСЯ,ЗА,168161,218009,38
УЗНАТЬ,ОБ,168161,696691,38
ПРОИСХОДИТЬ,ЗА СЧЕТ,168161,596752,38
ПРОТЕКАТЬ,ЧЕРЕЗ,168161,67791,37
СКАЗАТЬ,ОБ,168161,7659823,37
БЫТЬ,В,168161,16504392,37
ПРИМЕНЯТЬ,ДЛЯ,168161,152803,37
ПРОЯВЛЯТЬСЯ,В,168161,74736,37
ВОВЛЕЧЬ,В,168161,56450,37
РАЗРУШАТЬСЯ,С,168161,13396,36
ВЗЯТЬСЯ,ЗА,168161,228478,36
ЗАБОТИТЬСЯ,О,168161,75732,36
ПРЕДОХРАНЯТЬ,ОТ,168161,10155,36
ПОДКЛЮЧИТЬ,С,168161,212528,36
ВВЕСТИ,В,168161,561530,35
ОБЖАРИТЬ,ДО,168161,12558,35
ОБОЙТИСЬ,БЕЗ,168161,170455,34
ОРИЕНТИРОВАТЬ,НА,168161,82405,34
ЗНАТЬ,ОБ,168161,1470177,34
НАБЛЮДАТЬ,ЗА,168161,308813,34
ОСУЩЕСТВЛЯТЬ,С,168161,292921,34
ОПУБЛИКОВАТЬ,В,168161,520688,34
ПОКОНЧИТЬ,С,168161,85698,33
СОЕДИНИТЬ,ДЛЯ,168161,401173,33
РАСТВОРЯТЬСЯ,С,168161,25504,33
СОЕДИНЯТЬСЯ,С,168161,43343,33
НАГРЕВАТЬ,ДО,168161,22099,33
ПРОИСХОДИТЬ,БЕЗ,168161,596752,32
ЗАЯВИТЬ,ОБ,168161,1836802,32
ГОВОРИТЬСЯ,ОБ,168161,1052635,32
ПОДУМАТЬ,ОБ,168161,765714,32
УЧАСТВОВАТЬ,В ПРОЦЕССЕ,168161,498239,32
РАБОТАТЬ,БЕЗ,168161,1593272,32
ВОЗНИКАТЬ,ПРИ,168161,409064,31
СОЗДАТЬ,В,168161,1371673,31
ОТОГНУТЬ,С,168161,7270,31
ПРОИСХОДИТЬ,ПРИ,168161,596752,30
СРАВНИТЬ,С,168161,96794,30
ОПРЕДЕЛЯТЬ,ПО,168161,239562,29
СГОРАТЬ,С,168161,29142,29
ОБЪЕДИНИТЬ,ВМЕСТЕ С,168161,109378,29
ДЕФОРМИРОВАТЬ,С,168161,5519,29
НАМЫЛИТЬ,ДО,168161,3159,29
ВКЛАДЫВАТЬСЯ,В,168161,8286,28
ПРОХОДИТЬ,С,168161,938511,28
