verb,prep,freqNoun,freqVerb,freqComb
ПОЛУЧИТЬ,,168161,3281968,43980
ИМЕТЬ,,168161,4883454,11436
ПОЛУЧАТЬ,,168161,883886,8095
БЫТЬ,,168161,16504392,3059
СПОСОБСТВОВАТЬ,,168161,341770,3028
ЯВЛЯТЬСЯ,,168161,3365085,2629
ПРОИСХОДИТЬ,,168161,596752,2469
ПРОДОЛЖИТЬ,,168161,426194,2119
ПРЕПЯТСТВОВАТЬ,,168161,84165,1948
ПРЕДОТВРАЩАТЬ,,168161,32609,1571
ДАВАТЬ,,168161,1254195,1413
ВЫЗЫВАТЬ,,168161,574948,1094
ДАТЬ,,168161,1104316,1062
ХВАТАТЬ,,168161,611205,1023
ОБРАЗОВАТЬ,,168161,248958,921
СТИМУЛИРОВАТЬ,,168161,59337,793
ОБЕСПЕЧИВАТЬ,,168161,444294,769
ПРОДОЛЖАТЬ,,168161,644375,710
ЗАВЕРШИТЬ,,168161,249424,655
ДОПУСТИТЬ,,168161,342029,610
ИСКЛЮЧАТЬ,,168161,136877,586
СОПРОВОЖДАТЬСЯ,,168161,112793,582
ЗАКОНЧИТЬ,,168161,392432,557
НАБЛЮДАТЬСЯ,,168161,156484,519
ДОПУСКАТЬ,,168161,149833,509
ЗАНИМАТЬСЯ,,168161,986447,503
ТРЕБОВАТЬ,,168161,688059,476
ТРЕБОВАТЬСЯ,,168161,347350,464
СОЗДАТЬ,,168161,1371673,456
ПРЕДУПРЕЖДАТЬ,,168161,80535,425
ПРОВОЗГЛАСИТЬ,,168161,77763,398
ИСКЛЮЧИТЬ,,168161,132180,386
ВЫЗВАТЬ,,168161,857411,372
ОБНАРУЖИТЬ,,168161,995635,369
ПРЕДОТВРАТИТЬ,,168161,62818,365
ОБУСЛОВИТЬ,,168161,174986,361
ВВЕСТИ,,168161,561530,360
СЧИТАТЬ,,168161,1388621,356
ОБЪЯВИТЬ,,168161,938139,335
ОБЛАДАТЬ,,168161,556026,333
ЗАНЯТЬСЯ,,168161,335889,326
НАХОДИТЬСЯ,,168161,2661082,316
СДЕЛАТЬ,,168161,2688427,298
ВКЛЮЧАТЬ,,168161,299778,288
ОБЕСПЕЧИТЬ,,168161,370722,280
ХАРАКТЕРИЗОВАТЬСЯ,,168161,62149,236
УМЕНЬШАТЬ,,168161,51499,234
ИСКЛЮЧАТЬСЯ,,168161,25352,232
НАЗВАТЬ,,168161,806830,231
ПРЕДСТАВЛЯТЬ,,168161,614293,222
ПРЕДУСМАТРИВАТЬ,,168161,226292,211
НАЧИНАТЬСЯ,,168161,374294,209
ИДТИ,,168161,2732778,207
РАСПОЛОЖИТЬ,,168161,794668,194
ИЗБЕЖАТЬ,,168161,140162,193
ПРЕДСТАВИТЬ,,168161,1185156,191
НАЧАТЬСЯ,,168161,875770,189
СНИЖАТЬ,,168161,90420,189
ОТНОСИТЬ,,168161,847578,187
ПРОИЗОЙТИ,,168161,759327,185
ПРЕДУСМОТРЕТЬ,,168161,288804,183
СОДЕЙСТВОВАТЬ,,168161,40216,183
СУЩЕСТВОВАТЬ,,168161,667956,181
ПОСВЯТИТЬ,,168161,344349,178
ПОДАВЛЯТЬ,,168161,28995,172
НАБЛЮДАТЬ,,168161,308813,171
ЗАВЕРШАТЬ,,168161,34903,165
ПРЕДПОЛАГАТЬ,,168161,198525,162
СООТВЕТСТВОВАТЬ,,168161,432049,154
ИМЕТЬСЯ,,168161,559835,154
ИНГИБИРОВАТЬ,,168161,3387,153
ЗАКАНЧИВАТЬ,,168161,57384,149
ПРОВОЦИРОВАТЬ,,168161,29698,149
ГАРАНТИРОВАТЬ,,168161,124526,146
ВОЗНИКАТЬ,,168161,409064,144
ОХВАТИТЬ,,168161,167522,144
ОКОНЧИТЬ,,168161,162006,143
СТАНОВИТЬСЯ,,168161,695686,142
ВЫЯВИТЬ,,168161,222645,138
ДОБИТЬСЯ,,168161,274505,134
ДАВАТЬСЯ,,168161,88707,134
НАЗЫВАТЬ,,168161,535788,133
