verb,prep,freqNoun,freqVerb,freqComb
ПРОХОДИТЬ,В,135573,938511,1802
РАЗОБРАТЬСЯ,В,135573,92171,1346
СЛЕДИТЬ,ЗА,135573,260823,1172
ДЕЙСТВОВАТЬ,ПО,135573,382299,1115
ВПИСЫВАТЬСЯ,В,135573,37165,780
БЫТЬ,В,135573,16504392,666
СВЯЗАТЬ,С,135573,1362256,589
ПРИВЫКНУТЬ,К,135573,134421,553
ПРОЙТИ,В,135573,1295429,548
ОЗНАКОМИТЬСЯ,С,135573,92717,506
ОРИЕНТИРОВАТЬСЯ,В,135573,40823,502
ЖИТЬ,В,135573,945973,482
НАБЛЮДАТЬ,ЗА,135573,308813,468
НАХОДИТЬСЯ,В,135573,2661082,447
СОРИЕНТИРОВАТЬСЯ,В,135573,6847,446
ОКАЗАТЬСЯ,В,135573,1813169,391
ПРОИСХОДИТЬ,В,135573,596752,378
ПОПАСТЬ,В,135573,980276,358
ВЯЗАТЬСЯ,С,135573,20810,349
ПОВЛИЯТЬ,НА,135573,103534,311
РАЗБИРАТЬСЯ,В,135573,85103,305
ЗАВИСЕТЬ,ОТ,135573,343524,299
ОСВОИТЬСЯ,С,135573,10139,295
МОЧЬ,В,135573,850912,292
РАБОТАТЬ,В,135573,1593272,270
ПРИВЫКАТЬ,К,135573,23762,265
ВСТРЕТИТЬСЯ,В,135573,443509,262
ОСВОИТЬСЯ,В,135573,10139,258
ПРОВОДИТЬ,В,135573,1208004,248
ПОДХОДИТЬ,К,135573,383302,227
ЗНАКОМИТЬСЯ,С,135573,49689,222
ПООБЩАТЬСЯ,В,135573,24396,217
РАССКАЗАТЬ,ОБ,135573,905982,213
ВЛИЯТЬ,НА,135573,146292,211
ДЕЙСТВОВАТЬ,В,135573,382299,209
ДОЛОЖИТЬ,ОБ,135573,136127,196
ВЫРАСТИ,В,135573,222187,193
ПРОВЕСТИ,В,135573,1720693,190
ПОПАДАТЬ,В,135573,249861,189
ВСТРЕЧАТЬСЯ,В,135573,327325,183
ПОГОВОРИТЬ,В,135573,155605,178
ГАРМОНИРОВАТЬ,С,135573,6541,176
ВЕСТИСЬ,В,135573,262923,156
ПОЗНАКОМИТЬСЯ,С,135573,201988,153
ПРИСПОСАБЛИВАТЬСЯ,К,135573,7611,152
РЕАГИРОВАТЬ,НА,135573,83970,151
АДАПТИРОВАТЬСЯ,К,135573,11538,148
СОСТОЯТЬСЯ,В,135573,723412,147
ПОСМОТРЕТЬ,ПО,135573,1352306,145
РАЗОБРАТЬСЯ,С,135573,92171,143
ВРУЧИТЬ,В,135573,137866,140
ПРОТЕКАТЬ,В,135573,67791,133
СКАЗАТЬСЯ,НА,135573,63070,132
ВПИСАТЬСЯ,В,135573,15114,131
СМОЧЬ,В,135573,98925,129
СДЕЛАТЬ,В,135573,2688427,127
ПРИСПОСОБИТЬСЯ,К,135573,10336,124
ПОСМОТРЕТЬ,НА,135573,1352306,120
СЛИТЬСЯ,С,135573,42627,116
СЛИВАТЬСЯ,С,135573,43368,112
ОТРАЗИТЬСЯ,НА,135573,124569,107
ПРИНЯТЬ,В,135573,2446695,107
ОБЩАТЬСЯ,В,135573,107100,106
СМОТРЕТЬ,НА,135573,1826817,106
РАСТИ,В,135573,194753,103
