verb,prep,freqNoun,freqVerb,freqComb
ОЦЕНИТЬ,,135573,254296,5858
РАЗРЯДИТЬ,,135573,16594,4762
ДОЛОЖИТЬ,,135573,136127,4017
БЫТЬ,,135573,16504392,2623
НАГНЕТАТЬ,,135573,8786,2101
ОЦЕНИВАТЬ,,135573,114033,2043
СОЗДАТЬ,,135573,1371673,1969
СМЕНИТЬ,,135573,197293,1941
РАЗВЕДАТЬ,,135573,8337,1914
ДЕСТАБИЛИЗИРОВАТЬ,,135573,6944,1842
СЛОЖИТЬСЯ,,135573,107689,1664
ИЗУЧАТЬ,,135573,238995,1584
ЗНАТЬ,,135573,1470177,1544
СОЗДАВАТЬ,,135573,440892,1463
КОНТРОЛИРОВАТЬ,,135573,133395,1352
СООТВЕТСТВОВАТЬ,,135573,432049,1291
СОХРАНЯТЬСЯ,,135573,86469,1271
ИЗУЧИТЬ,,135573,132969,1207
НАКАЛЯТЬ,,135573,2432,1050
ИЗМЕНИТЬ,,135573,360414,1015
ПОЗВОЛЯТЬ,,135573,295113,1006
ВЫЯСНИТЬ,,135573,70009,1001
ДОКЛАДЫВАТЬ,,135573,41726,975
ИЗМЕНИТЬСЯ,,135573,128366,804
СКЛАДЫВАТЬСЯ,,135573,78465,786
НАКАЛИТЬ,,135573,5595,648
ЦАРИТЬ,,135573,195677,632
ОБРИСОВАТЬ,,135573,17148,552
ПОЗВОЛИТЬ,,135573,288075,547
УЗНАТЬ,,135573,696691,539
ПРОЯСНИТЬ,,135573,16943,505
СОЗДАТЬСЯ,,135573,16722,502
РАССМАТРИВАТЬ,,135573,303388,499
РАЗГЛЯДЫВАТЬ,,135573,100639,498
ОБСУДИТЬ,,135573,257681,468
УЛУЧШИТЬ,,135573,78797,466
ВЛАДЕТЬ,,135573,210221,442
ПОНИМАТЬ,,135573,394627,423
СТАБИЛИЗИРОВАТЬ,,135573,11904,422
ВОССОЗДАТЬ,,135573,22298,413
НАКАЛЯТЬСЯ,,135573,3507,407
ПРОВЕРИТЬ,,135573,265080,406
ОТСЛЕЖИВАТЬ,,135573,30452,392
ВИДЕТЬ,,135573,1971171,387
ОГЛЯДЕТЬ,,135573,108133,385
ПЕРЕМЕНИТЬ,,135573,32424,381
ТРЕБОВАТЬ,,135573,688059,379
МЕНЯТЬ,,135573,186175,375
ОБОСТРИТЬСЯ,,135573,15349,372
СОЗДАВАТЬСЯ,,135573,155785,370
ОСЛОЖНИТЬ,,135573,12564,363
АНАЛИЗИРОВАТЬ,,135573,51921,356
УТОЧНИТЬ,,135573,215427,331
ОБОСТРЯТЬ,,135573,9296,315
НРАВИТЬСЯ,,135573,239917,311
ОБЪЯСНИТЬ,,135573,367380,304
УВИДЕТЬ,,135573,1503676,302
ВЫЯСНЯТЬ,,135573,33868,293
УЧИТЫВАТЬ,,135573,75741,292
РАЗРЯЖАТЬ,,135573,2282,288
МЕНЯТЬСЯ,,135573,112631,282
ОБОСТРИТЬ,,135573,10665,280
УЧЕСТЬ,,135573,96620,279
ОПИСАТЬ,,135573,281655,278
ОБУСЛОВИТЬ,,135573,174986,269
ПРОАНАЛИЗИРОВАТЬ,,135573,53379,258
СПОСОБСТВОВАТЬ,,135573,341770,253
ПОНЯТЬ,,135573,523934,243
СОСТОЯТЬ,,135573,473553,240
ОПИСЫВАТЬ,,135573,102677,239
РАСПОЛАГАТЬ,,135573,166329,238
НАКАЛИТЬСЯ,,135573,4334,217
ОСЛОЖНИТЬСЯ,,135573,3518,217
РАССМОТРЕТЬ,,135573,325472,213
ОЖИДАТЬСЯ,,135573,107004,213
ПОМЕНЯТЬ,,135573,72163,210
ВЫЗВАТЬ,,135573,857411,210
ОСМАТРИВАТЬ,,135573,61687,210
ИСПОЛЬЗОВАТЬ,,135573,1431705,206
НАПОМИНАТЬ,,135573,393540,204
СЧИТАТЬ,,135573,1388621,198
СДЕЛАТЬ,,135573,2688427,196
ДЕЛАТЬ,,135573,1265891,193
ОСМОТРЕТЬ,,135573,150990,191
ПОНРАВИТЬСЯ,,135573,186457,190
СТАНОВИТЬСЯ,,135573,695686,189
СТАБИЛИЗИРОВАТЬСЯ,,135573,8314,187
СОХРАНИТЬСЯ,,135573,125151,185
ПРОЯСНИТЬСЯ,,135573,14153,185
РАЗВЕДЫВАТЬ,,135573,1611,180
ОСЛОЖНЯТЬ,,135573,10189,176
ДОПОЛНЯТЬ,,135573,34717,170
ОБСУЖДАТЬ,,135573,159325,164
СОХРАНИТЬ,,135573,287776,163
ОГЛЯДЫВАТЬ,,135573,22943,162
ПРИДАВАТЬ,,135573,152391,154
УХУДШИТЬСЯ,,135573,8489,152
ВОСПОЛЬЗОВАТЬСЯ,,135573,207683,152
НАБЛЮДАТЬСЯ,,135573,156484,149
ОХАРАКТЕРИЗОВАТЬ,,135573,55113,148
ВОССТАНОВИТЬ,,135573,205968,148
РАЗГЛЯДЕТЬ,,135573,105941,146
УЛУЧШАТЬ,,135573,65337,144
ПОТРЕБОВАТЬ,,135573,239412,144
НАНЕСТИ,,135573,395822,143
ВОСПРОИЗВЕСТИ,,135573,22484,141
ВОЗНИКНУТЬ,,135573,564886,138
НОРМАЛИЗОВАТЬ,,135573,17608,138
НОРМАЛИЗОВАТЬСЯ,,135573,6102,137
ОБЕСПОКОИТЬ,,135573,63391,136
НАЗВАТЬ,,135573,806830,136
ОТВЕЧАТЬ,,135573,609071,135
ЛЮБИТЬ,,135573,950738,135
УСУГУБЛЯТЬ,,135573,11065,135
ВЫДЕРЖАТЬ,,135573,246706,134
УХУДШАТЬ,,135573,10575,133
ИНТЕРЕСОВАТЬСЯ,,135573,127931,132
РАЗРЯДИТЬСЯ,,135573,3482,131
ПРОЩУПАТЬ,,135573,6987,130
РАЗУЗНАТЬ,,135573,6344,129
УХУДШИТЬ,,135573,23604,129
ЯВЛЯТЬСЯ,,135573,3365085,128
УЛУЧШИТЬСЯ,,135573,16184,128
УТОЧНЯТЬ,,135573,59523,128
ОТРАЖАТЬ,,135573,118809,128
ОТМЕТИТЬ,,135573,1263077,127
ВОСПРИНИМАТЬ,,135573,93390,127
ОБЪЯСНЯТЬ,,135573,167559,126
РАЗЪЯСНИТЬ,,135573,24839,125
НАСЛАЖДАТЬСЯ,,135573,109585,124
СМЯГЧИТЬ,,135573,32443,124
ПОРАЗИТЬ,,135573,166010,120
ВСПОМНИТЬ,,135573,471977,119
ОСЛОЖНЯТЬСЯ,,135573,8257,117
ЧУВСТВОВАТЬ,,135573,423116,116
УСЛОЖНЯТЬ,,135573,12693,115
ПОКАЗАТЬ,,135573,1076177,114
ПОСМОТРЕТЬ,,135573,1352306,113
ПРОВЕРЯТЬ,,135573,120873,111
ГОВОРИТЬ,,135573,2673665,111
ПРЕДСТАВЛЯТЬ,,135573,614293,110
ОСВЕЩАТЬ,,135573,55590,110
ОКИНУТЬ,,135573,103608,109
ПРЕДСТАВИТЬ,,135573,1185156,108
УЯСНИТЬ,,135573,5278,107
ИМЕТЬ,,135573,4883454,104
