verb,prep,freqNoun,freqVerb,freqComb
СВЯЗАТЬ,С,96966,1362256,5554
РАССКАЗАТЬ,ОБ,96966,905982,1664
ЗАВИСЕТЬ,ОТ,96966,343524,1544
РАЗРАБОТАТЬ,С УЧЕТОМ,96966,438620,549
ГОВОРИТЬ,ОБ,96966,2673665,450
РАССКАЗЫВАТЬ,ОБ,96966,486665,448
УЗНАТЬ,ОБ,96966,696691,442
ПОЗНАКОМИТЬСЯ,С,96966,201988,430
ЗНАТЬ,ОБ,96966,1470177,362
БЫТЬ,В,96966,16504392,351
ОЗНАКОМИТЬСЯ,С,96966,92717,337
РАЗОБРАТЬСЯ,В,96966,92171,316
ОСНОВАТЬ,НА,96966,407746,284
ОТНОСИТЬ,К,96966,847578,256
ОСВЕДОМИТЬ,ОБ,96966,48142,209
РАЗБИРАТЬСЯ,В,96966,85103,182
ОСТАНОВИТЬСЯ,НА,96966,517328,173
ПОГОВОРИТЬ,ОБ,96966,155605,163
УКАЗЫВАТЬ,НА,96966,211982,159
АДАПТИРОВАТЬ,К,96966,22357,153
СОЗДАТЬ,С УЧЕТОМ,96966,1371673,150
ВНИКАТЬ,В,96966,13472,136
РАССКАЗАТЬ,О,96966,905982,133
ЗНАКОМИТЬСЯ,С,96966,49689,127
ПРИСПОСОБИТЬ,К,96966,72616,127
КРЫТЬСЯ,В,96966,36539,126
ПРИВЫКНУТЬ,К,96966,134421,122
ЗАКЛЮЧАТЬСЯ,В,96966,267094,118
ГОВОРИТЬ,О,96966,2673665,112
ЯВЛЯТЬСЯ,В,96966,3365085,112
АДАПТИРОВАТЬ,ПОД,96966,22357,90
РАЗОБРАТЬСЯ,С,96966,92171,88
ЗАБЫВАТЬ,ОБ,96966,108962,87
СОСТОЯТЬ,В,96966,473553,84
ЛЮБИТЬ,В,96966,950738,82
УКАЗАТЬ,НА,96966,634172,79
ОТЛИЧАТЬСЯ,В,96966,475656,79
ВЫПОЛНИТЬ,С УЧЕТОМ,96966,932395,79
СКАЗАТЬ,ОБ,96966,7659823,76
ЗНАКОМИТЬ,С,96966,16494,76
УЗНАТЬ,О,96966,696691,73
РАССКАЗАТЬ,ПРО,96966,905982,68
ОЗНАКОМИТЬ,С,96966,17791,66
ВЛИЯТЬ,НА,96966,146292,66
СВЯЗАТЬ,СО,96966,1362256,66
ЗНАТЬ,О,96966,1470177,65
ОТНОСИТЬ,В,96966,847578,64
СУДИТЬ,ОБ,96966,132144,63
ЗНАТЬ,ПРО,96966,1470177,63
СТАЛКИВАТЬСЯ,С,96966,113695,62
ПОДОБРАТЬ,С УЧЕТОМ,96966,163298,61
ПРОЯВЛЯТЬСЯ,В,96966,74736,60
СПРОЕКТИРОВАТЬ,С УЧЕТОМ,96966,24088,59
СОСТАВИТЬ,С УЧЕТОМ,96966,497277,58
СТОЛКНУТЬСЯ,С,96966,214232,57
СОВПАДАТЬ,С,96966,133874,55
РАЗРАБАТЫВАТЬСЯ,С УЧЕТОМ,96966,36080,55
СПИСАТЬ,НА,96966,31202,54
ОСНОВЫВАТЬСЯ,НА,96966,50664,54
СУДИТЬ,О,96966,132144,54
СВЯЗЫВАТЬ,С,96966,95797,54
СЧИТАТЬСЯ,С,96966,334745,54
ПОДСТРАИВАТЬ,ПОД,96966,6828,52
ИЗГОТОВИТЬ,С УЧЕТОМ,96966,164308,51
ПИСАТЬ,ОБ,96966,941379,51
ОТНЕСТИ,К,96966,146471,50
СЛЕДОВАТЬ,В,96966,314058,49
СДЕЛАТЬ,С УЧЕТОМ,96966,2688427,49
АДАПТИРОВАТЬСЯ,К,96966,11538,49
СТРАДАТЬ,В,96966,200078,48
ПОСТРОИТЬ,С УЧЕТОМ,96966,583313,47
ОРИЕНТИРОВАТЬ,НА,96966,82405,46
ОСУЩЕСТВЛЯТЬСЯ,С УЧЕТОМ,96966,287106,46
ПОЗНАКОМИТЬ,С,96966,25468,45
ОСВЕДОМИТЬ,О,96966,48142,45
ОПИРАТЬСЯ,НА,96966,78279,44
РАССКАЗЫВАТЬ,О,96966,486665,44
ОТВЛЕЧЬСЯ,ОТ,96966,35303,42
ПРИМЕНЯТЬСЯ,С УЧЕТОМ,96966,149724,38
ОСВОИТЬСЯ,С,96966,10139,38
ЛЕЖАТЬ,В,96966,1213074,38
РАССУЖДАТЬ,ОБ,96966,66872,38
ПРОИЗВОДИТЬ,С УЧЕТОМ,96966,482688,37
ВСПОМНИТЬ,ОБ,96966,471977,36
МОЧЬ,В СИЛУ,96966,850912,36
ПРИВЫКАТЬ,К,96966,23762,36
ОРИЕНТИРОВАТЬСЯ,НА,96966,40823,35
ВНИКНУТЬ,В,96966,10206,35
СОСРЕДОТОЧИТЬСЯ,НА,96966,73016,35
ВИДЕТЬ,В,96966,1971171,35
