verb,prep,freqNoun,freqVerb,freqComb
ИМЕТЬ,,96966,4883454,3370
ЯВЛЯТЬСЯ,,96966,3365085,3129
УЧИТЫВАТЬ,,96966,75741,3091
ОБУСЛОВИТЬ,,96966,174986,2511
УЧЕСТЬ,,96966,96620,1986
ЗАКЛЮЧАТЬСЯ,,96966,267094,1811
ВЫЯВИТЬ,,96966,222645,1654
РАССМОТРЕТЬ,,96966,325472,1566
ИЗУЧИТЬ,,96966,132969,1391
БЫТЬ,,96966,16504392,1328
ОБЛАДАТЬ,,96966,556026,1250
ЗНАТЬ,,96966,1470177,1167
ИЗУЧАТЬ,,96966,238995,962
ОТМЕТИТЬ,,96966,1263077,945
ОТРАЖАТЬ,,96966,118809,865
СОСТОЯТЬ,,96966,473553,861
ОПРЕДЕЛЯТЬСЯ,,96966,177807,860
ОПРЕДЕЛИТЬ,,96966,398404,860
ОПИСАТЬ,,96966,281655,757
ЗАМЕТИТЬ,,96966,1190242,692
ОПРЕДЕЛЯТЬ,,96966,239562,648
УЧИТЫВАТЬСЯ,,96966,36586,603
ИССЛЕДОВАТЬ,,96966,94839,589
ИСПОЛЬЗОВАТЬ,,96966,1431705,579
ОБЪЯСНИТЬ,,96966,367380,571
ПОНЯТЬ,,96966,523934,565
ВЫЗВАТЬ,,96966,857411,542
СООТВЕТСТВОВАТЬ,,96966,432049,534
УСТАНОВИТЬ,,96966,1088052,496
ПОКАЗАТЬ,,96966,1076177,480
СОСТАВЛЯТЬ,,96966,443838,476
ОБЪЯСНЯТЬСЯ,,96966,54867,466
ВЫДЕЛИТЬ,,96966,259457,446
ПОНИМАТЬ,,96966,394627,436
ОБЪЯСНЯТЬ,,96966,167559,410
РАССМАТРИВАТЬСЯ,,96966,94599,402
ОБНАРУЖИТЬ,,96966,995635,395
ПОСВЯТИТЬ,,96966,344349,389
ПРОАНАЛИЗИРОВАТЬ,,96966,53379,387
ОБСУДИТЬ,,96966,257681,335
СОХРАНИТЬ,,96966,287776,331
АНАЛИЗИРОВАТЬ,,96966,51921,329
ОТЛИЧАТЬСЯ,,96966,475656,323
ОТМЕЧАТЬ,,96966,430086,321
ОТРАЗИТЬ,,96966,94090,307
УЗНАТЬ,,96966,696691,307
ПРОЯВЛЯТЬСЯ,,96966,74736,293
СУЩЕСТВОВАТЬ,,96966,667956,266
РАСКРЫВАТЬ,,96966,58986,264
РАСКРЫТЬ,,96966,183977,262
ХАРАКТЕРИЗОВАТЬСЯ,,96966,62149,260
ИМЕТЬСЯ,,96966,559835,259
ПРЕДСТАВИТЬ,,96966,1185156,249
ОБСУЖДАТЬ,,96966,159325,245
ПОЗВОЛЯТЬ,,96966,295113,242
СЧИТАТЬ,,96966,1388621,239
РАССМАТРИВАТЬ,,96966,303388,238
ПОДЧЕРКИВАТЬ,,193932,106559,229
ВЫЯСНИТЬ,,96966,70009,217
РАСКРЫВАТЬСЯ,,96966,26504,216
ПОДЧЕРКНУТЬ,,96966,436408,202
ВИДЕТЬ,,96966,1971171,193
ПРЕДУСМОТРЕТЬ,,96966,288804,192
ИЗЛОЖИТЬ,,96966,104248,190
ОПИСЫВАТЬ,,96966,102677,184
ПРЕДСТАВЛЯТЬ,,96966,614293,177
ПОДМЕТИТЬ,,96966,9280,170
ВЫЯВЛЯТЬ,,96966,22506,167
ИЗУЧАТЬСЯ,,96966,15481,164
ОЦЕНИТЬ,,96966,254296,162
ХАРАКТЕРИЗОВАТЬ,,96966,31973,156
ПРОДИКТОВАТЬ,,96966,48417,156
НАЗВАТЬ,,96966,806830,151
УКАЗАТЬ,,96966,634172,150
ПОКАЗЫВАТЬ,,96966,385626,146
ЗАМЕЧАТЬ,,96966,157259,146
УСТАНАВЛИВАТЬ,,96966,152402,145
ВЛИЯТЬ,,96966,146292,144
ОХАРАКТЕРИЗОВАТЬ,,96966,55113,139
ИССЛЕДОВАТЬСЯ,,96966,9196,139
ВЫРАЗИТЬ,,96966,416769,138
УВИДЕТЬ,,96966,1503676,138
СОХРАНЯТЬ,,96966,174965,135
УДЕЛИТЬ,,96966,80607,132
ПРОЯВИТЬСЯ,,96966,32332,129
ДЕМОНСТРИРОВАТЬ,,96966,115870,127
ПРИВЕСТИ,,96966,919531,126
ПЕРЕДАВАТЬ,,96966,682496,124
ОТВЕЧАТЬ,,96966,609071,123
СКАЗЫВАТЬСЯ,,96966,51680,123
ВЫЯВЛЯТЬСЯ,,96966,13834,121
СВЯЗАТЬ,,96966,1362256,119
ПЕРЕДАТЬ,,96966,696663,117
СТАТЬ,,96966,686138,116
ИНТЕРЕСОВАТЬСЯ,,96966,127931,115
УСТАНАВЛИВАТЬСЯ,,96966,122272,114
СТАНОВИТЬСЯ,,96966,695686,113
ВКЛЮЧАТЬ,,96966,299778,112
ОСВЕТИТЬ,,96966,83269,110
КАСАТЬСЯ,,96966,174217,110
ВЫДЕЛЯТЬ,,96966,69175,108
ПРОДЕМОНСТРИРОВАТЬ,,96966,136681,106
ОТРАЖАТЬСЯ,,96966,86637,106
ПРЕДОПРЕДЕЛИТЬ,,96966,19423,100
ПОВТОРЯТЬ,,96966,111150,99
НАЙТИ,,96966,1914932,98
ОБСУЖДАТЬСЯ,,96966,93340,98
УТОЧНИТЬ,,96966,215427,95
ПЕРЕЧИСЛИТЬ,,96966,68462,95
СЧИТАТЬСЯ,,96966,334745,93
УЛОВИТЬ,,96966,85664,92
ОСОЗНАТЬ,,96966,73864,91
ИСПОЛЬЗОВАТЬСЯ,,96966,439186,89
ДЕЛАТЬ,,96966,1265891,86
ПОДМЕЧАТЬ,,96966,3656,86
ОБОЗНАЧИТЬ,,96966,103287,85
ИГРАТЬ,,96966,918112,84
ОТНОСИТЬ,,96966,847578,84
ПРЕДУСМАТРИВАТЬ,,96966,226292,84
СОХРАНЯТЬСЯ,,96966,86469,83
ВСПОМНИТЬ,,96966,471977,83
ВЫРАЖАТЬ,,96966,148337,82
НАЗЫВАТЬ,,96966,535788,81
ОТМЕЧАТЬСЯ,,96966,258799,81
ОПИСЫВАТЬСЯ,,96966,36666,79
СКАЗАТЬСЯ,,96966,63070,78
ИНТЕРЕСОВАТЬ,,96966,93996,77
НАДЕЛИТЬ,,96966,54402,77
ВЫТЕКАТЬ,,96966,29273,77
СФОРМУЛИРОВАТЬ,,96966,64495,76
УКАЗЫВАТЬ,,96966,211982,76
ПРИВОДИТЬ,,96966,457302,76
ДАВАТЬ,,96966,1254195,75
ЗАВИСЕТЬ,,96966,343524,74
ОГРАНИЧИТЬ,,96966,156833,74
РАЗЪЯСНЯТЬ,,96966,11287,73
ОБЕСПЕЧИВАТЬ,,96966,444294,73
ЗАЛОЖИТЬ,,96966,241074,72
СПОСОБСТВОВАТЬ,,96966,341770,72
ПРОПИСАТЬ,,96966,66019,71
РАЗОБРАТЬ,,96966,66383,70
ОТКРЫТЬ,,96966,1671035,70
ПРИОБРЕТАТЬ,,96966,123426,70
РАЗЪЯСНИТЬ,,96966,24839,69
ВЫЯСНЯТЬ,,96966,33868,67
НАБЛЮДАТЬСЯ,,96966,156484,67
ВЫЯСНИТЬСЯ,,96966,41889,66
ЗАПОМНИТЬ,,96966,53074,65
ОТРАЗИТЬСЯ,,96966,124569,65
СВИДЕТЕЛЬСТВОВАТЬ,,96966,153942,61
ПОЧУВСТВОВАТЬ,,96966,475425,61
ВЫСТУПАТЬ,,96966,463690,61
ОТЛИЧАТЬ,,96966,36298,61
ОСВОИТЬ,,96966,51945,60
ПРОСЛЕЖИВАТЬСЯ,,96966,14864,59
ОБУСЛОВЛИВАТЬ,,96966,9224,59
ОТНЕСТИ,,96966,146471,58
ОБНАРУЖИТЬСЯ,,96966,62370,58
ОБУСЛОВЛИВАТЬСЯ,,96966,3732,58
ВОСПОЛЬЗОВАТЬСЯ,,96966,207683,57
ВОСПРОИЗВОДИТЬ,,96966,28173,57
ЗАФИКСИРОВАТЬ,,96966,248690,56
СОДЕРЖАТЬ,,96966,449675,55
ПРОСЛЕДИТЬ,,96966,55560,55
ВЫЯВИТЬСЯ,,96966,6418,52
ФИКСИРОВАТЬ,,96966,44935,52
ЗАКЛЮЧИТЬ,,96966,538655,52
ОСТАВАТЬСЯ,,96966,851043,52
ИГНОРИРОВАТЬ,,96966,36883,50
ПОЛУЧИТЬ,,96966,3281968,49
ОБУСЛАВЛИВАТЬ,,96966,6275,49
ПОЗНАТЬ,,96966,57487,49
ЛЕЖАТЬ,,96966,1213074,49
РАЗЛИЧАТЬ,,96966,49749,48
ВЫДЕЛЯТЬСЯ,,96966,91981,48
ОБНАРУЖИВАТЬ,,96966,55353,47
ОБНАРУЖИВАТЬСЯ,,96966,27712,47
ОКАЗАТЬСЯ,,96966,1813169,47
СРАВНИВАТЬ,,96966,66401,46
СКРЫВАТЬ,,96966,111182,46
ПОЗВОЛИТЬ,,96966,288075,46
ПОСТИЧЬ,,96966,41625,45
ПРИЗНАТЬ,,96966,490285,45
ВОСПРОИЗВЕСТИ,,96966,22484,44
УНАСЛЕДОВАТЬ,,96966,44123,44
ПРИОБРЕСТИ,,96966,335547,44
ОБОСНОВАТЬ,,96966,28989,43
ИЗМЕНИТЬ,,96966,360414,43
ПОМНИТЬ,,96966,224087,43
ПОРОДИТЬ,,96966,56627,43
ОБОБЩИТЬ,,96966,8956,42
УСВОИТЬ,,96966,26070,42
НАЗЫВАТЬСЯ,,96966,269560,42
ВСКРЫТЬ,,96966,59351,41
ПОЛЬЗОВАТЬСЯ,,96966,487486,41
СЛУЖИТЬ,,96966,586125,41
ВОЗНИКАТЬ,,96966,409064,41
УЯСНИТЬ,,96966,5278,39
ДИКТОВАТЬСЯ,,96966,5220,39
СВЯЗЫВАТЬ,,96966,95797,38
ПОЯВЛЯТЬСЯ,,96966,440146,38
ДОБАВИТЬ,,96966,974156,38
РАССКАЗАТЬ,,96966,905982,37
СРАВНИТЬ,,96966,96794,37
ПОЯСНИТЬ,,96966,427441,37
ФОРМИРОВАТЬСЯ,,96966,85377,37
ИСХОДИТЬ,,96966,99593,37
ПРИДАВАТЬ,,96966,152391,36
ЗАТРАГИВАТЬ,,96966,28587,36
ОЦЕНИВАТЬ,,96966,114033,36
ПОЯВИТЬСЯ,,96966,1712736,36
ВОССОЗДАТЬ,,96966,22298,36
ФОРМИРОВАТЬ,,96966,96147,36
ЯВИТЬСЯ,,96966,321602,35
ОСТАТЬСЯ,,96966,1167779,35
ЧУВСТВОВАТЬ,,96966,423116,35
ПОДЕЛИТЬСЯ,,96966,123329,35
ПОСТИГАТЬ,,96966,17540,34
ТРЕБОВАТЬ,,96966,688059,34
НАБЛЮДАТЬ,,96966,308813,34
ЗАТРУДНИТЬ,,96966,23014,34
ПРОЯВЛЯТЬ,,96966,191824,34
МОЧЬ,,96966,850912,34
ГОВОРИТЬ,,96966,2673665,34
УЛАВЛИВАТЬ,,96966,23121,34
ПРИСУТСТВОВАТЬ,,96966,257932,34
СОХРАНИТЬСЯ,,96966,125151,33
СОЗДАВАТЬ,,96966,440892,33
КОММЕНТИРОВАТЬ,,96966,63858,33
ПОСЛУЖИТЬ,,96966,131041,33
РЕАЛИЗОВАТЬ,,96966,164444,33
