verb,prep,freqNoun,freqVerb,freqComb
СТОЯТЬ,В,210663,1895692,9200
СТОИТЬ,В,210663,915164,5210
ВСТАТЬ,В,210663,507057,4177
СПРОСИТЬ,В,210663,941901,2736
ВЫСТРАИВАТЬСЯ,В,210663,23144,2386
ВЫСТРОИТЬСЯ,В,210663,51726,2359
УДИВИТЬСЯ,В,210663,86840,1622
СТАНОВИТЬСЯ,В,210663,695686,1426
БЫТЬ,ПО,210663,16504392,1125
СПАТЬ,ПО,210663,107007,1019
ПОИНТЕРЕСОВАТЬСЯ,В,210663,118203,853
ВСТАВАТЬ,В,210663,123623,751
ДЕЖУРИТЬ,ПО,210663,35173,750
БЫТЬ,В,210663,16504392,636
БЫТЬ,НА,210663,16504392,584
ПОДХОДИТЬ,ПО,210663,383302,560
СИДЕТЬ,В,210663,1552440,557
ДАВАТЬ,ПО,210663,1254195,543
ПОСТАВИТЬ,В,210663,1143275,517
ПРОСТОЯТЬ,В,210663,18674,509
СТОИТЬ,НА,210663,915164,497
ДУМАТЬ,В,210663,575903,493
ПОСТАВИТЬ,НА,210663,1143275,454
ЖДАТЬ,В,210663,793831,450
ГОВОРИТЬ,ПО,210663,2673665,402
ЛЕЗТЬ,БЕЗ,210663,114176,402
ПОСМОТРЕТЬ,ПО,210663,1352306,386
СТОЯТЬ,НА,210663,1895692,373
ВСТАТЬ,НА,210663,507057,356
ЗАПИСЫВАТЬСЯ,В,210663,23018,349
ПРЕДСТАВИТЬСЯ,В,210663,75630,336
ХОДИТЬ,ПО,210663,681808,321
РАБОТАТЬ,ПО,210663,1593272,306
НАЧАТЬ,ПО,210663,573876,263
ПОСТОЯТЬ,В,210663,12287,262
МОЧЬ,ПО,210663,850912,255
ПРИНЯТЬСЯ,ПО,210663,85191,255
ПИТЬ,ПО,210663,206658,250
ЧИТАТЬ,ПО,210663,552091,250
СТАВИТЬ,В,210663,440697,247
ОТСТОЯТЬ,В,210663,18026,239
ЗАПИСАТЬСЯ,В,210663,26919,239
ОКАЗАТЬСЯ,В,210663,1813169,236
НЕСТИ,ПО,210663,436910,235
ПРОСТАИВАТЬ,В,210663,4460,206
ПОПАСТЬ,ПОД,210663,980276,190
СКАЗАТЬ,В,210663,7659823,189
