verb,prep,freqNoun,freqVerb,freqComb
НАСТАТЬ,,210663,125286,13181
БЫТЬ,,210663,16504392,5494
ВЫСТРОИТЬСЯ,,210663,51726,5045
НАСТУПИТЬ,,210663,271078,4431
ВЫСТРАИВАТЬСЯ,,210663,23144,3205
СТОЯТЬ,,210663,1895692,3118
ВЫПУСТИТЬ,,210663,371110,3061
ЗАНИМАТЬ,,210663,424637,2292
РАЗДАТЬСЯ,,210663,392848,2142
УДАРИТЬ,,210663,362864,1934
ОБРАЗОВАТЬСЯ,,210663,199953,1910
ЖДАТЬ,,210663,793831,1875
ЗАНЯТЬ,,210663,593852,1850
ПОДОЙТИ,,210663,1011760,1619
НАСТУПАТЬ,,210663,131947,1539
СТОИТЬ,,210663,915164,1322
ДОЙТИ,,210663,207410,1036
БИТЬ,,210663,263558,1001
СТРЕЛЯТЬ,,210663,114486,992
ОТСТОЯТЬ,,210663,18026,937
ПОЛОСНУТЬ,,210663,14303,907
ПРОШИТЬ,,210663,13948,878
ДАВАТЬ,,210663,1254195,731
ДАТЬ,,210663,1104316,703
ВЫСТАИВАТЬ,,210663,1709,645
ЗАДЕРЖИВАТЬ,,210663,35632,625
УВИДЕТЬ,,210663,1503676,602
ТЯНУТЬСЯ,,210663,177858,600
ВЫСТОЯТЬ,,210663,9454,598
РАЗДАВАТЬСЯ,,210663,90998,539
ЛИКВИДИРОВАТЬ,,210663,87503,509
УСЛЫШАТЬ,,210663,657759,494
ПОСЛЫШАТЬСЯ,,210663,312418,490
ПУСТИТЬ,,210663,191004,475
ПРИДТИ,,210663,275691,472
ДОХОДИТЬ,,210663,79354,465
ХЛЕСТНУТЬ,,210663,16975,463
ДВИГАТЬСЯ,,210663,296744,453
СОБРАТЬСЯ,,210663,277331,450
ВИДЕТЬ,,210663,1971171,439
ПРИХОДИТЬ,,210663,593265,400
ПОЛУЧИТЬ,,210663,3281968,399
ОТВЕТИТЬ,,210663,2124020,399
СОЗДАВАТЬ,,210663,440892,396
СРЕЗАТЬ,,210663,44992,396
