verb,prep,freqNoun,freqVerb,freqComb
УЧИТЬСЯ,НА,400347,234228,2843
ЗАСТРАХОВАТЬ,ОТ,400347,26534,1885
СООБЩИТЬ,ОБ,400347,2536261,1883
УКАЗАТЬ,НА,400347,634172,1072
СВЯЗАТЬ,С,400347,1362256,966
ПРИВОДИТЬ,К,400347,457302,792
НАПИСАТЬ,С,400347,995391,750
УКАЗЫВАТЬ,НА,400347,211982,685
ВПАСТЬ,В,400347,98210,670
ПИСАТЬ,С,400347,941379,576
ПОПАСТЬ,ПО,400347,980276,539
БЫТЬ,ПО,400347,16504392,532
ВПАДАТЬ,В,400347,82097,531
ОБОЙТИСЬ,БЕЗ,400347,170455,493
ГОВОРИТЬ,ОБ,400347,2673665,478
ПРИВЕСТИ,К,400347,919531,466
ПРИНЯТЬ,ПО,400347,2446695,362
МОЧЬ,ПО,400347,850912,360
УБИТЬ,ПО,400347,573544,341
ГАРАНТИРОВАТЬ,ОТ,400347,124526,298
НАПИСАТЬ,БЕЗ,400347,995391,268
ОСНОВАТЬ,НА,400347,407746,252
СООБЩАТЬ,ОБ,400347,1251997,247
ПИСАТЬ,БЕЗ,400347,941379,237
РАСПЛАЧИВАТЬСЯ,ЗА,400347,17037,236
ГОВОРИТЬ,О,400347,2673665,184
ВЗЯТЬ,ПО,400347,2235567,181
ПРИЗНАТЬСЯ,В,400347,246491,173
НАКАЗАТЬ,ЗА,400347,58560,173
СБИТЬ,ПО,400347,182460,171
РАБОТАТЬ,НАД,400347,1593272,166
ОТНОСИТЬ,К,400347,847578,166
ВЕСТИ,К,400347,907360,157
ПЛАТИТЬ,ЗА,400347,194150,154
СДЕЛАТЬ,ПО,400347,2688427,150
РАССКАЗАТЬ,ОБ,400347,905982,147
ИЗВИНИТЬСЯ,ЗА,400347,28766,145
ЗАБРЕСТИ,ПО,400347,11558,140
ИЗБАВИТЬСЯ,ОТ,400347,126845,135
НАУЧИТЬСЯ,НА,400347,42058,132
АРЕСТОВАТЬ,ПО,400347,244958,131
ЗАПЛАТИТЬ,ЗА,400347,119984,128
ОБХОДИТЬСЯ,БЕЗ,400347,59958,124
ЗАЩИТИТЬ,ОТ,400347,176739,121
СТОЛКНУТЬСЯ,С,400347,214232,121
НАПЕЧАТАТЬ,С,400347,113088,120
СПИСАТЬ,НА,400347,31202,116
БЫТЬ,БЕЗ,400347,16504392,115
НАКАЗЫВАТЬ,ЗА,400347,20205,115
МОЧЬ,БЕЗ,400347,850912,113
УЗНАТЬ,ОБ,400347,696691,112
ИЗВИНЯТЬСЯ,ЗА,400347,9327,112
СОСТАВИТЬ,С,400347,497277,110
ГОВОРИТЬ,С,400347,2673665,109
СДЕЛАТЬ,С,400347,2688427,109
ОТВЕЧАТЬ,ЗА,400347,609071,106
ОТПРАВИТЬ,ПО,400347,570282,105
ВЫПОЛНИТЬ,С,400347,932395,100
ОБРЕЧЬ,НА,400347,135388,97
СОВЕРШИТЬ,ПО,400347,613907,96
ПРИНИМАТЬ,ПО,400347,946204,96
ПОРАБОТАТЬ,НАД,400347,34031,95
ВЫПОЛНИТЬ,БЕЗ,400347,932395,94
ЗАВЕРШИТЬСЯ,С,400347,176023,93
ЗАЙТИ,ПО,400347,312789,92
ВИДЕТЬ,ПО,400347,1971171,91
РАБОТАТЬ,С,400347,1593272,90
СТАЛКИВАТЬСЯ,С,400347,113695,89
РЕАГИРОВАТЬ,НА,400347,83970,89
НАДЕЯТЬСЯ,НА,400347,133380,88
ПРИНЯТЬ,С,400347,2446695,88
УБЕРЕЧЬ,ОТ,400347,16053,87
ЗНАТЬ,ОБ,400347,1470177,87
ПРОСТИТЬ,ЗА,400347,68602,86
РАБОТАТЬ,БЕЗ,400347,1593272,85
РАССКАЗАТЬ,О,400347,905982,84
