verb,prep,freqNoun,freqVerb,freqComb
СОВЕРШИТЬ,,400347,613907,48072
ДОПУСТИТЬ,,400347,342029,47163
ЗАМЕТИТЬ,,400347,1190242,30648
НАСЛАТЬ,,400347,382505,23854
СОВЕРШАТЬ,,400347,236388,22669
БЫТЬ,,400347,16504392,21871
СДЕЛАТЬ,,400347,2688427,19182
ДЕЛАТЬ,,400347,1265891,14086
ДОПУСКАТЬ,,400347,149833,11807
ИСПРАВИТЬ,,400347,50207,10028
ПРОИЗОЙТИ,,400347,759327,9079
ПОВТОРЯТЬ,,400347,111150,5796
ПОВТОРИТЬ,,400347,298378,4398
ОБНАРУЖИТЬ,,400347,995635,4006
НАДЕЛАТЬ,,400347,27424,3223
ИСПРАВЛЯТЬ,,400347,12732,3149
ПРИЗНАТЬ,,400347,490285,2469
ИЗБЕЖАТЬ,,400347,140162,2464
ЯВЛЯТЬСЯ,,400347,3365085,2352
ПРОЩАТЬ,,400347,31028,2162
НАЙТИ,,400347,1914932,2144
НАЗВАТЬ,,400347,806830,2126
СЧИТАТЬ,,400347,1388621,1862
СОДЕРЖАТЬ,,400347,449675,1522
ВЫЗВАТЬ,,400347,857411,1232
УЧЕСТЬ,,400347,96620,1187
ВОЗНИКАТЬ,,400347,409064,1131
ВЫЯВИТЬ,,400347,222645,1099
ОКАЗАТЬСЯ,,400347,1813169,1091
ВЫДАВАТЬ,,400347,123215,1031
ЗАКЛЮЧАТЬСЯ,,400347,267094,1020
БЫВАТЬ,,400347,361586,954
ВИДЕТЬ,,400347,1971171,935
ВКРАСТЬСЯ,,400347,3327,875
ИСКАТЬ,,400347,819203,804
УСТРАНИТЬ,,400347,66214,782
СЛУЧАТЬСЯ,,400347,58596,782
ВЫЙТИ,,400347,1529334,747
ИСКЛЮЧИТЬ,,400347,132180,733
ПОНЯТЬ,,400347,523934,711
ВОЗНИКНУТЬ,,400347,564886,683
НАХОДИТЬ,,400347,352769,674
ОСОЗНАТЬ,,400347,73864,674
БОЯТЬСЯ,,400347,360524,658
ПОЛУЧИТЬ,,400347,3281968,646
СОСТОЯТЬ,,400347,473553,629
ВОСПОЛЬЗОВАТЬСЯ,,400347,207683,602
ЗАМЕЧАТЬ,,400347,157259,509
ВЫДАТЬ,,400347,237631,506
УВИДЕТЬ,,400347,1503676,499
ИСКЛЮЧАТЬ,,400347,136877,478
ПРИЗНАВАТЬ,,400347,46974,465
ПРОИСХОДИТЬ,,400347,596752,457
ИЗБЕГАТЬ,,400347,94891,456
ПРИВЕСТИ,,400347,919531,454
ДОПУСКАТЬСЯ,,400347,53589,403
ЗАКРАСТЬСЯ,,400347,6195,379
КРЫТЬСЯ,,400347,36539,365
ОБЪЯСНИТЬ,,400347,367380,362
ИМЕТЬ,,400347,4883454,353
ПОЯВЛЯТЬСЯ,,400347,440146,343
НАЗЫВАТЬ,,400347,535788,327
АНАЛИЗИРОВАТЬ,,400347,51921,324
ИМЕТЬСЯ,,400347,559835,322
ВСТРЕЧАТЬСЯ,,400347,327325,321
СОДЕРЖАТЬСЯ,,400347,178437,310
СЛУЧИТЬСЯ,,400347,140815,308
ПРОСТИТЬ,,400347,68602,294
СОВЕРШАТЬСЯ,,400347,53220,290
СЧИТАТЬСЯ,,400347,334745,286
ОБНАРУЖИТЬСЯ,,400347,62370,281
ОБНАРУЖИВАТЬ,,400347,55353,268
ПРИВОДИТЬ,,400347,457302,267
ОТМЕТИТЬ,,400347,1263077,251
ВЫЗЫВАТЬ,,400347,574948,249
МОЧЬ,,400347,850912,243
ПОКАЗАТЬ,,400347,1076177,240
ВОЗВРАЩАТЬ,,400347,64269,239
ИЗОБИЛОВАТЬ,,400347,23871,234
ПОПРАВИТЬ,,400347,145316,230
ЗАЛОЖИТЬ,,400347,241074,227
ВЫЯВЛЯТЬ,,400347,22506,223
ДАВАТЬ,,400347,1254195,223
ПРОАНАЛИЗИРОВАТЬ,,400347,53379,222
ОБУСЛОВИТЬ,,400347,174986,219
ПОПРАВЛЯТЬ,,400347,23046,216
ОЗНАЧАТЬ,,400347,257761,210
УСТРАНЯТЬ,,400347,32050,205
РАЗОБРАТЬ,,400347,66383,204
ЯВИТЬСЯ,,400347,321602,199
ОБЪЯСНЯТЬ,,400347,167559,198
КАЗАТЬСЯ,,400347,318126,196
ПОЛУЧАТЬ,,400347,883886,196
ИСПОЛЬЗОВАТЬ,,400347,1431705,188
ПОКАЗЫВАТЬ,,400347,385626,186
ТЕРПЕТЬ,,400347,144766,186
СТАТЬ,,400347,686138,185
ПОЯВИТЬСЯ,,400347,1712736,184
ПРИСУТСТВОВАТЬ,,400347,257932,178
ИСПРАВЛЯТЬСЯ,,400347,1581,176
ПИСАТЬ,,400347,941379,169
РАЗБИРАТЬ,,400347,39479,163
ОБНАРУЖИВАТЬСЯ,,400347,27712,161
ЖДАТЬ,,400347,793831,155
СУЩЕСТВОВАТЬ,,400347,667956,152
ВЫИСКИВАТЬ,,400347,12713,148
НАЗЫВАТЬСЯ,,400347,269560,147
РАССМОТРЕТЬ,,400347,325472,147
ЗНАТЬ,,400347,1470177,143
НАКАПЛИВАТЬСЯ,,400347,19317,143
УКАЗАТЬ,,400347,634172,140
ИСКЛЮЧАТЬСЯ,,400347,25352,139
ПРЕДОТВРАТИТЬ,,400347,62818,136
ПОРОЖДАТЬ,,400347,52126,134
ВЫСКАКИВАТЬ,,400347,18724,130
НАТВОРИТЬ,,400347,9852,129
СТАНОВИТЬСЯ,,400347,695686,126
УЧИТЫВАТЬ,,400347,75741,126
СТОИТЬ,,400347,915164,125
ДУМАТЬ,,400347,575903,123
ОТМЕЧАТЬ,,400347,430086,119
ОБЪЯСНЯТЬСЯ,,400347,54867,119
ВСКРЫТЬ,,400347,59351,117
ВЕРНУТЬ,,400347,238989,116
ПОВТОРЯТЬСЯ,,400347,28062,116
ИСКУПИТЬ,,400347,9228,109
СЧЕСТЬ,,400347,79169,108
ПЕРЕЧИСЛИТЬ,,400347,68462,102
ПОНИМАТЬ,,400347,394627,100
ОПРЕДЕЛИТЬ,,400347,398404,100
МИНИМИЗИРОВАТЬ,,400347,11691,99
ВЫДАВАТЬСЯ,,400347,42551,98
ГЕНЕРИРОВАТЬ,,400347,23058,98
ВЫХОДИТЬ,,400347,543652,96
ОБРАБАТЫВАТЬ,,400347,46847,95
СОСТАВЛЯТЬ,,400347,443838,95
ПОВТОРИТЬСЯ,,400347,26479,94
ПРОПУСТИТЬ,,400347,160681,93
ЗАГЛАДИТЬ,,400347,4993,90
ЛЕЖАТЬ,,400347,1213074,90
ЗАКЛЮЧИТЬ,,400347,538655,89
ВНЕСТИ,,400347,379071,88
ОПРЕДЕЛЯТЬ,,400347,239562,87
ОСТАВАТЬСЯ,,400347,851043,86
КОМПЕНСИРОВАТЬ,,400347,40013,85
ПРОВЕРЯТЬ,,400347,120873,85
ДЕЛАТЬСЯ,,400347,103013,83
СКРЫВАТЬ,,400347,111182,83
