verb,prep,freqNoun,freqVerb,freqComb
ОКАЗАТЬСЯ,В,485605,1813169,25563
НАХОДИТЬСЯ,В,485605,2661082,24490
ПОПАСТЬ,В,485605,980276,9695
ВЕРНУТЬСЯ,В,485605,1351676,6632
ПОСТАВИТЬ,В,485605,1143275,5417
БЫТЬ,В,485605,16504392,4980
ВОЗВРАЩАТЬСЯ,В,485605,391234,4701
ОКАЗЫВАТЬСЯ,В,485605,230283,4356
ПОПАДАТЬ,В,485605,249861,2210
НАХОДИТЬСЯ,НА,485605,2661082,2079
ВОЙТИ,В,485605,1169413,2070
УСТАНОВИТЬ,В,485605,1088052,1894
СТАВИТЬ,В,485605,440697,1843
СВЯЗАТЬ,С,485605,1362256,1819
ОЧУТИТЬСЯ,В,485605,114108,1651
УСТАНАВЛИВАТЬСЯ,В,485605,122272,1565
ОСТАВАТЬСЯ,В,485605,851043,1548
ПЕРЕВЕСТИ,НА,485605,510995,1308
ЗАВИСЕТЬ,ОТ,485605,343524,1303
ПЕРЕЙТИ,НА,485605,445514,1135
ОСВЕДОМИТЬ,О,485605,48142,1109
ГОВОРИТЬ,О,485605,2673665,1053
ПРИВЕСТИ,В,485605,919531,1004
УСТАНАВЛИВАТЬ,В,485605,152402,922
ПЕРЕМЕЩАТЬСЯ,В,485605,52144,920
ЗНАТЬ,О,485605,1470177,905
БЫТЬ,НА,485605,16504392,904
ПЕРЕВОДИТЬСЯ,В,485605,18954,864
ЗАФИКСИРОВАТЬ,В,485605,248690,776
УДЕРЖИВАТЬСЯ,В,485605,26117,735
РАССКАЗАТЬ,О,485605,905982,689
ОСТАТЬСЯ,В,485605,1167779,686
НИЗВЕСТИ,ДО,485605,6026,676
ОЗНАКОМИТЬСЯ,С,485605,92717,667
ПЕРЕВОДИТЬ,В,485605,95557,659
ПЕРЕВЕСТИ,В,485605,510995,599
ПЕРЕХОДИТЬ,НА,485605,245114,596
ВХОДИТЬ,В,485605,780476,580
ОСНОВАТЬ,НА,485605,407746,576
ОКАЗАТЬСЯ,НА,485605,1813169,571
ОБЪЯВИТЬ,НА,485605,938139,559
ВОЗВРАЩАТЬ,В,485605,64269,542
ПОКАЗАТЬ,В,485605,1076177,515
ПОВЛИЯТЬ,НА,485605,103534,510
ВЛИЯТЬ,НА,485605,146292,510
УЗНАТЬ,О,485605,696691,498
ОТРАЗИТЬСЯ,НА,485605,124569,488
ПРЕБЫВАТЬ,В,485605,144831,487
СМИРИТЬСЯ,С,485605,28775,480
СКАЗАТЬСЯ,НА,485605,63070,459
ИДТИ,В,485605,2732778,456
ФИКСИРОВАТЬСЯ,В,485605,25787,450
ОТЛИЧАТЬСЯ,ОТ,485605,475656,433
ДУМАТЬ,О,485605,575903,406
ПЕРЕЙТИ,В,485605,445514,405
ПОДНИМАТЬСЯ,В,485605,295650,395
ЗАКРЕПИТЬ,В,485605,211364,393
СЛЕДИТЬ,ЗА,485605,260823,373
ОПУСКАТЬСЯ,В,485605,68798,367
ПРОВОДИТЬ,В,485605,1208004,365
РАСПОЛОЖИТЬ,В,485605,794668,363
