verb,prep,freqNoun,freqVerb,freqComb
ЗАНИМАТЬ,,485605,424637,18146
ПРИНЯТЬ,,485605,2446695,11020
ОБЪЯВИТЬ,,485605,938139,8686
ЗАНЯТЬ,,485605,593852,8346
БЫТЬ,,485605,16504392,8268
ВВЕСТИ,,485605,561530,8221
ИЗМЕНИТЬ,,485605,360414,6735
УТВЕРДИТЬ,,485605,215410,5097
ИСПРАВИТЬ,,485605,50207,4500
СПАСТИ,,485605,177154,4368
СООТВЕТСТВОВАТЬ,,485605,432049,3940
УЛУЧШИТЬ,,485605,78797,3152
МЕНЯТЬ,,485605,186175,2874
ЗНАТЬ,,485605,1470177,2502
ПРИНИМАТЬ,,485605,946204,2450
ОПРЕДЕЛИТЬ,,485605,398404,2438
ОПРЕДЕЛЯТЬ,,485605,239562,2393
ОТРАЖАТЬ,,485605,118809,2336
ИЗМЕНИТЬСЯ,,485605,128366,2198
СПАСАТЬ,,485605,70807,2087
ИМЕТЬ,,485605,4883454,2015
ОБЯЗЫВАТЬ,,485605,17117,1967
ДОСТИЧЬ,,485605,590710,1966
ВОССТАНОВИТЬ,,485605,205968,1909
ОБСУДИТЬ,,485605,257681,1880
ЯВЛЯТЬСЯ,,485605,3365085,1866
ОБЛЕГЧИТЬ,,485605,39488,1638
НАЙТИ,,485605,1914932,1632
ВЫЙТИ,,485605,1529334,1610
ИСПОЛЬЗОВАТЬ,,485605,1431705,1483
СФОРМУЛИРОВАТЬ,,485605,64495,1457
ОЦЕНИТЬ,,485605,254296,1361
СОДЕРЖАТЬСЯ,,485605,178437,1352
ПОКАЗАТЬ,,485605,1076177,1298
УСТРАИВАТЬ,,485605,208209,1285
СОХРАНЯТЬ,,485605,174965,1280
ИЗЛОЖИТЬ,,485605,104248,1274
УХУДШИТЬ,,485605,23604,1268
ОПРЕДЕЛЯТЬСЯ,,485605,177807,1251
СОДЕРЖАТЬ,,485605,449675,1250
ДОБИТЬСЯ,,485605,274505,1237
ОСЛОЖНЯТЬСЯ,,485605,8257,1220
ОТМЕНИТЬ,,485605,171323,1194
РАЗРАБОТАТЬ,,485605,438620,1166
ПОНИМАТЬ,,485605,394627,1151
ВВОДИТЬ,,485605,184603,1147
ПРОТИВОРЕЧИТЬ,,485605,83227,1130
ИЗМЕНЯТЬ,,485605,91455,1109
СЧИТАТЬ,,485605,1388621,1101
ПЕРЕМЕНИТЬ,,485605,32424,1089
ПОМЕНЯТЬ,,485605,72163,1088
ОЦЕНИВАТЬ,,485605,114033,1070
УДОВЛЕТВОРИТЬ,,485605,129203,1059
ВКЛЮЧИТЬ,,485605,602609,1023
ПОПРАВИТЬ,,485605,145316,1022
УСУГУБЛЯТЬСЯ,,485605,8197,992
СОХРАНИТЬ,,485605,287776,975
ОКАЗАТЬСЯ,,485605,1813169,968
ВОСПОЛЬЗОВАТЬСЯ,,485605,207683,967
СЛОЖИТЬСЯ,,485605,107689,957
ЗАКРЕПИТЬ,,485605,211364,950
СОЗДАТЬСЯ,,485605,16722,933
ОБРИСОВАТЬ,,485605,17148,928
НАРУШИТЬ,,485605,233899,924
ОТРАЗИТЬ,,485605,94090,919
ВЫПРАВИТЬ,,485605,6420,916
КОНТРОЛИРОВАТЬ,,485605,133395,915
УСУГУБЛЯТЬ,,485605,11065,914
ПРИМЕНЯТЬСЯ,,485605,149724,897
ПРЕДСТАВИТЬ,,485605,1185156,868
СМЕНИТЬ,,485605,197293,865
УСУГУБИТЬ,,485605,9390,856
ОБЕСПОКОИТЬ,,485605,63391,843
ОБЕСПЕЧИВАТЬ,,485605,444294,842
ВЫНОСИТЬСЯ,,485605,12042,839
СТАНОВИТЬСЯ,,485605,695686,835
УХУДШАТЬСЯ,,485605,10471,835
ЗАФИКСИРОВАТЬ,,485605,248690,817
УХУДШАТЬ,,485605,10575,810
ОБСУЖДАТЬ,,485605,159325,808
РАССМОТРЕТЬ,,485605,325472,783
ФИКСИРОВАТЬ,,485605,44935,777
СОХРАНЯТЬСЯ,,485605,86469,773
ОБЪЯСНИТЬ,,485605,367380,756
