verb,prep,freqNoun,freqVerb,freqComb
ПРИВЕСТИ,В,427097,919531,31272
ПРИВОДИТЬ,В,427097,457302,9056
БЫТЬ,В,427097,16504392,7556
ДАВАТЬ,ПО,427097,1254195,4583
РАСПОЛОЖИТЬ,В,427097,794668,3715
НАЧАТЬ,ПО,427097,573876,1944
БЫТЬ,НА,427097,16504392,1813
ПРОИЗВОДИТЬ,В,427097,482688,1364
РАССМОТРЕТЬ,В,427097,325472,1361
ОБЖАЛОВАТЬ,В,427097,32978,1327
ПРИЙТИСЬ,В,427097,125031,1270
РАССКАЗАТЬ,ПО,427097,905982,1258
ПРИЗВАТЬ,К,427097,230724,1249
МОЧЬ,В,427097,850912,997
РАССТАВИТЬ,В,427097,96290,992
ОСУЩЕСТВЛЯТЬСЯ,В,427097,287106,976
РАССКАЗЫВАТЬ,ПО,427097,486665,963
ВЫСТРОИТЬСЯ,В,427097,51726,857
ОТВЕЧАТЬ,ПО,427097,609071,844
ОТВЕЧАТЬ,ЗА,427097,609071,740
ПРИВОДИТЬСЯ,В,427097,94192,729
ИДТИ,В,427097,2732778,729
ВЫСТРОИТЬ,В,427097,80615,706
ПРЕДСТАВИТЬ,В,427097,1185156,697
РАЗЛОЖИТЬ,В,427097,93314,688
ПРОВОДИТЬ,В,427097,1208004,671
БЫТЬ,НЕ В,427097,16504392,670
РЕШИТЬ,В,427097,472473,668
ПРИНЯТЬ,В,427097,2446695,640
НАМЕРИТЬ,В,427097,31880,629
СОДЕРЖАТЬСЯ,В,427097,178437,579
ЗАРЕГИСТРИРОВАТЬ,В,427097,191492,540
ПОСТРОИТЬСЯ,В,427097,7535,530
РАСПОЛАГАТЬСЯ,В,427097,280304,501
УСТАНОВИТЬ,В,427097,1088052,479
ВЫНУДИТЬ,В,427097,53111,476
ПРИЗЫВАТЬ,К,427097,118971,474
НАКАЗАТЬ,В,427097,58560,469
НАЧАТЬ,В,427097,573876,465
РАЗМЕСТИТЬ,В,427097,360191,462
ПРОВЕСТИ,В,427097,1720693,451
РАЗВЕРНУТЬСЯ,В,427097,88844,447
ПРИВОЗИТЬ,В,427097,43967,437
ПЕРЕЧИСЛИТЬ,В,427097,68462,423
ВЫСТРАИВАТЬСЯ,В,427097,23144,422
РАСТОРГНУТЬ,В,427097,21030,415
ПЕРЕЧИСЛИТЬ,ПО,427097,68462,405
ПРОИСХОДИТЬ,В,427097,596752,398
ПРИДТИСЬ,В,427097,48702,395
НАХОДИТЬСЯ,В,427097,2661082,395
ОКАЗАТЬСЯ,В,427097,1813169,371
ПОСТРОИТЬ,В,427097,583313,359
ОБЯЗАТЬ,В,427097,71359,358
РАССМАТРИВАТЬСЯ,В,427097,94599,355
ПРИВЫКНУТЬ,К,427097,134421,350
ПРОХОДИТЬ,В,427097,938511,349
ПРИХОДИТЬ,В,427097,593265,348
ТРЕБОВАТЬ,В,427097,688059,344
РЕШАТЬСЯ,В,427097,87417,338
ОКАЗАТЬСЯ,НА,427097,1813169,337
СОДЕРЖАТЬ,В,427097,449675,331
ОСПОРИТЬ,В,427097,16064,325
СТОИТЬ,НА,427097,915164,323
ПРИЗНАТЬ,В,427097,490285,313
СЛЕДОВАТЬ,В,427097,314058,307
ПОСТАВИТЬ,В,427097,1143275,305
ПРИУЧИТЬ,К,427097,17401,303
ОСУЩЕСТВЛЯТЬ,В,427097,292921,302
ОФОРМИТЬ,В,427097,145497,301
СОСТАВИТЬ,В,427097,497277,296
СТРОИТЬСЯ,В,427097,86868,291
ПРИДТИ,В,427097,275691,282
СДЕЛАТЬ,В,427097,2688427,269
СЛОЖИТЬ,В,427097,210016,269
ПРОИЗВЕСТИ,В,427097,487320,266
РАССЧИТАТЬСЯ,ПО,427097,12398,257
ВЫРАСТИ,НА,427097,222187,250
ДВИГАТЬСЯ,В,427097,296744,248
ПРЕКРАТИТЬ,В,427097,242170,247
СМОЧЬ,В,427097,98925,246
СПРОСИТЬ,ДЛЯ,427097,941901,238
ПОЙТИ,ПО,427097,1160508,234
ГОВОРИТЬ,О,427097,2673665,234
ПЕРЕСТРОИТЬСЯ,В,427097,3818,226
ОБЕСПЕЧИТЬ,В,427097,370722,222
ОТМЕНИТЬ,В,427097,171323,217
ВЫПОЛНИТЬ,В,427097,932395,216
ДАТЬ,В,427097,1104316,215
ПЫТАТЬСЯ,В,427097,50986,215
СТОЯТЬ,В,427097,1895692,214
ВНЕСТИ,В,427097,379071,214
ВОЗРАСТИ,НА,427097,33467,213
ОТВЕТИТЬ,ПО,427097,2124020,208
ВЕСТИСЬ,В,427097,262923,206
ОПРЕДЕЛЯТЬСЯ,В,427097,177807,206
РАССКАЗАТЬ,О,427097,905982,204
ЗАВИСЕТЬ,ОТ,427097,343524,204
ИДТИ,ПО,427097,2732778,203
УТВЕРДИТЬ,В,427097,215410,202
ПОРУЧИТЬ,В,427097,139021,202
СТРЕМИТЬСЯ,К,427097,134257,201
ПРИСЛАТЬ,В,427097,489919,201
ДЕЙСТВОВАТЬ,В,427097,382299,197
ПОТРЕБОВАТЬ,В,427097,239412,194
РАЗЛОЖИТЬ,ПО,427097,93314,194
ЗАБОТИТЬСЯ,О,427097,75732,192
ПОЛУЧИТЬ,В,427097,3281968,188
ВВЕСТИ,В,427097,561530,185
ОРГАНИЗОВАТЬ,В,427097,478822,185
ЭВАКУИРОВАТЬ,В,427097,68396,185
ОСУДИТЬ,В,427097,124294,181
РАСПОЛОЖИТЬСЯ,В,427097,115939,180
СОБРАТЬ,В,427097,485223,180
ГОВОРИТЬ,ПО,427097,2673665,178
РАЗВОРАЧИВАТЬСЯ,В,427097,44275,177
ОТНОСИТЬ,К,427097,847578,176
ВКЛЮЧИТЬ,В,427097,602609,172
ОБЪЯВИТЬ,В,427097,938139,171
ОТСОРТИРОВАТЬ,В,427097,5686,171
РАЗРАБОТАТЬ,В,427097,438620,166
ПРЕДУСМАТРИВАТЬ,В,427097,226292,164
СОБИРАТЬСЯ,В,427097,249938,163
РАЗРЕШИТЬ,В,427097,161018,163
СТАНОВИТЬСЯ,НА,427097,695686,162
ВЕРНУТЬСЯ,К,427097,1351676,161
ВЕРИТЬ,В,427097,481858,160
ОТСТУПИТЬ,В,427097,106310,159
УЛОЖИТЬ,В,427097,109937,158
РАССМОТРЕТЬ,ПО,427097,325472,156
РАСПОЛОЖИТЬ,НЕ В,427097,794668,156
ПРЕДЛОЖИТЬ,В,427097,622690,152
ЗНАТЬ,О,427097,1470177,151
ОТСТУПАТЬ,В,427097,45520,151
ВЗЫСКАТЬ,В,427097,15223,150
ИЗМЕНИТЬ,В,427097,360414,149
ДОКЛАДЫВАТЬ,ПО,427097,41726,148
УВЕЛИЧИТЬСЯ,НА,427097,64931,148
ПРИНИМАТЬСЯ,В,427097,103634,147
ОСУЩЕСТВИТЬ,В,427097,167651,147
ПОДТВЕРДИТЬ,В,427097,499371,147
ВЫПОЛНЯТЬСЯ,В,427097,76150,146
ВЫГЛЯДЕТЬ,НА,427097,217511,146
ДОГОВОРИТЬСЯ,О,427097,145688,145
ПРЕДЛАГАТЬ,В,427097,379415,143
ДОКАЗАТЬ,В,427097,93445,142
ВЫЙТИ,В,427097,1529334,142
СОЗДАТЬ,В,427097,1371673,142
РАБОТАТЬ,В,427097,1593272,141
УРЕГУЛИРОВАТЬ,В,427097,16646,141
УРЕГУЛИРОВАТЬ,ВО,427097,16646,139
ДЕЛАТЬ,В,427097,1265891,136
ПРОВОЗГЛАСИТЬ,В,427097,77763,136
ПРИХОДИТЬСЯ,В,427097,114547,135
СТАТЬ,НА,427097,686138,133
СТОИТЬ,В,427097,915164,133
ПРОЙТИ,В,427097,1295429,133
УСТАНАВЛИВАТЬСЯ,В,427097,122272,132
ЛЕЖАТЬ,В,427097,1213074,132
СОГЛАСОВАТЬ,В,427097,84135,130
ОТЛИЧАТЬСЯ,ОТ,427097,475656,129
ВНОСИТЬ,В,427097,93635,128
ВЫСЛАТЬ,В,427097,57933,126
ПЕРЕСТРАИВАТЬСЯ,В,427097,3709,124
ПРИКАЗАТЬ,В,427097,199431,122
ТРЕБОВАТЬСЯ,В,427097,347350,121
РАЗВЕРНУТЬ,В,427097,184289,120
РАЗОБРАТЬСЯ,ПО,427097,92171,119
ПРОДОЛЖАТЬСЯ,В,427097,240099,117
ОПРЕДЕЛИТЬ,В,427097,398404,117
ОБЪЯСНИТЬ,ПО,427097,367380,117
ЛИКВИДИРОВАТЬ,В,427097,87503,116
РАСПОЛОЖИТЬ,ПО,427097,794668,116
РАЗРЕШАТЬСЯ,В,427097,15605,115
ВЫЗВАТЬ,В,427097,857411,115
ОТЛИЧАТЬСЯ,НА,427097,475656,115
РАССМАТРИВАТЬ,В,427097,303388,114
ПРИВЕСТИ,К,427097,919531,112
ОСВЕДОМИТЬ,О,427097,48142,111
ВОЗРАСТАТЬ,НА,427097,34646,110
ПРОСИТЬ,В,427097,458165,110
ВЫЛОЖИТЬ,В,427097,140371,110
ПРЕСЛЕДОВАТЬ,В,427097,56734,109
УКАЗАТЬ,В,427097,634172,108
ИЗЛОЖИТЬ,В,427097,104248,108
ЗАПИСАТЬ,В,427097,213677,108
ПРИВЫКАТЬ,К,427097,23762,107
УДОСТОВЕРИТЬ,В,427097,3373,106
РАБОТАТЬ,НА,427097,1593272,106
ПОЛУЧАТЬ,В,427097,883886,105
