verb,prep,freqNoun,freqVerb,freqComb
СОСТАВЛЯТЬ,,427097,443838,13978
НАВЕСТИ,,427097,57628,13350
НАВЕСТИТЬ,,427097,55791,13283
БЫТЬ,,427097,16504392,13141
НАВОДИТЬ,,427097,68362,12169
СОСТАВИТЬ,,427097,497277,8936
НАРУШАТЬ,,427097,132657,5066
УСТАНОВИТЬ,,427097,1088052,4951
ВОССТАНОВИТЬ,,427097,205968,4938
ЦАРИТЬ,,427097,195677,4452
ПОДДЕРЖИВАТЬ,,427097,390178,4442
ОПРЕДЕЛИТЬ,,427097,398404,3769
ИЗМЕНИТЬ,,427097,360414,3711
НАРУШИТЬ,,427097,233899,3438
ОПРЕДЕЛЯТЬ,,427097,239562,3340
УСТАНАВЛИВАТЬ,,427097,152402,2804
ЛЮБИТЬ,,427097,950738,2791
УТВЕРДИТЬ,,427097,215410,2333
СТОИТЬ,,427097,915164,1745
НАХОДИТЬСЯ,,427097,2661082,1626
ВВЕСТИ,,427097,561530,1584
ЗНАТЬ,,427097,1470177,1567
ОБЕСПЕЧИТЬ,,427097,370722,1536
СУЩЕСТВОВАТЬ,,427097,667956,1517
СОБЛЮДАТЬ,,427097,79803,1500
ОБЕСПЕЧИВАТЬ,,427097,444294,1457
УСТАНАВЛИВАТЬСЯ,,427097,122272,1324
ВЫДЕЛИТЬ,,427097,259457,1161
ЗАВЕСТИ,,427097,164596,1147
РАБОТАТЬ,,427097,1593272,1053
ИМЕТЬ,,427097,4883454,1051
РАЗРАБОТАТЬ,,427097,438620,1018
ОПРЕДЕЛЯТЬСЯ,,427097,177807,1010
ПОЛУЧИТЬ,,427097,3281968,969
ПРОЖИВАТЬ,,427097,125730,917
ПРИНЯТЬ,,427097,2446695,867
РЕГЛАМЕНТИРОВАТЬ,,427097,11825,858
ЗАДЕРЖАТЬ,,427097,482549,852
НАСЧИТЫВАТЬ,,427097,15553,851
НАСЧИТЫВАТЬСЯ,,427097,18574,823
ПРЕДУСМАТРИВАТЬ,,427097,226292,805
ДЕЙСТВОВАТЬ,,427097,382299,804
СОБРАТЬ,,427097,485223,794
ВВОДИТЬ,,427097,184603,792
ОХРАНЯТЬ,,427097,60568,773
