verb,prep,freqNoun,freqVerb,freqComb
ОПИСАТЬ,В,168102,281655,17250
ВЗЯТЬ,ДЛЯ,168102,2235567,4188
ПРИВЕСТИ,В КАЧЕСТВЕ,168102,919531,2972
ПОКАЗАТЬ,В,168102,1076177,2063
УКАЗАТЬ,В,168102,634172,1855
ВЗЯТЬ,В КАЧЕСТВЕ,168102,2235567,1540
ВЗЯТЬ,К,168102,2235567,1523
СКАЗАТЬ,К,168102,7659823,1284
РАССМОТРЕТЬ,В КАЧЕСТВЕ,168102,325472,1053
ПОКАЗАТЬ,НА,168102,1076177,1007
ПРИВЕСТИ,В,168102,919531,882
ОБРАТИТЬСЯ,К,168102,707150,841
ПРИВЕСТИ,ДЛЯ,168102,919531,789
ПРИВОДИТЬ,В КАЧЕСТВЕ,168102,457302,740
РАССМОТРЕТЬ,ДЛЯ,168102,325472,596
ВЕРНУТЬСЯ,К,168102,1351676,561
ПРИВОДИТЬСЯ,В КАЧЕСТВЕ,168102,94192,519
ХОДИТЬ,ДАЛЕКО ЗА,168102,681808,472
ИСПОЛЬЗОВАТЬ,В,168102,1431705,471
ПРЕДСТАВИТЬ,В,168102,1185156,463
ВИДЕТЬ,НА,168102,1971171,445
ПРОИЛЛЮСТРИРОВАТЬ,НА,168102,12401,431
БЫТЬ,В КАЧЕСТВЕ,168102,16504392,413
УБЕДИТЬСЯ,НА,168102,44126,407
РАССМОТРЕТЬ,НА,168102,325472,403
ПОЯСНИТЬ,НА,168102,427441,339
НАЧАТЬ,С,168102,573876,323
ПРОДЕМОНСТРИРОВАТЬ,НА,168102,136681,313
ОТЛИЧАТЬСЯ,ОТ,168102,475656,305
СКАЗАТЬ,ДЛЯ,168102,7659823,301
УКАЗАТЬ,ДЛЯ,168102,634172,270
ИСПОЛЬЗОВАТЬ,В КАЧЕСТВЕ,168102,1431705,247
ХОДИТЬ,ЗА,168102,681808,240
ПОЛУЧИТЬ,В,168102,3281968,239
ИСПОЛЬЗОВАТЬСЯ,В,168102,439186,221
ОБЪЯСНИТЬ,НА,168102,367380,221
БЫТЬ,В,168102,16504392,216
ПОКАЗЫВАТЬ,НА,168102,385626,211
ПЕРЕЙТИ,К,168102,445514,200
ОЗНАКОМИТЬСЯ,С,168102,92717,197
НАЗВАТЬ,В КАЧЕСТВЕ,168102,806830,197
ВИДЕТЬ,В,168102,1971171,189
ВЫБРАТЬ,В КАЧЕСТВЕ,168102,575313,189
УКАЗАТЬ,В КАЧЕСТВЕ,168102,634172,176
ПОКАЗАТЬ,В КАЧЕСТВЕ,168102,1076177,163
УЧИТЬСЯ,НА,168102,234228,155
СТАЛКИВАТЬСЯ,С,168102,113695,152
ПРЕДСТАВИТЬ,В КАЧЕСТВЕ,168102,1185156,149
ОБРАТИТЬСЯ,ДЛЯ,168102,707150,149
ГОВОРИТЬ,О,168102,2673665,148
ИЗЛОЖИТЬ,В,168102,104248,147
ДОКАЗАТЬ,НА,168102,93445,146
СОСЛАТЬСЯ,В КАЧЕСТВЕ,168102,21177,143
ПРЕДПОЛОЖИТЬ,ДЛЯ,168102,81026,142
ПРОДЕМОНСТРИРОВАТЬ,В,168102,136681,139
ОПИСАТЬ,НА,168102,281655,137
СУДИТЬ,ПО,168102,132144,136
ДАВАТЬ,ДЛЯ,168102,1254195,134
СТОЛКНУТЬСЯ,С,168102,214232,133
СДЕЛАТЬ,В,168102,2688427,132
ПРОИЛЛЮСТРИРОВАТЬ,В,168102,12401,130
ПОСМОТРЕТЬ,НА,168102,1352306,128
БРАТЬ,В КАЧЕСТВЕ,168102,449883,121
УПОМЯНУТЬ,В КАЧЕСТВЕ,168102,98643,119
ССЫЛАТЬСЯ,НА,168102,43101,116
ДЕБЮТИРОВАТЬ,В,168102,37273,115
РАССКАЗАТЬ,ДЛЯ,168102,905982,114
НУЖДАТЬСЯ,В,168102,309433,113
ВЫБРАТЬ,ДЛЯ,168102,575313,112
ВСПОМНИТЬ,ДЛЯ,168102,471977,111
РАССКАЗАТЬ,В КАЧЕСТВЕ,168102,905982,111
НАЗВАТЬ,ДЛЯ,168102,806830,110
ОПИСАТЬ,ДЛЯ,168102,281655,109
ПРЕДПОЛАГАТЬСЯ,В,168102,38041,107
ОСНОВАТЬ,НА,168102,407746,106
БЫТЬ,НА,168102,16504392,105
ПОСМОТРЕТЬ,ДЛЯ,168102,1352306,100
ПОЗНАКОМИТЬСЯ,С,168102,201988,99
ДАТЬ,В,168102,1104316,92
ОТРАЗИТЬ,В,168102,94090,91
ОБРАЩАТЬСЯ,К,168102,298417,89
ПОКАЗАТЬ,ДЛЯ,168102,1076177,88
ПОЛУЧИТЬ,СОГЛАСНО,168102,3281968,88
УВИДЕТЬ,НА,168102,1503676,87
БЫТЬ,ДЛЯ,168102,16504392,85
РАСКРЫТЬ,В,168102,183977,83
ДАВАТЬ,В КАЧЕСТВЕ,168102,1254195,81
ПОЯСНЯТЬСЯ,НА,168102,20386,81
ОБРАТИТЬСЯ,ЗА,168102,707150,80
ПРИВОЗИТЬ,В КАЧЕСТВЕ,168102,43967,80
ПРОСЛЕДИТЬ,НА,168102,55560,79
ГОВОРИТЬ,К,168102,2673665,79
ОБРАТИТЬСЯ,В КАЧЕСТВЕ,168102,707150,79
РАССМОТРЕТЬ,В,168102,325472,76
БЫТЬ,К,168102,16504392,76
РАССМАТРИВАТЬ,В КАЧЕСТВЕ,168102,303388,73
ОТНОСИТЬ,К,168102,847578,72
ПОНЯТЬ,НА,168102,523934,72
СОСЛАТЬСЯ,ДЛЯ,168102,21177,70
РАССКАЗАТЬ,О,168102,905982,69
ПРОВОДИТЬ,СОГЛАСНО,168102,1208004,67
ПОЛУЧАТЬ,СОГЛАСНО,168102,883886,66
ПЕРЕХОДИТЬ,К,168102,245114,66
ПОСТРОИТЬ,НА,168102,583313,66
УПОМЯНУТЬ,ДЛЯ,168102,98643,63
ПРИБЕГНУТЬ,К,168102,33778,63
РАССМАТРИВАТЬСЯ,В КАЧЕСТВЕ,168102,94599,63
ПРЕДСТАВИТЬ,ДЛЯ,168102,1185156,62
ПРЕДПОЛОЖИТЬ,В КАЧЕСТВЕ,168102,81026,62
ОПРЕДЕЛИТЬ,В,168102,398404,62
СОЗДАТЬ,ДЛЯ,168102,1371673,61
ПРИВОДИТЬСЯ,В,168102,94192,60
ЗНАТЬ,НА,168102,1470177,58
