verb,prep,freqNoun,freqVerb,freqComb
ПОСЛЕДОВАТЬ,,168102,238476,14431
ЯВЛЯТЬСЯ,,168102,3365085,11313
ПРИВЕСТИ,,168102,919531,10303
БЫТЬ,,168102,16504392,5817
ПРИВОДИТЬ,,168102,457302,5050
СЛУЖИТЬ,,168102,586125,4569
СЛЕДОВАТЬ,,168102,314058,3382
ЗНАТЬ,,168102,1470177,2019
ИЛЛЮСТРИРОВАТЬ,,168102,21305,1546
ПРИВОДИТЬСЯ,,168102,94192,1414
ПРОИЛЛЮСТРИРОВАТЬ,,168102,12401,1385
ПОСЛУЖИТЬ,,168102,131041,1362
НАЙТИ,,168102,1914932,1312
ПРЕДСТАВИТЬ,,168102,1185156,1267
ПОКАЗЫВАТЬ,,168102,385626,1257
ПОКАЗАТЬ,,168102,1076177,980
СТАТЬ,,168102,686138,966
РАССМОТРЕТЬ,,168102,325472,796
ПОЯСНЯТЬСЯ,,168102,20386,727
ВИДЕТЬ,,168102,1971171,712
ДАВАТЬ,,168102,1254195,693
СЧИТАТЬ,,168102,1388621,629
ДАТЬ,,168102,1104316,589
ИЗОБИЛОВАТЬ,,168102,23871,516
ВКЛЮЧАТЬ,,168102,299778,463
НАЗВАТЬ,,168102,806830,461
ПОДТВЕРЖДАТЬСЯ,,168102,29637,444
ВОСПОЛЬЗОВАТЬСЯ,,168102,207683,392
ПОДАВАТЬ,,168102,229396,385
ПОЯСНИТЬ,,168102,427441,372
СТАНОВИТЬСЯ,,168102,695686,360
ИМЕТЬ,,168102,4883454,352
РЕШАТЬ,,168102,140993,345
ПРИВОЗИТЬ,,168102,43967,344
ПОДТВЕРДИТЬ,,168102,499371,340
БРАТЬ,,168102,449883,322
СУЩЕСТВОВАТЬ,,168102,667956,321
ВЗЯТЬ,,168102,2235567,315
СОДЕРЖАТЬ,,168102,449675,305
ИСКАТЬ,,168102,819203,305
УВИДЕТЬ,,168102,1503676,301
ИМЕТЬСЯ,,168102,559835,289
ОСТАТЬСЯ,,168102,1167779,278
ОПИСАТЬ,,168102,281655,271
ОСТАВАТЬСЯ,,168102,851043,270
СОБРАТЬ,,168102,485223,263
БЫВАТЬ,,168102,361586,257
ИСПОЛЬЗОВАТЬ,,168102,1431705,256
ПОДКРЕПИТЬ,,168102,21462,246
ДЕМОНСТРИРОВАТЬ,,168102,115870,241
СЧИТАТЬСЯ,,168102,334745,231
ПРЕДСТАВЛЯТЬ,,168102,614293,223
ОГРАНИЧИВАТЬСЯ,,168102,73214,222
ЯВИТЬСЯ,,168102,321602,217
ВСТРЕЧАТЬСЯ,,168102,327325,210
ПОСМОТРЕТЬ,,168102,1352306,205
МОЧЬ,,168102,850912,195
ВДОХНОВЛЯТЬСЯ,,168102,4467,194
СВИДЕТЕЛЬСТВОВАТЬ,,168102,153942,194
ВСПОМНИТЬ,,168102,471977,192
ХВАТАТЬ,,168102,611205,192
ПРОДЕМОНСТРИРОВАТЬ,,168102,136681,187
ГОВОРИТЬ,,168102,2673665,181
НАХОДИТЬ,,168102,352769,180
УКАЗАТЬ,,168102,634172,156
ВДОХНОВИТЬ,,168102,19035,154
ДОКАЗАТЬ,,168102,93445,149
СООТВЕТСТВОВАТЬ,,168102,432049,148
ОКАЗАТЬСЯ,,168102,1813169,145
ОТСУТСТВОВАТЬ,,168102,156019,143
ПОДТВЕРЖДАТЬ,,168102,89962,141
ВДОХНОВИТЬСЯ,,168102,2374,138
ОГРАНИЧИТЬСЯ,,168102,53008,133
ЯВЛЯТЬ,,168102,22813,132
ПОДОБРАТЬ,,168102,163298,126
СМОТРЕТЬ,,168102,1826817,125
ВСТРЕТИТЬ,,168102,460413,124
ПРЕДНАЗНАЧИТЬ,,168102,434100,120
ДОКАЗЫВАТЬ,,168102,36654,117
ХОТЕТЬ,,168102,569716,115
РАЗОБРАТЬ,,168102,66383,115
НАПОЛНИТЬ,,168102,214691,113
СНАБДИТЬ,,168102,264353,112
РЕШИТЬ,,168102,472473,110
СОДЕРЖАТЬСЯ,,168102,178437,108
ОТНОСИТЬ,,168102,847578,106
ПРОАНАЛИЗИРОВАТЬ,,168102,53379,105
СОПРОВОЖДАТЬСЯ,,168102,112793,104
ВКЛЮЧИТЬ,,168102,602609,104
ПОДРАЖАТЬ,,168102,16107,100
ПЕРЕЧИСЛИТЬ,,168102,68462,96
ОБНАРУЖИТЬ,,168102,995635,94
РУКОВОДСТВОВАТЬСЯ,,168102,43398,93
ОГРАНИЧИТЬ,,168102,156833,91
РАССМАТРИВАТЬ,,168102,303388,91
РАССМАТРИВАТЬСЯ,,168102,94599,91
ДАВАТЬСЯ,,168102,88707,91
ВЫБРАТЬ,,168102,575313,89
ПОДКРЕПЛЯТЬ,,168102,4951,87
ДОПОЛНИТЬ,,168102,57328,86
ПЕСТРИТЬ,,168102,8316,86
ПЕРЕПОЛНИТЬ,,168102,56378,85
СЧЕСТЬ,,168102,79169,85
УКАЗЫВАТЬ,,168102,211982,82
НАЙТИСЬ,,168102,196855,80
ПОДЕЛИТЬСЯ,,168102,123329,79
ИЗОБРАЗИТЬ,,168102,310391,79
ПОМНИТЬ,,168102,224087,77
СДЕЛАТЬ,,168102,2688427,77
ПОЛУЧИТЬ,,168102,3281968,76
НАСЫТИТЬ,,168102,34764,74
ВСПОМИНАТЬ,,168102,245184,73
КАЗАТЬСЯ,,168102,318126,73
НАБЛЮДАТЬ,,168102,308813,73
УЧИТЬ,,168102,125474,72
ПРЕДЛАГАТЬ,,168102,379415,70
УВЛЕЧЬСЯ,,168102,48069,69
ПОЛЬЗОВАТЬСЯ,,168102,487486,68
ОТМЕТИТЬ,,168102,1263077,66
НАЗЫВАТЬ,,168102,535788,64
ВСТРЕЧАТЬ,,168102,195179,64
ПРЕДОСТАВИТЬ,,168102,329316,63
ХВАТИТЬ,,168102,336837,63
ПОДАТЬ,,168102,534831,62
СРАВНИТЬ,,168102,96794,61
ОБЪЯСНИТЬ,,168102,367380,60
ПОЯСНЯТЬ,,168102,59937,60
НАХОДИТЬСЯ,,168102,2661082,59
РАСПОЛАГАТЬ,,168102,166329,57
СОХРАНИТЬ,,168102,287776,57
ПОДКРЕПЛЯТЬСЯ,,168102,6926,56
ЯВИТЬ,,168102,20820,55
ПОМОЧЬ,,168102,320253,55
ОТВЕТИТЬ,,168102,2124020,50
ОСВЯТИТЬ,,168102,21394,49
ПОДБИРАТЬ,,168102,58358,49
ПРЕДЛАГАТЬСЯ,,168102,69678,49
ПОСВЯТИТЬ,,168102,344349,48
ПРИПОМНИТЬ,,168102,29364,48
ТРЕБОВАТЬ,,168102,688059,48
ОПИСЫВАТЬСЯ,,168102,36666,47
УВЛЕЧЬ,,168102,66996,46
МНОЖИТЬ,,168102,2429,46
ИЗУЧИТЬ,,168102,132969,45
ПОНЯТЬ,,168102,523934,45
ДОБАВИТЬ,,168102,974156,45
ЛЮБИТЬ,,168102,950738,45
НАПИСАТЬ,,168102,995391,44
ДЕЙСТВОВАТЬ,,168102,382299,44
ЧЕРПАТЬ,,168102,28721,44
ОПИСЫВАТЬ,,168102,102677,43
ИДТИ,,168102,2732778,43
ПОИСКАТЬ,,168102,68200,42
ВЫГЛЯДЕТЬ,,168102,217511,42
ПРЕДОСТАВЛЯТЬ,,168102,167526,42
ВЫБИРАТЬ,,168102,192604,41
ПИСАТЬ,,168102,941379,41
ВДОХНОВЛЯТЬ,,168102,11492,41
ЗАПОЛНИТЬ,,168102,198689,40
ДЕЛАТЬ,,168102,1265891,40
ПРЕДЛОЖИТЬ,,168102,622690,40
ПЕРЕЧИСЛЯТЬ,,168102,24606,40
ОТЫСКАТЬ,,168102,146331,39
ПРЕДСТАВЛЯТЬСЯ,,168102,80678,38
ПРОВОДИТЬ,,168102,1208004,37
ПРИЗНАТЬ,,168102,490285,37
ПРИДУМАТЬ,,168102,161541,36
ПОСТАВИТЬ,,168102,1143275,36
ПОДГОТОВИТЬ,,168102,356423,35
ОСТАВИТЬ,,168102,840269,35
ЗАИМСТВОВАТЬ,,168102,27068,35
ОСУЩЕСТВЛЯТЬ,,168102,292921,35
ПРОСМОТРЕТЬ,,168102,46453,35
ВЫСТУПАТЬ,,168102,463690,35
АНАЛИЗИРОВАТЬ,,168102,51921,34
СОБИРАТЬ,,168102,259596,34
ИСПОЛЬЗОВАТЬСЯ,,168102,439186,34
ЖДАТЬ,,168102,793831,34
КИШЕТЬ,,168102,29153,34
СДЕЛАТЬСЯ,,168102,91577,33
СЫПАТЬ,,168102,25748,33
ВИДАТЬ,,168102,21273,33
ИЗУЧАТЬ,,168102,238995,33
ОБСУДИТЬ,,168102,257681,32
ПОДДАВАТЬСЯ,,168102,131590,32
ОПУБЛИКОВАТЬ,,168102,520688,32
ПОВТОРЯТЬ,,168102,111150,31
ДЕМОНСТРИРОВАТЬСЯ,,168102,18695,31
НАУЧИТЬ,,168102,49221,30
ВЫЯВИТЬ,,168102,222645,30
ВОСПИТЫВАТЬ,,168102,37380,30
