verb,prep,freqNoun,freqVerb,freqComb
СТОЛКНУТЬСЯ,С,675834,214232,14182
СТАЛКИВАТЬСЯ,С,675834,113695,8923
СВЯЗАТЬ,С,675834,1362256,8176
СПРАВИТЬСЯ,С,675834,187100,3506
ГОВОРИТЬ,О,675834,2673665,3313
МОЧЬ,БЕЗ,675834,850912,2696
РАССКАЗАТЬ,О,675834,905982,1637
ОТНОСИТЬ,К,675834,847578,1629
БЫТЬ,БЕЗ,675834,16504392,1586
ПОДОЙТИ,К,675834,1011760,1486
ЗНАТЬ,О,675834,1470177,1405
РАЗОБРАТЬСЯ,С,675834,92171,1400
РАБОТАТЬ,НАД,675834,1593272,1393
ВЕРНУТЬСЯ,К,675834,1351676,1373
СМОЧЬ,БЕЗ,675834,98925,1368
ЗАБЫТЬ,О,675834,331942,1297
ОБОЙТИСЬ,БЕЗ,675834,170455,1286
ИЗБАВИТЬСЯ,ОТ,675834,126845,1265
ДУМАТЬ,О,675834,575903,1194
ПОДХОДИТЬ,К,675834,383302,1142
СПРАВЛЯТЬСЯ,С,675834,61178,1107
ЖАЛОВАТЬСЯ,НА,675834,100729,1086
ПРИВЕСТИ,К,675834,919531,1005
ПРОЙТИ,БЕЗ,675834,1295429,932
СМОТРЕТЬ,НА,675834,1826817,904
ПРИВОДИТЬ,К,675834,457302,902
БОРОТЬСЯ,С,675834,218009,869
ПРЕВРАТИТЬСЯ,В,675834,434499,842
ДОБРАТЬСЯ,БЕЗ,675834,370154,837
РАЗОБРАТЬСЯ,В,675834,92171,832
ВЗГЛЯНУТЬ,НА,675834,517856,823
СООБЩИТЬ,О,675834,2536261,820
СОСРЕДОТОЧИТЬСЯ,НА,675834,73016,748
СОСРЕДОТОЧИТЬ,НА,675834,152236,731
ПОСМОТРЕТЬ,НА,675834,1352306,683
СТРАДАТЬ,ОТ,675834,200078,656
РАССКАЗЫВАТЬ,О,675834,486665,650
ОБРАТИТЬСЯ,К,675834,707150,596
УЗНАТЬ,О,675834,696691,594
УКАЗЫВАТЬ,НА,675834,211982,591
СООБЩАТЬ,О,675834,1251997,550
ВНИКАТЬ,В,675834,13472,511
ОТВЛЕЧЬСЯ,ОТ,675834,35303,510
ПОГРУЗИТЬ,В,675834,122199,510
ОБРАЩАТЬСЯ,К,675834,298417,508
ОСТАНОВИТЬСЯ,НА,675834,517328,503
РАБОТАТЬ,БЕЗ,675834,1593272,500
ПРЕВРАЩАТЬСЯ,В,675834,178349,497
ОСВЕДОМИТЬ,О,675834,48142,490
ВОЗВРАЩАТЬСЯ,К,675834,391234,489
ПИСАТЬ,О,675834,941379,452
ИЗБАВИТЬ,ОТ,675834,52603,451
РАЗБИРАТЬСЯ,В,675834,85103,444
ПОГОВОРИТЬ,О,675834,155605,433
РАЗБИРАТЬСЯ,С,675834,85103,424
ОТНЕСТИСЬ,К,675834,67550,420
УКАЗАТЬ,НА,675834,634172,419
СПРАВИТЬСЯ,БЕЗ,675834,187100,415
СОПРЯЧЬ,С,675834,47880,411
РАЗМЫШЛЯТЬ,НАД,675834,64447,392
ЗАДУМЫВАТЬСЯ,НАД,675834,37544,389
НАЙТИ,БЕЗ,675834,1914932,360
СТОИТЬ,ПЕРЕД,675834,915164,349
ПЕРЕЙТИ,К,675834,445514,346
БИТЬСЯ,НАД,675834,131912,344
ЗАБЫВАТЬ,О,675834,108962,343
УЙТИ,ОТ,675834,626486,342
ПОЗВОЛЯТЬ,БЕЗ,675834,295113,336
ВЗЯТЬ,БЕЗ,675834,2235567,334
ВНИКНУТЬ,В,675834,10206,326
