verb,prep,freqNoun,freqVerb,freqComb
РЕШИТЬ,,675834,472473,60199
БЫТЬ,,675834,16504392,46577
ВОЗНИКНУТЬ,,675834,564886,35234
РЕШАТЬ,,675834,140993,33079
ВОЗНИКАТЬ,,675834,409064,21475
ЯВЛЯТЬСЯ,,675834,3365085,12729
ОБСУДИТЬ,,675834,257681,9914
ИСПЫТЫВАТЬ,,675834,484183,9207
СОЗДАВАТЬ,,675834,440892,9163
ИМЕТЬ,,675834,4883454,8848
СУЩЕСТВОВАТЬ,,675834,667956,8440
ВИДЕТЬ,,675834,1971171,7928
НАЧАТЬСЯ,,675834,875770,7593
ПОСВЯТИТЬ,,675834,344349,6756
ОБСУЖДАТЬ,,675834,159325,6638
ЗАНИМАТЬСЯ,,675834,986447,6479
ЗАКЛЮЧАТЬСЯ,,675834,267094,5151
РАЗРЕШИТЬ,,675834,161018,4765
ПРЕДСТАВЛЯТЬ,,675834,614293,4161
РЕШАТЬСЯ,,675834,87417,3979
ОСТАВАТЬСЯ,,675834,851043,3848
СОЗДАТЬ,,675834,1371673,3807
ВЫЗВАТЬ,,675834,857411,3255
РАССМОТРЕТЬ,,675834,325472,3127
ВЫЯВИТЬ,,675834,222645,3054
ОБСУЖДАТЬСЯ,,675834,93340,3016
ПОЯВИТЬСЯ,,675834,1712736,2980
ОЗАБОТИТЬ,,675834,37289,2761
ВСТАТЬ,,675834,507057,2757
СТАТЬ,,675834,686138,2683
СТАНОВИТЬСЯ,,675834,695686,2660
НАЧИНАТЬСЯ,,675834,374294,2642
СОСТАВЛЯТЬ,,675834,443838,2620
ЗАТРОНУТЬ,,675834,64283,2605
ЗАНЯТЬСЯ,,675834,335889,2578
СТОИТЬ,,675834,915164,2570
ВЫЗЫВАТЬ,,675834,574948,2379
РАССМАТРИВАТЬ,,675834,303388,2346
СОСТОЯТЬ,,675834,473553,2131
ИМЕТЬСЯ,,675834,559835,2073
УСТРАНИТЬ,,675834,66214,2071
СОСТАВИТЬ,,675834,497277,2022
