verb,prep,freqNoun,freqVerb,freqComb
ОТПРАВИТЬСЯ,В,778604,724410,41779
ТРОНУТЬСЯ,В,778604,88762,23458
ДВИНУТЬСЯ,В,778604,250690,21146
СБИТЬСЯ,С,778604,57040,13801
ПУСТИТЬСЯ,В,778604,51285,13218
ВСТАТЬ,НА,778604,507057,13008
ОТПРАВЛЯТЬСЯ,В,778604,209714,11229
ИДТИ,ПО,778604,2732778,10712
ПОЙТИ,ПО,778604,1160508,10070
НАХОДИТЬСЯ,НА,778604,2661082,6015
ВСТУПИТЬ,НА,778604,352254,4356
БЫТЬ,НА,778604,16504392,4226
ПУСКАТЬСЯ,В,778604,22631,3778
СТОИТЬ,НА,778604,915164,3657
ОКАЗАТЬСЯ,НА,778604,1813169,3420
НАХОДИТЬСЯ,В,778604,2661082,3305
БЫТЬ,В,778604,16504392,2967
СВЕРНУТЬ,С,778604,165271,2735
СТОЯТЬ,НА,778604,1895692,2692
СОБРАТЬСЯ,В,778604,277331,2521
СОБИРАТЬСЯ,В,778604,249938,2369
ПОПАДАТЬСЯ,НА,778604,68362,2331
ВСТАВАТЬ,НА,778604,123623,2310
ТРОГАТЬСЯ,В,778604,16171,2096
СТАНОВИТЬСЯ,НА,778604,695686,2051
СБИВАТЬСЯ,С,778604,16768,2029
ВСТРЕТИТЬСЯ,НА,778604,443509,1887
ПОПАСТЬСЯ,НА,778604,90350,1727
ВСТУПАТЬ,НА,778604,172970,1722
СОЙТИ,С,778604,347218,1611
СТУПИТЬ,НА,778604,63936,1579
ВСТРЕТИТЬ,НА,778604,460413,1515
ВЫЙТИ,В,778604,1529334,1484
СЛЕДОВАТЬ,ПО,778604,314058,1459
СБИТЬ,С,778604,182460,1457
БЫТЬ,ПО,778604,16504392,1339
ДВИГАТЬСЯ,ПО,778604,296744,1326
ПРОВОДИТЬ,В,778604,1208004,1250
ПРОВЕСТИ,В,778604,1720693,1240
ВЫСТУПИТЬ,В,778604,502015,1175
ПРОВОЖАТЬ,В,778604,37300,1174
ВСТРЕЧАТЬСЯ,НА,778604,327325,1171
ВСТРЕТИТЬ,ПО,778604,460413,1082
СВОРАЧИВАТЬ,С,778604,27708,1038
ВЕРНУТЬСЯ,НА,778604,1351676,1023
ВЫЙТИ,НА,778604,1529334,991
ВСТРЕЧАТЬ,НА,778604,195179,889
ЗАЕХАТЬ,ПО,778604,47289,883
ЗАГЛЯНУТЬ,ПО,778604,211819,833
НАСТАВИТЬ,НА,778604,10874,801
ЛЕЖАТЬ,НА,778604,1213074,775
ЗАДЕРЖАТЬСЯ,В,778604,74305,758
ЗАЙТИ,ПО,778604,312789,750
СТАТЬ,НА,778604,686138,704
ПРОЙТИ,ПО,778604,1295429,669
ГОВОРИТЬ,О,778604,2673665,629
РАСПОЛОЖИТЬ,НА,778604,794668,601
СХОДИТЬ,С,778604,214068,587
ПОСТАВИТЬ,НА,778604,1143275,581
ВИДЕТЬ,ПО,778604,1971171,572
УПАСТЬ,НА,778604,606775,548
ОСТАНОВИТЬСЯ,НА,778604,517328,546
СБИВАТЬ,С,778604,29165,546
ЗАЕХАТЬ,НА,778604,47289,539
УБРАТЬ,С,778604,255987,535
ПРОДВИГАТЬСЯ,ПО,778604,35610,530
СКОНЧАТЬСЯ,ПО,778604,124481,516
НАПРАВИТЬ,НА,778604,892815,514
ЗАЙТИ,НА,778604,312789,503
НАПРАВИТЬСЯ,В,778604,367004,502
ВЫХОДИТЬ,НА,778604,543652,484
ОКАЗЫВАТЬСЯ,НА,778604,230283,480
ГОТОВИТЬСЯ,В,778604,247266,480
ОСТАНОВИТЬСЯ,ПО,778604,517328,467
ВСТРЕТИТЬСЯ,ПО,778604,443509,457
ПОГИБНУТЬ,В,778604,214584,455
НАСТАВЛЯТЬ,НА,778604,9543,435
УМЕРЕТЬ,В,778604,447397,432
ВОЗНИКНУТЬ,НА,778604,564886,431
ХОДИТЬ,ПО,778604,681808,426
РАССКАЗАТЬ,ПО,778604,905982,401
ДВИГАТЬСЯ,В,778604,296744,399
ОСТАНАВЛИВАТЬСЯ,НА,778604,91378,393
ОТКЛОНИТЬСЯ,ОТ,778604,12451,390
ОТПРАВИТЬ,В,778604,570282,389
УМЕРЕТЬ,ПО,778604,447397,384
ОСТАНАВЛИВАТЬСЯ,ПО,778604,91378,376
РАССКАЗАТЬ,О,778604,905982,365
РАЗВИВАТЬСЯ,ПО,778604,111021,360
ПОПАСТЬСЯ,ПО,778604,90350,350
ЗАДЕРЖИВАТЬСЯ,В,778604,35945,336
СВЕРНУТЬ,НА,778604,165271,336
ПОПАСТЬ,НА,778604,980276,334
ЗАДЕРЖАТЬ,В,778604,482549,332
ЗАГЛЯНУТЬ,НА,778604,211819,330
НАПРАВИТЬ,ПО,778604,892815,330
ВСТРЕТИТЬ,В,778604,460413,326
ПРОХОДИТЬ,ПО,778604,938511,325
ВИДЕТЬ,НА,778604,1971171,315
КУПИТЬ,ПО,778604,775243,313
ОБРАТИТЬСЯ,ОТ,778604,707150,311
ПРОБЫТЬ,В,778604,49777,309
ЗАВЕРНУТЬ,ПО,778604,68845,308
УМЕРЕТЬ,НА,778604,447397,304
ВСТРЕЧАТЬ,ПО,778604,195179,303
УБИТЬ,НА,778604,573544,301
УЙТИ,С,778604,626486,295
МОЧЬ,ПО,778604,850912,295
ЗАСОБИРАТЬСЯ,В,778604,3002,294
ЗАСКОЧИТЬ,ПО,778604,14986,293
ОСТАНОВИТЬ,НА,778604,337462,288
ПОЙТИ,В,778604,1160508,287
ЗАБЛУДИТЬСЯ,НА,778604,18979,279
ДВИНУТЬСЯ,ПО,778604,250690,276
СТУПАТЬ,НА,778604,50703,273
СДЕЛАТЬ,НА,778604,2688427,272
СОВРАТИТЬ,С,778604,3082,271
УБРАТЬСЯ,С,778604,13328,268
ОТКАЗАТЬСЯ,ОТ,778604,365325,264
НАХОДИТЬСЯ,В НАЧАЛЕ,778604,2661082,263
УКЛОНИТЬСЯ,ОТ,778604,28637,262
РЕШИТЬ,ПО,778604,472473,261
ПРОДВИНУТЬСЯ,ПО,778604,18778,261
ЗАБРАТЬ,НА,778604,101429,261
ПРИХВАТИТЬ,ПО,778604,35299,256
РАССКАЗЫВАТЬ,О,778604,486665,256
ЗАМЕТИТЬ,ПО,778604,1190242,253
ОТКЛОНЯТЬСЯ,ОТ,778604,11928,253
ВОЗНИКАТЬ,НА,778604,409064,247
ПОПАДАТЬСЯ,ПО,778604,68362,243
ВЫДВИНУТЬСЯ,В,778604,19467,238
ВЫСТУПАТЬ,В,778604,463690,237
ВОЗВРАЩАТЬСЯ,НА,778604,391234,235
ЗАХОДИТЬ,ПО,778604,177979,233
СТАВИТЬ,НА,778604,440697,233
ЗНАТЬ,О,778604,1470177,231
ВСТРЕТИТЬСЯ,В,778604,443509,231
ВЫРАСТИ,НА,778604,222187,225
ВЫЕХАТЬ,В,778604,163638,223
ПОЯВИТЬСЯ,НА,778604,1712736,222
ПОТЕРЯТЬ,В,778604,802609,216
ОСТАНАВЛИВАТЬСЯ,В,778604,91378,211
СДЕЛАТЬ,ПО,778604,2688427,209
ЗАСТРЯТЬ,В,778604,64621,209
НАТКНУТЬСЯ,ПО,778604,109255,207
ВЫЕХАТЬ,НА,778604,163638,207
НАЙТИ,НА,778604,1914932,205
ИДТИ,В,778604,2732778,204
ДУМАТЬ,О,778604,575903,202
ПОСЛЕДОВАТЬ,ПО,778604,238476,201
ПРОДВИНУТЬСЯ,НА,778604,18778,200
ЗАХВАТИТЬ,ПО,778604,332524,198
ДОСТИЧЬ,НА,778604,590710,196
ПОВСТРЕЧАТЬСЯ,НА,778604,11345,196
ВЫХОДИТЬ,В,778604,543652,193
ВСТРЕЧАТЬСЯ,ПО,778604,327325,193
ПОСМОТРЕТЬ,НА,778604,1352306,191
ВИДЕТЬ,В,778604,1971171,191
УКАЗЫВАТЬ,НА,778604,211982,190
УВИДЕТЬ,НА,778604,1503676,187
ЗАВИСЕТЬ,ОТ,778604,343524,187
УХОДИТЬ,В,778604,342887,185
ОТПРАВИТЬСЯ,ПО,778604,724410,185
СРАЖАТЬСЯ,НА,778604,114690,183
ОКАЗАТЬСЯ,ПО,778604,1813169,183
ОКАЗАТЬСЯ,В,778604,1813169,181
ЗАМЕТИТЬ,НА,778604,1190242,180
ПРОЕЗЖАТЬ,ПО,778604,38006,179
УВИДЕТЬ,ПО,778604,1503676,179
УСТАНОВИТЬ,НА,778604,1088052,179
ВЕСТИ,ПО,778604,907360,178
СЛУЧИТЬСЯ,В,778604,140815,175
ЗАВЕРНУТЬ,НА,778604,68845,175
ЗАДЕРЖАТЬ,НА,778604,482549,175
ОБНАРУЖИТЬ,НА,778604,995635,173
СТОЛКНУТЬСЯ,НА,778604,214232,170
СМОТРЕТЬ,НА,778604,1826817,166
ПОПАСТЬ,В,778604,980276,165
ОСТАВАТЬСЯ,НА,778604,851043,163
ПОДОБРАТЬ,ПО,778604,163298,161
ПОДОБРАТЬ,НА,778604,163298,160
ПОГИБНУТЬ,НА,778604,214584,159
ИДТИ,ВДОЛЬ,778604,2732778,158
ПЕРЕХВАТИТЬ,ПО,778604,114892,158
