verb,prep,freqNoun,freqVerb,freqComb
ПРОДОЛЖИТЬ,,778604,426194,22507
БЫТЬ,,778604,16504392,16857
ПРОЙТИ,,778604,1295429,15215
НАЙТИ,,778604,1914932,15210
ИСКАТЬ,,778604,819203,13972
ПРОДЕЛАТЬ,,778604,85819,13452
ДЕРЖАТЬ,,778604,843121,12899
ПРОДОЛЖАТЬ,,778604,644375,12066
ВЫБРАТЬ,,778604,575313,10391
ЛЕЖАТЬ,,778604,1213074,9760
ОТКРЫТЬ,,778604,1671035,7990
ПРЕГРАДИТЬ,,778604,18819,6573
УКАЗАТЬ,,778604,634172,5783
ПРОКЛАДЫВАТЬ,,778604,19801,5538
ПРОЛОЖИТЬ,,778604,56564,5481
ЗНАТЬ,,778604,1470177,5438
ПРОХОДИТЬ,,778604,938511,5405
ИЗБРАТЬ,,778604,238098,4880
УКАЗЫВАТЬ,,778604,211982,4795
ПРЕДСТОЯТЬ,,778604,97438,4637
ОТКРЫВАТЬ,,778604,309305,4557
ПРЕГРАЖДАТЬ,,778604,10213,4030
ВЫБИРАТЬ,,778604,192604,3956
ОТРЕЗАТЬ,,778604,161782,3780
ВИДЕТЬ,,778604,1971171,3607
НАХОДИТЬ,,778604,352769,3425
ПРОЛЕГАТЬ,,778604,18681,3403
ИДТИ,,778604,2732778,3217
НАМЕТИТЬ,,778604,90364,2936
ВЕСТИ,,778604,907360,2889
ПОКАЗАТЬ,,778604,1076177,2465
ПРОСЛЕДИТЬ,,778604,55560,2441
ПЕРЕКРЫТЬ,,778604,84714,2438
РАСЧИСТИТЬ,,778604,21052,2035
ОБСУДИТЬ,,778604,257681,2024
ОПРЕДЕЛИТЬ,,778604,398404,1985
СРЕЗАТЬ,,778604,44992,1957
ОСВЕЩАТЬ,,778604,55590,1904
НАСЛАТЬ,,778604,382505,1832
ОТЫСКАТЬ,,778604,146331,1822
НАЧИНАТЬСЯ,,778604,374294,1813
СОКРАТИТЬ,,778604,108316,1628
ОТКРЫВАТЬСЯ,,778604,182431,1615
РАСЧИЩАТЬ,,778604,10429,1509
ПОВТОРИТЬ,,778604,298378,1458
ОТКРЫТЬСЯ,,778604,348975,1432
НАЧИНАТЬ,,778604,227086,1384
ПРЕОДОЛЕТЬ,,778604,109414,1376
НАЧАТЬ,,778604,573876,1375
ОКАЗАТЬСЯ,,778604,1813169,1335
ПОКАЗЫВАТЬ,,778604,385626,1321
ЗАКРЫТЬ,,778604,808573,1297
УВИДЕТЬ,,778604,1503676,1237
