verb,prep,freqNoun,freqVerb,freqComb
ВЫЙТИ,НА,464289,1529334,20761
ВЫХОДИТЬ,НА,464289,543652,13607
БЫТЬ,НА,464289,16504392,5502
ОСТАВАТЬСЯ,НА,464289,851043,2999
ВСТУПИТЬ,В,464289,352254,2990
ВСТУПАТЬ,В,464289,172970,2738
НАХОДИТЬСЯ,В,464289,2661082,2484
БЫТЬ,В,464289,16504392,1553
СОСТОЯТЬ,В,464289,473553,1439
ЗНАТЬ,О,464289,1470177,1227
НАХОДИТЬСЯ,НА,464289,2661082,1163
ОСТАТЬСЯ,БЕЗ,464289,1167779,1129
УКАЗЫВАТЬ,НА,464289,211982,1107
ГОВОРИТЬ,О,464289,2673665,1073
ВЫЗВАТЬ,НА,464289,857411,782
ПОСТАВИТЬ,В,464289,1143275,776
ОТВЕЧАТЬ,ЗА,464289,609071,771
ПРИНЯТЬ,В,464289,2446695,762
ИСПОЛЬЗОВАТЬ,ДЛЯ,464289,1431705,715
ЗАМЕТИТЬ,В,464289,1190242,587
ПРЕКРАТИТЬ,В,464289,242170,566
ВОЙТИ,В,464289,1169413,534
ПРЕДНАЗНАЧИТЬ,ДЛЯ,464289,434100,517
УЗНАТЬ,О,464289,696691,517
ХОТЕТЬСЯ,В,464289,73906,513
ПОДОЗРЕВАТЬ,В,464289,80305,507
ПОДОЗРЕВАТЬСЯ,В,464289,37959,486
ОСНОВАТЬ,НА,464289,407746,471
ПРОПАСТЬ,СО,464289,109658,462
ОБВИНИТЬ,В,464289,170639,447
ОБЪЯВИТЬ,ПО,464289,938139,429
ПРИСТЫДИТЬ,ЗА,464289,2121,421
ОТМЕТИТЬ,В,464289,1263077,398
ХОТЕТЬ,В,464289,569716,388
ЗАПОДОЗРИТЬ,В,464289,42445,374
ПРИВЕСТИ,В,464289,919531,342
ИСПОЛЬЗОВАТЬСЯ,ДЛЯ,464289,439186,335
УКАЗАТЬ,НА,464289,634172,331
РАССКАЗАТЬ,О,464289,905982,324
ПЕРЕДАТЬ,ПО,464289,696663,321
СВИДЕТЕЛЬСТВОВАТЬ,О,464289,153942,319
СТАВИТЬ,В,464289,440697,318
ОБВИНЯТЬСЯ,В,464289,70096,311
УЛИЧИТЬ,В,464289,21494,295
ВЫЗЫВАТЬ,НА,464289,574948,285
СТОИТЬ,В,464289,915164,282
ОБВИНЯТЬ,В,464289,107332,281
АРЕСТОВАТЬ,ЗА,464289,244958,275
ЗАКРЫТЬ,В,464289,808573,274
ВЫЗВАТЬ,ПО,464289,857411,248
НАПОМНИТЬ,В,464289,213660,246
СЛУЖИТЬ,ДЛЯ,464289,586125,246
ПРИЗНАТЬСЯ,В,464289,246491,241
ВОЗНИКАТЬ,В,464289,409064,238
ЗАИНТЕРЕСОВАТЬ,В,464289,252477,238
СООБЩИТЬ,ПО,464289,2536261,233
ПЕРЕДАТЬ,НА,464289,696663,229
ОБОРВАТЬСЯ,НА,464289,26952,225
ВВЕСТИ,В,464289,561530,218
СЛЕДОВАТЬ,В,464289,314058,216
РАЗДАТЬСЯ,ПО,464289,392848,215
ОТНОСИТЬ,К,464289,847578,213
РОДИТЬСЯ,ОТ,464289,304417,210
ПРИОСТАНОВИТЬ,В,464289,98141,208
ДАТИРОВАТЬСЯ,ПО,464289,11416,207
ПЕРЕКЛЮЧИТЬСЯ,НА,464289,31996,204
ИДТИ,НА,464289,2732778,202
ОСТАТЬСЯ,НА,464289,1167779,199
ОБРАЩАТЬ,В,464289,442076,195
ВЕРИТЬ,В,464289,481858,194
ВОЗНИКНУТЬ,В,464289,564886,193
ОТКАЗАТЬСЯ,ОТ,464289,365325,190
ОСВЕДОМИТЬ,О,464289,48142,187
ВСПОМИНАТЬСЯ,В,464289,13907,182
ЗАВИСЕТЬ,ОТ,464289,343524,182
НУЖДАТЬСЯ,В,464289,309433,180
ДУМАТЬ,О,464289,575903,175
ОТКЛЮЧИТЬСЯ,ОТ,464289,15432,169
ПРЕРВАТЬСЯ,НА,464289,23587,166
УХУДШИТЬСЯ,В,464289,8489,165
ПЕРЕЙТИ,НА,464289,445514,163
ГОВОРИТЬ,ПО,464289,2673665,155
ПОЛЬЗОВАТЬСЯ,ДЛЯ,464289,487486,151
ПРЕДСТАВЛЯТЬСЯ,В,464289,80678,151
ОСТАВАТЬСЯ,БЕЗ,464289,851043,150
ГОВОРИТЬСЯ,О,464289,1052635,150
НАМЕКАТЬ,НА,464289,22353,146
СДЕЛАТЬ,В,464289,2688427,144
УВЕРИТЬ,В,464289,237645,143
СВЯЗАТЬ,С,464289,1362256,137
РАБОТАТЬ,В,464289,1593272,136
СКАЗАТЬ,О,464289,7659823,135
ПОДОЗРЕВАТЬ,О,464289,80305,134
ВХОДИТЬ,В,464289,780476,134
ДОГАДЫВАТЬСЯ,О,464289,20517,133
ПРОВОДИТЬ,В,464289,1208004,130
ПОЙТИ,НА,464289,1160508,129
СООБЩИТЬ,О,464289,2536261,124
РАССЧИТЫВАТЬ,НА,464289,153049,124
