verb,prep,freqNoun,freqVerb,freqComb
ИМЕТЬ,,464289,4883454,23348
ПОДДЕРЖИВАТЬ,,464289,390178,21508
УСТАНОВИТЬ,,464289,1088052,21066
БЫТЬ,,464289,16504392,12267
ПОТЕРЯТЬ,,464289,802609,10267
СУЩЕСТВОВАТЬ,,464289,667956,9376
НАЛАДИТЬ,,464289,85466,7795
ТЕРЯТЬ,,464289,355187,6029
ОТКЛЮЧИТЬ,,464289,159339,6005
ВИДЕТЬ,,464289,1971171,5991
ДЕРЖАТЬ,,464289,843121,5299
УСТАНАВЛИВАТЬ,,464289,152402,4892
ПРЕРВАТЬСЯ,,464289,23587,4684
ПРЕРВАТЬ,,464289,186538,4656
ОБЕСПЕЧИВАТЬ,,464289,444294,4256
ВОССТАНОВИТЬ,,464289,205968,3512
РАЗОРВАТЬ,,464289,117857,3510
ОБЕСПЕЧИТЬ,,464289,370722,3484
ВКЛЮЧИТЬ,,464289,602609,3478
УТРАТИТЬ,,464289,140914,3213
НАРУШИТЬ,,464289,233899,2587
ОСУЩЕСТВЛЯТЬ,,464289,292921,2574
ОБОРВАТЬСЯ,,464289,26952,2513
ОБНАРУЖИТЬ,,464289,995635,2250
НАЛАЖИВАТЬ,,464289,13358,2170
ЧУВСТВОВАТЬ,,464289,423116,2065
ВЫЯВИТЬ,,464289,222645,1983
ИСКАТЬ,,464289,819203,1929
УСТАНАВЛИВАТЬСЯ,,464289,122272,1835
ПОРВАТЬ,,464289,46602,1770
ЯВЛЯТЬСЯ,,464289,3365085,1744
ОБОРВАТЬ,,464289,43851,1739
НАЙТИ,,464289,1914932,1737
РАБОТАТЬ,,464289,1593272,1685
УСТАНОВИТЬСЯ,,464289,43190,1681
ИМЕТЬСЯ,,464289,559835,1663
ОТСУТСТВОВАТЬ,,464289,156019,1624
СОХРАНЯТЬ,,464289,174965,1517
ОСУЩЕСТВЛЯТЬСЯ,,464289,287106,1492
ПОКАЗАТЬ,,464289,1076177,1316
УКРЕПИТЬ,,464289,80614,1271
ОБРАЗОВАТЬ,,464289,248958,1269
ВОЗНИКНУТЬ,,464289,564886,1262
СОХРАНИТЬ,,464289,287776,1246
ПОДДЕРЖИВАТЬСЯ,,464289,44917,1233
ВОЗНИКАТЬ,,464289,409064,1232
ПРОПАСТЬ,,464289,109658,1228
ИСПОЛЬЗОВАТЬ,,464289,1431705,1212
ОЩУЩАТЬ,,464289,171151,1199
УКРЕПЛЯТЬ,,464289,46878,1171
РАЗРЫВАТЬ,,464289,26427,1149
ПРЕРЫВАТЬ,,464289,27319,1142
СОЕДИНИТЬ,,464289,401173,1117
ПОЛЬЗОВАТЬСЯ,,464289,487486,1111
ПОЛУЧИТЬ,,464289,3281968,1100
ВЫКЛЮЧИТЬ,,464289,121999,1018
ПОРЫВАТЬ,,464289,3826,1017
ПРОСЛЕЖИВАТЬСЯ,,464289,14864,1008
ОТРИЦАТЬ,,464289,71839,977
УЛОВИТЬ,,464289,85664,966
ОБЛАДАТЬ,,464289,556026,953
ОБРАЗОВАТЬСЯ,,464289,199953,918
УЛАВЛИВАТЬ,,464289,23121,912
УВИДЕТЬ,,464289,1503676,912
СОЗДАВАТЬ,,464289,440892,898
ОРГАНИЗОВАТЬ,,464289,478822,897
ПРОВЕРИТЬ,,464289,265080,851
ДАВАТЬ,,464289,1254195,835
ДОКАЗАТЬ,,464289,93445,803
ПОЧУВСТВОВАТЬ,,464289,475425,803
СОЗДАТЬ,,464289,1371673,786
ОЗНАЧАТЬ,,464289,257761,758
ПОЛУЧАТЬ,,464289,883886,751
ПОНЯТЬ,,464289,523934,724
ПОКАЗЫВАТЬ,,464289,385626,710
РАЗРУШИТЬ,,464289,160318,705
ПОНИМАТЬ,,464289,394627,696
ПРОСЛЕДИТЬ,,464289,55560,678
ОБОЗНАЧАТЬ,,464289,67610,674
ПРЕДСТАВЛЯТЬ,,464289,614293,659
РАЗВИВАТЬ,,464289,101608,652
ЗАВЕСТИ,,464289,164596,642
ОТКЛЮЧИТЬСЯ,,464289,15432,631
ПОЯВИТЬСЯ,,464289,1712736,626
ВОССТАНАВЛИВАТЬ,,464289,44591,603
РВАТЬ,,464289,55068,589
ЗАВЯЗАТЬ,,464289,69117,582
ПРЕРЫВАТЬСЯ,,464289,13744,576
ЗАВОДИТЬ,,464289,39820,571
ПОДЧЕРКИВАТЬ,,928578,106559,568
НАХОДИТЬ,,464289,352769,547
ОЩУТИТЬ,,464289,218368,541
ВОСПОЛЬЗОВАТЬСЯ,,464289,207683,538
ЗАМЕТИТЬ,,464289,1190242,537
ВОЗОБНОВИТЬ,,464289,90028,535
УТРАЧИВАТЬ,,464289,17569,519
ОТМЕТИТЬ,,464289,1263077,507
ЗАНИМАТЬСЯ,,464289,986447,504
НАРУШАТЬ,,464289,132657,493
ОБНАРУЖИВАТЬ,,464289,55353,477
УТЕРЯТЬ,,464289,15982,475
УСМАТРИВАТЬ,,464289,16601,474
РАСКРЫТЬ,,464289,183977,466
РАСПАСТЬСЯ,,464289,22181,454
РВАТЬСЯ,,464289,68112,452
ПРЕКРАТИТЬСЯ,,464289,67332,451
ОБУСЛОВИТЬ,,464289,174986,449
РАЗРУШАТЬ,,464289,46327,444
ПОДТВЕРДИТЬ,,464289,499371,432
НАСЛАТЬ,,464289,382505,430
ОСТАТЬСЯ,,464289,1167779,429
ВОССТАНОВИТЬСЯ,,464289,19111,429
СОХРАНЯТЬСЯ,,464289,86469,428
ПРЕКРАТИТЬ,,464289,242170,426
ОБЗАВЕСТИСЬ,,464289,42825,426
БЛОКИРОВАТЬ,,464289,71966,411
ИССЛЕДОВАТЬ,,464289,94839,409
СТАНОВИТЬСЯ,,464289,695686,403
ПРЕДПОЛАГАТЬ,,464289,198525,402
ОБРЫВАТЬ,,464289,8960,375
ВКЛЮЧАТЬ,,464289,299778,372
ДЕЙСТВОВАТЬ,,464289,382299,371
СИМВОЛИЗИРОВАТЬ,,464289,42720,364
ПОДТВЕРЖДАТЬ,,464289,89962,363
ИСКЛЮЧАТЬ,,464289,136877,361
ПРИЗНАТЬ,,464289,490285,359
ДАТЬ,,464289,1104316,356
ОТРАЖАТЬ,,464289,118809,355
ИЗУЧАТЬ,,464289,238995,354
ЛИШИТЬСЯ,,464289,166332,354
ПОРВАТЬСЯ,,464289,7445,352
ОСТАВАТЬСЯ,,464289,851043,348
УСМОТРЕТЬ,,464289,19614,342
НАРУШИТЬСЯ,,464289,5964,338
РАЗВИВАТЬСЯ,,464289,111021,328
ОКАЗАТЬСЯ,,464289,1813169,325
ОБРАСТИ,,464289,13124,325
ТРЕБОВАТЬ,,464289,688059,323
ОБЕСПЕЧИВАТЬСЯ,,464289,70494,322
ОТКЛЮЧАТЬ,,464289,17953,322
НАЛАДИТЬСЯ,,464289,5278,322
ОБРЕСТИ,,464289,204965,320
СЛУЖИТЬ,,464289,586125,317
ПРОВЕРЯТЬ,,464289,120873,316
ТЕРЯТЬСЯ,,464289,51290,315
ОПРЕДЕЛИТЬ,,464289,398404,314
НАРУШАТЬСЯ,,464289,23619,307
ПРОВЕСТИ,,464289,1720693,304
РАСПОЛАГАТЬ,,464289,166329,297
ИДТИ,,464289,2732778,296
ОСЛАБИТЬ,,464289,71174,295
ИЗУЧИТЬ,,464289,132969,291
СОХРАНИТЬСЯ,,464289,125151,289
ЛИШИТЬ,,464289,163428,288
ВЫЯВЛЯТЬ,,464289,22506,287
ИСКЛЮЧИТЬ,,464289,132180,281
