verb,prep,freqNoun,freqVerb,freqComb
БЫТЬ,НЕ В,1202786,16504392,20005
СОБРАТЬСЯ,С,1202786,277331,15006
УВЕРИТЬ,В,1202786,237645,11384
ОСТАВАТЬСЯ,В,1202786,851043,7599
ОСТАВИТЬ,В,1202786,840269,6738
ВСТУПИТЬ,В,1202786,352254,6678
БЫТЬ,В,1202786,16504392,6532
ПОШЕВЕЛИТЬСЯ,НЕ В,1202786,13132,6050
ПОВЕРИТЬ,НЕ В,1202786,125906,5949
СПРАВИТЬСЯ,НЕ В,1202786,187100,5333
ОТОРВАТЬСЯ,НЕ В,1202786,99836,3702
СДЕРЖАТЬСЯ,НЕ В,1202786,13186,3577
СОБИРАТЬСЯ,С,1202786,249938,3550
ПОНЯТЬ,НЕ В,1202786,523934,3273
ОТОРВАТЬ,НЕ В,1202786,126955,3265
СОВЛАДАТЬ,НЕ В,1202786,13022,3179
ВЕРИТЬ,В,1202786,481858,3144
ОСТАНОВИТЬСЯ,НЕ В,1202786,517328,3081
УДЕРЖАТЬСЯ,НЕ В,1202786,125938,3079
ОТВЕСТИ,НЕ В,1202786,276420,2623
СМОТРЕТЬ,НЕ В,1202786,1826817,2450
СДЕРЖАТЬ,НЕ В,1202786,112622,2211
ОКАЗАТЬСЯ,НЕ В,1202786,1813169,2193
СДВИНУТЬСЯ,НЕ В,1202786,58074,2069
УЛЫБНУТЬСЯ,ЧЕРЕЗ,1202786,462508,2013
ОСТАТЬСЯ,В,1202786,1167779,1874
ГОВОРИТЬ,О,1202786,2673665,1837
ДВИНУТЬСЯ,НЕ В,1202786,250690,1784
ПОДНЯТЬСЯ,НЕ В,1202786,740995,1702
СТАРАТЬСЯ,ИЗО,1202786,54205,1677
ГОВОРИТЬ,НЕ В,1202786,2673665,1665
ЗАВИСЕТЬ,ОТ,1202786,343524,1538
РАБОТАТЬ,В,1202786,1593272,1507
БЫТЬ,ПОД,1202786,16504392,1318
БОРОТЬСЯ,НЕ В,1202786,218009,1251
ПРОДОЛЖАТЬ,НЕ В,1202786,644375,1233
ШЕВЕЛЬНУТЬСЯ,НЕ В,1202786,19874,1223
СОПРОТИВЛЯТЬСЯ,НЕ В,1202786,34024,1137
СЛУЖИТЬ,В,1202786,586125,1113
СДЕРЖИВАТЬСЯ,НЕ В,1202786,8245,1074
УПАСТЬ,БЕЗ,1202786,606775,1051
