verb,prep,freqNoun,freqVerb,freqComb
БЫТЬ,,1202786,16504392,82852
ХВАТИТЬ,,1202786,336837,44867
ИМЕТЬ,,1202786,4883454,36377
ХВАТАТЬ,,1202786,611205,31036
ОСТАТЬСЯ,,1202786,1167779,15723
НАБИРАТЬ,,1202786,110146,12257
ТРАТИТЬ,,1202786,158505,11499
НАБРАТЬСЯ,,1202786,59999,9105
ПРИМЕНИТЬ,,1202786,165811,8324
ИСПОЛЬЗОВАТЬ,,1202786,1431705,8281
ТЕРЯТЬ,,1202786,355187,8174
НАБИРАТЬСЯ,,1202786,25575,7475
ОБРЕСТИ,,1202786,204965,7165
ОСТАВАТЬСЯ,,1202786,851043,6488
НАБРАТЬ,,1202786,241162,6436
НАЙТИ,,1202786,1914932,6276
СОБРАТЬ,,1202786,485223,6016
ВОССТАНОВИТЬ,,1202786,205968,5950
БРОСИТЬ,,1202786,815888,5776
СОСРЕДОТОЧИТЬ,,1202786,152236,5666
УТРАТИТЬ,,1202786,140914,5571
ПРИМЕНЯТЬ,,1202786,152803,5365
ЧЕРПАТЬ,,1202786,28721,5360
ДАВАТЬ,,1202786,1254195,5251
ПОТЕРЯТЬ,,1202786,802609,4986
РАССЧИТАТЬ,,1202786,204535,4732
ЖАЛЕТЬ,,1202786,58105,4687
ДАТЬ,,1202786,1104316,4520
ЧУВСТВОВАТЬ,,1202786,423116,4363
ПРИДАВАТЬ,,1202786,152391,4230
ДЕЙСТВОВАТЬ,,1202786,382299,4166
ПОЧУВСТВОВАТЬ,,1202786,475425,3948
НАПРАВИТЬ,,1202786,892815,3910
ВЗЯТЬ,,1202786,2235567,3410
ЗАДЕЙСТВОВАТЬ,,1202786,103636,3389
ВОССТАНАВЛИВАТЬ,,1202786,44591,3288
ПОЛУЧИТЬ,,1202786,3281968,3257
СТЯНУТЬ,,1202786,75293,3221
ЗАКЛЮЧИТЬ,,1202786,538655,3194
ЗНАТЬ,,1202786,1470177,3093
ДЕРЖАТЬСЯ,,1202786,220653,3047
НАХОДИТЬ,,1202786,352769,3044
ВЕРНУТЬСЯ,,1202786,1351676,2932
ПОМЕРИТЬСЯ,,1202786,3672,2911
СОБИРАТЬ,,1202786,259596,2909
ПРИДАТЬ,,1202786,110383,2876
ОБРЕТАТЬ,,1202786,57334,2835
ПРЕДСТАВЛЯТЬ,,1202786,614293,2800
ЛИШИТЬСЯ,,1202786,166332,2656
ВОЗВРАЩАТЬСЯ,,1202786,391234,2629
НАХОДИТЬСЯ,,1202786,2661082,2599
ПОДДЕРЖИВАТЬ,,1202786,390178,2524
ПРИВЛЕЧЬ,,1202786,280756,2497
ЧУВСТВОВАТЬСЯ,,1202786,84907,2452
СОЗДАТЬ,,1202786,1371673,2369
УНИЧТОЖИТЬ,,1202786,307259,2352
КОПИТЬ,,1202786,17246,2292
ПОЖАЛЕТЬ,,1202786,42493,2260
НАЙТИСЬ,,1202786,196855,2229
ОЩУТИТЬ,,1202786,218368,2206
ТРЕБОВАТЬСЯ,,1202786,347350,2203
БЕРЕЧЬ,,1202786,32453,2200
СОХРАНЯТЬ,,1202786,174965,2143
УХОДИТЬ,,1202786,342887,2099
РАСПОЛАГАТЬ,,1202786,166329,2010
ОБЛАДАТЬ,,1202786,556026,1920
СТОИТЬ,,1202786,915164,1913
ОБЪЕДИНИТЬ,,1202786,109378,1885
ОЩУЩАТЬ,,1202786,171151,1847
АТАКОВАТЬ,,1202786,117698,1843
ПРОТИВОСТОЯТЬ,,1202786,64909,1836
ПОЯВИТЬСЯ,,1202786,1712736,1833
