verb,prep,freqNoun,freqVerb,freqComb
СИДЕТЬ,НА,108857,1552440,981
ХОДИТЬ,НА,108857,681808,890
БЫТЬ,НА,108857,16504392,660
ОСТАТЬСЯ,ПОСЛЕ,108857,1167779,511
ГОТОВИТЬСЯ,К,108857,247266,441
ПРИСУТСТВОВАТЬ,НА,108857,257932,375
НУЖДАТЬСЯ,В,108857,309433,370
ИСПОЛЬЗОВАТЬ,НА,108857,1431705,355
СБЕЖАТЬ,С,108857,77759,353
САДИТЬСЯ,ЗА,108857,194287,321
СБЕГАТЬ,С,108857,37460,288
ПРИХОДИТЬ,НА,108857,593265,283
РАССКАЗЫВАТЬ,НА,108857,486665,275
ГОВОРИТЬ,НА,108857,2673665,273
ОСТАВИТЬ,ПОСЛЕ,108857,840269,214
ПОДГОТОВИТЬСЯ,К,108857,24521,210
ОПАЗДЫВАТЬ,НА,108857,19038,194
ИДТИ,НА,108857,2732778,190
ЗАНИМАТЬСЯ,НА,108857,986447,185
ЧИТАТЬ,НА,108857,552091,182
ПРИСТУПИТЬ,К,108857,272424,178
УЙТИ,С,108857,626486,172
СИДЕТЬ,ЗА,108857,1552440,170
ДЕЛАТЬ,НА,108857,1265891,170
ПРОХОДИТЬ,НА,108857,938511,168
ОСТАВАТЬСЯ,ПОСЛЕ,108857,851043,167
ОПОЗДАТЬ,НА,108857,43227,156
УМЕРЕТЬ,НА,108857,447397,149
ОТВЕЧАТЬ,НА,108857,609071,147
УЧИТЬ,НА,108857,125474,146
ИЗУЧАТЬ,НА,108857,238995,145
ОБСУДИТЬ,НА,108857,257681,135
ПОБЫВАТЬ,НА,108857,150989,133
УБЕГАТЬ,С,108857,29628,132
ПОЙТИ,НА,108857,1160508,127
ОСВОБОДИТЬ,ОТ,108857,229625,123
ПОЗНАКОМИТЬСЯ,НА,108857,201988,119
ОТНОСИТЬ,К,108857,847578,118
ПЛАТИТЬ,ЗА,108857,194150,118
ЗАЙТИ,ПОСЛЕ,108857,312789,116
ЗАДЕРЖАТЬСЯ,ПОСЛЕ,108857,74305,114
ВЕРНУТЬСЯ,К,108857,1351676,114
УЗНАТЬ,НА,108857,696691,109
СЛУШАТЬ,НА,108857,295704,109
ВОЗВРАЩАТЬСЯ,С,108857,391234,108
ДУМАТЬ,ОБ,108857,575903,107
УДРАТЬ,С,108857,11553,107
ПОЙТИ,ПОСЛЕ,108857,1160508,107
ЗАПИСАТЬСЯ,НА,108857,26919,102
ОТКАЗАТЬСЯ,ОТ,108857,365325,100
БОЛТАТЬ,НА,108857,45952,99
ЗАСЕСТЬ,ЗА,108857,31728,98
СЕСТЬ,ЗА,108857,106490,98
ГОВОРИТЬ,ОБ,108857,2673665,92
ПИСАТЬ,НА,108857,941379,90
ПОМОГАТЬ,С,108857,297527,85
ПОЯВЛЯТЬСЯ,НА,108857,440146,85
БЕГАТЬ,ПО,108857,124279,85
НАХОДИТЬСЯ,НА,108857,2661082,84
ВСТРЕТИТЬСЯ,ПОСЛЕ,108857,443509,83
СПАТЬ,НА,108857,107007,82
УХОДИТЬ,С,108857,342887,81
ПРИНЯТЬСЯ,ЗА,108857,85191,81
ОСТАВЛЯТЬ,ПОСЛЕ,108857,318436,79
ЗАСНУТЬ,НА,108857,32598,79
РАЗГОВАРИВАТЬ,НА,108857,170847,77
РАБОТАТЬ,НА,108857,1593272,76
ВЫГНАТЬ,С,108857,29637,75
УБЕЖАТЬ,С,108857,44280,75
НАУЧИТЬСЯ,НА,108857,42058,75
СКАЗАТЬ,НА,108857,7659823,75
СКУЧАТЬ,НА,108857,38010,74
ПОЯВИТЬСЯ,НА,108857,1712736,73
ЗАСЫПАТЬ,НА,108857,74921,71
УЧИТЬСЯ,НА,108857,234228,71
ОТПРОСИТЬСЯ,С,108857,5551,71
ВЕРНУТЬСЯ,С,108857,1351676,71
СЛЫШАТЬ,НА,108857,570359,69
ПРИХОДИТЬ,ПОСЛЕ,108857,593265,67
ОТВЛЕКАТЬСЯ,НА,108857,19156,67
ПРИЙТИ,НА,108857,550519,66
ОТПУСТИТЬ,С,108857,196238,65
РИСОВАТЬ,НА,108857,82786,65
СПИТЬ,НА,108857,48815,64
ПОГОВОРИТЬ,ПОСЛЕ,108857,155605,62
БЛАГОДАРИТЬ,ЗА,108857,101234,62
СВЯЗАТЬ,С,108857,1362256,62
ПЕРЕЙТИ,К,108857,445514,61
ВОЗВРАЩАТЬСЯ,ПОСЛЕ,108857,391234,61
ИДТИ,ПОСЛЕ,108857,2732778,61
ЗАБЫВАТЬ,ОБ,108857,108962,61
ПОЛЬЗОВАТЬСЯ,НА,108857,487486,60
ВСПОМНИТЬ,ОБ,108857,471977,60
БЫТЬ,В,108857,16504392,59
ПРИСТУПАТЬ,К,108857,65945,58
ВИДЕТЬ,НА,108857,1971171,58
ВЫЙТИ,ПОСЛЕ,108857,1529334,58
ПОЛУЧИТЬ,НА,108857,3281968,56
БЫВАТЬ,НА,108857,361586,56
ЗАБЫТЬ,ОБ,108857,331942,56
ОТКАЗЫВАТЬСЯ,ОТ,108857,102991,55
ПОДОЙТИ,ПОСЛЕ,108857,1011760,55
ПРИНОСИТЬ,НА,108857,259831,54
ИГРАТЬ,НА,108857,918112,54
ЯВИТЬСЯ,НА,108857,321602,53
ВЗЯТЬСЯ,ЗА,108857,228478,53
СДЕЛАТЬ,НА,108857,2688427,53
ЯВЛЯТЬСЯ,НА,108857,3365085,53
СОСРЕДОТОЧИТЬСЯ,НА,108857,73016,52
ПЕРЕХОДИТЬ,К,108857,245114,52
ПРИНИМАТЬСЯ,ЗА,108857,103634,52
СПРАШИВАТЬ,НА,108857,156680,52
РАССКАЗАТЬ,НА,108857,905982,52
СИДЕТЬ,ПОСЛЕ,108857,1552440,51
ШУМЕТЬ,НА,108857,51584,51
ТРАТИТЬ,НА,108857,158505,50
ПОЛУЧАТЬ,НА,108857,883886,50
ОТПРАВИТЬСЯ,НА,108857,724410,50
ЗАДЕРЖИВАТЬСЯ,ПОСЛЕ,108857,35945,49
ОБЪЯСНЯТЬ,НА,108857,167559,49
ЗАБЫТЬ,ПРО,108857,331942,49
ПОКАЗЫВАТЬ,НА,108857,385626,48
ПОСИДЕТЬ,НА,108857,41337,48
ХОДИТЬ,ПОСЛЕ,108857,681808,47
ОТСУТСТВОВАТЬ,НА,108857,156019,46
ДУМАТЬ,НА,108857,575903,46
ПРИДТИ,НА,108857,275691,46
УДИРАТЬ,С,108857,5795,45
СПРАВЛЯТЬСЯ,С,108857,61178,45
СЛЕДИТЬ,ЗА,108857,260823,45
ПРОВОДИТЬ,НА,108857,1208004,44
УМЕРЕТЬ,ВО ВРЕМЯ,108857,447397,44
РАССКАЗАТЬ,ОБ,108857,905982,44
УЧАСТВОВАТЬ,В,108857,498239,44
КОРПЕТЬ,НАД,108857,5381,44
ВЕРТЕТЬСЯ,НА,108857,28115,43
ПРЕПОДАВАТЬ,НА,108857,60107,43
ЗАНИМАТЬСЯ,ПОСЛЕ,108857,986447,41
ПОДСКАЗЫВАТЬ,НА,108857,33776,41
СКОНЧАТЬСЯ,НА,108857,124481,41
ИДТИ,С,108857,2732778,39
ДАВАТЬ,НА,108857,1254195,39
