verb,prep,freqNoun,freqVerb,freqComb
БРАТЬ,,108857,449883,6989
ДАВАТЬ,,108857,1254195,6351
ДЕЛАТЬ,,108857,1265891,4689
ПОЛУЧИТЬ,,108857,3281968,4311
ИЗВЛЕЧЬ,,108857,97560,3712
УЧИТЬ,,108857,125474,2216
БЫТЬ,,108857,16504392,2143
ГОТОВИТЬ,,108857,291402,2050
СДЕЛАТЬ,,108857,2688427,1820
УСВОИТЬ,,108857,26070,1683
ПРОВОДИТЬ,,108857,1208004,1564
ВЫУЧИТЬ,,108857,25404,1156
ПРОГУЛИВАТЬ,,108857,5063,1107
ПРЕПОДАТЬ,,108857,7043,1085
ВСПОМНИТЬ,,108857,471977,1026
ИЗВЛЕКАТЬ,,108857,27969,1015
ПОСЛУЖИТЬ,,108857,131041,969
ПОСЕЩАТЬ,,108857,130709,925
ПРОВЕСТИ,,108857,1720693,886
ЗАБЫТЬ,,108857,331942,815
ВЕСТИ,,108857,907360,808
ПРОХОДИТЬ,,108857,938511,788
ПРОЙТИ,,108857,1295429,750
ПРОПУСКАТЬ,,108857,71248,712
ПОЛУЧАТЬ,,108857,883886,557
УЧЕСТЬ,,108857,96620,535
ПОМНИТЬ,,108857,224087,504
ИДТИ,,108857,2732778,488
ЗАКОНЧИТЬСЯ,,108857,228914,476
НАЧАТЬСЯ,,108857,875770,446
ПРИГОТОВИТЬ,,108857,167771,434
ДАТЬ,,108857,1104316,419
ЗАБЫВАТЬ,,108857,108962,396
ЗНАТЬ,,108857,1470177,386
ВЫНЕСТИ,,108857,231038,384
УСВАИВАТЬ,,108857,8974,361
ВСПОМИНАТЬ,,108857,245184,361
ПРЕПОДАВАТЬ,,108857,60107,342
НАЧИНАТЬСЯ,,108857,374294,327
КОНЧИТЬСЯ,,108857,113644,322
ОТМЕНИТЬ,,108857,171323,320
ВВЕСТИ,,108857,561530,309
ВЗЯТЬ,,108857,2235567,295
ЗАНИМАТЬСЯ,,108857,986447,279
ЛЮБИТЬ,,108857,950738,265
СТАТЬ,,108857,686138,245
ЯВЛЯТЬСЯ,,108857,3365085,245
ПРОВЕРЯТЬ,,108857,120873,238
ПРОПУСТИТЬ,,108857,160681,211
ПРОГУЛЯТЬ,,108857,2617,207
ЖДАТЬ,,108857,793831,207
ПОСВЯТИТЬ,,108857,344349,200
ПОВТОРЯТЬ,,108857,111150,189
СЛУШАТЬ,,108857,295704,183
СРЫВАТЬ,,108857,34209,178
ПРЕПОДНЕСТИ,,108857,26708,175
СОСТОЯТЬСЯ,,108857,723412,172
ВОСПОЛЬЗОВАТЬСЯ,,108857,207683,168
ПОНЯТЬ,,108857,523934,165
СЛУЖИТЬ,,108857,586125,165
ОРГАНИЗОВАТЬ,,108857,478822,162
НАЧАТЬ,,108857,573876,155
НАЙТИ,,108857,1914932,142
ПРОДОЛЖАТЬСЯ,,108857,240099,138
ОКАЗАТЬСЯ,,108857,1813169,136
СЧИТАТЬ,,108857,1388621,135
ЗАНЯТЬСЯ,,108857,335889,134
ПРИГОДИТЬСЯ,,108857,36082,133
ЗАКОНЧИТЬ,,108857,392432,131
ПОЙТИ,,108857,1160508,128
ОТВЕЧАТЬ,,108857,609071,124
НРАВИТЬСЯ,,108857,239917,123
ПОСЕТИТЬ,,108857,243904,123
ПРОВЕРИТЬ,,108857,265080,122
ЗАДАВАТЬ,,108857,175128,122
ПРОДОЛЖИТЬ,,108857,426194,120
ПРИПОМНИТЬ,,108857,29364,111
ЗАКАНЧИВАТЬСЯ,,108857,110531,111
ПРЕПОДНОСИТЬ,,108857,9343,111
ЗАРАБАТЫВАТЬ,,108857,63968,111
МОЧЬ,,108857,850912,110
ВЫПОЛНИТЬ,,108857,932395,108
ЗАДАТЬ,,108857,171688,108
ЗАПОМНИТЬ,,108857,53074,107
ПРЕДЛАГАТЬ,,108857,379415,106
ЗАНЯТЬ,,108857,593852,98
ИСПОЛЬЗОВАТЬ,,108857,1431705,97
ДАВАТЬСЯ,,108857,88707,96
УЧИТЫВАТЬ,,108857,75741,94
СКАЧАТЬ,,108857,125875,94
СОРВАТЬ,,108857,150101,92
ПОВТОРИТЬ,,108857,298378,92
НЕНАВИДЕТЬ,,108857,110394,91
ПОМОЧЬ,,108857,320253,89
СОСТОЯТЬ,,108857,473553,88
НАЗВАТЬ,,108857,806830,84
ВНИМАТЬ,,108857,16811,83
ЗАСЛУЖИВАТЬ,,108857,118485,82
ВОЗОБНОВИТЬ,,108857,90028,80
ПРЕНЕБРЕГАТЬ,,108857,27237,78
ЗАБРОСИТЬ,,108857,53826,78
СТАНОВИТЬСЯ,,108857,695686,76
ИСКАТЬ,,108857,819203,75
ВСПОМНИТЬСЯ,,108857,35031,75
ВОСПРИНЯТЬ,,108857,92504,74
СОДЕРЖАТЬ,,108857,449675,74
ВЕСТИСЬ,,108857,262923,73
ПРЕДСТАВИТЬ,,108857,1185156,73
БЫВАТЬ,,108857,361586,72
ПОДРАБАТЫВАТЬ,,108857,13361,72
НАЧИНАТЬ,,108857,227086,72
ПРОДОЛЖАТЬ,,108857,644375,70
СЛЕДОВАТЬ,,108857,314058,67
ВЫПОЛНЯТЬ,,108857,317186,66
ВВОДИТЬ,,108857,184603,66
ОСТАТЬСЯ,,108857,1167779,64
ХВАТИТЬ,,108857,336837,63
ОЖИДАТЬ,,108857,340622,63
ЗАКЛЮЧАТЬСЯ,,108857,267094,63
СПРАШИВАТЬ,,108857,156680,63
ИМЕТЬ,,108857,4883454,62
ОТМЕНЯТЬ,,108857,27375,62
ПЕРЕБИВАТЬСЯ,,108857,5201,61
ИЗУЧИТЬ,,108857,132969,61
КОНЧАТЬСЯ,,108857,55141,60
ПРЕКРАТИТЬ,,108857,242170,59
ПОГЛОТИТЬ,,108857,112051,59
ПОЯВИТЬСЯ,,108857,1712736,58
УСТРОИТЬ,,108857,449237,57
СТОИТЬ,,108857,915164,57
ВОСПРИНИМАТЬ,,108857,93390,57
ПОМЯТЬ,,108857,42357,56
ПОЗАБЫТЬ,,108857,21510,56
МЕШАТЬ,,108857,203224,56
ДЛИТЬСЯ,,108857,56905,55
ОПЛАЧИВАТЬ,,108857,39210,54
ТРЕБОВАТЬСЯ,,108857,347350,53
ПОСТИГАТЬ,,108857,17540,53
ВКЛЮЧАТЬ,,108857,299778,53
ЗАКАНЧИВАТЬ,,108857,57384,52
СКАЗАТЬСЯ,,108857,63070,52
ХОТЕТЬ,,108857,569716,52
ВКЛЮЧИТЬ,,108857,602609,52
ЗАПОМИНАТЬ,,108857,17200,50
ОКОНЧИТЬ,,108857,162006,50
ПОМЕШАТЬ,,108857,121236,49
ЯВИТЬСЯ,,108857,321602,49
ЗУБРИТЬ,,108857,1592,49
ПОЛЬЗОВАТЬСЯ,,108857,487486,49
ПРЕДЛОЖИТЬ,,108857,622690,49
ИЗУЧАТЬ,,108857,238995,47
ОТМЕНЯТЬСЯ,,108857,12448,47
ДОДЕЛАТЬ,,108857,3161,46
ПОНИМАТЬ,,108857,394627,46
ВЫНОСИТЬ,,108857,90608,46
СМОТРЕТЬ,,108857,1826817,46
КОНЧИТЬ,,108857,48488,46
ПОКАЗАТЬ,,108857,1076177,46
СУЩЕСТВОВАТЬ,,108857,667956,46
БРОСИТЬ,,108857,815888,46
НАЗНАЧИТЬ,,108857,670905,45
СОКРАТИТЬ,,108857,108316,44
ОСВОИТЬ,,108857,51945,44
ОСВАИВАТЬ,,108857,23229,43
ПРЕДУСМОТРЕТЬ,,108857,288804,43
УСТРАИВАТЬ,,108857,208209,43
ЗАКЛЮЧИТЬ,,108857,538655,43
ОБСУЖДАТЬ,,108857,159325,43
ПРОИСХОДИТЬ,,108857,596752,42
ПОДГОТОВИТЬ,,108857,356423,42
ТЯНУТЬСЯ,,108857,177858,40
ТВЕРДИТЬ,,108857,23269,40
ЗАСЛУЖИТЬ,,108857,67277,39
ИГНОРИРОВАТЬ,,108857,36883,39
ВЫУЧИВАТЬ,,108857,684,38
СКАЗЫВАТЬСЯ,,108857,51680,38
ЗАПЛАНИРОВАТЬ,,108857,182403,37
ЖИТЬ,,108857,945973,37
ПРЕКРАТИТЬСЯ,,108857,67332,37
ЗАМЕНИТЬ,,108857,201733,37
ПРЕДСТОЯТЬ,,108857,97438,37
ЗАПИСЫВАТЬ,,108857,52037,36
ЧИТАТЬ,,108857,552091,36
ВИДЕТЬ,,108857,1971171,34
БОЯТЬСЯ,,108857,360524,34
ОСТАВАТЬСЯ,,108857,851043,34
ХВАТАТЬ,,108857,611205,34
ОКОНЧИТЬСЯ,,108857,26475,34
ОСМЫСЛИТЬ,,108857,8998,33
ОБЪЯСНЯТЬ,,108857,167559,33
ПОСМОТРЕТЬ,,108857,1352306,33
ПРЕПОДАВАТЬСЯ,,108857,3812,33
ПРЕНЕБРЕЧЬ,,108857,14998,33
ОТВЕТИТЬ,,108857,2124020,33
ПОМОГАТЬ,,108857,297527,33
ПРИНИМАТЬ,,108857,946204,32
ЗАПИСАТЬ,,108857,213677,32
