verb,prep,freqNoun,freqVerb,freqComb
ПРИВЕСТИ,В,468164,919531,5045
СКАЗАТЬ,С,468164,7659823,4948
ПРОИЗНЕСТИ,С,468164,784042,4087
УПАСТЬ,БЕЗ,468164,606775,2889
УВЕРИТЬ,В,468164,237645,2245
СВЯЗАТЬ,С,468164,1362256,2167
ИЗБАВИТЬСЯ,ОТ,468164,126845,1880
ГОВОРИТЬ,О,468164,2673665,1510
ПРИВОДИТЬ,В,468164,457302,1442
ЛЕЖАТЬ,БЕЗ,468164,1213074,1239
ОСКОРБИТЬ,В,468164,31264,1090
ПРИЙТИ,В,468164,550519,1054
ОТВЕТИТЬ,С,468164,2124020,1003
ВОСКЛИКНУТЬ,С,468164,199009,981
ПРОСНУТЬСЯ,С,468164,121188,911
БЫТЬ,БЕЗ,468164,16504392,758
ПРИХОДИТЬ,В,468164,593265,711
ПРОГОВОРИТЬ,С,468164,337367,697
СПРАВИТЬСЯ,С,468164,187100,674
ОСНОВАТЬ,НА,468164,407746,658
РУХНУТЬ,БЕЗ,468164,163955,626
ПРИДТИ,В,468164,275691,619
СВАЛИТЬСЯ,БЕЗ,468164,101414,592
РАЗОБРАТЬСЯ,В,468164,92171,569
БОРОТЬСЯ,С,468164,218009,563
ГОВОРИТЬ,С,468164,2673665,557
ПАДАТЬ,БЕЗ,468164,201478,553
ИГРАТЬ,НА,468164,918112,533
ЗНАТЬ,О,468164,1470177,514
СТРАДАТЬ,ОТ,468164,200078,510
ВЗЫВАТЬ,К,468164,22913,430
ОТНОСИТЬ,К,468164,847578,406
СМОТРЕТЬ,С,468164,1826817,406
ПРОСЫПАТЬСЯ,С,468164,46713,400
ВСПОМИНАТЬ,С,468164,245184,399
ЖИТЬ,С,468164,945973,356
ПОДУМАТЬ,С,468164,765714,336
ДУМАТЬ,О,468164,575903,334
ОСВОБОДИТЬСЯ,ОТ,468164,50938,333
ВЫРУГАТЬСЯ,С,468164,19463,299
СЧИТАТЬСЯ,С,468164,334745,294
ВЕРИТЬ,В,468164,481858,292
ЗАБЫВАТЬ,О,468164,108962,291
СЫГРАТЬ,НА,468164,262561,290
ЗАБЫТЬ,О,468164,331942,290
СОВЛАДАТЬ,С,468164,13022,282
ПРОСНУТЬСЯ,ОТ,468164,121188,280
ВАЛЯТЬСЯ,БЕЗ,468164,121697,268
ДОБАВИТЬ,С,468164,974156,262
ОТДЕЛАТЬСЯ,ОТ,468164,28301,254
ВЫДОХНУТЬ,С,468164,79578,238
ПОБЛАГОДАРИТЬ,С,468164,92619,232
ОТКАЗАТЬ,В,468164,120363,228
СОМНЕВАТЬСЯ,В,468164,83778,224
УХОДИТЬ,С,468164,342887,223
ПРИЗНАТЬСЯ,В,468164,246491,222
ОТНОСИТЬ,С,468164,847578,218
ЗАСТОНАТЬ,ОТ,468164,26231,217
РАССКАЗАТЬ,О,468164,905982,216
УЙТИ,С,468164,626486,215
ВОЗДЕЙСТВОВАТЬ,НА,468164,44383,207
ДОГАДЫВАТЬСЯ,О,468164,20517,203
ВЛИЯТЬ,НА,468164,146292,202
ЗАЯВИТЬ,С,468164,1836802,200
ПОВАЛИТЬСЯ,БЕЗ,468164,44493,200
ПОЖАТЬ,С,468164,881100,197
ОТВЕТИТЬ,НА,468164,2124020,195
БЫТЬ,С,468164,16504392,194
ВЫЙТИ,С,468164,1529334,194
АПЕЛЛИРОВАТЬ,К,468164,6178,193
РАЗРЫВАТЬСЯ,МЕЖДУ,468164,21555,193
ОТОЗВАТЬСЯ,С,468164,311726,185
БЫТЬ,В,468164,16504392,178
РАЗБИРАТЬСЯ,В,468164,85103,177
СКАЗАТЬ,О,468164,7659823,177
ЧИТАТЬ,С,468164,552091,174
ИДТИ,С,468164,2732778,171
ПОВТОРИТЬ,С,468164,298378,169
СПРОСИТЬ,С,468164,941901,167
ПРИСЛАТЬ,В,468164,489919,167
ПРОШЕПТАТЬ,С,468164,242605,164
ЗАВИСЕТЬ,ОТ,468164,343524,163
ОТВЕЧАТЬ,С,468164,609071,160
ПЕТЬ,С,468164,175614,159
