verb,prep,freqNoun,freqVerb,freqComb
ИСПЫТЫВАТЬ,,468164,484183,43344
ЛИШИТЬСЯ,,468164,166332,17092
ИСПЫТАТЬ,,468164,165803,13260
БЫТЬ,,468164,16504392,13008
ВЫЗЫВАТЬ,,468164,574948,9692
ПОКИДАТЬ,,468164,208228,9435
ОБЛАДАТЬ,,468164,556026,7047
ВОЗНИКАТЬ,,468164,409064,5941
ОХВАТИТЬ,,468164,167522,5009
ВОЗНИКНУТЬ,,468164,564886,4850
ПОТЕРЯТЬ,,468164,802609,4750
ОСТАВЛЯТЬ,,468164,318436,4352
ПИТАТЬ,,468164,87599,4323
ТЕРЯТЬ,,468164,355187,3975
ВЫЗВАТЬ,,468164,857411,3489
УТРАТИТЬ,,468164,140914,3479
ОЩУТИТЬ,,468164,218368,3396
ПОЯВИТЬСЯ,,468164,1712736,3322
ОВЛАДЕТЬ,,468164,106347,2843
ИМЕТЬ,,468164,4883454,2585
ОСКОРБЛЯТЬ,,468164,21144,2295
ПОЯВЛЯТЬСЯ,,468164,440146,2132
ПОНИМАТЬ,,468164,394627,1981
ВЫРАЖАТЬ,,468164,148337,1801
ОЩУЩАТЬ,,468164,171151,1643
ВЫРАЗИТЬ,,468164,416769,1630
ОСКОРБИТЬ,,468164,31264,1626
ОТСУТСТВОВАТЬ,,468164,156019,1584
ДАВАТЬ,,468164,1254195,1525
ОСТАТЬСЯ,,468164,1167779,1480
ЯВЛЯТЬСЯ,,468164,3365085,1478
РАЗДЕЛЯТЬ,,468164,109760,1444
ПОДДАВАТЬСЯ,,468164,131590,1363
ПОНЯТЬ,,468164,523934,1336
ПОДДАТЬСЯ,,468164,73787,1299
СОХРАНИТЬ,,468164,287776,1271
ПРОНИКНУТЬСЯ,,468164,33095,1255
ЗАДЕТЬ,,468164,37548,1226
ПЕРЕЖИВАТЬ,,468164,103297,1184
ПРОЯВЛЯТЬ,,468164,191824,1178
ЛИШИТЬ,,468164,163428,1168
ХВАТАТЬ,,468164,611205,1148
ОБОСТРИТЬСЯ,,468164,15349,1146
ВЕРНУТЬСЯ,,468164,1351676,1126
ВЛАДЕТЬ,,468164,210221,1122
ЗНАТЬ,,468164,1470177,1105
ОБРЕСТИ,,468164,204965,1060
ЛИШАТЬСЯ,,468164,27765,1058
ПОЗВОЛЯТЬ,,468164,295113,1044
ПЕРЕПОЛНИТЬ,,468164,56378,1041
ПОДАВИТЬ,,468164,107997,1033
ОХВАТЫВАТЬ,,468164,55110,1015
СОЗДАВАТЬ,,468164,440892,932
ПОЗВОЛИТЬ,,468164,288075,932
ОБОСТРИТЬ,,468164,10665,931
СКРЫВАТЬ,,468164,111182,893
ЖИТЬ,,468164,945973,887
НАПОЛНИТЬ,,468164,214691,871
ДВИГАТЬ,,468164,50001,861
ОВЛАДЕВАТЬ,,468164,25051,855
ВНУШАТЬ,,468164,58554,853
СОХРАНЯТЬ,,468164,174965,848
ИСПОЛНИТЬ,,468164,174260,838
ПРОСНУТЬСЯ,,468164,121188,837
НАХЛЫНУТЬ,,468164,15816,832
ОТЛИЧАТЬСЯ,,468164,475656,821
ОСТАВАТЬСЯ,,468164,851043,812
ПРОБУЖДАТЬ,,468164,15601,807
ОТПУСКАТЬ,,468164,57296,795
НАДЕЛИТЬ,,468164,54402,795
ПЕРЕПОЛНЯТЬ,,468164,10363,777
ПОРОЖДАТЬ,,468164,52126,774
УСИЛИВАТЬ,,468164,57797,753
РАЗВИТЬ,,468164,65195,742
ИСЧЕЗНУТЬ,,468164,333208,740
РОЖДАТЬ,,468164,28097,707
РУКОВОДИТЬ,,468164,143479,686
ОТДАТЬСЯ,,468164,36748,685
ПРИТУПЛЯТЬ,,468164,3581,669
ПРИХОДИТЬ,,468164,593265,659
ПРОЯВИТЬ,,468164,192397,659
РАЗВИВАТЬ,,468164,101608,655
СТАНОВИТЬСЯ,,468164,695686,642
НАСЛАЖДАТЬСЯ,,468164,109585,629
ДАТЬ,,468164,1104316,597
ПРОБУДИТЬ,,468164,22642,595
ВСПЫХНУТЬ,,468164,179401,592
ВОЗБУЖДАТЬ,,468164,31546,589
РАНИТЬ,,468164,145482,587
МУЧИТЬ,,468164,44958,587
ПЕРЕЖИТЬ,,468164,111233,585
ОБОСТРЯТЬ,,468164,9296,584
ПЕРЕДАТЬ,,468164,696663,581
СОПРОВОЖДАТЬСЯ,,468164,112793,577
ПРОНИЗАТЬ,,468164,36765,575
ПРИМЕШИВАТЬСЯ,,468164,8707,558
РУКОВОДСТВОВАТЬСЯ,,468164,43398,550
СДЕРЖИВАТЬ,,468164,69533,544
ПОМНИТЬ,,468164,224087,539
НАЗВАТЬ,,468164,806830,535
СМЕНИТЬСЯ,,468164,86400,525
УТРАЧИВАТЬ,,468164,17569,515
БЫВАТЬ,,468164,361586,514
ПРОНИКАТЬСЯ,,468164,8701,510
ВОСПИТЫВАТЬ,,468164,37380,507
БОРОТЬСЯ,,468164,218009,506
ПРЕОДОЛЕТЬ,,468164,109414,500
ПРОДИКТОВАТЬ,,468164,48417,496
СДЕРЖАТЬ,,468164,112622,491
ПОКАЗАТЬ,,468164,1076177,480
ПРИТУПИТЬСЯ,,468164,2482,479
СКРЫТЬ,,468164,163551,475
ОПИСАТЬ,,468164,281655,472
ПРИТУПИТЬ,,468164,4280,470
ОКАЗАТЬСЯ,,468164,1813169,469
ЗАГЛУШИТЬ,,468164,44220,468
ВЫДАТЬ,,468164,237631,462
ПОДАВЛЯТЬ,,468164,28995,457
ПОГЛОТИТЬ,,468164,112051,453
ИГРАТЬ,,468164,918112,448
РОЖДАТЬСЯ,,468164,73540,441
ЗАДЕВАТЬ,,468164,17881,439
МУЧИТЬСЯ,,468164,36324,430
