InfForm,Prep
активизировать,
быть,
быть,предназначенным для целей
ввязываться,в
вести,
вести,на
вестись,
включаться,в
включиться,в
вмешиваться,в
внести,в
вовлекать,в
вовлечь,в
возглавить,
возглавлять,
возобновить,
воодушевить,на
воодушевиться,
воодушевлять,на
вставать,на
встать,на
вступать,в
вступить,в
выбывать,из
выбыть,из
выжить,в
вызвать,на
вызвать,
вызывать,на
вызывать,
выйти,из
вынудить,на
вынуждать,на
выступить,о
выступить,на
выходить,из
говорить,о
готовиться,к
делать,под предлогом
ёрничать,на тему
живописать,
завершать,
завершить,
завоевать,в
закалиться,в
закрывать,под предлогом
замирать,
звать,к
идти,
идти,на
изображаться,
изобразить,
исключить,из
касаться,
консолидироваться,в
мобилизовать,для
мобилизовать,на
мобилизоваться,на
направить,на
направить,
направлять,на
направлять,
начать,
начаться,
начинать,
начинаться,
обострить,
обостриться,
обострять,
обостряться,
обращать,на
объединить,для
объединить,под флагом
объединиться,в
объединиться,для
объединяться,в
объединяться,для
организовать,на
ослаблять,
ответить,
отдать,
отдаться,
отличиться,по части
относиться,к
отражать,
отразить,
пасть,в
перечислить,на
победить,в
погибнуть,в условиях
погибнуть,в
подготовиться,к
поддерживать,
поднимать,на
подниматься,на
поднять,на
подняться,на
подыматься,на
пойти,на
помалкивать,о
помогать,в
помогать,при условии
помогать,
помочь,в
посвятить,
посвящать,
предвидеться,
предназначаться,для целей
предстоять,
прекратить,
прекратиться,
прекращать,
преодолевать,путем
преодолеть,путем
призвать,к
призвать,на
призывать,к
призывать,на
приостановить,
присоединиться,для
присоединиться,к
проводить,
продолжать,
продолжаться,
продолжить,
происходить,
протекать,
проявить,в
проявлять,в
проявляться,в
развернуть,
развернуться,
развёртывать,
развёртываться,
развиваться,в направлении
разгореться,
расти,
решаться,на
родиться,в
руководить,
содействовать,
солидаризироваться,с
сосредоточить,для
сосредоточиться,на
состояться,в результате
сотрудничать,в
стимулировать,
уповать,в
употребить,на
усердствовать,в
усиливать,
усиливаться,
усилить,
усилиться,
устоять,в
уступать,в
уступить,в
утихать,
утихнуть,
участвовать,в
шириться,
