Verb,Prep
быть,
вести,
идти,
изображать,
начинать,
замирать,
обострять,
предвидеть,
предстоять,
прекращать,
продолжать,
происходить,
протекать,
развертывать,
развёртывать,
разгорать,
расти,
усиливать,
утихать,
ширить,
активизировать,
быть,предназначенным для целей
вести,на
включать,в
вмешивать,в
вносить,в
вовлекать,в
возглавлять,
возобновлять,
воодушевлять,на
воодушевлять,
вставать,на
вступать,в
выбывать,из
выживать,в
вызывать,на
вызывать,
выхаживать,из
вынуждать,на
выступать,о
выступать,на
говорить,о
готовить,к
делать,под предлогом
ёрничать,на тему
живописать,
завершать,
завоевывать,в
закаливать,в
закрывать,под предлогом
звать,к
идти,на
исключать,из
касать,
консолидировать,в
мобилизовать,для
мобилизовать,на
направлять,на
направлять,
ввязывать,в
гибнуть,в условиях
решать,на
обращать,на
объединять,для
объединять,под флагом
объединять,в
организовывать,на
ослаблять,
отвечать,
отдавать,
отличать,по частить
относить,к
отражать,
падать,в
перечислять,на
побеждать,в
гибнуть,в
поддерживать,
поднимать,на
подымать,на
помалкивать,о
помогать,в
помогать,переть условии
помогать,
посвящать,
предназначать,для целей
преодолевать,путем
призывать,к
призывать,на
приостанавливать,
присоединять,для
присоединять,к
провожать,
проявлять,в
развивать,в направлении
рожать,в
руководить,
содействовать,
солидаризировать,с
сосредоточивать,для
сосредоточивать,на
состоять,в результате
сотрудничать,в
стимулировать,
уповать,в
употреблять,на
усердствовать,в
устоять,в
уступать,в
участвовать,в
