Verb,Prep
акцентировать,
акцентироваться,
баловать,
благодарить,за
быть,
быть,вне
взывать,к
владеть,
возбудить,
возбуждать,
возрастать,
возрасти,
вызвать,
вызывать,
выпадать,из
выпасть,из
выражать,
выразить,
гордиться,
добиваться,
добиться,благодаря
добиться,
дорожить,
завладевать,
завладеть,
задержать,
задержаться,
задерживать,
занимать,
занять,
заострить,
заострять,
заплатить,за
заполучить,
заслуживать,
заслужить,
засмущаться,от
захватить,
захватывать,
злоупотребить,
злоупотреблять,
избаловать,
избегать,
избегнуть,
избежать,
испытывать,
концентрировать,
концентрироваться,
лишаться,
лишиться,
льстить,
направить,
направлять,
напрягать,
напрячь,
обделить,
обделиться,
обделять,
обделяться,
обойти,
обратить,
обратить,на себя
обращать,
обращать,на себя
обращаться,
обходить,
обязать,
овладеть,
оказать,
оказаться,в сфере
оказывать,
оказываться,
оказываться,в сфере
окружать,
окружить,
ослабевать,
ослабить,
ослаблять,
ослабнуть,
оставаться,за пределами
оставить,без
оставлять,без
останавливать,
остановить,
остановиться,
остаться,за пределами
отблагодарить,за
отвести,
ответить,на
отвечать,на
отвлекать,
отвлечь,
отводить,
отводиться,
отказать,во
отказывать,во
отличить,
отнестись,с
относиться,с
оценить,
ощутить,
ощущать,
ощущаться,
переключать,
переключаться,
переключить,
перенести,
переносить,
переутомить,
переутомлять,
подтверждать,
подчёркивать,
пользоваться,
попросить,
почувствовать,
предлагать,
предложить,
предоставить,
преисполниться,
преисполняться,
привлекать,
привлечь,
привыкать,к
привыкнуть,к
придавать,
придаваться,
придать,
призвать,к
призывать,к
приковать,
приковывать,
принимать,во
принять,во
притупить,
притуплять,
просить,
проявить,
проявлять,
проявляться,
распространить,
распространиться,
распространять,
распространяться,
распылять,
рассеиваться,
рассчитывать,на
свидетельствовать,
свидетельствовать,о
связывать,
сконцентрировать,
скрываться,из-за
слушать,со
смутить,
смутиться,от
смущать,
смущаться,от
снижать,
сосредотачивать,
сосредотачиваться,
сосредоточивать,
сосредоточиваться,
сосредоточить,
сосредоточиться,
сподобиться,
стоить,
требовать,
трогать,
тронуть,
увеличивать,
увеличить,
увеличиться,
удваивать,
удвоить,
уделить,
уделять,
уделяться,
удержать,
удерживать,
удостаивать,
удостаиваться,
удостоить,
удостоиться,
укрывать,от
укрыть,от
усиливать,
усилить,
ускользать,из
ускользнуть,из
устремить,
устремлять,
утратить,
утрачивать,
фиксировать,
хотеть,
хотеться,
ценить,
цениться,
чувствовать,
чувствоваться,
