Verb,Prep
благодарить,за
быть,
быть,вне
взывать,к
возбудить,
возрасти,
вызвать,
выпасть,из
выразить,
гордиться,
добиться,благодаря
добиться,
дорожить,
завладевать,
завладеть,
задержаться,
занять,
заострить,
заплатить,за
заслужить,
захватить,
злоупотребить,
избаловать,
избегнуть,
избежать,
испытывать,
концентрироваться,
лишиться,
льстить,
направить,
напрячь,
обделиться,
обойти,
обратить,
обратить,на себя
обращаться,
обязать,
овладеть,
оказать,
оказаться,в сфере
оказываться,
окружить,
ослабевать,
ослабить,
ослабнуть,
оставить,без
остановиться,
остаться,за пределами
отвести,
ответить,на
отвлечь,
отводиться,
отказать,во
отличить,
отнестись,с
оценить,
ощутить,
ощущаться,
переключаться,
переключить,
перенести,
переутомить,
подтверждать,
подчёркивать,
пользоваться,
попросить,
почувствовать,
предложить,
предоставить,
преисполниться,
привлечь,
привыкнуть,к
придаваться,
придать,
призвать,к
приковать,
принять,во
притупить,
проявить,
проявляться,
распространиться,
распылять,
рассеиваться,
рассчитывать,на
свидетельствовать,
свидетельствовать,о
связывать,
сконцентрировать,
скрываться,из-за
слушать,со
смутить,
смутиться,от
снижать,
сосредотачивать,
сосредоточиваться,
сосредоточиться,
стоить,
требовать,
тронуть,
увеличиться,
удвоить,
уделить,
уделяться,
удержать,
удостоиться,
укрыть,от
усилить,
ускользать,из
ускользнуть,из
устремить,
утратить,
хотеться,
цениться,
чувствоваться,
